date,open,high,low,close,volume,unadjusted,putthrough
2011-05-04,1.5198,1.5198,1.5198,1.5198,400,7.5000,0
2011-05-05,1.5198,1.5198,1.5198,1.5198,1300,7.5000,0
2011-05-09,1.5198,1.5198,1.5198,1.5198,700,7.5000,0
2011-05-10,1.5198,1.5198,1.5198,1.5198,1300,7.5000,0
2011-05-11,1.5198,1.5198,1.5198,1.5198,6900,7.5000,0
2011-05-12,1.5401,1.5401,1.5401,1.5401,2600,7.6000,0
2011-05-17,1.6501,1.6501,1.6501,1.6501,300,7.5000,0
2011-05-18,1.6941,1.7601,1.6941,1.7601,200,8.0000,0
2011-05-19,1.7381,1.7381,1.7381,1.7381,1000,7.9000,0
2011-05-20,1.8921,1.8921,1.8921,1.8921,100,8.6000,0
2011-05-25,1.9801,1.9801,1.9801,1.9801,3000,9.0000,0
2011-05-27,1.9801,1.9801,1.9801,1.9801,3200,9.0000,0
2011-05-30,1.9361,1.9361,1.9361,1.9361,1200,8.8000,0
2011-06-01,1.9361,1.9801,1.9361,1.9801,12100,9.0000,0
2011-06-02,1.9801,1.9801,1.9801,1.9801,4400,9.0000,0
2011-06-06,1.9801,1.9801,1.9801,1.9801,6500,9.0000,0
2011-06-07,1.9801,1.9801,1.9801,1.9801,200,9.0000,0
2011-06-22,1.9801,2.1781,1.9801,2.1781,600,9.9000,0
2011-06-27,2.2001,2.2001,2.2001,2.2001,10000,10.0000,0
2011-07-04,2.1781,2.1781,2.1781,2.1781,3700,9.9000,0
2011-07-05,2.2001,2.2001,2.2001,2.2001,20800,10.0000,0
2011-07-06,2.2001,2.2001,2.2001,2.2001,500,10.0000,0
2011-07-07,2.2001,2.2001,2.2001,2.2001,1100,10.0000,0
2011-07-08,2.2001,2.2001,2.2001,2.2001,100,10.0000,0
2011-07-12,2.0901,2.0901,2.0901,2.0901,29500,9.5000,28700
2011-07-13,1.9801,2.0901,1.9801,2.0901,3600,9.5000,0
2011-07-14,2.0021,2.2001,2.0021,2.2001,2400,10.0000,0
2011-07-15,2.0901,2.2001,2.0901,2.2001,10000,10.0000,0
2011-07-18,2.2001,2.2001,2.2001,2.2001,100,10.0000,0
2011-07-22,2.2001,2.2001,2.2001,2.2001,10000,10.0000,10000
2011-07-25,1.9801,1.9801,1.9801,1.9801,900,9.0000,0
2011-07-26,1.9801,2.1781,1.9801,2.1781,3200,9.9000,0
2011-07-27,2.2001,2.2001,2.2001,2.2001,1100,10.0000,0
2011-07-29,2.2001,2.2001,2.2001,2.2001,6800,10.0000,0
2011-08-02,1.9801,1.9801,1.9801,1.9801,500,9.0000,0
2011-08-04,2.1781,2.1781,2.1781,2.1781,500,9.9000,0
2011-08-05,2.1781,2.1781,2.1781,2.1781,300,9.9000,0
2011-08-08,2.2001,2.2001,2.2001,2.2001,2600,10.0000,0
2011-08-09,2.2001,2.2001,2.2001,2.2001,4300,10.0000,0
2011-08-10,2.2001,2.2001,2.2001,2.2001,2400,10.0000,0
2011-08-11,2.2001,2.2001,2.2001,2.2001,1800,10.0000,0
2011-08-15,2.2001,2.2001,2.2001,2.2001,1900,10.0000,0
2011-08-16,2.2001,2.2001,2.2001,2.2001,8300,10.0000,0
2011-08-17,2.2001,2.2001,2.2001,2.2001,1200,10.0000,0
2011-08-18,2.2001,2.2001,2.2001,2.2001,99000,10.0000,99000
2011-08-19,2.2001,2.2001,2.2001,2.2001,7700,10.0000,0
2011-08-22,2.2001,2.2001,2.2001,2.2001,2000,10.0000,0
2011-08-23,2.2001,2.2001,2.2001,2.2001,14100,10.0000,0
2011-08-26,2.2001,2.2001,2.2001,2.2001,4400,10.0000,0
2011-08-29,2.2001,2.2001,2.2001,2.2001,1200,10.0000,0
2011-08-30,2.2001,2.2001,2.2001,2.2001,7300,10.0000,0
2011-09-07,2.2001,2.2001,2.2001,2.2001,4000,10.0000,0
2011-09-09,2.2001,2.2001,2.2001,2.2001,3200,10.0000,0
2011-09-19,1.9801,1.9801,1.9801,1.9801,2100,9.0000,0
2011-09-23,2.1781,2.1781,2.1781,2.1781,100,9.9000,0
2011-09-26,2.2001,2.2001,2.2001,2.2001,2000,10.0000,0
2011-09-29,2.2001,2.2001,2.2001,2.2001,1700,10.0000,0
2011-09-30,2.2001,2.2661,1.9801,1.9801,89000,9.0000,0
2011-10-03,2.0021,2.0021,2.0021,2.0021,2300,9.1000,0
2011-10-05,2.2001,2.2001,2.2001,2.2001,1000,10.0000,0
2011-10-10,2.2001,2.2001,2.2001,2.2001,2000,10.0000,0
2011-10-24,2.2001,2.2001,2.2001,2.2001,400,10.0000,0
2011-10-26,2.0461,2.0461,2.0461,2.0461,100,9.3000,0
2011-10-31,2.2441,2.2441,2.0461,2.0461,800,9.3000,0
2011-11-01,2.2001,2.2001,2.2001,2.2001,200,10.0000,0
2011-11-02,2.2001,2.2001,2.2001,2.2001,300,10.0000,0
2011-11-04,2.2001,2.2001,2.2001,2.2001,500,10.0000,0
2011-11-07,2.2001,2.2001,2.2001,2.2001,400,10.0000,0
2011-11-09,2.2001,2.2001,2.2001,2.2001,1200,10.0000,0
2011-11-10,2.2001,2.2441,2.2001,2.2441,6400,10.2000,0
2011-11-15,2.2441,2.3101,2.2441,2.3101,1600,10.5000,0
2011-11-17,2.2661,2.2661,2.2661,2.2661,800,10.3000,0
2011-11-24,2.2661,2.2661,2.2661,2.2661,500,10.3000,0
2011-11-25,2.2441,2.2441,2.2441,2.2441,1500,10.2000,0
2011-12-01,2.4130,2.4130,2.4130,2.4131,1300,10.0000,0
2011-12-05,2.4131,2.4131,2.4131,2.4131,600,10.0000,0
2011-12-07,2.4131,2.5579,2.4131,2.5578,14300,10.6000,0
2011-12-09,2.5096,2.5096,2.5096,2.5096,800,10.4000,0
2011-12-12,2.4131,2.4131,2.4131,2.4131,1800,10.0000,0
2011-12-13,2.6544,2.6544,2.4131,2.4131,300,10.0000,0
2011-12-14,2.7751,2.7751,2.7751,2.7750,33000,11.5000,0
2011-12-15,2.5096,2.5096,2.5096,2.5096,7000,10.4000,0
2011-12-16,2.7026,2.7026,2.7026,2.7026,300,11.2000,0
2011-12-20,2.5337,2.5337,2.5337,2.5337,1300,10.5000,0
2011-12-21,2.6544,2.6544,2.6544,2.6544,200,11.0000,0
2011-12-22,2.5337,2.6544,2.5337,2.6544,4000,11.0000,0
2011-12-26,2.7991,2.7991,2.7991,2.7991,300,11.6000,0
2011-12-30,3.0163,3.0163,2.8956,3.0163,2900,12.5000,0
2012-01-17,2.4372,2.5337,2.4372,2.5337,1800,10.5000,0
2012-01-18,2.6785,2.6785,2.5337,2.5337,1400,10.5000,0
2012-01-20,2.6544,2.6544,2.6544,2.6544,1000,11.0000,0
2012-02-06,2.5337,2.5337,2.5337,2.5337,1000,10.5000,0
2012-02-07,2.5337,2.5337,2.5337,2.5337,5000,10.5000,0
2012-02-08,2.5578,2.5578,2.5337,2.5337,5600,10.5000,0
2012-02-09,2.5820,2.5820,2.5337,2.5337,2800,10.5000,0
2012-02-10,2.5337,2.5337,2.4613,2.4613,700,10.2000,0
2012-02-15,2.5096,2.5096,2.5096,2.5096,2600,10.4000,0
2012-02-23,2.6544,2.6544,2.6544,2.6544,500,11.0000,0
2012-02-27,2.6544,2.6544,2.6544,2.6544,500,11.0000,0
2012-03-01,2.6544,2.6544,2.6544,2.6544,600,11.0000,0
2012-03-05,2.6544,2.6544,2.6544,2.6544,1500,11.0000,0
2012-03-09,2.7751,2.9198,2.7751,2.9198,2700,12.1000,0
2012-03-12,3.0163,3.0646,3.0163,3.0646,6300,12.7000,0
2012-03-15,3.3542,3.3542,3.3542,3.3541,2000,13.9000,0
2012-03-16,3.3541,3.4265,3.3541,3.4265,1200,14.2000,0
2012-03-20,3.3541,3.3541,3.3541,3.3541,1800,13.9000,10500
2012-03-21,3.4265,3.6678,3.4265,3.6678,4100,15.2000,0
2012-03-22,3.6195,3.7402,3.6195,3.6678,11500,15.2000,0
2012-03-23,3.6919,3.9332,3.6919,3.7402,3900,15.5000,0
