date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,3.9136,3.9136,3.9136,3.9136,23900,103.0000,0
2006-12-28,3.9136,3.9136,3.9136,3.9136,21220,103.0000,0
2006-12-29,3.9136,3.9136,3.7236,3.7236,7480,98.0000,0
2007-01-02,3.5526,3.7236,3.5526,3.5526,2950,93.5000,0
2007-01-03,3.3816,3.3816,3.3816,3.3816,6050,89.0000,0
2007-01-04,3.2296,3.2296,3.2296,3.2297,28060,85.0000,0
2007-01-05,3.3817,3.3817,3.0777,3.3816,36670,89.0000,0
2007-01-08,3.5336,3.5336,3.5336,3.5336,11090,93.0000,0
2007-01-09,3.7046,3.7046,3.6856,3.7046,41230,97.5000,0
2007-01-10,3.5716,3.5716,3.5336,3.5336,29380,93.0000,0
2007-01-11,3.3816,3.3816,3.3626,3.3626,15180,88.5000,0
2007-01-12,3.4196,3.5146,3.2106,3.5146,14590,92.5000,0
2007-01-15,3.5146,3.5336,3.5146,3.5336,18840,93.0000,0
2007-01-16,3.5336,3.5336,3.4196,3.4196,14870,90.0000,0
2007-01-17,3.4196,3.4196,3.2676,3.3436,8490,88.0000,0
2007-01-18,3.1916,3.4196,3.1916,3.4196,9350,90.0000,0
2007-01-19,3.3816,3.4196,3.3816,3.4196,18140,90.0000,0
2007-01-22,3.2676,3.2676,3.2486,3.2677,10800,86.0000,0
2007-01-23,3.4197,3.4197,3.3817,3.3816,4070,89.0000,0
2007-01-24,3.3816,3.3816,3.3816,3.3816,8980,89.0000,0
2007-01-25,3.2486,3.3056,3.2486,3.3057,8740,87.0000,0
2007-01-26,3.1537,3.1537,3.1537,3.1537,4050,83.0000,0
2007-01-29,3.2297,3.2297,3.1537,3.2297,10200,85.0000,0
2007-01-30,3.2677,3.3817,3.2677,3.3816,7730,89.0000,0
2007-01-31,3.3816,3.3816,3.3816,3.3816,15180,89.0000,0
2007-02-01,3.4196,3.4196,3.3816,3.4196,24460,90.0000,0
2007-02-02,3.5906,3.5906,3.5906,3.5906,20400,94.5000,0
2007-02-05,3.7616,3.7616,3.7616,3.7616,60780,99.0000,0
2007-02-06,3.9136,3.9136,3.9136,3.9136,54760,103.0000,0
2007-02-07,3.7996,3.7996,3.7236,3.7996,25090,100.0000,0
2007-02-08,3.6096,3.6096,3.6096,3.6096,3230,95.0000,0
2007-02-09,3.4386,3.4386,3.4386,3.4386,7370,90.5000,0
2007-02-12,3.6096,3.6096,3.4956,3.4956,15450,92.0000,0
2007-02-13,3.6666,3.6666,3.6666,3.6666,43500,96.5000,0
2007-02-14,3.6666,3.6666,3.6666,3.6666,6040,96.5000,0
2007-02-15,3.8376,3.8376,3.6666,3.8376,16560,101.0000,0
2007-02-26,3.9896,4.0276,3.9896,3.9896,23820,105.0000,0
2007-02-27,3.8376,3.8376,3.8376,3.8376,21570,101.0000,0
2007-02-28,3.7236,3.8376,3.7236,3.7236,10810,98.0000,0
2007-03-01,3.7236,3.7236,3.7236,3.7236,3390,98.0000,0
2007-03-02,3.7236,3.7236,3.7236,3.7236,8600,98.0000,0
