date,open,high,low,close,volume,unadjusted,putthrough
2007-12-24,3.6594,3.7225,3.4701,3.7225,11200,59.0000,0
2007-12-25,3.7225,3.7225,3.7225,3.7225,100,59.0000,0
2007-12-26,3.5963,3.5963,3.5963,3.5963,100,57.0000,0
2007-12-27,3.7225,3.7225,3.3439,3.4070,5700,54.0000,0
2007-12-28,3.6594,3.6594,3.3439,3.3439,3300,53.0000,0
2008-01-02,3.1609,3.1609,3.1546,3.1547,1000,50.0000,0
2008-01-03,3.1547,3.1547,3.1547,3.1547,100,50.0000,0
2008-01-04,3.4702,3.4702,2.8392,2.8392,3100,45.0000,0
2008-01-08,3.0916,3.0916,2.8392,2.8392,400,45.0000,0
2008-01-09,3.1547,3.1547,2.8077,2.8076,1400,44.5000,0
2008-01-10,2.8391,2.8391,2.8391,2.8392,500,45.0000,0
2008-01-11,2.9654,2.9654,2.5868,2.5868,2100,41.0000,0
2008-01-14,2.8392,2.8392,2.8392,2.8392,100,45.0000,0
2008-01-16,2.8392,2.9654,2.8392,2.9654,8300,47.0000,0
2008-01-18,3.1231,3.1231,2.8897,2.9654,6000,47.0000,0
2008-01-23,2.6626,2.6626,2.6626,2.6625,100,42.2000,0
2008-01-24,2.5237,2.5237,2.4291,2.4291,200,38.5000,0
2008-01-25,2.7193,2.7193,2.5237,2.5237,1100,40.0000,0
2008-01-28,2.9023,2.9023,2.7004,2.7004,600,42.8000,0
2008-01-30,2.5868,2.7130,2.5868,2.7130,16700,43.0000,0
2008-01-31,2.7445,2.7445,2.4038,2.5237,3400,40.0000,0
2008-02-01,2.5237,2.5237,2.4669,2.4669,3200,39.1000,0
2008-02-12,2.7634,2.7634,2.2776,2.2777,1900,36.1000,0
2008-02-13,2.2713,2.2713,2.2262,2.2263,6500,34.6000,0
2008-02-14,2.4579,2.4579,2.4451,2.4450,2700,38.0000,0
2008-02-15,2.4128,2.4128,2.3807,2.4128,700,37.5000,0
2008-02-18,2.5737,2.5737,2.2519,2.4965,2800,38.8000,0
2008-02-19,2.2649,2.3936,2.2520,2.3935,1600,37.2000,0
2008-02-20,2.4900,2.4900,2.2648,2.2649,300,35.2000,0
2008-02-21,2.1105,2.1877,2.1105,2.1233,1600,33.0000,0
2008-02-22,2.3356,2.3356,1.9110,1.9303,2600,30.0000,0
2008-02-25,2.0590,2.0719,2.0590,2.0590,1500,32.0000,0
2008-02-26,2.1233,2.1233,1.8660,1.8659,1000,29.0000,0
2008-02-27,1.9302,1.9302,1.9302,1.9303,300,30.0000,0
2008-02-28,1.9303,1.9303,1.8981,1.8981,200,29.5000,0
2008-03-04,1.7372,1.7372,1.7372,1.7372,100,27.0000,0
2008-03-06,1.7372,1.9109,1.7050,1.9110,20500,29.7000,0
2008-03-07,1.9946,2.0654,1.9946,2.0654,56900,32.1000,0
2008-03-10,2.2198,2.2520,1.9431,1.9624,3600,30.5000,0
2008-03-11,1.9624,2.0589,1.9624,2.0590,600,32.0000,0
2008-03-12,1.9496,1.9496,1.8274,1.8273,3000,28.4000,0
2008-03-13,1.7051,1.7051,1.6793,1.6793,3500,26.1000,0
2008-03-14,1.8337,1.8337,1.5120,1.5185,6300,23.6000,0
2008-03-17,1.5442,1.5442,1.3898,1.3898,15900,21.6000,0
2008-03-18,1.2611,1.2869,1.2611,1.2611,15700,19.6000,0
2008-03-19,1.3769,1.3769,1.1646,1.1710,2500,18.2000,0
2008-03-20,1.1517,1.1903,1.1517,1.1903,1100,18.5000,0
2008-03-21,1.1774,1.2804,1.1710,1.2804,6100,19.9000,0
2008-03-24,1.1388,1.1388,1.0938,1.1131,2600,17.3000,0
2008-03-25,1.0102,1.0938,1.0037,1.0230,4900,15.9000,0
2008-03-26,1.1195,1.1195,1.0938,1.0938,5200,17.0000,0
2008-03-27,1.1260,1.1260,1.1260,1.1260,500,17.5000,0
2008-03-28,1.1453,1.1453,1.1453,1.1453,100,17.8000,0
2008-03-31,1.1646,1.1646,1.1646,1.1646,100,18.1000,0
2008-04-01,1.1839,1.1839,1.1839,1.1839,100,18.4000,0
2008-04-03,1.2032,1.2032,1.2032,1.2032,200,18.7000,0
2008-04-04,1.2225,1.2225,1.2225,1.2225,100,19.0000,0
2008-04-07,1.2547,1.2547,1.2547,1.2547,2000,19.5000,0
2008-04-08,1.2869,1.2869,1.2547,1.2547,9500,19.5000,0
2008-04-09,1.2611,1.2611,1.2418,1.2418,4000,19.3000,0
2008-04-11,1.2416,1.2416,1.2154,1.2176,2300,18.5000,0
2008-04-16,1.1847,1.1847,1.1847,1.1847,5000,18.0000,0
2008-04-17,1.2176,1.2176,1.1847,1.2176,3500,18.5000,0
2008-04-18,1.2505,1.2505,1.2505,1.2505,3000,19.0000,0
2008-04-21,1.2834,1.2834,1.2505,1.2505,2600,19.0000,0
2008-04-22,1.2439,1.2439,1.2373,1.2373,1300,18.8000,0
2008-04-23,1.2110,1.2241,1.2110,1.2176,7700,18.5000,0
2008-04-24,1.2505,1.2505,1.1847,1.1847,3200,18.0000,0
2008-04-25,1.2439,1.2505,1.2439,1.2439,1700,18.9000,0
2008-04-28,1.2505,1.2505,1.2110,1.2439,2700,18.9000,0
2008-04-29,1.1912,1.1912,1.1847,1.1847,4400,18.0000,0
2008-05-05,1.1847,1.1847,1.1847,1.1847,1000,18.0000,0
