date,open,high,low,close,volume,unadjusted,putthrough
2009-05-19,3.5442,3.5442,3.5442,3.5442,40,32.4000,0
2009-05-20,3.7192,3.7192,3.7192,3.7192,20,34.0000,1128040
2009-05-21,3.9052,3.9052,3.9052,3.9051,10,35.7000,0
2009-05-22,4.0911,4.0911,4.0911,4.0911,500,37.4000,0
2009-05-25,4.2880,4.2880,4.2880,4.2880,10,39.2000,0
2009-05-26,4.4958,4.4958,4.4958,4.4958,10,41.1000,207000
2009-05-27,4.7146,4.7146,4.7146,4.7146,16040,43.1000,0
2009-05-28,4.9443,4.9443,4.9443,4.9443,21900,45.2000,0
2009-05-29,5.1850,5.1850,5.1850,5.1850,25850,47.4000,20000
2009-06-01,5.4366,5.4366,5.4366,5.4366,61090,49.7000,0
2009-06-02,5.6882,5.6882,5.6882,5.6882,16350,52.0000,40000
2009-06-03,5.9617,5.9617,5.9617,5.9616,41500,54.5000,85000
2009-06-04,6.2351,6.2351,6.2351,6.2351,161220,57.0000,0
2009-06-05,6.5086,6.5086,6.5086,6.5086,500,59.5000,20000
2009-06-08,6.7821,6.7821,6.7821,6.7820,55600,62.0000,0
2009-06-09,7.1102,7.1102,7.1102,7.1102,166030,65.0000,0
2009-06-10,7.4384,7.4384,7.4384,7.4384,333800,68.0000,0
2009-06-11,7.7666,7.7666,7.6572,7.7665,909580,71.0000,0
2009-06-12,8.1494,8.1494,8.1494,8.1494,15670,74.5000,0
2009-06-15,8.5323,8.5323,8.4229,8.5323,858330,78.0000,0
2009-06-16,8.3135,8.5323,8.1494,8.1494,192300,74.5000,0
2009-06-17,7.7665,7.7665,7.7665,7.7665,87640,71.0000,0
2009-06-18,8.0947,8.0947,7.3836,7.4384,870410,68.0000,725810
2009-06-19,7.5478,7.5478,7.1102,7.2743,387420,66.5000,0
2009-06-22,6.9461,7.0008,6.9461,6.9461,331730,63.5000,23000
2009-06-23,6.6179,6.6179,6.6179,6.6180,193580,60.5000,0
2009-06-24,6.9462,6.9462,6.8915,6.9461,694930,63.5000,0
2009-06-25,7.1649,7.1649,6.6179,6.6180,337330,60.5000,0
2009-06-26,6.3445,6.7821,6.3445,6.5633,330390,60.0000,0
2009-06-29,6.6727,6.8915,6.6180,6.8914,297910,63.0000,0
2009-06-30,6.8914,6.8914,6.5632,6.5633,250170,60.0000,0
2009-07-01,6.2351,6.2351,6.2351,6.2351,261330,57.0000,0
2009-07-02,6.1257,6.3445,5.9616,6.1804,347590,56.5000,0
2009-07-03,5.9616,6.1257,5.9069,6.0163,329670,55.0000,0
2009-07-06,6.1257,6.2898,6.1257,6.2898,218360,57.5000,0
2009-07-07,6.2351,6.3992,6.1257,6.2898,153750,57.5000,0
2009-07-08,6.2898,6.5633,6.2898,6.5633,407630,60.0000,0
2009-07-09,6.7821,6.8915,6.6727,6.8914,399850,63.0000,0
2009-07-10,6.8914,6.8914,6.5632,6.5633,301710,60.0000,0
2009-07-13,6.5633,6.5633,6.2351,6.2351,166480,57.0000,0
2009-07-14,6.2351,6.2351,6.0163,6.0710,206630,55.5000,0
2009-07-15,6.1257,6.3445,6.0710,6.3445,155010,58.0000,0
2009-07-16,6.6180,6.6180,6.4539,6.5633,226180,60.0000,0
2009-07-17,6.3992,6.5086,6.2898,6.2898,109340,57.5000,0
2009-07-20,6.1257,6.1257,6.0163,6.0163,126180,55.0000,0
2009-07-21,6.0163,6.1804,5.9069,5.9616,105350,54.5000,0
2009-07-22,6.0163,6.0163,5.8522,5.9616,113980,54.5000,0
2009-07-23,5.8522,6.2351,5.7975,6.2351,125780,57.0000,0
2009-07-24,6.5086,6.5086,6.5086,6.5086,9480,59.5000,0
2009-07-27,6.7821,6.7821,6.7821,6.7820,74270,62.0000,0
2009-07-28,7.1102,7.1102,7.0008,7.0008,1179810,64.0000,0
2009-07-29,7.2196,7.2743,7.0008,7.1102,357910,65.0000,0
2009-07-30,6.8914,7.0555,6.8367,6.8914,153170,63.0000,0
2009-07-31,7.0555,7.2196,7.0008,7.2196,211700,66.0000,0
2009-08-03,7.2196,7.4384,7.0008,7.2196,218920,66.0000,0
2009-08-04,7.4384,7.4931,7.3290,7.4384,279050,68.0000,0
2009-08-05,7.3290,7.4931,7.2743,7.3837,250320,67.5000,0
2009-08-06,7.3837,7.4931,7.2196,7.2196,266100,66.0000,0
2009-08-07,7.1102,7.2743,7.1102,7.1102,155730,65.0000,0
2009-08-10,7.1102,7.4384,7.1102,7.3290,181020,67.0000,0
2009-08-11,7.2743,7.3837,7.2196,7.2743,91000,66.5000,0
2009-08-12,7.3837,7.4384,7.1649,7.1649,164290,65.5000,0
2009-08-13,7.3837,7.3837,7.2743,7.2743,175780,66.5000,0
2009-08-14,7.2743,7.3290,7.2743,7.2743,168930,66.5000,0
2009-08-17,7.2743,7.2743,7.0555,7.0555,98740,64.5000,0
2009-08-18,6.9461,7.0555,6.8914,7.0008,183000,64.0000,0
2009-08-19,7.1102,7.1649,7.0008,7.1102,153710,65.0000,0
2009-08-20,7.2196,7.2196,7.1102,7.1649,106110,65.5000,0
2009-08-21,7.4384,7.4931,7.3837,7.4931,812500,68.5000,0
2009-08-24,7.4931,7.7119,7.4384,7.6025,212470,69.5000,24500
2009-08-25,7.4931,7.6025,7.3837,7.4384,166120,68.0000,0
2009-08-26,7.4384,7.4931,7.3290,7.3290,137800,67.0000,0
2009-08-27,7.3290,7.3290,7.2196,7.2743,222860,66.5000,30000
2009-08-28,7.3837,7.3837,7.2743,7.3290,213540,67.0000,0
2009-08-31,7.5478,7.6572,7.4931,7.6572,588590,70.0000,0
2009-09-01,8.0401,8.0401,7.6572,8.0400,553420,73.5000,0
