date,open,high,low,close,volume,unadjusted,putthrough
2018-01-05,28.9321,29.3772,27.0775,29.3772,32205910,39.6000,0
2018-01-08,29.6739,29.6739,29.3772,29.4514,3321420,39.7000,15320003
2018-01-09,29.4514,29.5256,28.8579,29.4885,4537340,39.7500,5451600
2018-01-10,29.0805,29.8965,29.0063,29.8965,8726070,40.3000,3110000
2018-01-11,29.9707,31.5286,29.8965,31.5286,9874500,42.5000,1110003
2018-01-12,31.6028,33.7171,31.6028,33.7170,18714750,45.4500,1000000
2018-01-15,33.7541,33.9025,32.6413,33.7541,6559820,45.5000,2800000
2018-01-16,33.0864,33.5315,32.9752,33.3461,6271100,44.9500,2457000
2018-01-17,33.3090,33.3461,31.6769,31.6769,5794700,42.7000,3294550
2018-01-18,31.6027,32.6413,30.9351,32.6413,5371340,44.0000,1000000
2018-01-19,33.0122,34.1992,33.0122,33.5315,6728810,45.2000,430000
2018-01-22,33.2348,33.6799,32.8638,33.6057,4402360,45.3000,0
2018-01-25,33.7541,35.8312,33.3831,35.4604,10284390,47.8000,7383780
2018-01-26,35.4604,35.6830,34.3476,34.8669,5637470,47.0000,40230
2018-01-29,34.9411,35.2378,34.3476,34.9040,6592140,47.0500,0
2018-01-30,34.9040,34.9040,33.9025,34.8669,6121930,47.0000,20000
2018-01-31,34.7927,34.7927,34.1251,34.5701,5581950,46.6000,3300000
2018-02-01,34.5701,34.6443,33.9766,34.1250,3428660,46.0000,500000
2018-02-02,34.1250,34.1250,33.6057,34.1250,4567580,46.0000,0
2018-02-05,33.5315,33.8283,31.7511,31.8995,3353170,43.0000,2230000
2018-02-06,29.6740,30.6384,29.6740,30.4158,3906020,41.0000,400000
2018-02-07,31.4544,32.5301,31.3802,32.5301,4238270,43.8500,2800000
2018-02-08,32.5301,34.0138,32.2705,33.3090,4667920,44.9000,5690494
2018-02-09,32.4930,33.1606,31.2318,33.0864,3454800,44.6000,500000
2018-02-12,33.1606,34.8668,33.1235,34.4960,3436010,46.5000,1308030
2018-02-13,34.8298,34.8298,33.7542,34.5701,5066980,46.6000,197860
2018-02-21,34.7927,34.9410,33.7541,34.6443,3263200,46.7000,0
2018-02-22,34.2734,34.2734,33.3832,33.3832,2243860,45.0000,2400000
2018-02-23,33.3832,34.4960,32.9010,33.0493,2175420,44.5500,0
2018-02-26,33.0493,34.1250,32.3816,32.6413,2378080,44.0000,0
2018-02-27,33.0122,33.0864,31.7511,33.0123,1579540,44.5000,0
2018-02-28,32.6414,33.0123,31.8995,32.9381,2241390,44.4000,1000000
2018-03-01,32.1221,32.6414,32.0479,32.6042,2739770,43.9500,0
2018-03-02,32.2704,32.3075,32.0478,32.3075,1808640,43.5500,0
2018-03-05,32.3446,32.4188,31.8253,31.8995,2578830,43.0000,0
2018-03-06,31.8995,32.3075,31.7511,32.0479,2479350,43.2000,200000
2018-03-07,32.0479,32.5672,31.3061,31.5286,1357460,42.5000,1692646
2018-03-08,31.8995,32.2704,31.0093,31.5286,2182740,42.5000,0
2018-03-09,31.2319,32.1963,31.0835,31.5286,1018640,42.5000,1400000
2018-03-12,31.5286,31.8253,31.3060,31.5286,1427550,42.5000,0
2018-03-13,31.5286,31.5286,31.1948,31.3802,1687940,42.3000,0
2018-03-14,31.5286,32.8268,31.4544,32.6413,5974370,44.0000,2900000
2018-03-15,32.6413,33.0864,32.6413,33.0123,4347760,44.5000,0
2018-03-16,33.1607,33.2349,33.0123,33.2348,2863300,44.8000,0
2018-03-19,33.2348,33.6428,32.8639,33.5315,4333110,45.2000,8574400
2018-03-20,33.2719,33.3089,32.6413,32.6413,2666350,44.0000,0
2018-03-21,32.6413,32.7897,32.0107,32.2704,2119630,43.5000,0
2018-03-22,32.2704,32.6413,31.5286,31.5286,2881270,42.5000,300000
2018-03-23,31.1577,31.3060,30.3416,31.1576,2122680,42.0000,0
2018-03-26,30.4899,32.4187,30.4899,32.4188,3490240,43.7000,358000
2018-03-27,32.4188,33.3461,32.4188,33.2348,4513810,44.8000,0
2018-03-28,33.0864,33.7170,32.9752,33.7170,3904720,45.4500,0
2018-03-29,33.7541,34.3476,33.7170,34.1250,3603320,46.0000,0
2018-03-30,34.1250,34.1250,33.3832,34.0508,2358520,45.9000,2900000
2018-04-02,34.1250,34.1992,33.7541,33.8283,2317540,45.6000,0
2018-04-03,33.6799,33.9767,33.4945,33.8283,2115830,45.6000,0
2018-04-04,34.0509,34.5701,33.8283,34.4960,5350390,46.5000,712700
2018-04-05,34.4960,34.7186,34.2734,34.4589,2804190,46.4500,560000
2018-04-06,34.4589,34.4960,34.1993,34.4589,2975100,46.4500,1100000
2018-04-09,34.4960,36.1281,34.3476,36.1280,7770500,48.7000,4791780
2018-04-10,36.3506,37.5375,36.3506,37.5375,9215650,50.6000,2800000
2018-04-11,37.5375,37.6859,36.4989,37.1666,5630290,50.1000,870000
2018-04-12,36.7215,37.0182,36.3506,36.4248,2705590,49.1000,1720000
2018-04-13,36.7586,37.1666,36.4248,37.0924,3033930,50.0000,1205270
2018-04-16,37.0924,38.0568,36.4989,37.8343,2836140,51.0000,6830000
2018-04-17,38.2052,38.3536,37.5376,37.6859,1678660,50.8000,584000
2018-04-18,37.7601,38.8729,37.5375,38.4277,4624790,51.8000,2333300
2018-04-19,38.5019,38.5019,36.3505,36.4989,3452260,49.2000,4300000
2018-04-20,36.3505,37.1666,36.1280,37.1666,1802740,50.1000,1253000
2018-04-23,36.7215,36.8699,34.5701,34.5701,3902200,46.6000,2000000
2018-04-24,34.1250,34.4217,32.1591,33.3832,3013200,45.0000,210000
2018-04-26,33.3832,33.7541,31.0835,31.3060,3073110,42.2000,500000
2018-04-27,31.1576,31.9366,31.0093,31.7511,1706640,42.8000,0
2018-05-02,31.8253,31.8253,30.4158,31.1576,1017430,42.0000,483000
2018-05-03,30.7867,32.2704,30.4528,32.2704,2085150,43.5000,415000
2018-05-04,32.6413,32.6413,31.7511,31.8995,646170,43.0000,5630145
2018-05-07,32.2704,32.6413,31.5286,32.2704,1601930,43.5000,5639295
2018-05-08,32.2704,32.2704,31.8253,32.0479,1157790,43.2000,0
2018-05-09,31.8995,31.9737,31.1577,31.8253,525060,42.9000,300000
2018-05-10,31.8253,31.8253,29.6739,29.6739,961790,40.0000,0
2018-05-11,29.6739,30.7125,29.0062,30.7125,819170,41.4000,0
2018-05-14,30.7867,31.1576,29.8965,30.0449,550760,40.5000,0
2018-05-15,30.3416,30.6384,29.9336,30.3416,1347990,40.9000,300000
2018-05-16,30.3416,30.3416,29.5256,29.7852,999600,40.1500,43000
2018-05-17,30.0448,30.2674,29.8223,30.0449,701400,40.5000,1400000
2018-05-18,30.3416,30.7497,29.8223,30.0820,1552940,40.5500,0
2018-05-21,30.4158,30.6384,30.0449,30.4900,1746750,41.1000,0
2018-05-22,29.8223,30.1191,28.3757,28.9321,1406120,39.0000,0
2018-05-23,28.9321,29.1547,27.3000,27.9677,959240,37.7000,0
2018-05-24,28.1903,28.4128,26.0389,26.3356,2368050,35.5000,0
2018-05-25,26.3356,26.4840,25.4454,26.1502,2692400,35.2500,650000
2018-05-28,25.9647,25.9647,24.3327,24.3326,2696050,32.8000,500000
2018-05-29,25.2228,26.0018,24.8148,26.0018,3943980,35.0500,82560
2018-05-30,26.7066,27.7451,25.8905,27.2258,4462960,36.7000,200000
2018-05-31,26.8549,29.0062,26.8549,28.9321,1875240,39.0000,0
2018-06-01,29.3030,30.8980,28.7837,30.5642,2692760,41.2000,550000
2018-06-04,30.4900,31.8995,30.1191,31.8995,2343110,43.0000,182000
2018-06-05,31.8995,32.6413,31.6769,32.0479,2204580,43.2000,110000
2018-06-06,32.0479,32.2705,31.7512,32.0479,1099960,43.2000,408820
2018-06-07,31.9737,33.2349,31.8253,33.0864,1512020,44.6000,400000
2018-06-08,33.0122,33.1235,32.0478,32.1962,863640,43.4000,434510
2018-06-11,31.5285,31.7511,31.0834,31.0834,1676050,41.9000,324510
2018-06-12,30.7867,30.7867,28.9320,30.3416,2322470,40.9000,0
2018-06-13,30.3416,31.1576,30.3416,30.4158,377960,41.0000,0
2018-06-14,30.7867,30.7867,29.0805,29.0805,348610,39.2000,0
2018-06-15,29.0805,29.3772,28.3387,29.0063,1092080,39.1000,0
2018-06-18,28.5612,29.3030,27.0033,27.3000,1403380,36.8000,0
2018-06-19,25.6679,27.7451,25.6679,27.3000,3075220,36.8000,0
2018-06-20,25.4544,28.3766,25.4544,27.9147,932640,36.3000,514000
2018-06-21,28.0685,28.2992,27.6840,28.0685,406740,36.5000,0
2018-06-22,28.0685,28.7606,27.6840,28.7606,1144370,37.4000,0
2018-06-25,28.9913,29.0297,28.6068,28.6837,299190,37.3000,0
2018-06-26,27.6840,28.3376,27.6840,28.2992,427490,36.8000,0
2018-06-27,28.2992,28.7606,27.8378,27.8378,336910,36.2000,0
2018-06-28,27.6071,27.7609,26.5305,26.6074,757470,34.6000,0
2018-06-29,27.1457,27.7994,26.7612,27.7994,1234320,36.1500,80000
2018-07-02,27.7994,27.9917,26.8381,27.8378,862020,36.2000,0
2018-07-03,27.9147,28.0685,26.4536,26.6843,2350580,34.7000,170000
2018-07-04,26.1460,26.8381,25.8384,26.3767,1296750,34.3000,0
2018-07-05,26.6843,26.8381,24.9925,25.2232,1595010,32.8000,663500
2018-07-06,25.2232,26.9150,24.3004,26.9150,3135130,35.0000,200000
2018-07-09,26.9919,27.3764,26.8381,27.0688,1255590,35.2000,200000
2018-07-10,26.9150,27.7224,26.8381,26.9919,598240,35.1000,0
2018-07-11,26.5305,26.6074,25.1078,25.2232,1553920,32.8000,0
2018-07-12,25.2232,25.7615,24.9925,25.3770,1495050,33.0000,0
2018-07-13,25.3770,25.8384,25.3386,25.7231,1692220,33.4500,0
2018-07-16,25.8385,25.9538,25.5693,25.8000,1286340,33.5500,0
2018-07-17,25.8000,25.8000,25.2232,25.8000,1614890,33.5500,0
2018-07-18,25.8769,27.3380,25.8769,27.1073,2167560,35.2500,0
2018-07-19,27.1458,27.7610,26.9919,26.9919,1856420,35.1000,0
2018-07-20,26.9150,27.2226,26.1460,27.2226,1708540,35.4000,0
2018-07-23,26.9150,27.3379,26.7612,27.0688,1336380,35.2000,100000
2018-07-24,26.9150,27.0303,26.1460,26.1460,1170400,34.0000,0
2018-07-25,26.1460,26.5690,25.6077,25.7615,951530,33.5000,0
2018-07-26,25.7615,25.7999,24.9925,25.2232,1232550,32.8000,0
2018-07-27,25.8384,25.8384,25.3770,25.6846,804460,33.4000,0
2018-07-30,26.3767,27.0688,26.2229,27.0688,846700,35.2000,0
2018-07-31,27.0688,27.5687,26.4536,27.3764,1501400,35.6000,0
2018-08-01,27.4533,27.7609,27.3764,27.4918,2113740,35.7500,0
2018-08-02,27.4918,27.4918,26.7612,27.0688,1148030,35.2000,0
2018-08-03,27.1073,27.6840,26.9919,27.5687,2661080,35.8500,0
2018-08-06,27.5687,27.6841,27.2995,27.5687,1511810,35.8500,0
2018-08-07,27.5687,28.2224,27.4533,27.8378,2250840,36.2000,350000
2018-08-08,27.8762,28.2223,27.6840,28.0685,1205980,36.5000,0
2018-08-09,28.1454,28.4530,27.9916,27.9916,1752060,36.4000,0
2018-08-10,27.9916,28.5299,27.8378,28.5299,2193310,37.1000,400000
2018-08-13,28.5299,28.7606,28.2992,28.7606,1514640,37.4000,340000
2018-08-14,28.5683,28.8375,27.9916,28.7606,1311490,37.4000,0
2018-08-15,28.7606,29.0682,27.9147,28.0685,1012930,36.5000,0
2018-08-16,27.6840,28.4530,27.4533,28.1839,1176710,36.6500,375000
2018-08-17,28.2224,28.3762,27.6071,27.6071,937170,35.9000,300000
2018-08-20,27.6071,27.6456,26.5690,26.9150,1385060,35.0000,0
2018-08-21,26.9150,27.2995,26.8381,27.2995,1140970,35.5000,250000
2018-08-22,27.3379,27.8378,27.2995,27.6840,1105020,36.0000,0
2018-08-23,27.6840,27.8378,27.5302,27.6071,1091800,35.9000,0
2018-08-24,27.6071,27.7224,27.4533,27.6840,1640170,36.0000,1500000
2018-08-27,27.7224,27.7994,27.6071,27.6840,904340,36.0000,0
2018-08-28,27.6840,27.7994,27.6456,27.7225,1050000,36.0500,0
2018-08-29,27.7610,28.6069,27.6840,28.6068,2510990,37.2000,0
2018-08-30,28.6068,29.4142,28.5299,29.3758,2950700,38.2000,0
2018-08-31,29.3758,29.4142,29.0682,29.3374,1595260,38.1500,364410
2018-09-04,29.2220,29.2220,28.6837,28.7606,1424210,37.4000,0
2018-09-05,28.7606,28.8375,28.1070,28.4530,1248240,37.0000,0
2018-09-06,28.4530,28.5299,27.9147,28.0685,822860,36.5000,0
2018-09-07,28.0685,28.3376,27.9147,28.1839,1175460,36.6500,0
2018-09-10,28.1839,28.6069,28.1839,28.4530,935940,37.0000,400000
2018-09-11,28.5683,28.7606,28.4145,28.5299,1228580,37.1000,21800
2018-09-12,28.5683,28.8375,28.4915,28.5299,956470,37.1000,0
2018-09-13,28.5683,29.7218,28.5683,29.6834,3510820,38.6000,0
2018-09-14,29.6834,29.9525,29.4912,29.6834,1760330,38.6000,0
2018-09-17,29.6834,29.7603,29.4527,29.5296,1118330,38.4000,0
2018-09-18,29.2220,29.4142,28.9913,29.4143,1235490,38.2500,0
2018-09-19,29.4143,29.6835,29.4143,29.6065,1400510,38.5000,0
2018-09-20,29.6065,29.8757,29.4527,29.8757,1453330,38.8500,0
2018-09-21,29.9142,29.9526,29.3758,29.8757,1531720,38.8500,194700
2018-09-24,29.8757,30.2218,29.8757,29.9910,1568970,39.0000,0
2018-09-25,29.9910,30.0295,29.7987,29.9141,1583720,38.9000,0
2018-09-26,29.9141,29.9525,29.4527,29.6834,1776240,38.6000,0
2018-09-27,29.6834,29.8757,29.5680,29.6450,1612480,38.5500,459470
2018-09-28,29.6450,29.9526,29.6065,29.8757,1933300,38.8500,0
2018-10-01,29.8757,30.5678,29.8757,30.2986,2572230,39.4000,0
2018-10-02,30.2986,30.3755,30.0679,30.1448,1651980,39.2000,0
2018-10-03,30.1448,30.3755,30.0679,30.3371,1658100,39.4500,0
2018-10-04,30.3756,30.4909,29.3374,29.7988,2438910,38.7500,0
2018-10-05,29.7988,29.8757,29.2220,29.2220,1302170,38.0000,0
2018-10-08,28.9144,29.2220,28.4530,29.0682,1623300,37.8000,0
2018-10-09,29.0682,29.2220,28.8375,28.9913,1567140,37.7000,0
2018-10-10,28.9913,29.1451,28.8375,29.0682,1622700,37.8000,0
2018-10-11,28.4530,28.4530,27.1457,27.7609,1148170,36.1000,0
2018-10-12,27.5302,28.1838,27.3764,28.0685,1451810,36.5000,0
2018-10-15,28.0685,28.1070,26.7996,27.2995,1388600,35.5000,0
2018-10-16,27.2995,28.4530,26.9919,28.4530,1748130,37.0000,0
2018-10-17,28.4530,28.7606,28.4530,28.5684,1543500,37.1500,0
2018-10-18,28.5684,28.5684,28.0685,28.4146,1439970,36.9500,0
2018-10-19,28.0685,28.0685,27.5302,27.9147,1584310,36.3000,0
2018-10-22,27.9147,28.3376,27.9147,28.0685,1527490,36.5000,0
2018-10-23,27.6840,28.0685,27.3764,27.6840,1139000,36.0000,962430
2018-10-24,27.6840,27.8762,26.9150,26.9150,2303360,35.0000,0
2018-10-25,26.1460,26.5305,26.1460,26.3767,2373490,34.3000,0
2018-10-26,26.4920,27.0303,26.3767,26.4536,2942910,34.4000,600000
2018-10-29,26.4536,26.6458,25.7615,26.2229,1778800,34.1000,0
2018-10-30,26.2229,26.4152,25.3770,25.5308,1712920,33.2000,180000
2018-10-31,25.5693,25.7231,24.6849,25.2232,2159860,32.8000,420000
2018-11-01,25.2232,25.5308,25.1848,25.2617,1827130,32.8500,0
2018-11-02,25.3386,25.8385,25.3386,25.7615,3382980,33.5000,0
2018-11-05,25.7615,25.8384,25.0694,25.6846,2500890,33.4000,0
2018-11-06,25.6846,25.7231,25.2232,25.2617,1838820,32.8500,1266650
2018-11-07,24.9925,25.7231,24.9925,25.5308,2098090,33.2000,0
2018-11-08,25.5693,25.8384,25.4539,25.5308,2025730,33.2000,0
2018-11-09,25.3770,25.5693,25.1463,25.2232,1871680,32.8000,0
2018-11-12,25.2232,25.2232,24.5311,24.6080,1842290,32.0000,410000
2018-11-13,24.3004,24.3004,23.0700,23.0700,1993330,30.0000,3000000
2018-11-14,23.1085,23.7621,21.9165,22.1472,1979430,28.8000,0
2018-11-15,22.2626,22.2626,21.1475,21.5320,2278550,28.0000,3000000
2018-11-16,21.7243,23.0315,21.5705,23.0316,3333630,29.9500,600000
2018-11-19,23.2239,24.1082,23.2239,23.7621,2280300,30.9000,20000
2018-11-20,23.3776,23.4545,23.0700,23.4161,1090170,30.4500,2870000
2018-11-21,22.8393,23.2623,22.7240,23.2623,1449600,30.2500,5992188
2018-11-22,23.3008,23.8775,23.1085,23.6852,1664180,30.8000,13615000
2018-11-23,23.6852,23.7236,23.3007,23.3007,1370910,30.3000,0
2018-11-26,23.3007,23.5314,22.8393,23.4545,1255750,30.5000,0
2018-11-27,23.4545,23.6083,23.0700,23.2238,1472370,30.2000,0
2018-11-28,23.2238,23.3392,23.0700,23.3392,1560030,30.3500,0
2018-11-29,23.4546,23.7622,23.1854,23.2623,1592500,30.2500,0
