date,open,high,low,close,volume,unadjusted,putthrough
2010-02-02,6.9471,6.9471,6.9471,6.9471,5520,103.0000,0
2010-02-03,7.2843,7.2843,7.2843,7.2843,10140,108.0000,0
2010-02-04,7.6215,7.6215,7.6215,7.6216,11690,113.0000,0
2010-02-05,7.7565,7.9588,7.7565,7.9588,269750,118.0000,0
2010-02-08,7.7565,7.8914,7.6216,7.7564,74810,115.0000,0
2010-02-09,7.7564,7.7564,7.4192,7.4192,44920,110.0000,0
2010-02-10,7.2843,7.4192,7.2169,7.2843,162280,108.0000,0
2010-02-11,7.2169,7.4866,7.0820,7.2843,60500,108.0000,0
2010-02-12,7.4192,7.6215,7.4192,7.6216,52600,113.0000,0
2010-02-22,7.8239,7.8914,7.6216,7.8239,12690,116.0000,0
2010-02-23,7.5541,7.7565,7.4867,7.4867,61590,111.0000,0
2010-02-24,7.5541,7.6216,7.4193,7.5541,23840,112.0000,0
2010-02-25,7.6890,7.8239,7.4867,7.6216,28790,113.0000,0
2010-02-26,7.6890,7.6890,7.5542,7.6216,42360,113.0000,0
2010-03-01,7.7565,7.7565,7.6216,7.6890,31430,114.0000,0
2010-03-02,7.7564,7.8239,7.6890,7.6890,64440,114.0000,0
2010-03-03,7.7564,7.8913,7.6890,7.8913,100070,117.0000,0
2010-03-04,8.0936,8.0936,7.9587,7.9588,29400,118.0000,0
2010-03-05,7.9588,8.2960,7.9588,8.2960,125640,123.0000,0
2010-03-08,8.4309,8.7007,8.2960,8.6333,39760,128.0000,0
2010-03-09,8.6333,8.6333,8.4984,8.4984,40470,126.0000,0
2010-03-10,8.4984,8.9031,8.4984,8.8356,153290,131.0000,0
2010-03-11,8.9705,9.2403,8.9030,9.2403,86700,137.0000,0
2010-03-12,9.5775,9.6450,9.2403,9.6450,135890,143.0000,0
2010-03-15,9.8473,10.1171,9.8473,10.1171,100270,150.0000,0
2010-03-16,9.9822,10.3194,9.7124,10.0497,135810,149.0000,0
2010-03-17,10.3195,10.3195,9.9823,9.9822,90920,148.0000,0
2010-03-18,9.9822,10.1845,9.7799,10.1846,70030,151.0000,0
2010-03-19,10.2520,10.2520,9.9823,9.9822,66350,148.0000,0
2010-03-22,9.8473,9.8473,9.5101,9.5775,123570,142.0000,0
2010-03-23,9.5101,9.5775,9.1054,9.1728,191400,136.0000,0
2010-03-24,9.2402,9.5775,9.2402,9.5775,189240,142.0000,0
2010-03-25,9.3752,9.7798,9.2403,9.5775,80310,142.0000,0
2010-03-26,9.5775,9.7124,9.5101,9.7124,56800,144.0000,0
2010-03-29,9.7124,9.9822,9.6450,9.9148,57820,147.0000,0
2010-03-30,9.6450,9.9148,9.4427,9.4426,103050,140.0000,0
2010-03-31,9.4426,9.7124,9.3752,9.3752,51530,139.0000,75000
2010-04-01,9.4426,9.6450,9.3752,9.6450,53340,143.0000,20000
2010-04-02,9.8473,10.1171,9.8473,10.1171,259190,150.0000,0
2010-04-05,10.4543,10.4543,10.0497,10.4543,177200,155.0000,0
2010-04-06,10.4543,10.6566,10.3869,10.3869,132400,154.0000,0
2010-04-07,10.4543,10.5218,10.1846,10.4543,160400,155.0000,0
2010-04-08,10.5217,10.5892,10.4543,10.5218,146000,156.0000,0
2010-04-09,10.5892,10.9939,10.5218,10.9939,278650,163.0000,32400
2010-04-12,11.5029,11.5029,11.5029,11.5032,2050,113.0000,0
2010-04-13,11.9104,12.0122,11.7068,11.7068,373110,115.0000,0
2010-04-14,11.9104,11.9104,11.4014,11.4014,103990,112.0000,0
2010-04-15,11.4014,11.5032,11.0960,11.2996,142690,111.0000,0
2010-04-16,11.2996,11.8086,11.2996,11.7068,149110,115.0000,0
2010-04-19,11.6050,11.7068,11.4014,11.4014,104310,112.0000,0
2010-04-20,11.4014,11.6050,10.9942,10.9942,57970,108.0000,0
2010-04-21,11.4014,11.4014,10.9942,11.4014,36500,112.0000,0
2010-04-22,11.6050,11.6050,11.2996,11.2996,55010,111.0000,0
2010-04-26,11.5032,11.5032,11.2996,11.2996,49300,111.0000,0
2010-04-27,11.2996,11.5032,11.1978,11.1978,65390,110.0000,0
2010-04-28,11.0960,11.4014,11.0960,11.2996,56590,111.0000,0
2010-04-29,11.5032,11.8086,11.5032,11.7068,180150,115.0000,0
2010-05-04,12.0122,12.0122,11.7068,11.8086,136420,116.0000,0
2010-05-05,11.5032,11.9104,11.5032,11.6050,90530,114.0000,0
2010-05-06,11.7068,11.7068,11.5032,11.5032,73810,113.0000,0
2010-05-07,11.2996,11.4014,11.0960,11.0960,153740,109.0000,0
2010-05-10,11.0960,11.0960,10.7906,10.9942,86080,108.0000,0
2010-05-11,11.0960,11.0960,10.8924,10.8924,99270,107.0000,0
2010-05-12,10.8924,10.9942,10.6888,10.6888,185140,105.0000,0
2010-05-13,11.0960,11.0960,10.6888,10.6888,68310,105.0000,20000
2010-05-14,10.6888,10.8924,10.6888,10.6888,58940,105.0000,0
2010-05-17,10.4852,10.5870,10.3834,10.4852,75470,103.0000,0
2010-05-18,10.3834,10.3834,10.0780,10.1798,130210,100.0000,0
2010-05-19,10.4852,10.4852,10.0271,10.0271,86030,98.5000,0
2010-05-20,9.8235,10.4852,9.8235,10.4852,104780,103.0000,0
2010-05-21,9.9762,10.1289,9.9762,9.9762,123020,98.0000,0
2010-05-24,10.0780,10.0780,9.7726,10.0271,14260,98.5000,0
2010-05-25,9.9762,10.0271,9.8744,9.9762,46120,98.0000,0
2010-05-26,10.1798,10.1798,9.9253,10.1289,24050,99.5000,0
2010-05-27,10.2816,10.2816,9.9762,10.0780,23800,99.0000,0
2010-05-28,10.0780,10.4852,10.0271,10.4852,127330,103.0000,0
2010-05-31,10.0271,10.2816,10.0271,10.1798,31050,100.0000,0
2010-06-01,10.2816,10.2816,10.1798,10.1798,9160,100.0000,0
2010-06-02,10.1798,10.1798,9.9762,10.1798,10550,100.0000,0
2010-06-03,10.1798,10.1798,10.0780,10.0780,31420,99.0000,0
2010-06-04,10.1289,10.1289,9.9762,9.9762,9530,98.0000,0
2010-06-07,9.9762,10.0780,9.8235,9.8744,24560,97.0000,25000
2010-06-08,9.7217,9.9762,9.7217,9.8744,13930,97.0000,0
2010-06-09,9.8744,10.0780,9.8235,9.9762,18710,98.0000,0
2010-06-10,10.0780,10.0780,10.0780,10.0780,20,99.0000,0
2010-06-11,10.0780,10.0780,9.9762,10.0271,24260,98.5000,0
2010-06-14,9.9253,10.1289,9.9253,10.0780,23530,99.0000,0
