date,open,high,low,close,volume,unadjusted,putthrough
2009-06-25,9.0925,9.0925,8.1948,8.3975,10600,29.0000,0
2009-06-26,8.3975,8.3975,7.6157,7.6446,9870,26.4000,0
2009-06-29,7.2392,8.3975,6.8917,6.8918,12546,23.8000,0
2009-06-30,6.3706,6.6601,6.3706,6.3705,17201,22.0000,0
2009-07-01,5.7335,5.7914,5.7335,5.7335,39225,19.8000,0
2009-07-02,5.1833,5.7914,5.1833,5.7914,14996,20.0000,0
2009-07-03,6.2258,6.3126,6.2258,6.2257,4200,21.5000,0
2009-07-06,6.8338,6.8338,6.8338,6.8338,5528,23.6000,0
2009-07-07,6.6021,6.8338,6.6021,6.8338,300,23.6000,0
2009-07-08,6.8048,6.8048,6.6601,6.6601,5150,23.0000,0
2009-07-09,6.3705,6.6601,6.3705,6.6601,11137,23.0000,0
2009-07-10,6.3705,7.0076,6.3705,7.0076,25792,24.2000,0
2009-07-13,7.2393,7.3261,6.9497,7.0945,2826,24.5000,0
2009-07-14,7.2393,7.2393,6.9497,7.1234,8730,24.6000,0
2009-07-15,6.7180,7.5288,6.7180,7.2392,14162,25.0000,0
2009-07-16,7.5288,7.6736,7.2392,7.6736,17860,26.5000,0
2009-07-17,7.2392,7.2392,7.0945,7.2392,14400,25.0000,0
2009-07-20,6.9496,6.9496,6.8048,6.8049,14282,23.5000,0
2009-07-21,7.2393,7.2393,7.2393,7.2392,1200,25.0000,0
2009-07-22,7.9631,7.9631,6.5442,6.5443,20,22.6000,0
2009-07-23,6.7470,7.3841,6.7470,7.3840,4000,25.5000,0
2009-07-24,7.5288,8.0211,6.5732,8.0211,45884,27.7000,0
2009-07-27,8.6582,8.6582,8.3686,8.6581,44202,29.9000,0
2009-07-28,7.8184,7.9052,7.8184,7.9053,25176,27.3000,0
2009-07-29,8.3976,8.3976,7.4709,7.4709,3580,25.8000,0
2009-07-30,7.7605,7.7605,7.2682,7.6446,5900,26.4000,0
2009-07-31,8.1658,8.1658,7.5577,8.1659,1870,28.2000,0
2009-08-03,7.9632,7.9632,7.9632,7.9632,200,27.5000,0
2009-08-04,8.7450,8.7450,7.5868,8.3975,35571,29.0000,0
2009-08-05,9.0635,9.0635,8.3975,8.6871,57718,30.0000,0
2009-08-06,9.4400,9.4400,8.5423,8.6002,10932,29.7000,0
2009-08-07,8.1079,8.1079,7.9631,7.9632,730,27.5000,0
2009-08-10,8.7450,8.7450,8.1080,8.1080,656,28.0000,0
2009-08-11,8.2528,8.5424,8.2528,8.5423,16184,29.5000,0
2009-08-12,7.8184,8.5423,7.8184,8.5423,37550,29.5000,0
2009-08-13,8.6292,8.6292,8.6292,8.6292,937,29.8000,0
