date,open,high,low,close,volume,unadjusted,putthrough
2013-03-26,3.3427,3.3427,3.2480,3.3427,80000,24.7000,0
2013-03-27,3.6675,3.6675,3.6675,3.6675,7500,27.1000,0
2013-03-28,4.0329,4.0329,4.0329,4.0329,18000,29.8000,0
2013-03-29,4.3171,4.3983,3.7216,4.0599,100200,30.0000,0
2013-04-01,3.7892,4.1546,3.7757,4.1547,23500,30.7000,0
2013-04-02,3.8705,3.9246,3.8434,3.8434,11900,28.4000,0
2013-04-03,3.7893,3.7893,3.4780,3.5186,37800,26.0000,0
2013-04-04,3.6404,3.6404,3.4645,3.4780,15800,25.7000,0
2013-04-05,3.4509,3.4915,3.2479,3.3021,32700,24.4000,0
2013-04-08,3.2480,3.2480,3.0179,3.1397,40600,23.2000,0
2013-04-09,3.1532,3.4645,3.1532,3.4645,21000,25.6000,0
2013-04-10,3.4780,3.4780,3.3427,3.4374,26900,25.4000,0
2013-04-11,3.2479,3.3833,3.1803,3.3562,6300,24.8000,0
2013-04-12,3.2479,3.3427,3.1803,3.3427,23000,24.7000,0
2013-04-15,3.0720,3.0856,3.0314,3.0720,7700,22.7000,0
2013-04-16,3.0991,3.1803,3.0991,3.1803,13000,23.5000,0
2013-04-17,3.1803,3.2886,3.1397,3.2344,13600,23.9000,0
2013-04-18,3.2750,3.2750,3.1397,3.1397,7400,23.2000,0
2013-04-22,3.1803,3.2480,3.1803,3.2344,8400,23.9000,0
2013-04-23,3.2479,3.2885,3.2344,3.2750,16900,24.2000,0
2013-04-24,3.2615,3.3021,3.2344,3.2750,6300,24.2000,0
2013-04-25,3.2750,3.3833,3.2615,3.3292,26600,24.6000,0
2013-04-26,3.3292,3.4916,3.2886,3.4780,45300,25.7000,0
2013-05-02,3.4915,3.6810,3.4915,3.6675,54800,27.1000,0
2013-05-03,3.7081,3.9652,3.7081,3.8299,23200,28.3000,0
2013-05-06,3.8434,3.8434,3.5728,3.5863,129700,26.5000,0
2013-05-07,3.5728,3.6134,3.3833,3.4645,137300,25.6000,0
2013-05-08,3.5186,3.7352,3.4374,3.6946,28300,27.3000,0
2013-05-09,3.7217,3.7217,3.5051,3.5186,44800,26.0000,0
2013-05-10,3.6269,3.7893,3.5186,3.7622,121600,27.8000,0
2013-05-13,3.7216,3.9246,3.7216,3.8164,96000,28.2000,0
2013-05-14,3.8976,4.2089,3.8976,4.2088,145600,31.1000,0
2013-05-15,4.0599,4.5336,4.0599,4.4930,83900,33.2000,0
2013-05-16,4.5201,4.7366,4.3306,4.5742,93200,33.8000,0
2013-05-17,4.3983,4.5201,4.3035,4.3171,117800,31.9000,0
2013-05-20,4.3306,4.4660,4.3171,4.4389,33700,32.8000,0
2013-05-21,4.5607,4.5607,4.2359,4.2494,95400,31.4000,0
2013-05-22,4.2900,4.5065,4.2900,4.3306,51700,32.0000,0
2013-05-23,4.3577,4.3577,4.2629,4.3171,41400,31.9000,0
2013-05-24,4.3306,4.3306,4.1276,4.1682,96300,30.8000,0
2013-05-27,4.2629,4.5336,4.2629,4.4524,67800,32.9000,0
2013-05-28,4.5336,4.5607,4.4524,4.5607,81900,33.7000,0
2013-05-29,4.5742,4.6013,4.4660,4.5201,53300,33.4000,0
2013-05-30,4.4795,4.5742,4.4524,4.5201,71700,33.4000,0
2013-05-31,4.5742,4.9532,4.5742,4.8719,110100,36.0000,0
2013-06-03,4.8042,4.8719,4.7366,4.8043,22500,35.5000,0
2013-06-04,4.8043,4.8043,4.4930,4.5877,57000,33.9000,0
2013-06-05,4.6283,4.7095,4.5471,4.6013,72000,34.0000,0
2013-06-06,4.6419,4.6960,4.5607,4.6419,26900,34.3000,0
2013-06-07,4.9396,5.0073,4.6960,4.8449,70800,35.8000,0
2013-06-10,4.9396,4.9802,4.8314,4.8719,111500,36.0000,0
2013-06-11,4.8584,4.8990,4.7772,4.8043,72100,35.5000,0
2013-06-12,4.8043,4.8043,4.7366,4.7907,39400,35.4000,0
2013-06-13,4.8178,4.8178,4.7366,4.8043,49900,35.5000,30000
2013-06-14,4.7908,4.8720,4.7637,4.7907,48700,35.4000,0
2013-06-17,4.7907,4.8313,4.6148,4.6148,53900,34.1000,0
2013-06-18,4.6825,4.6825,4.6013,4.6419,30600,34.3000,0
2013-06-19,4.8171,4.8317,4.6565,4.6710,12300,32.0000,0
2013-06-20,4.6418,4.6418,4.4520,4.5834,26500,31.4000,0
2013-06-21,4.4520,4.4520,4.3644,4.4520,24700,30.5000,0
2013-06-24,4.4082,4.4082,4.2914,4.3061,19000,29.5000,0
2013-06-25,4.3791,4.3791,3.9996,4.1309,36600,28.3000,0
2013-06-26,4.0871,4.0871,4.0141,4.0871,7100,28.0000,20000
2013-06-27,4.1601,4.3061,4.1309,4.2623,11200,29.2000,0
2013-06-28,4.3499,4.3499,4.2039,4.2185,8500,28.9000,0
2013-07-01,4.1747,4.3061,3.9412,4.2185,53400,28.9000,0
2013-07-02,4.1163,4.2039,4.1163,4.1601,8300,28.5000,0
2013-07-03,4.3061,4.3061,4.1601,4.1601,3800,28.5000,0
2013-07-04,4.1455,4.2039,4.1455,4.2039,2200,28.8000,0
2013-07-05,4.2039,4.2039,4.0871,4.0871,8700,28.0000,0
2013-07-08,4.2039,4.2039,4.0141,4.0871,24500,28.0000,0
2013-07-09,4.1309,4.1601,4.0579,4.1017,23500,28.1000,0
2013-07-10,4.0579,4.1163,4.0579,4.1017,11400,28.1000,0
2013-07-11,4.0725,4.1309,4.0725,4.1017,5800,28.1000,0
2013-07-12,4.1163,4.3061,4.1163,4.2477,22400,29.1000,0
2013-07-15,4.3061,4.3061,4.2331,4.2915,17800,29.4000,0
2013-07-16,4.3353,4.5396,4.2331,4.5396,34800,31.1000,0
2013-07-17,4.4958,4.4958,4.4374,4.4958,3900,30.8000,0
2013-07-18,4.3352,4.3790,4.3060,4.3645,16600,29.9000,0
2013-07-19,4.3061,4.3499,4.2915,4.3353,3500,29.7000,0
2013-07-22,4.4083,4.4083,4.3207,4.3207,9500,29.6000,0
2013-07-23,4.3061,4.3061,4.1601,4.2623,17200,29.2000,0
2013-07-24,4.1893,4.2331,4.1455,4.1455,20400,28.4000,0
2013-07-25,4.1309,4.1455,4.0579,4.0871,22800,28.0000,0
2013-07-26,4.0433,4.0871,4.0141,4.0141,13200,27.5000,0
2013-07-29,3.9849,4.0871,3.9849,4.0141,13700,27.5000,0
2013-07-30,3.9849,4.0725,3.9849,4.0141,5000,27.5000,0
2013-07-31,4.0141,4.0141,4.0141,4.0141,11300,27.5000,0
2013-08-01,3.9849,4.0141,3.9849,4.0141,1900,27.5000,0
2013-08-02,4.0141,4.0433,3.9995,4.0433,6100,27.7000,0
2013-08-05,3.9703,4.0141,3.9703,3.9995,3500,27.4000,0
2013-08-06,4.0287,4.0871,3.9995,4.0871,8000,28.0000,0
2013-08-07,4.0433,4.0871,4.0433,4.0725,8200,27.9000,0
2013-08-08,4.0579,4.0579,4.0141,4.0141,20400,27.5000,0
2013-08-09,3.9849,4.0725,3.9849,4.0725,7300,27.9000,0
2013-08-12,4.0287,4.0287,4.0141,4.0141,6100,27.5000,0
2013-08-13,4.0433,4.1163,4.0141,4.0141,29100,27.5000,0
2013-08-14,4.0287,4.2185,4.0287,4.2185,33000,28.9000,0
2013-08-15,4.2185,4.2185,4.1309,4.1309,5500,28.3000,0
2013-08-16,4.1017,4.1163,4.0871,4.1163,2100,28.2000,0
2013-08-19,4.0871,4.2331,4.0871,4.1309,8100,28.3000,0
2013-08-20,4.1455,4.2477,4.1455,4.1601,11400,28.5000,0
2013-08-21,4.1017,4.1163,4.0871,4.1163,4400,28.2000,0
2013-08-22,4.2331,4.5250,4.2331,4.4520,68000,30.5000,0
2013-08-23,4.4812,4.4812,4.3060,4.3791,25100,30.0000,0
2013-08-26,4.4229,4.7148,4.4229,4.7148,57900,32.3000,0
2013-08-27,4.7148,4.7148,4.5834,4.6564,38700,31.9000,0
2013-08-28,4.6564,4.6710,4.4229,4.4229,23300,30.3000,0
2013-08-29,4.3791,4.5251,4.3791,4.3791,13200,30.0000,0
2013-08-30,4.4521,4.4959,4.3499,4.4958,12000,30.8000,0
2013-09-03,4.5250,4.5250,4.3936,4.3937,8300,30.1000,0
2013-09-04,4.3791,4.3937,4.3353,4.3791,14500,30.0000,0
