date,open,high,low,close,volume,unadjusted,putthrough
2016-10-05,9.3266,12.5349,8.9535,8.9535,78800,12.0000,0
2016-10-06,8.9535,9.1773,7.9089,7.9090,19700,10.6000,0
2016-10-07,8.9536,9.4013,7.2375,7.3121,500,9.8000,0
2016-10-10,7.3121,7.3121,7.1629,7.1628,16200,9.6000,0
2016-10-11,6.1928,6.1928,6.1928,6.1929,5100,8.3000,0
2016-10-12,7.0883,7.0883,7.0883,7.0882,2900,9.5000,0
2016-10-13,8.1328,8.1328,8.0582,8.0582,9940,10.8000,0
2016-10-14,8.2074,8.2074,8.2074,8.2074,108,11.0000,0
2016-10-17,7.8343,7.8343,7.0136,7.0136,22400,9.4000,0
2016-10-18,7.6105,8.0582,7.6105,8.0582,7640,10.8000,0
2016-10-19,7.4613,8.9536,7.0882,8.9535,30200,12.0000,0
2016-10-20,7.4612,9.1773,7.4612,9.1774,13000,12.3000,0
2016-10-21,7.8344,9.4012,7.8344,9.4012,10100,12.6000,0
2016-10-24,9.6997,9.6997,8.8789,8.8789,3000,11.9000,0
2016-10-25,8.9535,9.5504,8.9535,8.9535,3000,12.0000,0
2016-10-26,9.2520,9.4758,7.9835,8.5805,4700,11.5000,0
2016-10-27,8.9536,9.6997,8.2820,9.0282,42900,12.1000,0
2016-10-31,8.8790,10.0728,8.7298,10.0727,42608,13.5000,0
2016-11-01,8.5804,8.8043,8.5804,8.8043,6800,11.8000,0
2016-11-02,8.9535,8.9535,8.2074,8.2074,1800,11.0000,0
2016-11-03,8.2074,8.2074,8.2074,8.2074,2000,11.0000,0
2016-11-04,8.2074,8.2074,7.4613,7.8344,5400,10.5000,0
2016-11-07,7.6852,7.8344,7.6852,7.8344,3900,10.5000,0
2016-11-08,7.7598,7.7598,7.4613,7.4613,2200,10.0000,0
2016-11-09,6.4913,6.4913,6.4913,6.4913,100,8.7000,0
2016-11-10,7.4613,7.4613,7.1628,7.1628,1200,9.6000,0
2016-11-11,6.3421,7.8343,6.3421,7.8344,200,10.5000,0
2016-11-15,7.2374,7.2374,7.2374,7.2375,100,9.7000,0
2016-11-16,7.9090,7.9090,7.9090,7.9090,100,10.6000,0
2016-11-17,7.9836,7.9836,7.9836,7.9836,2100,10.7000,0
2016-11-21,7.8344,7.8344,7.8344,7.8344,500,10.5000,0
2016-11-22,7.4613,7.4613,7.4613,7.4613,1200,10.0000,0
2016-11-23,7.4613,7.4613,7.4613,7.4613,6400,10.0000,0
2016-11-25,7.4613,7.4613,7.0882,7.0882,2200,9.5000,0
2016-11-28,8.2820,8.2820,7.4613,7.4613,4700,10.0000,0
2016-11-29,8.9536,8.9536,6.7898,7.1628,8000,9.6000,0
2016-11-30,7.8343,9.3266,7.8343,9.3266,43700,12.5000,0
2016-12-01,7.6105,8.6551,7.6105,8.0582,6100,10.8000,0
2016-12-02,8.0582,8.2074,8.0582,8.2074,3500,11.0000,0
2016-12-05,7.9836,7.9836,7.9836,7.9836,300,10.7000,0
2016-12-06,7.9836,7.9836,7.9836,7.9836,1000,10.7000,0
2016-12-07,8.0582,8.0582,8.0582,8.0582,900,10.8000,0
2016-12-08,7.3867,7.4613,7.0882,7.4613,30300,10.0000,0
2016-12-09,7.4613,7.4613,7.4613,7.4613,300,10.0000,0
2016-12-13,7.4613,7.4613,6.8644,6.8644,2800,9.2000,0
2016-12-14,7.9090,7.9090,7.4613,7.4613,5700,10.0000,0
2016-12-16,7.4613,7.4613,7.1629,7.4613,3200,10.0000,0
2016-12-21,7.8344,7.8344,7.8344,7.8344,100,10.5000,0
2016-12-26,8.4313,8.5805,8.4313,8.5805,5000,11.5000,0
2016-12-29,8.0490,9.3398,7.9730,7.9730,26600,10.5000,0
2016-12-30,7.4415,8.7323,7.4415,8.7324,26700,11.5000,0
2017-01-03,7.5934,7.5934,7.5934,7.5934,5000,10.0000,0
2017-01-04,7.9731,7.9731,7.9731,7.9730,100,10.5000,0
2017-01-10,7.2137,7.2137,7.2137,7.2137,1100,9.5000,0
2017-01-16,7.2137,7.2137,7.2137,7.2137,100,9.5000,0
2017-01-23,7.5934,7.5934,6.8340,7.2137,16015,9.5000,0
2017-01-24,7.2137,7.2137,7.2137,7.2137,4500,9.5000,0
2017-01-25,8.2008,8.2008,8.2008,8.2008,100,10.8000,0
2017-02-06,7.2896,7.2896,7.2137,7.2137,230,9.5000,0
2017-02-07,7.2896,7.2896,7.2137,7.2137,1100,9.5000,0
2017-02-09,7.5174,7.5174,7.5174,7.5174,100,9.9000,0
2017-02-13,7.5174,7.5174,7.5174,7.5174,200,9.9000,0
2017-02-17,7.3655,7.3655,7.3655,7.3656,400,9.7000,0
2017-02-23,8.3527,8.3527,8.3527,8.3527,100,11.0000,0
2017-02-27,7.2137,7.2137,7.2137,7.2137,3100,9.5000,0
2017-02-28,7.2896,7.2896,7.2896,7.2896,100,9.6000,0
2017-03-03,6.9099,6.9099,6.8340,6.8340,1700,9.0000,0
2017-03-06,6.8340,6.8340,6.8340,6.8340,800,9.0000,0
2017-03-08,6.8340,6.8340,6.8340,6.8340,500,9.0000,0
2017-03-09,6.8340,6.8340,6.4543,6.4544,11100,8.5000,0
2017-03-10,6.8341,6.8341,6.8341,6.8340,1200,9.0000,0
2017-03-13,6.8340,6.8340,6.8340,6.8340,800,9.0000,0
2017-03-14,7.5174,7.5174,7.5174,7.5174,100,9.9000,0
2017-03-17,6.8340,7.5174,6.8340,7.5174,7600,9.9000,0
2017-03-20,6.8340,6.8340,6.8340,6.8340,5000,9.0000,0
2017-03-21,7.3655,7.3655,7.3655,7.3656,100,9.7000,0
2017-03-22,6.8341,6.8341,6.8341,6.8340,3100,9.0000,0
2017-03-23,6.8340,6.8340,6.8340,6.8340,5377,9.0000,0
2017-03-24,6.8340,6.8340,6.8340,6.8340,9000,9.0000,0
2017-03-27,6.8340,6.8340,6.8340,6.8340,1000,9.0000,0
2017-03-28,7.2137,7.2137,7.2137,7.2137,100,9.5000,0
2017-03-29,6.8340,6.8340,6.8340,6.8340,300,9.0000,0
2017-03-31,7.4415,7.4415,7.4415,7.4415,100,9.8000,0
2017-04-03,6.8340,6.8340,6.8340,6.8340,1000,9.0000,0
2017-04-04,6.8340,6.8340,6.8340,6.8340,1700,9.0000,0
2017-04-05,6.8340,6.8340,6.8340,6.8340,300,9.0000,0
2017-04-07,6.8340,6.8340,6.8340,6.8340,600,9.0000,0
2017-04-10,6.9099,6.9099,6.9099,6.9100,100,9.1000,0
2017-04-11,6.8341,6.8341,6.8341,6.8340,14500,9.0000,0
2017-04-12,6.8340,6.8340,6.8340,6.8340,6100,9.0000,0
2017-04-13,6.8340,6.8340,6.8340,6.8340,1000,9.0000,0
2017-04-17,6.8340,6.8340,6.8340,6.8340,1000,9.0000,0
2017-04-18,6.8340,6.8340,6.8340,6.8340,2200,9.0000,0
2017-04-19,6.8340,6.8340,6.8340,6.8340,2800,9.0000,0
2017-04-20,6.8340,6.8340,6.8340,6.8340,1000,9.0000,0
2017-04-21,5.8469,5.8469,5.8469,5.8469,100,7.7000,0
2017-04-24,5.6950,6.6822,5.6950,6.6822,200,8.8000,0
2017-04-25,5.9229,5.9229,5.9229,5.9228,1300,7.8000,0
2017-04-26,6.4543,6.7581,6.4543,6.7581,200,8.9000,0
2017-04-27,6.8340,7.5934,6.4544,7.5934,5700,10.0000,0
2017-04-28,7.5934,7.5934,6.8341,6.8340,1600,9.0000,0
2017-05-03,7.2896,7.2896,7.2896,7.2896,77,9.6000,0
2017-05-05,6.4543,6.4543,6.4543,6.4544,2000,8.5000,0
2017-05-12,6.8341,6.8341,6.8341,6.8340,400,9.0000,0
2017-05-16,6.8340,6.8340,6.8340,6.8340,2001,9.0000,0
2017-05-22,6.7581,6.8340,6.7581,6.7581,8000,8.9000,0
2017-05-23,7.0724,7.0724,7.0724,7.0725,2000,9.0000,0
2017-05-25,6.9153,6.9153,6.9153,6.9154,2200,8.8000,0
2017-05-26,6.9154,6.9154,6.6796,6.6796,1700,8.5000,0
2017-05-29,6.6796,6.6796,6.6796,6.6796,500,8.5000,0
2017-05-30,7.6226,7.6226,7.6226,7.6226,500,9.7000,0
2017-05-31,7.8584,7.8584,6.7582,7.8584,3800,10.0000,0
2017-06-02,7.0725,7.0725,7.0725,7.0725,1500,9.0000,0
2017-06-08,6.7582,6.7582,6.6796,6.6796,3900,8.5000,0
2017-06-09,7.0725,7.0725,7.0725,7.0725,501,9.0000,0
2017-06-13,6.6796,6.9939,6.2867,6.9939,2400,8.9000,0
2017-06-14,6.4438,6.4438,6.4438,6.4439,4200,8.2000,0
2017-06-15,7.3869,7.3869,7.3869,7.3869,100,9.4000,0
2017-06-16,7.0726,7.0726,7.0726,7.0725,300,9.0000,0
2017-06-21,7.0725,7.0725,7.0725,7.0725,5100,9.0000,0
2017-06-22,7.0725,7.0725,7.0725,7.0725,1000,9.0000,0
2017-06-23,7.0725,7.0725,7.0725,7.0725,5050,9.0000,0
2017-06-26,7.0725,7.0725,7.0725,7.0725,6100,9.0000,0
2017-06-27,6.4438,6.4438,6.4438,6.4439,100,8.2000,0
2017-06-28,7.0726,7.0726,7.0726,7.0725,500,9.0000,0
2017-06-29,7.0725,7.0725,7.0725,7.0725,127,9.0000,0
2017-06-30,7.0725,7.4654,7.0725,7.4654,10000,9.5000,0
2017-07-05,6.0509,6.9939,6.0509,6.9939,3400,8.9000,0
2017-07-06,6.6796,6.6796,6.6796,6.6796,400,8.5000,0
2017-07-07,6.9939,6.9939,6.9939,6.9939,100,8.9000,0
2017-07-14,5.9723,5.9723,5.9723,5.9724,5000,7.6000,0
2017-07-17,6.8368,6.8368,6.8368,6.8368,100,8.7000,0
2017-07-18,6.6796,6.6796,6.6796,6.6796,1000,8.5000,0
2017-07-20,7.0725,7.0725,7.0725,7.0725,100,9.0000,0
2017-07-21,7.7797,7.7797,7.7797,7.7798,100,9.9000,0
2017-07-24,6.6796,6.6796,6.6796,6.6796,700,8.5000,0
2017-07-27,6.2867,6.2867,6.2867,6.2867,3900,8.0000,0
2017-07-31,6.3653,7.2297,6.3653,7.2297,2800,9.2000,0
2017-08-01,7.2297,7.2297,5.6580,6.6010,3100,8.4000,0
2017-08-02,5.8937,5.8937,5.8937,5.8938,100,7.5000,0
2017-08-03,5.4223,6.7582,5.4223,5.6580,400,7.2000,0
2017-08-04,5.4222,5.8937,5.0293,5.8938,2100,7.5000,0
2017-08-07,5.5009,5.8152,5.5009,5.8152,4800,7.4000,0
2017-08-09,5.9724,6.5224,5.8938,6.5224,1400,8.3000,0
2017-08-15,5.6581,6.1296,5.5795,5.5794,3400,7.1000,0
2017-08-17,6.5224,6.5224,6.0509,6.0509,500,7.7000,0
2017-08-21,6.2867,6.2867,6.2867,6.2867,300,8.0000,0
2017-08-22,5.6580,5.6580,5.6580,5.6580,500,7.2000,0
2017-08-24,5.8937,6.2081,5.8937,6.2081,2000,7.9000,0
