date,open,high,low,close,volume,unadjusted,putthrough
2018-07-24,13.1091,13.9896,13.1091,13.9896,1437600,28.6000,0
2018-07-25,13.9896,14.0874,13.6961,14.0385,543400,28.7000,0
2018-07-26,14.0385,14.0874,13.2070,13.2070,408020,27.0000,0
2018-07-27,13.2070,13.4271,13.2070,13.4271,542040,27.4500,0
2018-07-30,13.4516,13.5983,13.4271,13.4516,610110,27.5000,40000
2018-07-31,13.3049,13.5005,13.3049,13.3782,337200,27.3500,0
2018-08-01,13.2070,13.4516,13.2070,13.2804,534390,27.1500,0
2018-08-02,13.3538,13.4027,13.2070,13.2804,508410,27.1500,0
2018-08-03,13.2559,13.3049,13.1581,13.1581,506080,26.9000,0
2018-08-06,13.1581,13.2559,13.1092,13.2070,622430,27.0000,0
2018-08-07,13.1825,13.3048,13.1581,13.3048,351390,27.2000,0
2018-08-08,13.2070,13.4026,13.2070,13.3537,247830,27.3000,0
2018-08-09,13.3537,13.4026,13.2070,13.2559,465370,27.1000,0
2018-08-10,13.2559,13.2804,13.1825,13.2314,278970,27.0500,0
2018-08-13,13.2314,13.3537,13.2314,13.3048,375260,27.2000,0
2018-08-14,13.3048,13.4515,13.2559,13.4516,696230,27.5000,0
2018-08-15,13.4516,13.5005,13.3538,13.3537,572800,27.3000,0
2018-08-16,13.3537,13.4026,13.3048,13.3537,340040,27.3000,0
2018-08-17,13.3048,13.4026,13.3048,13.3537,226490,27.3000,0
2018-08-20,13.3048,13.4026,13.2559,13.2559,331940,27.1000,0
2018-08-21,13.3048,13.3048,13.2070,13.2559,402040,27.1000,0
2018-08-22,13.2559,13.3048,13.2070,13.2559,335780,27.1000,0
2018-08-23,13.2559,13.3537,13.2314,13.2559,204460,27.1000,0
2018-08-24,13.2559,13.3537,13.2559,13.3048,192410,27.2000,0
2018-08-27,13.2803,13.3293,13.2559,13.3048,163580,27.2000,0
2018-08-28,13.3048,13.3537,13.2070,13.2559,234190,27.1000,0
2018-08-29,13.2559,13.3048,13.2314,13.2314,253550,27.0500,0
2018-08-30,13.2314,13.2803,13.2314,13.2804,200170,27.1500,0
2018-08-31,13.2804,13.3538,13.2070,13.3293,243880,27.2500,0
2018-09-04,13.3293,13.4516,13.3048,13.4026,308090,27.4000,0
2018-09-05,13.3292,13.4271,13.3048,13.3048,306240,27.2000,0
2018-09-06,13.3048,13.3293,13.2070,13.3048,212110,27.2000,0
2018-09-07,13.3048,13.3782,13.3048,13.3293,205740,27.2500,0
2018-09-10,13.3048,13.3782,13.3048,13.3537,201510,27.3000,0
2018-09-11,13.3537,13.3782,13.2070,13.3293,134470,27.2500,0
2018-09-12,13.3048,13.3538,13.2070,13.3293,186410,27.2500,0
2018-09-13,13.3048,13.3293,13.2070,13.3293,303640,27.2500,0
2018-09-14,13.3293,13.3782,13.3048,13.3293,340800,27.2500,0
2018-09-17,13.3048,13.3538,13.2070,13.2070,411830,27.0000,0
2018-09-18,13.2070,13.3048,13.2070,13.2559,336020,27.1000,0
2018-09-19,13.2559,13.2804,13.2070,13.2804,205190,27.1500,0
2018-09-20,13.2804,13.2804,13.1092,13.2070,55450,27.0000,0
2018-09-21,13.2070,13.3048,13.1581,13.2070,23220,27.0000,296870
2018-09-24,13.2070,13.2804,13.1825,13.2559,38560,27.1000,570000
2018-09-25,13.2559,13.2559,13.1825,13.2070,24210,27.0000,0
