date,open,high,low,close,volume,unadjusted,putthrough
2018-05-10,13.9544,13.9544,13.9544,13.9544,100,19.8000,0
2018-05-11,14.9058,14.9058,14.9058,14.9058,500,21.1500,0
2018-05-14,15.9277,15.9277,15.9277,15.9277,500,22.6000,0
2018-05-15,16.9144,17.0201,16.9144,17.0201,300,24.1500,0
2018-05-16,18.1830,18.1830,18.1477,18.1830,178780,25.8000,0
2018-05-17,18.3944,18.8878,18.1830,18.3240,195340,26.0000,0
2018-05-18,17.9716,18.3240,17.2668,17.3373,32250,24.6000,0
2018-05-21,16.9144,17.2316,16.5621,16.9144,29590,24.0000,0
2018-05-22,16.9496,17.0906,16.9144,17.0906,26050,24.2500,0
2018-05-23,17.0906,17.1258,17.0906,17.1259,8580,24.3000,0
2018-05-24,17.1259,17.1611,17.0202,17.1259,8410,24.3000,0
2018-05-25,17.1259,17.1259,16.9849,17.0554,6350,24.2000,0
2018-05-28,17.0554,17.0906,16.9849,17.0554,4410,24.2000,0
2018-05-29,17.0554,17.1259,17.0554,17.1259,8960,24.3000,0
2018-05-30,16.9497,17.1611,16.9145,17.1611,7460,24.3500,0
2018-05-31,17.1611,17.1611,16.9144,17.1611,17630,24.3500,0
2018-06-01,17.1611,17.1963,17.1611,17.1963,5570,24.4000,0
2018-06-04,17.1258,17.2668,17.1258,17.2668,6140,24.5000,0
2018-06-05,17.2668,17.2668,17.1963,17.2668,4490,24.5000,0
2018-06-06,17.2668,17.2668,17.1963,17.2668,5090,24.5000,0
2018-06-07,17.2316,17.3020,17.2316,17.2668,4070,24.5000,0
2018-06-08,17.2668,17.3020,17.2316,17.3020,6910,24.5500,0
2018-06-11,17.2668,17.3020,17.2315,17.2316,4580,24.4500,0
2018-06-12,17.2316,17.2316,17.1611,17.1611,6120,24.3500,0
2018-06-13,17.1611,17.1963,17.1259,17.1963,3440,24.4000,0
2018-06-14,17.1963,17.3020,17.1611,17.3020,8660,24.5500,0
2018-06-15,17.3020,17.3372,17.2668,17.3020,6250,24.5500,0
2018-06-18,17.3020,17.5487,17.2668,17.5135,71940,24.8500,0
2018-06-19,17.5487,18.3240,17.5135,18.3240,399690,26.0000,0
2018-06-20,18.3592,19.5926,18.3240,19.5925,741720,27.8000,0
2018-06-21,19.6630,20.0154,18.5354,18.6763,294350,26.5000,0
2018-06-22,17.3725,17.6192,17.3725,17.3725,66970,24.6500,0
2018-06-25,16.1744,16.1744,16.1744,16.1744,20,22.9500,0
2018-06-26,15.0468,15.0468,15.0468,15.0468,30,21.3500,0
2018-06-27,14.0249,14.8001,14.0249,14.7296,497570,20.9000,0
2018-06-28,14.7296,15.1525,14.5886,15.1173,236030,21.4500,0
2018-06-29,15.1525,15.3640,14.0601,14.5182,193730,20.6000,0
2018-07-02,14.5182,14.5182,14.0249,14.0954,59740,20.0000,0
2018-07-03,14.0954,14.3421,14.0602,14.2011,148070,20.1500,0
2018-07-04,14.1659,14.4478,14.0954,14.4477,187520,20.5000,0
2018-07-05,14.4477,14.6239,14.3772,14.5887,113120,20.7000,0
2018-07-06,14.5887,14.8706,14.5535,14.8001,289980,21.0000,0
