date,open,high,low,close,volume,unadjusted,putthrough
2007-11-13,25.6417,29.3048,25.6417,27.7022,989350,60.5000,0
2007-11-14,27.9311,28.3890,27.4733,27.9312,323550,61.0000,0
2007-11-15,28.1601,28.1601,27.4733,27.7022,110380,60.5000,0
2007-11-16,26.5575,27.4733,26.3285,26.5575,69590,58.0000,0
2007-11-19,26.0996,26.0996,25.4128,25.4128,128600,55.5000,0
2007-11-20,24.2681,24.2681,24.2681,24.2681,124510,53.0000,0
2007-11-21,23.1234,23.1234,23.1234,23.1234,66220,50.5000,0
2007-11-22,22.8945,24.0392,22.6655,23.1234,307810,50.5000,0
2007-11-23,23.1234,23.3523,22.8945,23.1234,117930,50.5000,0
2007-11-26,23.3523,23.5813,23.1234,23.1234,131840,50.5000,0
2007-11-27,24.0392,24.2681,23.8102,24.2681,173630,53.0000,135000
2007-11-28,24.2681,24.2681,23.3523,23.8102,129050,52.0000,0
2007-11-29,24.0391,24.0391,23.8102,23.8102,32300,52.0000,0
2007-11-30,23.8102,24.0391,23.5813,23.8102,146220,52.0000,0
2007-12-03,23.8102,23.8102,23.5813,23.5812,115750,51.5000,0
2007-12-04,23.8101,23.8101,23.3523,23.5812,101940,51.5000,0
2007-12-05,23.3523,23.5812,23.3523,23.5812,80410,51.5000,0
2007-12-06,23.3523,23.3523,22.8944,23.1234,86110,50.5000,0
2007-12-07,22.4366,23.1234,22.4366,22.6655,102640,49.5000,0
2007-12-10,22.6655,22.6655,21.9787,21.9786,81510,48.0000,0
2007-12-11,21.9786,21.9786,20.8797,20.8797,111790,45.6000,0
2007-12-12,21.0629,21.5207,21.0629,21.2918,94610,46.5000,0
2007-12-13,21.5207,21.5207,21.0629,21.1086,31540,46.1000,0
2007-12-14,20.6049,21.1086,20.6049,20.6050,59950,45.0000,0
2007-12-17,20.8339,20.9255,20.6050,20.6050,102050,45.0000,21000
2007-12-18,20.6050,20.6966,19.9182,20.1471,156700,44.0000,0
2007-12-19,20.6050,21.1545,20.6050,21.1544,35100,46.2000,0
2007-12-20,21.7954,21.7954,21.0628,21.0629,100600,46.0000,0
2007-12-21,21.4292,21.4292,21.0629,21.4292,24860,46.8000,0
2007-12-24,21.4292,21.6124,21.2918,21.5207,45410,47.0000,0
2007-12-25,21.0628,21.6123,21.0628,21.2918,56300,46.5000,0
2007-12-26,21.2918,21.5207,21.2918,21.2918,19470,46.5000,0
2007-12-27,21.5207,21.5207,21.2002,21.2002,35080,46.3000,0
2007-12-28,21.2918,21.4749,21.0628,21.2002,34050,46.3000,0
2008-01-02,21.2460,21.2460,21.0628,21.0629,20130,46.0000,0
2008-01-03,20.2387,20.6050,20.2387,20.2844,38080,44.3000,0
2008-01-04,20.1470,20.2844,20.1470,20.1471,29970,44.0000,0
2008-01-07,19.5518,19.5518,19.2313,19.2313,38220,42.0000,0
2008-01-08,19.2313,19.4602,18.9566,18.9566,41160,41.4000,0
2008-01-09,18.5445,18.5445,18.3156,18.3155,45410,40.0000,0
2008-01-10,17.3997,17.4913,17.3997,17.3998,58250,38.0000,0
2008-01-11,16.9419,18.1782,16.9419,18.0866,36600,39.5000,0
2008-01-14,17.8577,17.8577,17.2166,17.2166,30090,37.6000,0
2008-01-15,16.4382,16.4840,16.3924,16.3924,58230,35.8000,0
2008-01-16,16.9877,17.1708,16.4840,17.1708,86890,37.5000,0
2008-01-17,17.9950,17.9950,16.4840,16.4840,85970,36.0000,0
2008-01-18,16.4840,17.0793,16.0261,17.0792,46130,37.3000,0
2008-01-21,17.0792,17.0792,16.9418,16.9419,40150,37.0000,0
2008-01-22,16.4840,16.7130,16.4840,16.4840,24800,36.0000,0
2008-01-23,16.0261,16.0261,15.6598,15.6598,55740,34.2000,0
2008-01-24,15.6598,16.0261,15.5682,15.6598,44020,34.2000,0
2008-01-25,15.1561,16.0261,15.1561,15.7971,30340,34.5000,0
2008-01-28,15.7971,16.0260,15.6139,15.7971,23400,34.5000,0
2008-01-29,15.8887,16.5755,15.7971,16.5756,54340,36.2000,0
2008-01-30,17.3998,17.3998,17.3998,17.3998,9600,38.0000,0
2008-01-31,18.0866,18.0866,17.1709,17.7203,119560,38.7000,0
2008-02-01,18.5445,18.5903,18.3156,18.5903,55840,40.6000,0
2008-02-12,19.3687,19.3687,18.5445,18.5445,67780,40.5000,0
2008-02-13,18.0866,18.0866,17.6745,17.6745,25510,38.6000,0
2008-02-14,18.1782,18.3155,18.1782,18.1782,32360,39.7000,0
2008-02-15,18.1782,18.1782,17.4456,17.6287,23320,38.5000,0
2008-02-18,16.7587,17.1708,16.7587,16.8503,72510,36.8000,0
2008-02-19,16.5298,16.9877,16.4840,16.9877,23060,37.1000,0
2008-02-20,16.5756,16.9419,16.2551,16.2550,46110,35.5000,0
2008-02-21,15.4766,15.4766,15.4766,15.4766,20520,33.8000,0
2008-02-22,14.7440,14.8813,14.7440,14.8814,131560,32.5000,0
2008-02-25,15.5682,15.6140,15.5682,15.6140,17200,34.1000,0
2008-02-26,16.3924,16.3924,15.1103,15.3393,63450,33.5000,0
2008-02-27,15.9346,15.9346,15.3393,15.6140,28190,34.1000,0
2008-02-28,15.6140,15.6140,15.4766,15.4766,12800,33.8000,0
2008-02-29,15.1103,15.5682,14.9271,14.9272,32140,32.6000,0
2008-03-03,14.5609,14.5609,14.1946,14.1945,50270,31.0000,0
2008-03-04,13.5077,13.5077,13.5077,13.5077,16180,29.5000,0
2008-03-05,12.8667,12.8667,12.8667,12.8667,24110,28.1000,0
2008-03-06,13.5077,13.5077,13.5077,13.5077,16950,29.5000,0
2008-03-07,14.1487,14.1487,14.1487,14.1487,68580,30.9000,0
2008-03-10,14.8355,14.8355,14.8355,14.8356,74120,32.4000,0
2008-03-11,15.1103,15.1103,14.1030,14.2403,142180,31.1000,0
2008-03-12,14.1945,14.9271,13.7366,14.6524,54320,32.0000,0
2008-03-13,15.1103,15.1103,14.6982,14.9729,37570,32.7000,0
2008-03-14,14.6524,14.8813,14.6524,14.7440,47170,32.2000,0
