date,open,high,low,close,volume,unadjusted,putthrough
2010-05-07,10.2688,12.8360,10.2688,12.6649,25200,74.0000,0
2010-05-11,10.4570,10.4570,10.4570,10.4571,1400,61.1000,0
2010-05-12,9.7383,9.7383,9.7383,9.7383,200,56.9000,0
2010-05-13,9.0708,9.0708,9.0708,9.0708,4000,53.0000,0
2010-05-14,8.4376,9.2933,8.4376,9.2933,50200,54.3000,0
2010-05-17,9.0537,9.0537,8.0439,8.4375,31700,49.3000,0
2010-05-18,8.3685,8.5065,8.1097,8.1099,9300,47.0000,0
2010-05-19,8.3687,8.5068,8.3687,8.5067,14500,49.3000,0
2010-05-20,8.4549,8.5240,8.4549,8.5067,33600,49.3000,5000
2010-05-21,7.9373,8.5067,7.9373,8.5067,44100,49.3000,5000
2010-05-24,8.4549,8.6102,8.4549,8.6103,32000,49.9000,0
2010-05-25,8.5413,8.6103,8.5068,8.6103,18000,49.9000,0
2010-05-26,8.2825,8.5758,8.2825,8.5757,3100,49.7000,0
2010-05-27,8.3686,8.6102,8.2824,8.6103,17500,49.9000,0
2010-05-28,8.8001,9.0417,8.2997,8.6275,16100,50.0000,0
2010-05-31,8.5412,8.5412,8.4550,8.4550,4000,49.0000,0
2010-06-01,8.2997,8.3170,8.2824,8.2824,5900,48.0000,0
2010-06-02,8.2824,8.3687,8.2824,8.3687,12200,48.5000,0
2010-06-03,8.3169,8.3687,8.2824,8.2824,6200,48.0000,0
2010-06-04,8.2479,8.4204,8.1961,8.2824,10600,48.0000,0
2010-06-07,8.2824,8.6275,8.2824,8.6275,8000,50.0000,0
2010-06-09,8.2824,8.4894,8.2824,8.4895,8400,49.2000,0
2010-06-10,8.2824,8.3687,8.2824,8.3342,30800,48.3000,0
2010-06-11,8.8691,8.9036,8.2824,8.5930,57700,49.8000,0
2010-06-14,8.5412,8.6103,8.5412,8.6103,6000,49.9000,0
2010-06-15,8.5930,8.5930,8.5930,8.5930,200,49.8000,0
2010-06-16,8.4550,8.6793,8.4550,8.6448,69100,50.1000,0
2010-06-17,8.6103,8.6275,8.5930,8.6275,22400,50.0000,0
2010-06-18,8.6275,8.9726,8.6275,8.9036,89000,51.6000,0
2010-06-21,8.9726,9.3867,8.9726,9.3867,49100,54.4000,0
2010-06-22,9.9906,9.9906,9.4902,9.4903,52800,55.0000,0
2010-06-23,9.4040,9.4040,9.2315,9.2314,40100,53.5000,0
2010-06-24,9.2314,9.2314,8.7310,8.9381,30100,51.8000,0
2010-06-25,8.3169,8.9036,8.3169,8.6275,8600,50.0000,0
2010-06-28,8.6275,8.8001,8.5930,8.6275,8900,50.0000,0
2010-06-29,8.6102,8.6275,8.5930,8.6275,16000,50.0000,0
2010-06-30,8.5412,8.6448,8.5412,8.6103,11700,49.9000,0
2010-07-01,8.4723,8.6276,8.4723,8.6103,9800,49.9000,0
2010-07-02,8.8001,8.8001,8.5585,8.5585,3000,49.6000,0
2010-07-05,8.6448,8.8001,8.6275,8.6448,5900,50.1000,5000
2010-07-06,8.6621,8.6621,8.1444,8.5067,21200,49.3000,0
2010-07-07,8.6275,8.6275,8.5585,8.5930,7800,49.8000,0
2010-07-08,8.6103,8.6448,8.5930,8.6275,34200,50.0000,0
2010-07-09,8.6102,8.7138,8.6102,8.7138,39000,50.5000,0
2010-07-12,8.9726,9.2315,8.8001,9.2314,110000,53.5000,0
2010-07-13,9.6800,9.6800,9.6455,9.6628,173800,56.0000,0
2010-07-14,10.3530,10.3530,9.0071,9.6628,119500,56.0000,0
2010-07-15,9.9734,10.4048,9.8181,10.0942,118000,58.5000,0
2010-07-16,9.8354,9.9216,9.4558,9.4558,97700,54.8000,0
2010-07-19,8.9036,9.4731,8.8864,9.0589,40200,52.5000,0
2010-07-20,9.1452,9.3177,8.9726,9.0589,24700,52.5000,10000
2010-07-21,9.1279,9.1279,8.8001,8.9726,54500,52.0000,0
2010-07-22,8.6275,9.0589,8.6275,9.0589,58400,52.5000,0
2010-07-23,9.0071,9.0934,8.9899,9.0244,37400,52.3000,0
2010-07-26,8.9726,9.1452,8.9726,8.9726,45900,52.0000,0
2010-07-27,9.0416,9.0416,8.9553,9.0244,39500,52.3000,0
2010-07-28,8.9726,8.9899,8.9209,8.9726,76500,52.0000,0
2010-07-29,8.9726,9.0589,8.9553,9.0244,34400,52.3000,0
2010-07-30,8.9726,9.0589,8.9726,8.9726,40900,52.0000,0
2010-08-02,8.9899,9.0071,8.9381,9.0071,41000,52.2000,0
2010-08-03,8.9208,8.9726,8.9208,8.9726,15500,52.0000,0
2010-08-04,9.0589,9.0589,8.9381,8.9726,19300,52.0000,0
2010-08-05,8.9726,9.0244,8.9553,8.9554,15400,51.9000,0
2010-08-06,8.9727,8.9727,8.9554,8.9554,16400,51.9000,0
2010-08-09,8.9727,8.9727,8.9209,8.9381,44300,51.8000,0
2010-08-10,9.0416,9.0416,8.9381,8.9554,23100,51.9000,0
2010-08-11,8.9727,9.0589,8.9727,8.9726,9300,52.0000,0
2010-08-12,8.9726,8.9726,8.3687,8.8863,29300,51.5000,0
2010-08-13,8.8863,8.8863,8.8690,8.8863,1600,51.5000,0
2010-08-16,8.9726,8.9726,8.9726,8.9726,10100,52.0000,0
2010-08-17,8.8001,8.8001,8.8001,8.8001,1400,51.0000,0
2010-08-18,8.7650,8.8001,8.7650,8.7647,1400,50.0000,0
2010-08-19,8.8523,8.8523,8.7647,8.7647,800,50.0000,0
