date,open,high,low,close,volume,unadjusted,putthrough
2010-12-20,6.0989,6.0989,6.0989,6.0989,31730,20.0000,0
2010-12-21,5.7940,5.7940,5.7940,5.7940,910,19.0000,0
2010-12-22,5.7940,5.7940,5.5195,5.5195,5830,18.1000,0
2010-12-23,5.2450,5.2450,5.2450,5.2451,500,17.2000,0
2010-12-24,5.0011,5.1841,5.0011,5.0011,62350,16.4000,0
2010-12-27,4.7571,4.8791,4.7571,4.8791,158210,16.0000,0
2010-12-28,4.8791,4.8791,4.6656,4.7572,45270,15.6000,0
2010-12-29,4.6286,4.6929,4.5322,4.5324,32850,14.1000,0
2010-12-30,4.3395,4.5324,4.3074,4.3073,59120,13.4000,0
2010-12-31,4.2109,4.5002,4.2109,4.5002,70340,14.0000,0
2011-01-04,4.7252,4.7252,4.6609,4.7252,50620,14.7000,0
2011-01-05,4.9181,4.9502,4.8216,4.9502,140940,15.4000,0
2011-01-06,4.7252,4.9181,4.7252,4.7252,48160,14.7000,0
2011-01-07,4.6288,4.6288,4.5323,4.6288,22420,14.4000,0
2011-01-10,4.7895,4.7895,4.4038,4.4038,14820,13.7000,30000
2011-01-11,4.3074,4.5002,4.2109,4.2109,51810,13.1000,0
2011-01-12,4.2109,4.3716,4.2109,4.2109,35460,13.1000,0
2011-01-13,4.2109,4.3716,4.2109,4.2431,16920,13.2000,0
2011-01-14,4.3395,4.3395,4.2431,4.3073,14030,13.4000,0
2011-01-17,4.4359,4.4359,4.2109,4.2109,20690,13.1000,0
2011-01-18,4.2109,4.2752,4.2109,4.2109,7370,13.1000,0
2011-01-19,4.2109,4.2109,4.1145,4.1145,14620,12.8000,0
2011-01-20,4.0181,4.1788,4.0181,4.1466,15120,12.9000,0
2011-01-21,4.2430,4.2430,4.0502,4.1788,16610,13.0000,0
2011-01-24,4.0181,4.1467,3.9859,3.9859,12210,12.4000,0
2011-01-25,4.1466,4.1466,3.9859,4.1145,2710,12.8000,0
2011-01-26,4.2109,4.2109,4.0181,4.1466,4540,12.9000,0
2011-01-27,4.1787,4.1787,3.9537,4.1466,22160,12.9000,0
2011-01-28,3.9859,4.2109,3.9859,4.0823,5070,12.7000,0
2011-02-08,4.2752,4.2752,4.0823,4.0823,5820,12.7000,0
2011-02-09,3.8894,4.1787,3.8894,4.1788,54830,13.0000,0
2011-02-10,4.0181,4.1788,4.0181,4.1788,10610,13.0000,0
2011-02-11,4.0502,4.0824,4.0181,4.0823,6430,12.7000,0
2011-02-14,4.1466,4.1787,4.0502,4.1145,12040,12.8000,0
2011-02-15,4.2431,4.2431,4.0502,4.1145,12540,12.8000,0
2011-02-16,4.0824,4.0824,3.9538,4.0823,8950,12.7000,0
2011-02-17,4.1144,4.1144,3.9537,4.0823,60,12.7000,0
2011-02-18,3.9537,4.0823,3.9537,3.9538,5400,12.3000,0
2011-02-21,3.7931,3.9538,3.7609,3.7609,10330,11.7000,0
2011-02-22,3.6002,3.8252,3.6002,3.6002,15130,11.2000,0
2011-02-23,3.6966,3.6966,3.6966,3.6966,350,11.5000,0
2011-02-24,3.8573,3.8573,3.6645,3.6645,1370,11.4000,0
2011-02-25,3.7288,3.8252,3.6645,3.6645,2650,11.4000,0
2011-02-28,3.7931,3.7931,3.5038,3.5037,12870,10.9000,0
2011-03-01,3.6644,3.6644,3.3430,3.4716,23560,10.8000,0
2011-03-02,3.3109,3.4073,3.3109,3.3109,8800,10.3000,0
2011-03-03,3.1502,3.2466,3.1502,3.1501,13990,9.8000,0
2011-03-04,3.0537,3.2144,3.0215,3.1501,2660,9.8000,0
2011-03-07,3.2144,3.2144,3.0215,3.0859,6380,9.6000,0
2011-03-08,3.0859,3.1502,2.9573,3.0859,5800,9.6000,0
2011-03-09,2.9573,3.0859,2.9573,2.9573,9290,9.2000,0
2011-03-10,2.9894,3.0859,2.9573,3.0859,11310,9.6000,0
2011-03-11,3.2145,3.2145,3.1180,3.2144,4130,10.0000,0
2011-03-14,3.0858,3.2144,3.0537,3.0537,5010,9.5000,0
2011-03-15,3.0537,3.1180,3.0216,3.0537,340,9.5000,0
2011-03-16,3.0537,3.0858,2.9894,3.0859,2130,9.6000,0
2011-03-17,3.2145,3.2145,3.0859,3.1180,200,9.7000,0
2011-03-18,3.2144,3.2466,3.0216,3.1823,4530,9.9000,0
2011-03-21,3.2466,3.2466,3.2144,3.2144,1310,10.0000,0
2011-03-22,3.2144,3.2144,3.1501,3.1823,370,9.9000,0
2011-03-23,3.1502,3.1502,3.0537,3.1180,2480,9.7000,0
2011-03-24,2.9894,3.2144,2.9894,3.0216,1570,9.4000,0
2011-03-25,2.9252,3.0537,2.9252,3.0216,14130,9.4000,0
2011-03-28,3.1502,3.1502,3.0216,3.0537,5690,9.5000,0
2011-03-29,2.9894,3.0858,2.9894,3.0859,14530,9.6000,0
2011-03-30,2.9895,3.0859,2.9895,3.0859,8170,9.6000,0
2011-03-31,3.0859,3.0859,3.0216,3.0216,2630,9.4000,0
2011-04-01,2.9252,3.0859,2.9252,2.9251,3590,9.1000,0
2011-04-04,3.0537,3.0537,2.7965,2.7966,1060,8.7000,0
2011-04-05,2.7966,2.8609,2.7002,2.7001,3240,8.4000,0
