date,open,high,low,close,volume,unadjusted,putthrough
2018-11-12,14.2829,14.2829,14.2829,14.2829,147670,27.9500,0
2018-11-13,15.2794,15.2794,15.2794,15.2794,256400,29.9000,0
2018-11-14,15.3305,16.0970,14.6662,15.4327,332170,30.2000,0
2018-11-15,14.6151,15.6371,14.6151,15.5349,214090,30.4000,0
2018-11-16,15.0750,15.8415,15.0750,15.5349,274160,30.4000,0
2018-11-19,15.4327,15.5860,14.9728,15.5860,241150,30.5000,0
2018-11-20,15.5860,15.5860,15.0750,15.0750,130070,29.5000,0
2018-11-21,15.0750,15.1261,14.8195,14.8195,119290,29.0000,0
2018-11-22,15.1772,15.1772,14.3596,15.0750,192500,29.5000,0
2018-11-23,15.0750,15.2283,14.8195,14.8706,152850,29.1000,0
2018-11-26,15.2539,15.4327,15.0750,15.3305,209270,30.0000,0
2018-11-27,15.3305,15.4327,15.1772,15.4327,265630,30.2000,0
2018-11-28,15.3305,15.5094,15.1772,15.4327,457020,30.2000,0
2018-11-29,15.3305,15.4838,15.2027,15.4327,322000,30.2000,0
2018-11-30,16.3587,16.3587,15.4944,15.5213,116870,25.1000,0
2018-12-03,15.5213,15.8614,15.5213,15.6450,193120,25.3000,0
2018-12-04,15.1503,15.3049,14.8411,15.0266,177060,24.3000,0
2018-12-05,14.8411,14.9648,14.5319,14.7174,230920,23.8000,0
2018-12-06,14.5319,15.1503,14.5319,15.1503,238730,24.5000,0
2018-12-07,14.7174,15.2121,14.5319,14.9648,137610,24.2000,0
2018-12-10,14.6865,14.9957,14.4701,14.6556,96290,23.7000,0
2018-12-11,14.6556,14.7793,14.4082,14.6556,87890,23.7000,0
2018-12-12,14.6247,14.7484,14.4701,14.6865,100300,23.7500,0
2018-12-13,14.5937,14.7174,14.4082,14.5319,82280,23.5000,0
2018-12-14,14.5010,14.5010,14.2227,14.2227,34080,23.0000,0
2018-12-17,14.2227,14.2845,14.0063,14.1609,12810,22.9000,0
2018-12-18,13.2333,14.1300,13.2333,13.2333,17080,21.4000,0
2018-12-19,13.6043,13.6043,12.9859,13.2333,13640,21.4000,0
2018-12-20,13.5425,13.5425,12.4912,13.2952,9800,21.5000,0
2018-12-21,13.4189,14.2228,12.8005,14.2227,199450,23.0000,0
2018-12-24,15.1503,15.1503,14.2227,14.7793,34740,23.9000,0
2018-12-25,14.7793,14.7793,14.2228,14.6247,23060,23.6500,0
2018-12-26,14.2228,14.8411,14.2228,14.4083,16140,23.3000,0
2018-12-27,14.6557,14.6557,14.4392,14.4392,128010,23.3500,0
2018-12-28,14.5320,14.8411,14.2228,14.2227,22110,23.0000,0
2019-01-02,14.5319,14.5319,14.0990,14.2846,19450,23.1000,0
2019-01-03,14.3464,14.3774,13.3570,14.2227,196230,23.0000,0
2019-01-04,14.2227,14.2227,14.1609,14.1609,350,22.9000,0
2019-01-07,14.3155,14.3155,13.6662,14.1609,12580,22.9000,0
2019-01-08,14.1609,14.1609,13.6971,13.6971,2180,22.1500,0
2019-01-09,13.6971,14.1609,13.6971,13.7899,18260,22.3000,0
2019-01-10,13.9136,13.9136,13.6044,13.6044,14950,22.0000,0
2019-01-11,13.8518,13.8827,13.6044,13.8517,26220,22.4000,0
2019-01-14,13.6043,14.2227,13.6043,13.7280,9800,22.2000,0
2019-01-15,13.7898,14.1609,13.5116,13.5116,73360,21.8500,0
2019-01-16,13.7590,13.9754,13.5116,13.9136,10840,22.5000,0
2019-01-17,13.8518,14.0991,13.5426,13.9445,7410,22.5500,0
2019-01-18,13.9445,14.0373,13.4498,14.0372,19880,22.7000,0
2019-01-21,13.9135,14.0990,13.6043,14.0372,23410,22.7000,0
2019-01-22,13.9754,14.0681,13.7898,13.9754,2490,22.6000,0
2019-01-23,14.0063,14.0682,13.9136,14.0372,15780,22.7000,0
2019-01-24,14.0990,14.0990,13.9135,13.9136,10060,22.5000,0
2019-01-25,13.9136,14.8412,13.9136,14.0372,55230,22.7000,0
2019-01-28,14.8411,14.8411,14.1609,14.3155,68180,23.1500,0
2019-01-29,14.5319,14.5319,13.6971,13.6971,30440,22.1500,0
2019-01-30,14.0990,14.0990,13.7280,13.9754,12610,22.6000,0
2019-01-31,13.9754,14.2228,13.6971,13.9754,18090,22.6000,0
2019-02-01,13.9754,14.2228,13.9754,14.2227,21900,23.0000,0
2019-02-11,14.2227,14.3155,13.9135,14.3155,49560,23.1500,0
2019-02-12,14.2846,14.3464,13.9136,14.0372,42290,22.7000,0
2019-02-13,14.0372,14.0372,13.8517,14.0063,13320,22.6500,0
2019-02-14,13.9754,14.0681,13.6044,14.0681,50050,22.7500,0
2019-02-15,14.0063,14.0372,13.7898,13.9136,15270,22.5000,0
2019-02-18,13.9136,13.9445,13.5426,13.9136,82190,22.5000,0
2019-02-19,13.6044,13.9136,13.6044,13.9136,29950,22.5000,0
2019-02-20,13.6353,13.8518,13.6353,13.6662,44280,22.1000,0
2019-02-21,13.6662,13.6662,13.2952,13.6044,20220,22.0000,0
2019-02-22,13.5426,13.6044,12.9860,13.2024,20760,21.3500,0
2019-02-25,12.9860,13.5425,12.9860,13.4807,64190,21.8000,0
2019-02-26,13.3570,13.4807,13.2643,13.3879,32770,21.6500,0
2019-02-27,13.3261,13.3879,12.9860,13.2952,22680,21.5000,0
2019-02-28,13.2952,13.2952,12.9860,12.9860,11250,21.0000,0
2019-03-01,12.9860,13.3261,12.9242,13.0478,136070,21.1000,0
2019-03-04,13.2952,13.2952,13.1715,13.1715,17120,21.3000,0
2019-03-05,13.1715,13.2333,13.0169,13.1715,15230,21.3000,0
2019-03-06,13.0478,13.2024,12.9860,13.0787,80250,21.1500,0
2019-03-07,13.0787,13.1405,12.9859,12.9860,34630,21.0000,22250
2019-03-08,12.9860,13.0169,12.9860,13.0169,50180,21.0500,0
2019-03-11,13.2643,13.2643,12.9551,12.9860,28070,21.0000,0
2019-03-12,13.1097,13.1097,12.8932,13.0478,25440,21.1000,0
2019-03-13,13.0787,13.2024,12.6768,13.2024,77010,21.3500,0
2019-03-14,13.2024,13.4807,13.0478,13.4807,101380,21.8000,0
2019-03-15,13.5116,13.6662,13.3570,13.6353,70630,22.0500,0
2019-03-18,13.6353,14.1609,13.6353,13.9754,39980,22.6000,0
2019-03-19,13.9136,13.9754,13.4807,13.8517,25620,22.4000,0
2019-03-20,13.8517,13.8517,13.4807,13.6044,14320,22.0000,0
2019-03-21,13.3570,13.5735,13.1715,13.4188,18780,21.7000,0
2019-03-22,13.4188,13.4806,12.9859,13.4498,65990,21.7500,0
2019-03-25,13.4498,13.4498,12.8623,13.1406,14610,21.2500,0
2019-03-26,13.3880,13.4189,12.9242,12.9860,40530,21.0000,0
2019-03-27,12.9860,13.2952,12.9860,13.1097,21960,21.2000,0
2019-03-28,13.3571,13.3571,13.1097,13.2333,26040,21.4000,0
2019-03-29,13.2333,13.3570,13.2333,13.3261,25450,21.5500,0
2019-04-01,13.2333,13.3570,13.0787,13.0787,57810,21.1500,0
2019-04-02,13.1096,13.2024,13.0169,13.1406,35890,21.2500,0
2019-04-03,13.2024,13.2024,12.9860,13.1715,28620,21.3000,0
2019-04-04,13.1715,13.2024,12.9860,13.1715,29130,21.3000,0
2019-04-05,13.1715,13.2333,13.0787,13.2024,37470,21.3500,0
2019-04-08,13.5425,13.5425,13.1715,13.2333,30030,21.4000,0
2019-04-09,13.1715,13.2333,13.0169,13.2333,36200,21.4000,0
2019-04-10,13.0787,13.2642,13.0478,13.2333,46250,21.4000,0
2019-04-11,13.0787,13.2642,13.0787,13.2643,53180,21.4500,0
2019-04-12,13.2643,13.7899,13.2643,13.6662,70600,22.1000,0
2019-04-16,13.8208,13.8208,13.5425,13.7280,104180,22.2000,0
2019-04-17,13.8826,14.5319,13.8517,14.0991,114010,22.8000,0
2019-04-18,14.1609,14.1609,13.9136,14.0991,62290,22.8000,0
2019-04-19,13.9136,14.0991,13.8517,14.0372,33830,22.7000,0
2019-04-22,13.9135,14.0372,13.7280,14.0063,106270,22.6500,1232338
2019-04-23,13.5425,14.0681,13.5425,14.0681,85420,22.7500,0
2019-04-24,14.0990,14.7174,14.0990,14.5938,256240,23.6000,0
2019-04-25,14.6556,14.7793,14.3774,14.5938,115950,23.6000,0
2019-04-26,14.5320,14.6556,14.5320,14.5938,30340,23.6000,0
2019-05-02,14.5938,14.5938,13.9754,14.0681,129870,22.7500,0
2019-05-03,13.9753,14.0990,13.7898,13.8826,74970,22.4500,0
2019-05-06,13.7280,13.7280,13.4188,13.5734,62570,21.9500,0
2019-05-07,13.5425,13.6043,13.4806,13.6044,77590,22.0000,0
2019-05-08,13.5426,13.5426,13.3570,13.4188,56830,21.7000,0
2019-05-09,13.3879,13.4497,13.0169,13.2643,86070,21.4500,0
2019-05-10,13.2334,13.4807,13.1406,13.4807,84870,21.8000,0
2019-05-13,13.4498,13.5425,13.4189,13.5116,87180,21.8500,0
2019-05-14,13.4807,13.5734,13.2333,13.5425,85420,21.9000,0
2019-05-15,13.5425,13.6662,13.4807,13.6353,108610,22.0500,0
2019-05-16,13.6353,13.6971,13.6044,13.6044,64850,22.0000,0
2019-05-17,13.5426,13.6662,13.5116,13.5425,57760,21.9000,0
2019-05-20,13.5116,13.6353,13.5116,13.6353,75450,22.0500,0
2019-05-21,13.5735,14.2228,13.5735,13.9445,128170,22.5500,0
2019-05-22,13.9136,14.1919,13.9136,14.0063,91490,22.6500,0
2019-05-23,14.0991,14.0991,13.6971,13.8826,45390,22.4500,0
2019-05-24,13.9754,14.2845,13.9135,14.2537,133720,23.0500,0
2019-05-27,14.2846,14.6556,14.2537,14.4083,110190,23.3000,0
