date,open,high,low,close,volume,unadjusted,putthrough
2019-02-26,17.1803,17.8675,13.7442,13.7442,65860,20.0000,0
2019-02-27,12.8508,13.0570,12.7821,12.7821,19140,18.6000,0
2019-02-28,11.8887,11.8887,11.8887,11.8887,1390,17.3000,0
2019-03-01,11.0641,11.6825,11.0641,11.0641,26370,16.1000,0
2019-03-04,10.4456,11.3390,10.4456,10.5830,5050,15.4000,0
2019-03-05,10.9953,11.3046,10.5143,11.3046,17170,16.4500,0
2019-03-06,11.9574,12.0949,11.9574,12.0949,6980,17.6000,0
2019-03-07,12.3354,12.9196,12.3354,12.7134,6820,18.5000,0
2019-03-08,12.8508,12.8508,12.0262,12.6790,2770,18.4500,0
2019-03-11,12.5759,12.5759,11.8200,12.5759,6880,18.3000,0
2019-03-12,12.3697,12.5072,12.3697,12.5072,4000,18.2000,0
2019-03-13,11.7169,12.3698,11.6825,11.8887,8170,17.3000,0
2019-03-14,12.0261,12.2323,11.6825,11.6825,18170,17.0000,0
2019-03-15,11.6825,12.0948,11.6825,11.9918,2790,17.4500,0
2019-03-18,11.6826,12.8165,11.6826,12.5072,17230,18.2000,0
2019-03-19,12.5072,12.5072,12.1636,12.4728,1730,18.1500,0
2019-03-20,12.5415,13.3318,12.3697,13.0570,3200,19.0000,0
2019-03-21,13.0570,13.3319,13.0570,13.0570,4070,19.0000,0
2019-03-22,13.0570,13.7442,13.0570,13.1257,5650,19.1000,0
2019-03-25,12.4385,13.1257,12.3010,12.3698,2900,18.0000,0
2019-03-26,13.0570,13.0570,12.7134,12.9195,940,18.8000,0
2019-03-27,12.3697,12.9195,12.3697,12.7134,410,18.5000,0
2019-03-28,13.0570,13.0570,12.3698,12.3698,1550,18.0000,0
2019-03-29,12.9196,12.9196,12.9196,12.9195,10,18.8000,0
2019-04-01,12.5759,12.9195,12.3697,12.5759,10340,18.3000,0
2019-04-02,12.5759,12.5759,12.5759,12.5759,150,18.3000,0
2019-04-03,12.7133,12.7133,11.7169,12.5759,8530,18.3000,0
2019-04-04,12.7133,12.7821,11.7513,11.9231,8710,17.3500,0
2019-04-05,12.5759,12.5759,12.5759,12.5759,840,18.3000,0
2019-04-08,11.8200,12.5759,11.8200,12.5759,2130,18.3000,0
2019-04-09,12.3697,12.3697,12.2323,12.2323,1230,17.8000,0
2019-04-10,12.2323,12.2323,12.2323,12.2323,10,17.8000,0
2019-04-11,12.1979,12.4728,12.0949,12.4728,8040,18.1500,0
2019-04-16,12.0605,12.0605,12.0605,12.0605,3930,17.5500,0
2019-04-18,12.3354,12.3354,12.3354,12.3354,10,17.9500,0
2019-04-19,12.0262,12.3354,12.0262,12.3354,3970,17.9500,0
2019-04-22,12.0262,12.3354,12.0262,12.3354,30,17.9500,0
2019-04-25,11.7169,12.0262,11.4764,12.0262,3030,17.5000,0
2019-04-26,12.0949,12.0949,12.0949,12.0949,3550,17.6000,0
2019-05-02,11.7513,12.0949,11.6826,12.0949,2320,17.6000,0
2019-05-03,11.4421,12.2667,11.4421,11.9574,520,17.4000,0
2019-05-06,11.6825,11.7512,11.5451,11.7513,2310,17.1000,0
2019-05-07,12.3011,12.3698,11.6139,12.1636,40,17.7000,0
2019-05-08,11.6826,11.6826,11.6826,11.6825,1500,17.0000,0
2019-05-09,11.6138,12.3010,11.6138,12.3010,40,17.9000,0
2019-05-13,13.0569,13.0569,12.7133,12.7134,1010,18.5000,0
2019-05-14,12.7134,12.7134,12.7134,12.7134,10,18.5000,0
2019-05-16,12.3698,12.3698,11.8544,12.3698,4390,18.0000,0
2019-05-17,12.3698,12.3698,12.0262,12.3698,2840,18.0000,0
2019-05-20,12.3011,12.3011,11.7169,11.7169,11120,17.0500,0
2019-05-21,12.2323,12.2323,11.7513,12.1980,1230,17.7500,0
2019-05-22,12.3103,12.3477,11.9735,12.0102,4330,16.0000,0
2019-05-23,12.0102,12.0102,12.0102,12.0102,10,16.0000,0
2019-05-24,12.3105,12.3105,11.7099,12.2729,770,16.3500,0
2019-05-27,11.4472,12.0102,11.4472,12.0102,4850,16.0000,0
2019-05-28,12.7984,12.7984,12.7984,12.7984,10,17.0500,0
2019-05-29,11.9352,12.0102,11.9352,11.9351,2190,15.9000,0
2019-05-30,11.4097,12.0102,11.4097,11.4472,5070,15.2500,0
2019-05-31,12.0102,12.0102,12.0102,12.0102,10,16.0000,0
2019-06-03,12.0102,12.1603,12.0102,12.1603,20,16.2000,0
2019-06-04,12.1228,12.1228,12.1228,12.1228,10,16.1500,0
2019-06-05,12.1228,12.1228,12.1228,12.1228,10,16.1500,0
2019-06-06,12.0853,12.0853,12.0853,12.0853,10,16.1000,0
2019-06-07,12.0102,12.0102,12.0102,12.0102,580,16.0000,0
2019-06-10,12.0102,12.0102,12.0102,12.0102,10,16.0000,0
2019-06-11,11.7099,11.9727,11.7099,11.9727,1010,15.9500,0
2019-06-12,12.2354,12.2354,11.6349,11.7850,22940,15.7000,0
2019-06-13,12.3480,12.3480,12.3480,12.3480,10,16.4500,0
2019-06-17,12.0853,12.0853,12.0102,12.0853,6900,16.1000,0
2019-06-18,12.0102,12.1604,12.0102,12.0102,7010,16.0000,0
2019-06-19,12.2354,12.2354,12.0477,12.1979,120,16.2500,0
2019-06-20,12.0478,12.1228,12.0478,12.0477,3490,16.0500,0
2019-06-21,12.0852,12.0852,12.0102,12.0477,4310,16.0500,0
2019-06-24,12.7608,12.7608,12.0102,12.3105,4540,16.4000,0
2019-06-25,12.2730,12.3856,12.2730,12.3855,11490,16.5000,0
2019-06-26,12.3855,13.2112,12.3855,12.7608,10060,17.0000,0
2019-06-27,13.1361,13.5865,12.7983,12.8734,21310,17.1500,0
2019-06-28,12.8734,13.6616,12.8734,13.3614,9750,17.8000,0
2019-07-01,13.4365,14.2622,13.1362,14.2621,75660,19.0000,0
2019-07-02,14.3372,14.8626,14.2621,14.8626,118720,19.8000,0
2019-07-03,14.7125,14.7125,14.6374,14.7125,19640,19.6000,0
2019-07-04,14.4122,14.7125,14.3372,14.7125,18140,19.6000,0
2019-07-05,14.4498,14.7125,14.4498,14.7125,10040,19.6000,0
2019-07-08,14.7876,15.7259,14.7876,15.7259,66830,20.9500,0
2019-07-09,16.1388,16.8143,16.0637,16.8143,84140,22.4000,0
2019-07-10,17.8652,17.9778,17.2647,17.2647,46790,23.0000,0
2019-07-11,16.9644,18.0153,16.8894,17.6400,38940,23.5000,0
2019-07-12,17.6400,18.7660,17.6400,18.7660,25110,25.0000,0
2019-07-15,18.3907,18.7660,17.8652,17.8652,37090,23.8000,0
2019-07-16,18.3156,19.0662,18.2405,18.2405,55540,24.3000,0
2019-07-17,17.3397,18.5408,17.3397,17.4148,23190,23.2000,0
2019-07-18,17.0395,17.6400,17.0395,17.6400,7280,23.5000,0
2019-07-19,17.2647,17.7901,17.2271,17.7151,790,23.6000,0
2019-07-22,17.7902,17.7902,16.4765,16.4765,36260,21.9500,0
2019-07-23,16.4765,16.5140,15.3505,16.2888,74690,21.7000,0
2019-07-24,16.2137,16.2137,15.1628,15.1629,33270,20.2000,0
2019-07-25,15.1629,16.1763,15.0128,16.1387,18610,21.5000,0
2019-07-26,16.1762,16.1762,15.0127,15.0128,16980,20.0000,0
2019-07-29,14.1871,14.1871,13.9619,13.9619,79350,18.6000,0
2019-07-30,14.5999,14.5999,13.5115,13.8868,23830,18.5000,0
2019-07-31,13.8868,13.9619,13.3614,13.4364,59510,17.9000,0
2019-08-01,13.4364,14.1870,13.3613,14.1871,17300,18.9000,0
2019-08-02,14.1871,14.1871,13.5115,14.0369,16300,18.7000,0
2019-08-05,13.5490,15.0127,13.5490,15.0128,18210,20.0000,0
2019-08-06,15.3881,16.0637,15.2380,16.0637,97720,21.4000,0
2019-08-07,16.0637,16.4390,15.4257,15.6883,14090,20.9000,0
2019-08-08,16.0261,16.0261,15.1253,15.6883,4540,20.9000,0
2019-08-09,15.1629,15.6132,15.0127,15.6133,23140,20.8000,0
2019-08-12,15.8760,15.8760,15.2380,15.2380,9370,20.3000,0
2019-08-13,15.2380,15.3881,14.6375,14.7876,25570,19.7000,0
2019-08-14,14.8627,15.3881,14.7876,15.1629,9800,20.2000,0
2019-08-15,15.0128,15.2380,14.6375,14.7876,3160,19.7000,0
2019-08-16,14.8251,15.8010,14.8251,15.8009,50260,21.0500,0
2019-08-19,16.1012,16.7392,15.7634,16.4765,36890,21.9500,0
2019-08-20,17.2647,17.2647,16.6642,16.9644,48730,22.6000,0
2019-08-21,17.0395,17.1896,16.3639,16.3639,20080,21.8000,0
2019-08-22,16.3639,16.4390,16.0636,16.4390,7190,21.9000,0
2019-08-23,16.4390,16.6642,16.2138,16.2138,25600,21.6000,0
2019-08-26,16.2138,17.0395,15.7634,16.8894,27250,22.5000,0
2019-08-27,16.8894,18.0529,16.7393,18.0528,237050,24.0500,0
2019-08-28,18.6908,18.7659,17.7525,17.7526,70420,23.6500,0
2019-08-29,17.8652,18.9912,17.7526,18.9911,166760,25.3000,0
2019-08-30,18.9911,18.9911,18.3155,18.6158,70600,24.8000,0
2019-09-03,18.0904,18.6909,17.8652,18.3906,74570,24.5000,0
2019-09-04,18.2405,18.3155,17.4898,18.0153,35600,24.0000,0
2019-09-05,18.0153,18.0153,17.5649,17.9778,19800,23.9500,0
2019-09-06,17.5649,17.5649,16.9644,16.9644,41600,22.6000,0
2019-09-09,16.9644,17.1896,16.9644,17.1896,4980,22.9000,0
2019-09-10,18.3531,18.3531,16.8893,17.2647,4570,23.0000,0
2019-09-11,16.6642,18.0904,16.6642,17.6400,200,23.5000,0
2019-09-12,17.6400,17.6400,16.9644,17.0395,12660,22.7000,0
2019-09-13,17.0395,17.7151,16.7392,16.7392,17500,22.3000,0
2019-09-16,16.8143,17.6400,16.8143,17.5274,8010,23.3500,0
2019-09-17,17.2647,17.3397,17.0395,17.2647,7700,23.0000,0
2019-09-18,17.2647,17.5650,17.1896,17.5649,4310,23.4000,0
2019-09-19,17.5274,17.5649,16.9269,16.9269,18430,22.5500,0
2019-09-20,17.2647,17.2647,16.9644,17.2647,1210,23.0000,0
2019-09-23,17.0395,17.0395,16.5141,16.5140,19460,22.0000,0
2019-09-24,16.5140,16.8893,16.3639,16.8518,3930,22.4500,0
2019-09-25,17.0770,17.0770,15.6883,16.2138,45870,21.6000,0
2019-09-26,16.1387,16.2889,15.2004,16.2888,24660,21.7000,0
2019-09-27,15.5757,15.9135,15.3880,15.5382,25070,20.7000,0
2019-09-30,15.3881,15.5382,15.3881,15.3881,15980,20.5000,0
2019-10-01,15.7634,15.7634,15.3881,15.7634,4940,21.0000,0
2019-10-02,15.4631,15.6883,15.3881,15.5007,6040,20.6500,0
2019-10-03,15.3881,15.3881,15.2380,15.3130,7000,20.4000,0
2019-10-04,15.3130,15.3881,15.1629,15.3130,9650,20.4000,0
2019-10-07,15.1629,15.6508,15.1629,15.6508,7210,20.8500,0
2019-10-08,15.4631,15.4631,15.3130,15.3130,2570,20.4000,0
2019-10-09,15.6133,15.7634,15.3881,15.7634,610,21.0000,0
2019-10-10,16.5140,16.5140,15.7634,15.7634,1380,21.0000,0
2019-10-11,15.3881,15.7634,15.3130,15.7634,8100,21.0000,0
2019-10-14,15.6133,15.6133,15.6133,15.6133,280,20.8000,0
2019-10-15,15.3881,15.5382,14.6375,14.6374,24950,19.5000,0
2019-10-16,15.2379,15.6508,15.2379,15.6508,2690,20.8500,0
2019-10-17,15.4631,15.7634,15.3881,15.7634,2380,21.0000,0
2019-10-18,15.2755,15.5757,15.0128,15.5382,20260,20.7000,0
2019-10-21,15.3881,15.3881,15.3881,15.3881,5000,20.5000,0
2019-10-22,15.0503,15.3881,15.0503,15.3881,20,20.5000,0
2019-10-23,15.1629,15.1629,15.0128,15.0503,22900,20.0500,0
2019-10-24,15.3130,16.1012,15.0128,16.1012,70,21.4500,0
2019-10-28,15.3130,15.3130,15.0128,15.2380,10150,20.3000,237787
2019-10-29,15.2380,15.2380,15.2380,15.2380,10760,20.3000,0
2019-10-30,15.2380,15.2380,15.1629,15.1629,22180,20.2000,0
2019-10-31,14.8626,15.6133,14.8626,15.6133,40,20.8000,0
2019-11-04,14.7125,15.6133,14.7125,14.8251,620,19.7500,0
2019-11-05,14.8626,14.8626,14.8251,14.8626,890,19.8000,0
2019-11-06,14.8626,14.8626,14.8251,14.8251,1690,19.7500,0
2019-11-07,14.7876,14.8251,14.7876,14.8251,20,19.7500,0
2019-11-11,14.8251,15.0128,14.8251,14.8251,1870,19.7500,0
2019-11-12,14.7876,15.3130,14.7876,15.3130,1760,20.4000,0
2019-11-13,15.3130,15.3130,15.3130,15.3130,150,20.4000,0
2019-11-14,14.7125,15.2755,14.4122,15.2755,11110,20.3500,0
2019-11-15,15.0128,15.0128,15.0128,15.0128,100,20.0000,0
2019-11-18,14.3372,14.9753,14.3372,14.9752,1260,19.9500,0
2019-11-19,14.6374,14.9377,14.6374,14.9377,1020,19.9000,0
2019-11-22,14.6374,14.6374,14.6374,14.6374,4180,19.5000,0
2019-11-25,14.4873,14.4873,13.8117,14.4123,6540,19.2000,0
2019-11-26,14.2622,14.4123,14.2622,14.2621,2750,19.0000,0
2019-11-27,14.2621,14.5999,14.2621,14.5999,910,19.4500,0
2019-11-28,14.1870,14.2621,14.1870,14.2621,1520,19.0000,0
2019-11-29,14.2621,14.4122,14.1120,14.3747,11600,19.1500,0
2019-12-05,14.3747,14.3747,14.3747,14.3747,1000,19.1500,0
2019-12-10,14.0369,14.9377,13.9618,14.9377,5110,19.9000,0
2019-12-13,14.9377,14.9377,14.9377,14.9377,30,19.9000,0
2019-12-16,14.2621,14.2621,14.2621,14.2621,210,19.0000,0
2019-12-17,14.2621,14.2621,14.2621,14.2621,270,19.0000,0
2019-12-18,14.2621,14.2621,14.2621,14.2621,2090,19.0000,0
2019-12-20,14.2621,14.3372,14.2621,14.3372,8000,19.1000,0
2019-12-24,14.3372,14.3372,13.6616,13.6616,1800,18.2000,0
