date,open,high,low,close,volume,unadjusted,putthrough
2009-11-25,11.9921,11.9921,10.9927,11.4924,191100,57.5000,0
2009-11-26,10.9927,10.9927,10.9927,10.9927,29090,55.0000,0
2009-11-27,10.4930,11.3924,10.4930,10.4931,127020,52.5000,87000
2009-11-30,9.9934,10.9928,9.9934,10.7929,110100,54.0000,0
2009-12-01,10.9928,10.9928,10.5930,10.6929,72930,53.5000,0
2009-12-02,10.1932,10.4930,10.1932,10.1933,126130,51.0000,0
2009-12-03,10.1933,10.6930,10.1933,10.6929,251280,53.5000,0
2009-12-04,10.7928,11.1926,10.7928,11.1926,527530,56.0000,0
2009-12-07,11.2925,11.2925,10.9927,11.1926,139860,56.0000,0
2009-12-08,11.1926,11.1926,10.6929,10.6929,187990,53.5000,0
2009-12-09,10.1932,10.3931,10.1932,10.1933,195490,51.0000,0
2009-12-10,10.0934,10.4931,9.6936,9.6936,200690,48.5000,0
2009-12-11,9.8935,9.8935,9.3938,9.5936,96060,48.0000,0
2009-12-14,9.5936,9.9933,9.5936,9.9934,33670,50.0000,576000
2009-12-15,9.6936,9.9934,9.5937,9.7535,49330,48.8000,0
2009-12-16,9.3862,9.9575,9.2842,9.9574,37210,48.8000,0
2009-12-17,9.4881,9.9370,9.4677,9.9370,77510,48.7000,80000
2009-12-18,10.2023,10.2023,10.1002,10.1410,16250,49.7000,0
2009-12-21,10.4063,10.6103,10.2022,10.6103,68290,52.0000,200000
2009-12-22,10.4063,10.6103,10.2022,10.5083,89870,51.5000,0
2009-12-23,10.1002,10.3043,10.1002,10.2022,70400,50.0000,0
2009-12-24,9.7941,10.2022,9.7941,10.1206,96460,49.6000,0
2009-12-25,10.2022,10.6103,10.1410,10.3043,205390,50.5000,0
2009-12-28,10.2023,10.3043,10.1003,10.1410,82540,49.7000,0
2009-12-29,9.9166,10.2022,9.9166,10.1410,77120,49.7000,0
2009-12-30,10.1410,10.6103,9.9166,10.6103,205290,52.0000,0
2009-12-31,10.6103,10.8143,10.3042,10.8144,383950,53.0000,393440
2010-01-04,10.7124,11.0184,10.6104,11.0184,302610,54.0000,258000
2010-01-05,11.4265,11.4265,10.8144,10.9164,128170,53.5000,0
2010-01-06,10.9164,11.4265,10.9164,11.4265,685930,56.0000,0
2010-01-07,11.9366,11.9366,11.7326,11.9366,1227060,58.5000,427000
2010-01-08,12.4467,12.4467,11.5285,11.5285,915780,56.5000,0
2010-01-11,11.5285,11.6305,11.0184,11.1204,183910,54.5000,0
2010-01-12,11.1204,11.2224,10.7123,10.7124,366020,52.5000,0
2010-01-13,10.6104,10.9164,10.1819,10.6103,879220,52.0000,50000
2010-01-14,10.9164,10.9164,10.5083,10.6103,315190,52.0000,0
