date,open,high,low,close,volume,unadjusted,putthrough
2018-11-30,15.7610,15.7610,15.7610,15.7610,40000,18.7000,0
2018-12-03,16.8567,16.8567,16.8567,16.8567,5000,20.0000,0
2018-12-04,18.0367,18.0367,18.0367,18.0367,5010,21.4000,0
2018-12-05,19.2588,19.2588,19.2588,19.2588,6010,22.8500,0
2018-12-06,20.5652,20.5652,20.5231,20.5652,873940,24.4000,0
2018-12-07,21.8295,21.9980,21.5345,21.5345,538490,25.5500,0
2018-12-10,21.5345,21.7874,21.0709,21.0709,287480,25.0000,0
2018-12-11,19.5959,19.5959,19.5959,19.5959,107180,23.2500,0
2018-12-12,18.2474,18.2474,18.2474,18.2474,167420,21.6500,0
2018-12-13,16.9831,18.2895,16.9831,18.2895,737670,21.7000,0
2018-12-14,17.6995,17.9102,17.0674,17.1517,243280,20.3500,0
2018-12-17,16.8567,17.2360,16.8567,17.2360,362200,20.4500,0
2018-12-18,17.0253,17.1096,16.9410,17.1096,72290,20.3000,0
2018-12-19,17.1096,17.1096,16.8146,16.9410,130760,20.1000,0
2018-12-20,16.8989,16.9831,16.7724,16.9831,76100,20.1500,0
2018-12-21,16.9831,17.0674,16.3510,17.0674,151320,20.2500,0
2018-12-24,16.8567,17.0674,16.8567,17.0674,106900,20.2500,0
2018-12-25,16.9831,16.9831,16.7724,16.8567,92760,20.0000,0
2018-12-26,16.8567,17.2360,16.8567,17.2360,155870,20.4500,0
2018-12-27,17.1939,17.3203,17.1939,17.1938,90770,20.4000,0
2018-12-28,17.1938,18.2895,17.0674,18.2474,528250,21.6500,640000
2019-01-02,18.2474,18.8374,18.2474,18.8374,359700,22.3500,0
2019-01-03,18.8374,19.1324,18.0367,18.0367,494820,21.4000,0
2019-01-04,16.8146,17.1096,16.8146,16.8146,356920,19.9500,0
2019-01-07,16.8146,16.9410,16.6039,16.9410,175560,20.1000,0
2019-01-08,16.9410,16.9410,16.7724,16.8989,71340,20.0500,0
2019-01-09,16.8568,16.9410,16.7725,16.9410,95960,20.1000,0
2019-01-10,16.9410,16.9410,16.7303,16.8567,116970,20.0000,0
2019-01-11,16.8567,16.8988,16.7724,16.8989,91830,20.0500,0
2019-01-14,16.8989,16.9410,16.8146,16.9410,79970,20.1000,0
2019-01-15,16.9410,16.9410,16.8567,16.8567,92630,20.0000,0
2019-01-16,16.8567,16.9410,16.8567,16.8989,113690,20.0500,0
2019-01-17,16.8568,17.0253,16.8568,16.9410,108310,20.1000,0
2019-01-18,16.9410,16.9410,16.8567,16.8567,87600,20.0000,0
2019-01-21,16.8567,16.9410,16.8567,16.9410,81960,20.1000,0
2019-01-22,16.9410,16.9410,16.8146,16.8567,91060,20.0000,0
2019-01-23,16.8988,16.9410,16.8567,16.8567,74450,20.0000,0
2019-01-24,16.8567,16.8988,16.8567,16.8989,97190,20.0500,0
2019-01-25,16.8989,16.9832,16.8568,16.8567,96640,20.0000,0
2019-01-28,16.8567,16.9410,16.8146,16.8567,101100,20.0000,0
2019-01-29,16.8567,16.9410,16.8146,16.8567,113240,20.0000,0
2019-01-30,16.8567,16.8567,16.8146,16.8567,91390,20.0000,0
2019-01-31,16.8567,17.0253,16.8567,17.0253,88830,20.2000,0
2019-02-01,17.0674,17.1096,16.9832,17.0674,97110,20.2500,0
2019-02-11,17.0674,17.2781,17.0674,17.1938,79750,20.4000,0
2019-02-12,17.1517,17.2781,17.1517,17.1938,108880,20.4000,0
2019-02-13,17.1938,17.1938,17.0674,17.1096,128020,20.3000,0
2019-02-14,17.1517,17.1939,17.1096,17.1517,77760,20.3500,0
2019-02-15,17.1517,17.2360,17.0674,17.1938,85070,20.4000,0
2019-02-18,17.1938,17.1938,17.1095,17.1517,80850,20.3500,0
2019-02-19,17.1517,17.8681,17.1517,17.6996,560270,21.0000,0
2019-02-20,17.6996,18.3317,17.6575,18.1210,520800,21.5000,0
2019-02-21,18.1210,18.2474,17.8681,17.8681,211220,21.2000,0
2019-02-22,17.8681,17.9524,17.7838,17.9103,129320,21.2500,0
2019-02-25,17.9103,17.9103,17.6996,17.7838,155420,21.1000,0
2019-02-26,17.7838,17.9102,17.6574,17.6996,118450,21.0000,0
2019-02-27,17.6996,17.7417,17.6575,17.6996,108070,21.0000,0
2019-02-28,17.6996,17.8682,17.6996,17.8260,180790,21.1500,0
2019-03-01,17.8260,17.9946,17.7839,17.9524,130720,21.3000,0
2019-03-04,17.9945,19.1745,17.9945,19.1745,527870,22.7500,0
2019-03-05,19.2166,19.7223,19.1745,19.3009,617940,22.9000,0
2019-03-06,19.3009,19.5116,18.5845,18.8795,386870,22.4000,0
2019-03-07,18.8374,18.8795,18.3738,18.5845,294770,22.0500,0
2019-03-08,18.5845,18.8374,18.4581,18.7110,179310,22.2000,0
2019-03-11,18.7110,19.0481,18.6689,19.0481,168410,22.6000,0
2019-03-12,19.0902,19.1745,18.9217,18.9217,154680,22.4500,0
2019-03-13,19.0060,19.0481,18.8374,18.9217,103150,22.4500,0
2019-03-14,18.9638,18.9638,18.8374,18.9638,98010,22.5000,0
2019-03-15,18.9638,20.2702,18.9638,20.2702,862500,24.0500,0
