date,open,high,low,close,volume,unadjusted,putthrough
2020-01-15,19.2391,19.2391,16.9487,16.9487,14970,18.5000,0
2020-01-16,15.8035,15.8035,15.8035,15.8036,4800,17.2500,0
2020-01-17,14.7042,14.7042,14.7042,14.7042,10440,16.0500,0
2020-01-20,13.6964,14.7042,13.6964,14.7042,23100,16.0500,0
2020-01-21,14.7042,15.7120,13.7422,15.7119,12030,17.1500,0
2020-01-22,15.5745,15.5745,14.6125,14.6126,5560,15.9500,0
2020-01-30,13.7423,13.7423,13.6048,13.6048,17300,14.8500,0
2020-01-31,13.0093,13.2841,12.6887,12.6887,12900,13.8500,0
2020-02-03,12.7345,12.7345,11.8184,11.8183,11140,12.9000,0
2020-02-04,11.5893,12.3680,11.1770,11.8183,28040,12.9000,0
2020-02-05,11.8183,11.8183,11.7267,11.8183,10350,12.9000,0
2020-02-06,11.8183,12.6428,11.8183,12.6429,17690,13.8000,0
2020-02-07,12.3681,12.7345,12.3681,12.3680,16480,13.5000,0
2020-02-10,12.6428,12.6428,12.0932,12.3680,7790,13.5000,0
2020-02-12,12.6428,13.1925,12.3680,12.5054,22750,13.6500,0
2020-02-13,12.5054,12.5054,12.4596,12.4596,13430,13.6000,0
2020-02-14,12.8261,12.8261,12.8261,12.8261,500,14.0000,0
2020-02-17,12.8261,12.8261,12.3680,12.4596,13020,13.6000,0
2020-02-18,12.4138,12.4596,12.2764,12.4596,42070,13.6000,0
2020-02-19,12.4596,12.4596,12.3222,12.4596,7320,13.6000,0
2020-02-20,12.4596,12.7344,12.3680,12.7345,21790,13.9000,0
2020-02-21,12.8261,12.8261,12.8261,12.8261,10,14.0000,0
2020-02-24,12.8261,12.8261,12.3680,12.7345,34170,13.9000,0
2020-02-25,12.4138,12.8261,12.3680,12.4596,36100,13.6000,0
2020-02-26,12.4596,12.8261,12.4596,12.7345,10760,13.9000,0
2020-02-27,12.7345,13.2842,12.7345,13.2842,4160,14.5000,0
2020-02-28,12.8261,12.8261,12.8261,12.8261,3020,14.0000,0
2020-03-02,12.4596,12.7345,12.4596,12.7345,5000,13.9000,0
2020-03-03,12.8261,12.8261,12.7345,12.7345,4600,13.9000,0
2020-03-04,12.7345,12.7345,12.4597,12.4596,29400,13.6000,0
2020-03-05,12.4596,12.4596,12.4596,12.4596,53010,13.6000,0
2020-03-06,12.5512,12.5512,12.3680,12.4596,82280,13.6000,0
2020-03-09,12.4596,12.4596,11.8183,11.9099,4040,13.0000,0
2020-03-10,12.7344,12.7344,11.9099,12.2764,27140,13.4000,0
2020-03-11,12.2764,12.2764,11.9099,12.1848,14130,13.3000,0
2020-03-12,11.9100,12.0016,11.3603,11.8183,27080,12.9000,0
2020-03-13,11.6351,11.8183,11.0854,11.6809,17480,12.7500,0
2020-03-16,12.2764,12.2764,11.6351,11.6351,6630,12.7000,0
2020-03-17,11.3603,11.9099,11.3603,11.4519,5480,12.5000,0
2020-03-18,10.7648,11.5435,10.7648,11.5435,19650,12.6000,0
2020-03-19,11.1770,11.9100,11.1770,11.4519,16730,12.5000,0
2020-03-20,11.5435,11.6351,11.4519,11.4977,6460,12.5500,0
2020-03-23,11.4519,11.4519,11.1770,11.2686,15730,12.3000,0
2020-03-24,11.0396,11.8183,10.9938,11.8183,4010,12.9000,0
2020-03-25,11.8183,11.8183,11.6351,11.6351,1090,12.7000,0
2020-03-26,11.6351,11.6351,10.9022,10.9022,21800,11.9000,0
2020-03-27,10.9022,11.2687,10.9022,11.0854,2140,12.1000,0
2020-03-30,10.9938,11.1770,10.9022,11.1770,6850,12.2000,0
2020-03-31,11.3602,11.4518,10.9938,10.9938,8100,12.0000,0
2020-04-01,11.3603,11.4519,11.3603,11.4519,1700,12.5000,0
2020-04-03,11.4519,11.9100,11.4519,11.5435,6750,12.6000,0
2020-04-06,11.5435,12.0932,11.4519,12.0932,32820,13.2000,0
2020-04-07,11.7267,11.9100,11.7267,11.8183,3210,12.9000,0
2020-04-08,11.8641,11.9099,11.7267,11.7267,2180,12.8000,0
2020-04-09,11.7267,11.9099,11.6351,11.6351,18490,12.7000,0
2020-04-10,11.9099,11.9099,11.5435,11.5435,8960,12.6000,0
2020-04-13,11.5435,11.9100,11.5435,11.5893,12720,12.6500,0
2020-04-14,11.9100,11.9100,11.5893,11.5893,2060,12.6500,0
2020-04-15,11.8183,11.8183,11.4977,11.8183,16720,12.9000,0
2020-04-16,11.4518,11.5435,11.4518,11.4977,15190,12.5500,0
2020-04-17,11.5435,11.8184,11.4519,11.4977,8580,12.5500,0
2020-04-20,11.4977,11.7267,11.4519,11.7267,9230,12.8000,0
2020-04-21,11.6351,11.6351,11.2686,11.3602,3010,12.4000,0
2020-04-22,11.1770,11.6350,11.1770,11.3602,6180,12.4000,0
2020-04-23,11.3602,11.8183,10.9937,11.6809,20110,12.7500,0
2020-04-24,11.6351,11.8641,11.4519,11.8641,5010,12.9500,0
2020-04-27,11.7267,12.1848,11.7267,12.0015,14350,13.1000,0
2020-04-28,12.4596,12.8260,12.3680,12.8261,80140,14.0000,0
2020-04-29,13.6964,13.6964,13.6964,13.6964,33060,14.9500,0
2020-05-04,14.6125,14.6125,14.6125,14.6126,45780,15.9500,0
2020-05-05,15.6204,15.6204,14.0171,14.0171,201620,15.3000,0
2020-05-06,14.0171,14.4752,14.0171,14.4751,22960,15.8000,0
2020-05-07,13.7422,14.8416,13.7422,14.1545,15450,15.4500,0
2020-05-08,13.7422,15.1165,13.7422,15.1165,126050,16.5000,0
2020-05-11,15.3455,15.8952,15.2081,15.3455,89790,16.7500,0
2020-05-12,14.7500,15.4829,14.7500,15.0248,35670,16.4000,0
2020-05-13,14.8416,14.8416,14.2919,14.3835,79060,15.7000,0
2020-05-14,14.3835,15.1164,14.1087,14.6584,44730,16.0000,0
2020-05-15,14.6584,14.6584,14.2919,14.4751,15710,15.8000,0
2020-05-18,15.3912,15.3912,14.5667,14.8416,21480,16.2000,0
2020-05-19,14.8416,14.8416,14.4751,14.7958,15480,16.1500,0
2020-05-20,14.5668,14.6584,14.1545,14.2003,36690,15.5000,0
2020-05-21,14.1087,14.6584,14.1087,14.6584,46000,16.0000,0
2020-05-22,14.3836,14.6584,14.2003,14.5668,29560,15.9000,0
2020-05-25,14.4294,14.5668,14.2461,14.4751,38310,15.8000,0
2020-05-26,14.5667,14.9332,14.5209,14.8416,85610,16.2000,0
2020-05-27,15.2081,15.2081,14.4751,14.4751,18610,15.8000,0
2020-05-28,14.4751,14.6583,14.2003,14.2003,37330,15.5000,0
2020-05-29,13.9255,14.3835,13.9255,14.2003,17080,15.5000,0
2020-06-01,14.4293,14.5668,14.2919,14.4293,28760,15.7500,0
2020-06-02,14.4293,14.5209,14.2461,14.3835,33250,15.7000,0
2020-06-03,14.4293,14.4751,14.3377,14.4751,9680,15.8000,0
2020-06-04,14.4751,14.6583,14.4751,14.5668,50110,15.9000,0
2020-06-05,14.6584,15.5746,14.6584,15.2997,170500,16.7000,0
2020-06-08,16.3533,16.3533,15.2081,16.3533,209260,17.8500,0
2020-06-09,16.3533,16.9488,16.1243,16.9487,77150,18.5000,0
2020-06-10,16.3074,16.4906,15.8493,15.9410,40810,17.4000,0
2020-06-11,16.4907,16.4907,15.0249,15.0248,108720,16.4000,0
2020-06-12,14.6583,15.2996,14.2919,15.2997,56810,16.7000,0
2020-06-15,15.6662,15.6662,14.2919,14.5668,33750,15.9000,0
2020-06-16,14.9333,15.5746,14.5668,15.5745,25750,17.0000,0
2020-06-17,15.5745,15.9410,14.8416,15.5745,31320,17.0000,0
2020-06-18,15.9410,15.9410,14.9790,15.8494,32010,17.3000,0
2020-06-19,16.1242,16.9488,15.9868,16.9487,393260,18.5000,0
2020-06-22,17.5900,18.0939,17.0403,18.0939,239410,19.7500,0
2020-06-23,19.0100,19.3307,18.5062,19.0559,259410,20.8000,0
2020-06-24,19.2391,19.2849,17.8649,17.8649,105540,19.5000,0
2020-06-25,17.5901,19.1017,17.5901,18.9643,156910,20.7000,0
2020-06-26,18.9643,20.1553,18.3230,19.6514,188260,21.4500,0
2020-06-29,18.5062,19.0559,18.3230,18.3230,131730,20.0000,0
2020-06-30,17.9565,18.4146,17.4068,17.4068,98190,19.0000,0
2020-07-01,17.7733,18.5978,17.4984,18.1397,48870,19.8000,0
2020-07-02,17.8649,18.8726,17.4984,18.7810,185950,20.5000,0
2020-07-03,18.7810,18.7810,18.3229,18.6894,31730,20.4000,0
2020-07-06,18.7810,18.7810,18.1855,18.2314,22650,19.9000,0
2020-07-07,18.3230,18.5062,17.9566,18.0939,69500,19.7500,50000
2020-07-08,18.0481,18.5062,18.0481,18.0939,28810,19.7500,0
2020-07-09,18.6894,18.6894,17.8191,17.8191,66660,19.4500,0
2020-07-10,18.0023,18.1398,16.6739,17.9107,160340,19.5500,235000
2020-07-13,17.8191,18.3230,17.7733,17.9565,17600,19.6000,0
2020-07-14,17.8600,18.2461,17.5221,17.8606,62170,18.5000,0
2020-07-15,17.5710,19.0674,17.5710,18.9226,114390,19.6000,0
2020-07-16,18.9226,19.1157,18.2468,18.8260,76590,19.5000,0
2020-07-17,19.0191,19.0191,18.5364,18.7295,54390,19.4000,0
2020-07-20,18.1502,18.5364,18.1502,18.1502,45400,18.8000,0
2020-07-21,17.8606,18.2467,17.7640,17.7640,20940,18.4000,265000
2020-07-22,17.8123,18.3433,17.7640,18.2468,11480,18.9000,0
2020-07-23,18.2468,18.2468,17.8606,17.8606,6130,18.5000,0
2020-07-24,18.1502,18.9226,17.3779,17.9571,95440,18.6000,0
2020-07-27,17.3778,17.4744,16.7020,16.7021,99700,17.3000,0
2020-07-28,17.0883,17.8606,16.8952,17.8606,149640,18.5000,0
2020-07-29,17.0882,17.7641,16.9917,17.7640,41800,18.4000,0
2020-07-30,17.5709,18.2467,17.5709,18.0537,38440,18.7000,0
2020-07-31,17.1848,17.5710,17.1848,17.2813,11500,17.9000,0
2020-08-03,17.2813,18.2950,17.2813,18.1502,93100,18.8000,0
2020-08-04,18.2950,18.6329,18.0537,18.0537,64690,18.7000,0
2020-08-05,18.1502,18.3433,17.8606,18.3433,42170,19.0000,0
2020-08-06,18.1502,19.5984,18.1502,19.5501,622880,20.2500,0
2020-08-07,19.5501,20.7569,19.5018,19.9846,115920,20.7000,0
2020-08-10,20.2742,20.9500,19.7915,20.2742,104660,21.0000,0
2020-08-11,19.7915,20.2259,19.4053,19.5501,181870,20.2500,0
2020-08-12,19.7432,19.7432,19.1157,19.3087,92620,20.0000,0
2020-08-13,19.4052,19.7914,19.4052,19.6949,50210,20.4000,0
2020-08-14,19.5018,19.5984,19.2122,19.3087,61370,20.0000,0
2020-08-17,19.0191,19.6466,18.9708,19.0191,67840,19.7000,0
2020-08-18,19.4535,19.4535,18.9226,19.1639,33080,19.8500,0
2020-08-19,19.1156,20.4672,19.1156,20.4190,324160,21.1500,0
2020-08-20,20.7569,20.7569,19.8880,19.9846,37650,20.7000,0
2020-08-21,19.8881,20.7570,19.8881,20.7569,79270,21.5000,0
2020-08-24,20.7569,21.2396,20.7569,20.9017,140510,21.6500,0
2020-08-25,20.9017,20.9500,20.2742,20.4190,86960,21.1500,0
2020-08-26,20.4190,20.6604,20.2259,20.2742,78190,21.0000,0
2020-08-27,20.2742,20.4673,20.1777,20.4673,39790,21.2000,0
2020-08-28,20.4673,21.6258,20.4673,20.9983,240900,21.7500,0
2020-08-31,20.9983,21.4327,20.6604,20.7569,90810,21.5000,0
2020-09-01,20.7569,20.7569,20.4673,20.5638,104230,21.3000,0
2020-09-03,20.2742,20.5638,19.7915,20.3707,149770,21.1000,0
2020-09-04,20.0328,20.2742,19.9845,20.1776,57860,20.9000,0
2020-09-07,19.7914,20.2741,19.5018,19.5018,115360,20.2000,0
2020-09-08,19.5018,19.7914,19.3570,19.3570,98470,20.0500,0
2020-09-09,19.2122,20.2742,19.1156,20.0328,74570,20.7500,0
2020-09-10,19.8880,19.9845,19.6949,19.7432,27680,20.4500,0
2020-09-11,20.0811,20.2742,19.7915,20.1776,64180,20.9000,0
2020-09-14,20.2741,20.3707,20.0811,20.2742,61330,21.0000,0
2020-09-15,20.2742,20.3225,20.0811,20.2742,62170,21.0000,0
2020-09-16,20.3225,20.3225,19.8880,20.0811,30960,20.8000,0
2020-09-17,19.9846,20.2259,19.8397,19.8880,36160,20.6000,0
2020-09-18,20.0811,20.2259,19.8880,19.9846,8400,20.7000,0
2020-09-21,20.0329,20.4673,19.8881,20.0328,64100,20.7500,0
2020-09-22,20.2742,20.3707,19.8880,20.3225,56930,21.0500,0
2020-09-23,20.4673,21.0466,20.4673,20.7569,135630,21.5000,0
2020-09-24,20.7569,20.9500,20.4673,20.9500,57160,21.7000,0
2020-09-25,20.8535,21.0465,20.6604,20.6604,52050,21.4000,0
2020-09-28,20.3708,20.8535,20.3708,20.6604,27040,21.4000,0
2020-09-29,21.0466,21.0466,20.4673,20.4673,24610,21.2000,0
2020-09-30,20.3225,20.5638,20.2742,20.4673,40390,21.2000,0
2020-10-01,20.2742,20.4673,20.1294,20.1294,63750,20.8500,0
2020-10-02,20.1294,20.5638,19.9846,20.1294,32700,20.8500,0
2020-10-05,20.2742,20.2742,20.1294,20.1776,23630,20.9000,0
2020-10-06,20.1776,20.3707,20.1776,20.1776,14230,20.9000,0
2020-10-07,19.9845,20.2741,19.9845,20.0811,14730,20.8000,0
2020-10-08,20.2742,20.2742,19.9846,20.0328,29280,20.7500,0
2020-10-09,20.5638,20.5638,20.0328,20.5638,58630,21.3000,50000
2020-10-12,20.5638,20.6603,20.2742,20.5155,60140,21.2500,0
2020-10-13,20.5155,20.5155,20.3224,20.4190,2960,21.1500,0
2020-10-14,20.1776,20.4673,20.1776,20.2742,6400,21.0000,0
2020-10-15,20.1777,20.2742,19.3088,20.0811,167290,20.8000,0
2020-10-16,19.8880,20.0811,19.7432,19.7915,5380,20.5000,0
2020-10-19,19.7915,19.7915,19.5984,19.5984,29070,20.3000,0
2020-10-20,19.5984,20.0811,19.4053,19.5018,44730,20.2000,0
2020-10-21,19.5018,20.0811,19.5018,20.0328,17920,20.7500,0
2020-10-22,19.8880,19.9845,19.8880,19.9846,6480,20.7000,0
2020-10-23,20.0811,20.0811,19.9846,19.9846,180,20.7000,0
2020-10-26,19.5019,19.9846,19.4053,19.5018,31340,20.2000,0
2020-10-27,19.5018,19.5018,18.2467,18.7295,105200,19.4000,0
2020-10-28,18.7295,18.7295,17.4262,17.4261,135900,18.0500,0
2020-10-29,17.4261,18.2467,17.2813,18.0054,63130,18.6500,0
2020-10-30,19.0191,19.0191,18.3433,18.4399,14630,19.1000,0
2020-11-02,19.3571,19.3571,18.0537,18.3433,2540,19.0000,0
2020-11-03,18.3433,18.8260,17.9089,18.3433,5460,19.0000,0
2020-11-04,18.8260,18.8260,18.0537,18.2468,2660,18.9000,0
2020-11-05,18.0537,18.2468,17.8606,18.2468,12060,18.9000,0
2020-11-06,18.3433,18.3433,17.9572,18.1502,7620,18.8000,0
2020-11-09,18.1502,18.7295,18.1502,18.5847,35190,19.2500,0
2020-11-10,18.5847,19.3088,18.5847,18.6329,27650,19.3000,0
2020-11-11,18.1502,18.8260,18.1502,18.6329,14490,19.3000,60000
2020-11-12,18.3433,18.6329,18.3433,18.4399,5860,19.1000,0
2020-11-13,18.4399,18.8261,18.3916,18.7295,18890,19.4000,0
2020-11-16,18.6812,18.8260,18.3433,18.5364,22600,19.2000,0
2020-11-17,18.8260,18.8260,18.6329,18.6329,3280,19.3000,0
2020-11-18,18.6329,19.9362,18.6329,19.0191,29470,19.7000,0
2020-11-19,18.9226,19.0674,18.9226,19.0674,21890,19.7500,0
2020-11-20,19.3088,19.7915,19.1639,19.1639,12510,19.8500,0
2020-11-23,19.3087,19.4053,19.3087,19.3087,24900,20.0000,0
2020-11-24,19.2122,20.6603,19.2122,20.6604,337750,21.4000,0
2020-11-25,20.6604,20.7569,20.5639,20.6121,47380,21.3500,0
2020-11-26,20.6121,20.6121,20.0811,20.4673,23470,21.2000,0
2020-11-27,19.9846,20.5638,19.9846,20.5638,49960,21.3000,0
2020-11-30,20.1294,21.2396,20.1294,20.4673,116950,21.2000,0
2020-12-01,21.8672,21.8672,19.8880,21.8672,637320,22.6500,0
2020-12-02,23.3636,23.3636,22.2051,22.5912,150560,23.4000,0
2020-12-03,22.6877,23.1705,22.3016,22.3499,46750,23.1500,0
