date,open,high,low,close,volume,unadjusted,putthrough
2010-09-13,14.1991,14.1991,11.4303,12.2112,1091600,17.2000,0
2010-09-14,12.9212,12.9212,11.5722,11.7853,516000,16.6000,250000
2010-09-15,11.9983,11.9983,11.0753,11.2173,790000,15.8000,10000
2010-09-16,11.2173,11.9983,11.1463,11.9983,930900,16.9000,0
2010-09-17,12.6373,12.6373,12.2113,12.6372,346800,17.8000,25000
2010-09-20,13.4891,13.4891,12.9212,13.2762,943300,18.7000,10000
2010-09-21,13.2052,13.4892,12.5662,12.7082,1269700,17.9000,0
2010-09-22,12.5662,13.6311,12.2112,13.2762,1621400,18.7000,0
2010-09-23,13.2762,13.2762,12.4243,12.9212,774500,18.2000,0
2010-09-24,12.8502,13.0632,12.7082,12.7792,443200,18.0000,0
2010-09-27,12.9212,12.9922,12.5662,12.7082,611100,17.9000,0
2010-09-28,12.8502,13.1342,12.6372,12.7082,674300,17.9000,25000
2010-09-29,12.4242,12.7082,11.9982,11.9983,796100,16.9000,0
2010-09-30,12.1403,12.2113,11.7853,12.0693,513200,17.0000,0
2010-10-01,12.1403,12.2113,11.4303,11.5723,306400,16.3000,0
2010-10-04,11.5723,11.5723,10.8623,11.0753,847100,15.6000,50000
2010-10-05,10.7913,11.3593,10.5783,11.3593,469500,16.0000,0
2010-10-06,11.3593,11.7143,11.1463,11.6433,697500,16.4000,50000
2010-10-07,11.4303,11.7143,11.0753,11.0753,434700,15.6000,0
2010-10-08,11.0043,11.2883,10.8623,10.9333,380700,15.4000,0
2010-10-11,10.9333,11.0043,10.5783,10.7203,379100,15.1000,0
2010-10-12,10.6493,10.9333,10.3653,10.4364,365000,14.7000,10000
2010-10-13,10.7204,10.7204,10.2944,10.5073,234200,14.8000,0
2010-10-14,10.7203,10.8623,10.4363,10.5073,314600,14.8000,0
2010-10-15,10.8623,10.8623,9.9393,10.0814,357600,14.2000,0
2010-10-18,10.1524,10.2234,9.7264,9.7264,323900,13.7000,0
2010-10-19,9.7264,9.7974,9.3004,9.5134,943900,13.4000,0
2010-10-20,9.3714,9.3714,8.7324,8.7325,672300,12.3000,0
2010-10-21,9.0165,9.2295,8.3065,8.5195,538200,12.0000,0
2010-10-22,8.6615,8.8035,8.3065,8.4485,273500,11.9000,0
2010-10-25,8.5905,8.5905,8.0225,8.5195,353300,12.0000,78500
2010-10-26,8.6615,8.8745,8.6615,8.8745,198900,12.5000,20000
2010-10-27,9.4425,9.4425,8.7325,8.8035,647700,12.4000,30000
2010-10-28,8.8745,9.0875,8.5905,8.7325,144600,12.3000,30000
2010-10-29,8.5195,8.9455,8.5195,8.7325,145600,12.3000,90000
2010-11-01,8.9455,8.9455,8.4485,8.4485,203800,11.9000,20000
2010-11-02,9.0875,9.0875,8.2355,8.3065,209700,11.7000,60000
