date,open,high,low,close,volume,unadjusted,putthrough
2010-06-01,4.9509,4.9509,3.4441,3.7024,5400,43.0000,0
2010-06-02,4.0640,4.0640,3.5474,3.5474,10600,41.2000,0
2010-06-03,3.3666,3.4010,3.3666,3.3666,7100,39.1000,0
2010-06-04,3.1427,3.1427,3.1341,3.1341,6300,36.4000,0
2010-06-07,2.9188,3.0997,2.9188,3.0997,12600,36.0000,0
2010-06-08,3.0997,3.0997,3.0136,3.0480,1200,35.4000,0
2010-06-09,3.1858,3.1858,2.8414,3.0567,5700,35.5000,0
2010-06-10,3.0136,3.0136,2.8414,2.8414,1000,33.0000,0
2010-06-11,2.7553,2.7553,2.7209,2.7209,4800,31.6000,0
2010-06-14,2.5831,2.7381,2.5487,2.7381,12600,31.8000,0
2010-06-15,2.5917,2.6692,2.5831,2.6692,9900,31.0000,0
2010-06-16,2.7984,2.7984,2.7984,2.7983,6300,32.5000,0
2010-06-17,2.9705,2.9877,2.9705,2.9878,5500,34.7000,0
2010-06-18,2.7812,2.9620,2.7812,2.9619,7000,34.4000,0
2010-06-21,3.0394,3.0394,2.8414,2.8845,9800,33.5000,0
2010-06-22,2.8414,2.8414,2.6520,2.6520,4500,30.8000,0
2010-06-23,2.8414,2.8414,2.6089,2.6261,10600,30.5000,0
2010-06-24,2.6261,2.7553,2.5830,2.6003,8600,30.2000,0
2010-06-25,2.5400,2.5486,2.5314,2.5400,1500,29.5000,0
2010-06-28,2.5056,2.7122,2.4969,2.7122,11900,31.5000,0
2010-06-29,2.7466,2.8414,2.6691,2.8414,65800,33.0000,0
2010-06-30,2.9275,3.0394,2.7983,3.0222,32100,35.1000,0
2010-07-01,3.0911,3.0997,2.9275,2.9533,17200,34.3000,0
2010-07-02,2.9619,3.2030,2.9447,2.9447,24700,34.2000,0
2010-07-05,3.1427,3.2374,3.0136,3.0997,10900,36.0000,0
2010-07-06,3.0997,3.2633,2.9878,2.9878,20500,34.7000,0
2010-07-07,3.1342,3.1342,2.9189,2.9189,11700,33.9000,0
2010-07-08,2.9878,3.1342,2.8070,2.8328,22100,32.9000,0
2010-07-09,3.0911,3.0911,2.8586,2.8758,19800,33.4000,0
2010-07-12,3.0738,3.0824,2.8500,2.8500,19100,33.1000,0
2010-07-13,3.0222,3.0222,2.9792,2.9878,23300,34.7000,0
2010-07-14,3.0481,3.0481,2.9878,3.0308,78100,35.2000,0
2010-07-15,3.0136,3.0136,2.9275,2.9878,7200,34.7000,0
2010-07-16,2.9878,2.9878,2.8845,2.8845,10400,33.5000,0
2010-07-19,2.9620,2.9620,2.8414,2.8586,11400,33.2000,0
2010-07-20,2.9533,3.0050,2.7467,2.7897,45900,32.4000,10000
2010-07-21,2.9275,3.0050,2.7639,2.7639,32000,32.1000,0
2010-07-22,2.8586,2.8586,2.8414,2.8414,7000,33.0000,0
2010-07-23,2.7209,2.7553,2.6520,2.7553,19200,32.0000,0
2010-07-26,2.5056,2.6692,2.5056,2.5400,53300,29.5000,0
2010-07-27,2.7122,2.7122,2.5831,2.5831,18500,30.0000,0
2010-07-28,2.7123,2.7811,2.5400,2.5573,15500,29.7000,0
2010-07-29,2.7037,2.7984,2.7037,2.7209,12800,31.6000,0
2010-07-30,2.7553,2.7553,2.6004,2.6434,15300,30.7000,0
2010-08-02,2.8414,2.8414,2.5831,2.5831,17800,30.0000,0
2010-08-03,2.7897,2.7897,2.5831,2.5831,30800,30.0000,0
2010-08-04,2.5400,2.5400,2.4884,2.4884,10100,28.9000,0
2010-08-05,2.3420,2.5573,2.3420,2.5486,27400,29.6000,0
2010-08-06,2.4969,2.5744,2.3678,2.4970,7300,29.0000,0
2010-08-09,2.3765,2.3765,2.3765,2.3764,11800,27.6000,0
2010-08-10,2.4797,2.4797,2.2128,2.2128,35500,25.7000,0
2010-08-11,2.2989,2.2989,2.1267,2.1267,29300,24.7000,0
2010-08-12,2.1439,2.1525,1.9975,2.0493,27700,23.8000,6000
2010-08-13,1.9201,1.9804,1.9115,1.9804,23100,23.0000,0
2010-08-16,2.0407,2.0407,2.0407,2.0406,10800,23.7000,0
2010-08-17,2.1525,2.1525,2.0492,2.0493,3900,23.8000,0
2010-08-18,1.9632,1.9804,1.9288,1.9804,6500,23.0000,0
2010-08-19,1.8512,1.9460,1.8512,1.9459,5700,22.6000,0
2010-08-20,1.9201,1.9803,1.8942,1.9804,10800,23.0000,0
2010-08-23,1.9373,1.9373,1.9373,1.9373,1000,22.5000,0
2010-08-24,1.9115,1.9115,1.8512,1.8770,11100,21.8000,0
2010-08-25,1.7565,1.7737,1.7478,1.7737,9100,20.6000,0
2010-08-26,1.7909,1.7909,1.7393,1.7565,14900,20.4000,0
2010-08-27,1.7565,1.7909,1.7221,1.7909,19800,20.8000,0
2010-08-30,1.7737,1.8684,1.7737,1.8684,8900,21.7000,0
2010-08-31,1.8684,1.9889,1.8684,1.9890,3500,23.1000,0
2010-09-01,1.9373,2.0665,1.9373,2.0665,18200,24.0000,0
2010-09-06,2.1096,2.1612,2.1096,2.1612,25500,25.1000,0
2010-09-07,2.1268,2.3076,2.1268,2.1956,5600,25.5000,0
2010-09-08,2.0320,2.2387,2.0320,2.1956,7900,25.5000,0
2010-09-09,2.1181,2.2387,2.1181,2.2387,7600,26.0000,0
2010-09-10,2.1870,2.2387,2.1440,2.1440,34000,24.9000,0
2010-09-13,2.1698,2.1871,2.1698,2.1698,6700,25.2000,0
2010-09-14,2.1784,2.1956,2.1526,2.1956,12000,25.5000,0
2010-09-15,2.1525,2.1784,2.1267,2.1784,9200,25.3000,0
2010-09-16,2.1095,2.1095,2.0579,2.0579,6500,23.9000,0
2010-09-17,2.1957,2.2129,2.1957,2.2042,700,25.6000,0
2010-09-20,2.3247,2.3420,2.2386,2.3248,14500,27.0000,0
2010-09-21,2.3937,2.3937,2.2387,2.2817,13900,26.5000,0
2010-09-22,2.3420,2.3506,2.2731,2.3162,8500,26.9000,0
2010-09-23,2.3851,2.4109,2.3248,2.3592,14000,27.4000,0
2010-09-24,2.4109,2.4109,2.3248,2.3851,8100,27.7000,0
2010-09-27,2.2387,2.5573,2.2387,2.4539,32600,28.5000,0
2010-09-28,2.5658,2.5744,2.5400,2.5745,43600,29.9000,0
2010-09-29,2.6606,2.6606,2.5659,2.5745,13900,29.9000,0
2010-09-30,2.5401,2.6089,2.4970,2.5659,7200,29.8000,0
2010-10-01,2.5745,2.5745,2.5745,2.5745,400,29.9000,0
2010-10-04,2.5659,2.5659,2.4023,2.4023,9800,27.9000,0
2010-10-05,2.4884,2.4884,2.4023,2.4023,1400,27.9000,0
2010-10-06,2.4798,2.4798,2.3248,2.3248,1600,27.0000,0
2010-10-07,2.4281,2.4281,2.2645,2.2645,2700,26.3000,0
2010-10-08,2.4195,2.4195,2.1784,2.1784,1500,25.3000,0
2010-10-11,2.1870,2.2731,2.1526,2.2731,4500,26.4000,0
2010-10-12,2.1698,2.1698,2.1181,2.1181,5800,24.6000,0
2010-10-13,2.2903,2.2903,2.2903,2.2903,100,26.6000,0
2010-10-14,2.1611,2.1611,2.1525,2.1526,1000,25.0000,0
2010-10-15,2.2990,2.2990,2.2990,2.2990,100,26.7000,0
2010-10-18,2.1612,2.1698,2.1440,2.1440,5300,24.9000,0
2010-10-19,2.0062,2.2301,2.0062,2.2042,11500,25.6000,0
2010-10-20,2.2300,2.2300,1.9976,2.2128,4200,25.7000,0
2010-10-21,2.2559,2.2559,2.2559,2.2559,100,26.2000,0
2010-10-22,2.1009,2.1009,2.1009,2.1009,5400,24.4000,0
2010-10-25,2.1870,2.1870,2.1784,2.1784,700,25.3000,0
2010-10-26,2.2301,2.2301,2.2301,2.2301,100,25.9000,0
2010-10-27,2.1182,2.1354,2.0837,2.0837,1500,24.2000,0
2010-10-28,2.1870,2.1870,2.0665,2.1870,2200,25.4000,0
2010-10-29,2.2139,2.2139,2.2139,2.2139,100,24.7000,0
2010-11-01,2.2677,2.2677,2.2408,2.2588,400,25.2000,0
2010-11-02,2.3215,2.3215,2.1512,2.1512,5200,24.0000,0
2010-11-03,2.2319,2.2319,2.2319,2.2319,100,24.9000,0
2010-11-05,2.1512,2.2229,2.1512,2.2229,500,24.8000,0
2010-11-08,2.2319,2.2319,2.1512,2.1512,1600,24.0000,0
2010-11-09,2.2677,2.2677,2.1512,2.1512,1800,24.0000,0
2010-11-10,2.1512,2.1512,2.1512,2.1512,5200,24.0000,0
2010-11-11,2.1960,2.1960,2.1512,2.1512,4000,24.0000,0
2010-11-12,2.1512,2.1512,2.1243,2.1243,5100,23.7000,0
2010-11-15,2.2856,2.2856,2.1064,2.1064,8700,23.5000,0
2010-11-16,2.0616,2.0616,2.0347,2.0347,5000,22.7000,0
2010-11-19,2.1870,2.1870,2.1870,2.1871,100,24.4000,0
2010-11-24,2.0616,2.0616,2.0616,2.0616,100,23.0000,0
2010-11-25,2.1961,2.1961,2.1961,2.1960,100,24.5000,0
2010-11-26,2.3036,2.3036,2.3036,2.3036,100,25.7000,0
2010-11-29,2.1512,2.1960,2.1512,2.1512,2800,24.0000,0
2010-12-01,2.2947,2.2947,2.2947,2.2946,100,25.6000,0
2010-12-02,2.4470,2.4470,2.4470,2.4470,100,27.3000,0
2010-12-03,2.3753,2.4291,2.3753,2.4111,400,26.9000,0
2010-12-06,2.4559,2.4559,2.4559,2.4560,100,27.4000,0
2010-12-07,2.5456,2.5456,2.5456,2.5456,100,28.4000,0
2010-12-10,2.5904,2.5904,2.3753,2.3932,1800,26.7000,0
2010-12-13,2.4111,2.4111,2.4111,2.4111,500,26.9000,0
2010-12-14,2.4559,2.4559,2.4559,2.4560,100,27.4000,0
2010-12-15,2.2947,2.2947,2.2857,2.2856,1700,25.5000,0
2010-12-16,2.1332,2.1332,2.1332,2.1333,200,23.8000,0
2010-12-17,2.1512,2.1512,2.1512,2.1512,100,24.0000,0
2010-12-20,2.1602,2.1781,2.1602,2.1691,1100,24.2000,0
2010-12-21,2.1781,2.1781,2.1781,2.1781,300,24.3000,0
2010-12-22,2.1871,2.1871,2.1781,2.1781,1400,24.3000,0
2010-12-23,2.1691,2.1691,2.1512,2.1512,1800,24.0000,0
2010-12-28,2.3036,2.3036,2.0168,2.3036,400,25.7000,0
2010-12-29,2.3753,2.3753,2.3753,2.3753,100,26.5000,0
2010-12-30,2.5187,2.5187,2.2408,2.2408,200,25.0000,0
2010-12-31,2.3752,2.5097,2.2229,2.5008,11200,27.9000,0
2011-01-05,2.2857,2.2857,2.2857,2.2856,100,25.5000,0
2011-01-07,2.2229,2.2229,2.2229,2.2229,600,24.8000,0
2011-01-14,2.1243,2.1243,2.1243,2.1243,1000,23.7000,0
2011-01-18,2.1243,2.1333,2.1243,2.1333,300,23.8000,0
2011-02-08,2.1691,2.1691,2.1691,2.1691,100,24.2000,0
2011-02-10,2.1691,2.1691,2.1691,2.1691,100,24.2000,0
2011-02-11,2.1512,2.1512,2.1512,2.1512,300,24.0000,0
2011-02-16,2.2229,2.2229,2.2229,2.2229,100,24.8000,0
2011-02-17,2.2588,2.2767,2.2588,2.2767,200,25.4000,0
2011-02-21,2.1781,2.1870,2.1512,2.1512,500,24.0000,0
2011-02-22,2.1699,2.1699,2.1606,2.1606,400,23.1000,0
2011-02-25,2.1512,2.2448,2.1512,2.2448,600,24.0000,0
2011-03-01,2.3196,2.3196,2.3196,2.3196,100,24.8000,0
2011-03-02,2.2167,2.2167,2.2167,2.2167,700,23.7000,0
2011-03-03,2.0670,2.0670,2.0670,2.0671,100,22.1000,0
2011-03-21,2.0671,2.0671,2.0671,2.0671,16600,22.1000,0
2011-03-22,2.0671,2.0671,2.0671,2.0671,100,22.1000,0
2011-03-29,2.0671,2.0671,1.9268,1.9268,1000,20.6000,0
2011-03-30,1.8894,1.8894,1.8146,1.8145,4700,19.4000,0
2011-04-01,1.8332,1.8332,1.8239,1.8239,3500,19.5000,0
2011-04-04,1.9455,1.9455,1.9455,1.9455,100,20.8000,0
2011-04-05,1.8707,1.8707,1.8707,1.8706,2500,20.0000,0
2011-04-07,1.8706,1.8706,1.7771,1.7771,4200,19.0000,0
2011-04-13,1.7864,1.7864,1.7864,1.7865,2000,19.1000,0
2011-04-14,1.7491,1.7491,1.7491,1.7491,2000,18.7000,0
2011-04-15,1.7959,1.7959,1.7865,1.7865,2200,19.1000,0
2011-04-18,1.7491,1.7491,1.7491,1.7491,1800,18.7000,0
2011-04-20,1.7585,1.7585,1.7585,1.7584,2200,18.8000,0
2011-04-21,1.6929,1.6929,1.6929,1.6929,1900,18.1000,0
2011-04-22,1.7397,1.8051,1.7397,1.8052,2400,19.3000,0
2011-04-25,1.7958,1.7958,1.7958,1.7958,1800,19.2000,0
2011-04-26,1.7864,1.7864,1.7864,1.7865,2500,19.1000,5800
2011-04-27,1.7865,1.7865,1.7865,1.7865,1500,19.1000,0
2011-04-28,1.7959,1.7959,1.7959,1.7958,2100,19.2000,0
2011-05-04,1.7864,1.7864,1.7864,1.7865,2300,19.1000,0
2011-05-05,1.7865,1.7865,1.7865,1.7865,2000,19.1000,0
2011-05-06,1.7865,1.7865,1.7865,1.7865,2000,19.1000,0
2011-05-09,1.7959,1.7959,1.7959,1.7958,1500,19.2000,0
2011-05-10,1.7958,1.7958,1.7864,1.7958,1900,19.2000,0
2011-05-11,1.7771,1.7771,1.7771,1.7771,1000,19.0000,0
2011-05-12,1.7771,1.7771,1.7677,1.7678,1500,18.9000,0
2011-05-13,1.7865,1.7865,1.7865,1.7865,2000,19.1000,0
2011-05-16,1.7865,1.7959,1.7865,1.7958,2100,19.2000,0
2011-05-17,1.7771,1.8052,1.7771,1.7865,2900,19.1000,0
2011-05-18,1.7304,1.7865,1.7304,1.7865,3100,19.1000,0
2011-05-19,1.7584,1.7584,1.7584,1.7584,4700,18.8000,0
2011-05-20,1.7584,1.7584,1.7490,1.7491,4000,18.7000,0
2011-05-23,1.7210,1.7210,1.6836,1.6836,2000,18.0000,0
2011-05-24,1.6181,1.6181,1.6181,1.6181,500,17.3000,0
2011-05-25,1.5713,1.5713,1.5059,1.5059,7000,16.1000,0
2011-05-26,1.4124,1.4217,1.4124,1.4217,3000,15.2000,0
2011-05-27,1.4217,1.5152,1.4217,1.5152,5400,16.2000,0
2011-05-30,1.4778,1.4871,1.4778,1.4778,6500,15.8000,0
2011-05-31,1.4872,1.4872,1.4778,1.4872,6100,15.9000,0
2011-06-01,1.4872,1.5059,1.4872,1.5059,10000,16.1000,0
2011-06-02,1.5433,1.5620,1.5433,1.5620,4000,16.7000,0
2011-06-03,1.6088,1.6181,1.6088,1.6181,3300,17.3000,0
2011-06-08,1.6181,1.6462,1.6181,1.6462,2000,17.6000,0
2011-06-09,1.6836,1.6836,1.6836,1.6836,2000,18.0000,0
2011-06-10,1.6930,1.7771,1.6930,1.7771,6300,19.0000,0
2011-06-13,1.6836,1.7490,1.6836,1.7491,4700,18.7000,0
2011-06-14,1.7678,1.7678,1.7491,1.7491,2500,18.7000,0
2011-06-15,1.8239,1.8239,1.8239,1.8239,1000,19.5000,0
2011-06-16,1.8707,1.9081,1.8707,1.9081,2000,20.4000,0
