date,open,high,low,close,volume,unadjusted,putthrough
2006-12-04,15.9443,15.9443,15.9443,15.9443,62050,100.0000,0
2006-12-05,15.3065,15.3065,15.1471,15.1471,89420,95.0000,0
2006-12-06,14.4296,14.4296,14.4296,14.4296,3250,90.5000,0
2006-12-07,13.7918,15.1471,13.7918,15.1471,216560,95.0000,0
2006-12-08,15.7849,15.7849,15.7849,15.7848,18700,99.0000,0
2006-12-11,16.4226,16.4226,16.4226,16.4226,73020,103.0000,0
2006-12-12,17.0604,17.0604,16.4226,16.4226,92600,103.0000,0
2006-12-13,15.6254,15.9443,15.6254,15.9443,87350,100.0000,0
2006-12-14,15.9443,16.4226,15.9443,15.9443,58750,100.0000,0
2006-12-15,15.9443,15.9443,15.7849,15.7848,84120,99.0000,0
2006-12-18,15.7848,15.7848,15.3065,15.6254,47200,98.0000,0
2006-12-19,15.3065,15.3065,15.3065,15.3065,30160,96.0000,0
2006-12-20,15.3065,15.3862,15.3065,15.3862,48390,96.5000,0
2006-12-21,15.3862,15.3862,15.1470,15.1471,55170,95.0000,0
2006-12-22,14.4296,14.4296,14.4296,14.4296,26950,90.5000,0
2006-12-25,14.0310,15.1471,14.0310,15.1471,26850,95.0000,0
2006-12-26,15.8646,15.8646,15.4660,15.6254,80250,98.0000,0
2006-12-27,15.9443,15.9443,15.9443,15.9443,97420,100.0000,0
2006-12-28,15.9443,15.9443,15.7849,15.9443,57710,100.0000,0
2006-12-29,15.9443,15.9443,15.7051,15.9443,34500,100.0000,0
2007-01-02,15.9443,15.9443,15.9443,15.9443,33390,100.0000,0
2007-01-03,15.9443,15.9443,15.6254,15.9443,34780,100.0000,0
2007-01-04,16.7415,16.7415,16.7415,16.7415,43650,105.0000,0
2007-01-05,17.5387,17.5387,17.2198,17.2198,123610,108.0000,0
2007-01-08,18.0170,18.0170,17.5387,17.5387,98860,110.0000,0
2007-01-09,17.5387,17.5387,17.5387,17.5387,119530,110.0000,0
2007-01-10,17.8576,18.1765,17.8576,18.1765,92650,114.0000,0
2007-01-11,18.6548,18.9737,18.6548,18.9737,131220,119.0000,0
2007-01-12,19.7709,19.7709,19.7709,19.7709,70430,124.0000,0
2007-01-15,20.0898,20.0898,20.0898,20.0898,43810,126.0000,0
2007-01-16,19.9304,19.9304,19.4520,19.4520,38020,122.0000,0
2007-01-17,19.1331,19.1331,18.4953,18.4954,44580,116.0000,0
2007-01-18,17.6982,18.8143,17.6982,18.8142,59940,118.0000,0
2007-01-19,19.1331,19.4520,19.1331,19.4520,63440,122.0000,0
2007-01-22,18.4953,19.1331,18.4953,19.1331,38260,120.0000,0
2007-01-23,19.1331,19.2925,19.1331,19.2926,65400,121.0000,0
2007-01-24,19.4520,19.4520,19.1332,19.1331,96830,120.0000,0
2007-01-25,18.8142,18.8142,18.4953,18.8142,39090,118.0000,0
2007-01-26,19.1331,19.1331,19.1331,19.1331,68980,120.0000,0
2007-01-29,20.0898,20.0898,20.0898,20.0898,68730,126.0000,0
2007-01-30,21.0465,21.0465,21.0465,21.0464,39230,132.0000,0
2007-01-31,22.0031,22.0031,22.0031,22.0031,138870,138.0000,0
2007-02-01,22.4814,22.4814,22.0031,22.0031,104890,138.0000,0
2007-02-02,21.5248,21.5248,21.5248,21.5248,88700,135.0000,0
2007-02-05,20.7276,21.5248,20.7276,20.7276,23530,130.0000,0
2007-02-06,20.4087,20.7276,20.4087,20.4087,66210,128.0000,0
2007-02-07,21.3654,21.3654,21.3654,21.3653,83850,134.0000,0
2007-02-08,22.3220,22.3220,22.3220,22.3220,79680,140.0000,0
2007-02-09,21.2059,21.2059,21.2059,21.2059,28970,133.0000,0
2007-02-12,21.5248,21.5248,21.5248,21.5248,32160,135.0000,0
2007-02-13,21.8437,21.8437,21.6842,21.8437,26550,137.0000,0
2007-02-14,22.3220,22.4815,21.6843,22.3220,53510,140.0000,0
2007-02-15,22.6409,22.6409,22.3220,22.6409,36370,142.0000,0
2007-02-26,23.1192,23.1192,22.9598,23.1192,45490,145.0000,0
2007-02-27,23.9164,24.2353,23.5975,23.9164,80190,150.0000,0
2007-02-28,22.8003,23.2786,22.8003,22.8003,17630,143.0000,0
2007-03-01,22.8003,23.1192,22.8003,22.8003,25870,143.0000,0
2007-03-02,23.1192,23.1192,22.8003,22.8003,48820,143.0000,0
2007-03-05,23.1192,23.1192,22.8003,23.1192,44210,145.0000,0
2007-03-06,22.8003,23.2786,22.8003,22.8003,42730,143.0000,0
2007-03-07,23.1192,23.1192,23.1192,23.1192,18980,145.0000,0
2007-03-08,23.1192,23.1192,23.1192,23.1192,27390,145.0000,0
