date,open,high,low,close,volume,unadjusted,putthrough
2015-08-10,7.3430,7.3430,7.3430,7.3430,5000,11.3000,0
2015-09-07,6.7991,6.7991,6.7991,6.7991,5000,10.0000,0
2015-09-09,7.8190,7.8190,7.8190,7.8190,5000,11.5000,0
2015-09-10,7.8190,7.8190,7.8190,7.8190,10000,11.5000,0
2015-10-02,7.8190,7.8190,7.8190,7.8190,4300,11.5000,0
2015-10-05,7.8190,7.8190,7.6150,7.6150,7000,11.2000,0
2015-10-06,7.8190,7.8190,7.8190,7.8190,100,11.5000,0
2015-10-08,7.4790,7.8190,7.1391,7.8190,19000,11.5000,0
2015-10-09,7.6150,7.6150,7.6150,7.6150,4000,11.2000,0
2015-10-12,7.6150,7.6150,7.4790,7.4790,6000,11.0000,0
2015-10-13,7.5470,7.5470,7.5470,7.5470,17000,11.1000,0
2015-10-14,7.6150,7.8870,7.6150,7.8190,48500,11.5000,0
2015-10-15,7.7510,7.8190,7.7510,7.8190,6500,11.5000,0
2015-10-16,7.8190,7.8870,7.8190,7.8870,3000,11.6000,0
2015-10-20,7.6150,7.6150,7.6150,7.6150,12700,11.2000,0
2015-10-22,6.5271,6.5271,6.5271,6.5271,100,9.6000,0
2015-10-27,7.4790,7.4790,7.4790,7.4790,100,11.0000,0
2015-11-04,8.1589,8.1589,8.0909,8.1589,55500,12.0000,0
2015-11-06,8.4309,8.4309,8.4309,8.4309,13200,12.4000,0
2015-11-13,9.6547,9.6547,9.6547,9.6547,100,14.2000,0
2015-11-27,8.4989,8.4989,8.4989,8.4989,1000,12.5000,0
2015-12-03,8.4989,8.4989,8.4989,8.4989,11100,12.5000,0
2015-12-10,7.4790,8.8389,7.4790,8.8388,11000,13.0000,0
2015-12-11,7.8189,7.8189,7.8189,7.8190,2000,11.5000,0
2015-12-14,7.4790,7.8190,7.4790,7.8190,3000,11.5000,0
2015-12-15,8.1590,8.1590,8.1590,8.1589,5100,12.0000,0
2015-12-22,7.8189,7.8189,7.8189,7.8190,1000,11.5000,0
2015-12-25,8.1590,8.1590,7.8190,7.8190,1100,11.5000,0
2015-12-28,7.8190,8.1590,7.8190,8.1589,7900,12.0000,0
2015-12-30,7.8869,7.8869,7.8869,7.8870,5000,11.6000,0
2015-12-31,7.8870,7.8870,7.8870,7.8870,100,11.6000,0
2016-01-11,7.8190,7.8190,7.8190,7.8190,1000,11.5000,0
2016-01-12,7.4790,7.4790,7.4790,7.4790,2000,11.0000,0
2016-01-14,7.8190,7.8190,7.8190,7.8190,4000,11.5000,0
2016-01-15,7.8190,7.8190,7.8190,7.8190,5000,11.5000,0
2016-01-21,7.4790,7.4790,7.4790,7.4790,1000,11.0000,0
2016-01-25,7.8190,7.8190,7.8190,7.8190,4500,11.5000,0
2016-01-27,7.8190,7.8190,7.8190,7.8190,500,11.5000,0
2016-02-22,7.8190,7.8190,7.8190,7.8190,1000,11.5000,0
2016-03-15,6.7991,6.7991,6.7991,6.7991,1000,10.0000,0
2016-03-22,6.8671,6.8671,6.8671,6.8671,1000,10.1000,0
2016-03-23,6.9351,6.9351,6.8671,6.8671,3000,10.1000,0
