date,open,high,low,close,volume,unadjusted,putthrough
2009-12-04,12.9396,15.0962,11.2143,11.2143,1020,26.0000,0
2009-12-07,12.0338,12.0338,12.0338,12.0338,50,27.9000,0
2009-12-15,10.6967,10.6967,10.6967,10.6967,400,24.8000,0
2009-12-16,9.6615,9.6615,9.6615,9.6615,600,22.4000,0
2009-12-17,8.7126,8.7126,8.7126,8.7126,100,20.2000,0
2009-12-18,7.8500,7.8500,7.8500,7.8500,1001,18.2000,0
2009-12-21,7.0736,7.0736,7.0736,7.0736,10,16.4000,0
2009-12-22,6.3835,6.3835,6.3835,6.3835,20,14.8000,0
2009-12-23,5.7797,6.0384,5.7797,5.7797,6560,13.4000,0
2009-12-24,5.2190,5.7797,5.2190,5.2190,14845,12.1000,0
2009-12-25,5.2190,5.3915,5.2190,5.3915,19601,12.5000,0
2009-12-28,5.3915,5.8228,4.7877,5.8228,159966,13.5000,0
2009-12-29,5.3052,5.3052,5.3052,5.3052,10,12.3000,0
2009-12-30,5.8228,5.8228,5.8228,5.8228,1296,13.5000,0
2009-12-31,6.3835,6.3835,6.2541,6.3835,15000,14.8000,0
2010-01-04,6.9873,6.9873,6.9873,6.9874,9033,16.2000,0
2010-01-05,7.6775,7.6775,7.6344,7.6343,12540,17.7000,0
2010-01-06,8.4107,8.4107,8.4107,8.4107,10,19.5000,0
2010-01-07,9.2302,9.2302,7.5912,7.5912,1010,17.6000,0
2010-01-08,6.8580,6.8580,6.8580,6.8580,4700,15.9000,0
2010-01-11,6.2110,7.5050,6.2110,7.5049,1140,17.4000,0
2010-01-14,6.0384,6.0384,6.0384,6.0385,500,14.0000,0
2010-01-15,6.6424,6.6424,6.6424,6.6423,3000,15.4000,0
2010-01-18,7.2893,7.2893,6.9011,6.9874,1520,16.2000,0
2010-01-19,6.5129,6.6855,6.5129,6.5560,1400,15.2000,0
2010-01-20,6.2541,6.2541,6.2541,6.2541,50,14.5000,0
2010-01-22,6.8148,6.8148,6.8148,6.8148,30,15.8000,0
2010-01-25,7.3324,7.3324,7.1167,7.1168,210,16.5000,0
2010-01-27,7.8069,7.8069,7.8069,7.8069,20,18.1000,0
2010-01-28,8.1951,8.1951,8.1951,8.1951,90,19.0000,0
2010-02-01,7.3756,7.3756,7.3756,7.3755,20,17.1000,0
2010-02-02,6.6423,6.6423,6.6423,6.6423,600,15.4000,0
2010-02-03,6.6423,6.6423,6.6423,6.6423,1500,15.4000,0
2010-02-04,6.4698,6.4698,6.4698,6.4698,500,15.0000,0
2010-02-23,6.0385,6.0385,5.8228,5.8228,5000,13.5000,0
2010-02-24,5.8228,5.8228,5.8228,5.8228,500,13.5000,0
2010-02-25,6.3404,6.3404,6.3404,6.3404,17,14.7000,0
2010-02-26,6.0385,6.3404,6.0385,6.0385,5200,14.0000,0
2010-03-01,6.1248,6.4698,6.1248,6.4698,2500,15.0000,0
