date,open,high,low,close,volume,unadjusted,putthrough
2015-12-18,12.5205,12.6018,12.5205,12.6018,20000,15.5000,0
2015-12-25,10.7319,10.7319,10.7319,10.7318,100,13.2000,0
2015-12-28,9.1871,9.1871,9.1871,9.1871,100,11.3000,0
2015-12-29,7.8863,7.8863,7.8863,7.8863,100,9.7000,0
2015-12-30,6.7481,6.7481,6.7481,6.7480,100,8.3000,0
2015-12-31,5.7724,5.7724,5.7724,5.7724,100,7.1000,0
2016-01-04,4.9594,4.9594,4.9594,4.9594,100,6.1000,0
2016-01-05,4.2277,4.2277,4.2277,4.2277,6000,5.2000,0
2016-01-06,3.6586,4.7155,3.6586,4.7155,200,5.8000,0
2016-01-07,3.6586,3.6586,3.6586,3.6586,200,4.5000,0
2016-01-08,4.1464,4.1464,3.5773,3.5773,600,4.4000,0
2016-01-11,4.1464,4.1464,3.2521,3.2521,300,4.0000,0
2016-01-12,3.6586,3.6586,3.6586,3.6586,1500,4.5000,0
2016-01-15,3.9838,3.9838,3.2521,3.2521,200,4.0000,0
2016-01-19,3.5773,3.5773,3.5773,3.5773,100,4.4000,0
2016-01-28,3.9838,4.0651,3.1708,3.1708,20500,3.9000,0
2016-01-29,3.5773,3.6586,3.5773,3.5773,9000,4.4000,0
2016-02-01,3.5773,3.5773,3.5773,3.5773,100,4.4000,0
2016-02-03,3.5773,3.5773,3.5773,3.5773,4500,4.4000,0
2016-02-04,4.0651,4.0651,3.1708,3.1708,200,3.9000,0
2016-02-17,3.5773,3.5773,3.5773,3.5773,100,4.4000,0
2016-02-26,3.7399,3.7399,3.7399,3.7399,100,4.6000,0
2016-02-29,3.9025,4.2277,3.2521,3.5773,1600,4.4000,0
2016-03-02,3.7399,3.8212,3.2521,3.8212,500,4.7000,0
2016-03-04,3.9025,4.0651,3.9025,4.0651,2000,5.0000,0
2016-03-07,3.5773,4.2277,3.5773,4.2277,1800,5.2000,0
2016-03-08,3.6586,4.2277,3.6586,3.8212,3200,4.7000,0
2016-03-09,3.5773,4.1464,3.5773,4.1464,2300,5.1000,0
2016-03-10,3.7399,4.0651,3.7399,4.0651,400,5.0000,0
2016-03-14,4.1464,4.2277,4.1464,4.2277,400,5.2000,0
2016-03-15,3.7399,4.1464,3.7399,4.0651,21300,5.0000,0
2016-03-16,3.7399,3.9838,3.7399,3.9838,300,4.9000,88
2016-03-17,3.4960,4.0651,3.4960,4.0651,5500,5.0000,0
2016-03-18,4.0651,4.2277,4.0651,4.2277,2500,5.2000,0
2016-03-21,3.6586,4.2277,3.6586,4.1464,800,5.1000,0
2016-03-22,4.1464,4.1464,4.1464,4.1464,1700,5.1000,0
2016-03-23,3.6586,4.7155,3.6586,4.7155,10800,5.8000,0
2016-03-24,4.7968,4.8781,4.7968,4.8781,35600,6.0000,0
2016-03-25,5.2033,5.4472,5.0407,5.4472,14000,6.7000,0
2016-03-28,6.0163,6.0163,6.0163,6.0163,35500,7.4000,0
2016-03-29,6.9106,6.9106,6.9106,6.9106,133620,8.5000,0
2016-03-30,7.8862,7.8862,7.8049,7.8863,234280,9.7000,0
2016-03-31,9.0245,9.0245,8.9432,9.0245,209286,11.1000,0
2016-04-01,8.9432,8.9432,7.7237,7.7237,130754,9.5000,0
2016-04-04,6.7481,7.8050,6.7481,7.3172,115500,9.0000,0
2016-04-05,7.3172,8.2928,7.3172,8.2928,172940,10.2000,0
2016-04-06,8.9432,9.1871,8.9432,9.1871,196128,11.3000,0
2016-04-07,10.4879,10.4879,8.5367,9.7562,296008,12.0000,0
2016-04-08,9.4310,9.7562,8.9432,9.1871,172400,11.3000,0
2016-04-11,8.9432,8.9432,8.1302,8.1302,115174,10.0000,0
2016-04-12,7.7237,8.1302,7.2359,7.2359,203550,8.9000,0
2016-04-13,6.8294,7.4798,6.8294,7.2359,60300,8.9000,0
2016-04-14,7.3985,7.3985,6.7481,6.8293,55450,8.4000,0
2016-04-15,6.6667,6.9919,6.2602,6.4228,114624,7.9000,0
2016-04-19,6.6667,7.2358,6.5041,6.9106,70500,8.5000,0
2016-04-20,6.9106,7.5610,6.9106,7.4798,57400,9.2000,0
2016-04-21,7.3172,7.6424,6.9107,7.2359,29024,8.9000,0
2016-04-22,7.1546,7.1546,6.3416,6.6667,39300,8.2000,0
2016-04-25,6.5041,6.5041,6.1789,6.3415,51000,7.8000,0
2016-04-26,6.3415,6.7480,6.3415,6.5854,97750,8.1000,0
2016-04-27,6.4228,6.6667,6.2602,6.2602,87300,7.7000,0
2016-04-28,6.5041,6.5854,6.4228,6.4228,39700,7.9000,0
2016-04-29,6.4228,6.5854,6.3415,6.3415,54700,7.8000,0
2016-05-04,6.5041,6.5041,5.8537,6.1789,99900,7.6000,94
2016-05-05,6.1789,6.1789,5.8537,5.8537,35306,7.2000,0
2016-05-06,5.6911,5.6911,5.3659,5.5285,38300,6.8000,800
2016-05-09,5.9350,6.0163,5.1220,5.5285,48000,6.8000,0
2016-05-10,5.2846,5.3659,5.0407,5.2846,48200,6.5000,0
2016-05-11,5.2846,5.4472,5.2033,5.4472,28200,6.7000,0
2016-05-12,5.3659,5.8537,5.3659,5.4472,55200,6.7000,0
2016-05-13,5.4472,5.5285,5.3659,5.5285,8634,6.8000,66
2016-05-16,5.5285,5.5285,5.3659,5.4472,10000,6.7000,0
2016-05-17,5.4472,5.4472,5.1220,5.2846,33216,6.5000,0
2016-05-18,5.2033,5.2033,5.1220,5.1220,18600,6.3000,0
2016-05-19,5.0407,5.2033,5.0407,5.0407,19900,6.2000,0
2016-05-20,5.0407,5.2846,5.0407,5.2033,14600,6.4000,0
2016-05-23,5.1220,5.1220,4.9594,5.0407,63149,6.2000,0
2016-05-24,5.1220,5.7724,5.1220,5.3659,39405,6.6000,0
2016-05-25,5.3659,5.4472,4.9594,5.2033,28500,6.4000,0
2016-05-26,5.3659,5.3659,5.1220,5.1220,15600,6.3000,0
2016-05-27,5.1220,5.2033,5.1220,5.1220,10800,6.3000,0
2016-05-30,5.1220,5.2033,5.0407,5.1220,6000,6.3000,0
2016-05-31,5.0407,5.1220,5.0407,5.1220,29500,6.3000,0
2016-06-01,5.2033,5.2033,5.1220,5.1220,11000,6.3000,0
2016-06-02,5.1220,5.3659,5.1220,5.2846,35100,6.5000,0
2016-06-03,5.2846,5.5285,5.2846,5.4472,31826,6.7000,0
2016-06-06,5.2846,5.2846,5.2033,5.2033,7000,6.4000,0
2016-06-07,5.2033,5.3659,5.1220,5.3659,8100,6.6000,0
2016-06-08,5.2033,5.2846,5.1220,5.2033,34800,6.4000,0
2016-06-09,5.2033,5.3659,5.2033,5.2846,26100,6.5000,0
2016-06-10,5.2846,5.3659,5.2846,5.2846,15800,6.5000,0
2016-06-13,5.2846,5.2846,5.1220,5.2846,14600,6.5000,0
2016-06-14,5.2033,5.2033,5.1220,5.2033,21300,6.4000,0
2016-06-15,5.2846,5.7724,5.2846,5.6098,73100,6.9000,0
2016-06-16,5.6911,6.2602,5.6911,6.0163,106073,7.4000,0
2016-06-17,6.0976,6.3415,5.7724,5.7724,23726,7.1000,0
2016-06-20,5.8537,5.8537,5.4472,5.4472,17400,6.7000,0
2016-06-21,5.2033,5.4472,5.2033,5.3659,37400,6.6000,0
2016-06-22,5.2033,5.2033,5.1220,5.2033,50900,6.4000,0
2016-06-23,5.2033,5.2033,5.1220,5.1220,55400,6.3000,0
2016-06-24,5.1220,5.1220,4.7155,5.0407,100900,6.2000,0
2016-06-27,4.9594,4.9594,4.7968,4.8781,30500,6.0000,0
2016-06-28,4.8781,4.8781,4.8781,4.8781,9000,6.0000,0
2016-06-29,4.8781,4.8781,4.7968,4.8781,36700,6.0000,0
2016-06-30,4.7968,4.9594,4.7968,4.8781,4600,6.0000,0
2016-07-01,4.8781,5.1220,4.8781,5.1220,5100,6.3000,0
2016-07-04,5.0407,5.0407,4.8781,5.0407,9600,6.2000,23
