date,open,high,low,close,volume,unadjusted,putthrough
2005-12-12,4.1716,4.1716,4.1716,4.1716,13020,59.0000,0
2005-12-13,4.2423,4.3484,4.2423,4.3484,47140,61.5000,0
2005-12-14,4.3484,4.3484,4.2423,4.2423,29540,60.0000,0
2005-12-15,4.2423,4.2423,4.1716,4.1716,34670,59.0000,0
2005-12-16,4.1716,4.1716,4.1716,4.1716,6030,59.0000,0
2005-12-19,4.1716,4.1716,4.1009,4.1009,15990,58.0000,0
2005-12-20,4.1009,4.1009,4.0302,4.0302,9640,57.0000,0
2005-12-21,3.9595,3.9595,3.9241,3.9242,16710,55.5000,0
2005-12-22,3.8888,3.8888,3.8888,3.8888,25980,55.0000,0
2005-12-23,3.8534,3.8534,3.8534,3.8535,16030,54.5000,0
2005-12-26,3.8535,3.8535,3.8535,3.8535,14190,54.5000,0
2005-12-27,3.8535,3.8535,3.8181,3.8181,16670,54.0000,0
2005-12-28,3.7827,3.7827,3.7474,3.7474,26700,53.0000,0
2005-12-29,3.7474,3.8181,3.7474,3.8181,28130,54.0000,0
2005-12-30,3.9595,3.9595,3.8181,3.8181,23040,54.0000,0
2006-01-03,3.8181,3.8181,3.7474,3.7474,1000,53.0000,0
2006-01-04,3.7474,3.7474,3.7474,3.7474,16220,53.0000,0
2006-01-05,3.7474,3.7828,3.7474,3.7827,10600,53.5000,0
2006-01-06,3.7827,3.7827,3.7827,3.7827,7220,53.5000,0
2006-01-09,3.8181,3.8181,3.7827,3.7827,2010,53.5000,0
2006-01-10,3.7827,3.7827,3.7827,3.7827,3450,53.5000,0
2006-01-11,3.7827,3.7827,3.7473,3.7474,6850,53.0000,0
2006-01-12,3.7120,3.7120,3.7120,3.7120,9220,52.5000,0
2006-01-13,3.7120,3.7474,3.7120,3.7474,15130,53.0000,0
2006-01-17,3.7474,3.7474,3.7474,3.7474,8030,53.0000,0
2006-01-18,3.7828,3.7828,3.7828,3.7827,7000,53.5000,0
2006-01-19,3.7827,3.7827,3.7473,3.7474,5320,53.0000,0
2006-01-20,3.7828,3.7828,3.7828,3.7827,9300,53.5000,0
2006-01-23,3.7827,3.7827,3.7473,3.7474,7530,53.0000,0
2006-01-24,3.7474,3.7474,3.7474,3.7474,2100,53.0000,0
2006-01-25,3.7474,3.8181,3.7474,3.8181,2110,54.0000,0
2006-01-26,3.8181,3.8181,3.8181,3.8181,3010,54.0000,0
2006-01-27,3.8181,3.8181,3.8181,3.8181,9640,54.0000,0
2006-02-06,3.8181,3.8181,3.7827,3.7827,4610,53.5000,0
2006-02-07,3.8181,3.8181,3.8181,3.8181,10950,54.0000,0
2006-02-08,3.8181,3.8181,3.8181,3.8181,10030,54.0000,0
2006-02-09,3.8181,3.8181,3.8181,3.8181,6300,54.0000,0
2006-02-10,3.8181,3.8181,3.8181,3.8181,2850,54.0000,0
2006-02-13,3.8181,3.8181,3.8181,3.8181,12250,54.0000,0
2006-02-14,3.8181,3.8181,3.7827,3.7827,8460,53.5000,0
2006-02-15,3.7827,3.8181,3.7827,3.8181,19200,54.0000,0
2006-02-16,3.8181,3.8181,3.8181,3.8181,13270,54.0000,0
2006-02-17,3.8535,3.8535,3.8535,3.8535,13130,54.5000,0
2006-02-20,3.8889,3.9949,3.8889,3.9949,13090,56.5000,0
2006-02-21,3.9949,3.9949,3.9949,3.9949,13830,56.5000,0
2006-02-22,3.9949,3.9949,3.8535,3.8535,5770,54.5000,0
2006-02-23,3.8535,3.8535,3.8535,3.8535,5550,54.5000,0
2006-02-24,3.9242,3.9242,3.9242,3.9242,17780,55.5000,0
2006-02-27,3.9242,3.9242,3.9242,3.9242,22660,55.5000,0
2006-02-28,3.9596,3.9596,3.9242,3.9242,22640,55.5000,0
2006-03-01,3.9596,4.1010,3.9596,4.1009,20840,58.0000,0
2006-03-02,4.1716,4.2423,4.1716,4.2423,49500,60.0000,0
2006-03-03,4.3130,4.3130,4.0302,4.0302,24270,57.0000,0
2006-03-06,4.1716,4.2070,4.1716,4.2070,33150,59.5000,0
2006-03-07,4.2424,4.3131,4.2424,4.3130,61950,61.0000,0
2006-03-08,4.2776,4.2776,4.2423,4.2423,23670,60.0000,0
2006-03-09,4.2423,4.3484,4.2423,4.3484,19910,61.5000,0
2006-03-10,4.4191,4.5252,4.4191,4.5252,31590,64.0000,0
2006-03-13,4.6541,4.6541,4.6541,4.6542,30000,65.0000,0
2006-03-14,4.7258,4.7258,4.7258,4.7258,16850,66.0000,0
2006-03-15,4.9406,4.9406,4.9048,4.9048,44570,68.5000,0
2006-03-16,4.9406,5.0480,4.9406,5.0480,34170,70.5000,0
2006-03-17,5.2270,5.2986,5.2270,5.2987,22750,74.0000,0
2006-03-20,5.5493,5.5493,5.5493,5.5493,56110,77.5000,0
2006-03-21,5.7999,5.7999,5.7999,5.7999,65790,81.0000,0
2006-03-22,5.7999,5.7999,5.7283,5.7283,44050,80.0000,0
2006-03-23,5.5851,5.5851,5.5851,5.5851,29940,78.0000,0
2006-03-24,5.4777,5.5135,5.4777,5.5135,10680,77.0000,0
