date,open,high,low,close,volume,unadjusted,putthrough
2017-12-08,11.5228,11.5228,11.5228,11.5228,36200,15.8000,0
2017-12-11,13.2002,13.2002,13.2002,13.2001,13600,18.1000,0
2017-12-12,15.1692,15.1692,15.1692,15.1692,200,20.8000,0
2017-12-13,17.4300,17.4300,15.3151,15.3880,8600,21.1000,0
2017-12-14,16.0444,16.0444,15.5339,15.5338,14700,21.3000,0
2017-12-15,13.4189,15.9714,13.4189,15.8256,56300,21.7000,0
2017-12-18,16.1902,16.7737,16.1173,16.3361,42900,22.4000,0
2017-12-19,16.4090,16.6278,16.4090,16.4819,35500,22.6000,0
2017-12-20,16.6278,16.6278,16.0443,16.1902,36200,22.2000,0
2017-12-21,16.2631,16.7007,16.1173,16.2631,35300,22.3000,0
2017-12-22,16.0443,16.7736,15.3150,16.7736,21800,23.0000,0
2017-12-25,16.6277,16.9195,16.5548,16.7736,33500,23.0000,0
2017-12-26,16.0443,17.5029,16.0443,17.1383,21800,23.5000,0
2017-12-27,17.2112,19.1074,17.2112,17.6488,41900,24.2000,0
2017-12-28,17.8676,18.3052,17.8676,18.2322,36500,25.0000,0
2017-12-29,18.3051,18.5968,18.3051,18.3781,30300,25.2000,0
2018-01-02,18.3781,18.3781,17.6488,17.6488,35100,24.2000,0
2018-01-03,17.7947,18.1593,17.6488,17.9405,36000,24.6000,0
2018-01-04,18.0134,18.3781,17.9405,18.2322,31900,25.0000,0
2018-01-05,18.3781,18.3781,17.5758,17.6488,34200,24.2000,0
2018-01-08,17.1383,18.2322,16.9195,16.9924,42000,23.3000,0
2018-01-09,16.9195,17.2112,16.7736,16.7736,41900,23.0000,0
2018-01-10,16.7736,17.4300,16.7736,16.8466,40300,23.1000,0
2018-01-11,16.9195,16.9195,16.4090,16.4819,35000,22.6000,0
2018-01-12,16.5548,17.1383,16.4090,16.7007,33100,22.9000,0
2018-01-15,16.6278,16.6278,16.0443,16.0443,47400,22.0000,0
2018-01-16,17.1382,17.1382,15.9714,15.9714,58700,21.9000,0
2018-01-17,16.1173,16.1902,15.8255,15.8256,63600,21.7000,0
2018-01-18,16.7737,16.7737,14.6587,14.6587,63900,20.1000,0
2018-01-19,14.8046,16.5549,14.5858,14.5858,58900,20.0000,0
2018-01-22,16.4090,16.4090,14.5858,14.6587,74100,20.1000,0
2018-01-23,16.2631,16.2631,14.7316,14.7316,69500,20.2000,0
2018-01-24,14.8045,14.8775,14.5857,14.8046,75400,20.3000,0
2018-01-25,14.8046,15.0234,14.5858,14.8775,82300,20.4000,0
2018-01-26,14.8775,14.8775,14.5858,14.5858,62100,20.0000,0
2018-01-29,14.5858,14.5858,14.4399,14.4399,68900,19.8000,0
2018-01-30,14.4399,14.4399,14.2211,14.2211,66300,19.5000,0
2018-01-31,14.2940,14.7316,14.2940,14.2940,69800,19.6000,0
2018-02-01,14.5857,14.5857,13.8564,13.8565,62300,19.0000,0
2018-02-02,14.0753,14.6587,14.0753,14.5858,54500,20.0000,0
2018-02-05,14.5858,14.5858,13.8565,13.8565,72800,19.0000,0
2018-02-06,13.9294,13.9294,13.0543,13.2001,65900,18.1000,0
2018-02-07,13.2730,13.6377,13.2730,13.5648,56600,18.6000,0
2018-02-08,13.4919,13.5648,13.2002,13.3460,58600,18.3000,0
2018-02-09,13.2731,13.3460,12.9084,13.3460,68100,18.3000,0
2018-02-12,13.2731,13.5648,13.1272,13.5648,47100,18.6000,0
2018-02-13,13.4189,13.5648,13.4189,13.5648,31000,18.6000,0
2018-02-21,13.6377,13.9294,13.6377,13.8565,44900,19.0000,0
2018-02-22,13.9294,14.0753,13.8565,13.9294,46100,19.1000,0
2018-02-23,14.0023,14.0753,13.9294,14.0753,59000,19.3000,0
2018-02-26,14.0753,14.2941,13.8565,14.2940,57800,19.6000,0
2018-02-27,14.2940,14.5857,13.8564,14.2940,38100,19.6000,0
2018-02-28,14.3669,14.3669,13.8564,13.8565,20100,19.0000,0
2018-03-01,14.0024,14.0024,13.7106,13.9294,37600,19.1000,0
2018-03-02,14.0023,14.0753,14.0023,14.0023,40800,19.2000,0
2018-03-05,14.0023,14.0752,13.8564,14.0753,56200,19.3000,0
2018-03-06,14.0753,14.2212,14.0753,14.2211,64400,19.5000,0
2018-03-07,14.2940,14.6587,14.2211,14.5858,50500,20.0000,0
2018-03-08,14.6587,15.0234,14.6587,14.9504,67800,20.5000,0
2018-03-09,14.9504,15.3880,14.8775,15.3151,64400,21.0000,0
2018-03-12,15.2422,15.3151,14.8046,15.3151,63600,21.0000,0
2018-03-13,15.2422,15.5339,15.0963,15.3880,66800,21.1000,0
2018-03-14,15.3151,15.6068,15.1692,15.5338,64200,21.3000,0
2018-03-15,15.4609,15.7526,15.3150,15.6797,75500,21.5000,0
2018-03-16,15.6797,15.7526,15.6797,15.6797,58900,21.5000,0
2018-03-19,15.7526,15.7526,15.3151,15.3151,42100,21.0000,0
2018-03-20,15.2422,15.2422,14.8046,14.8046,46700,20.3000,0
2018-03-21,14.8775,14.8775,14.5858,14.5858,43200,20.0000,0
2018-03-22,14.7317,14.7317,13.9294,13.9294,59800,19.1000,0
2018-03-23,13.8565,15.6797,13.8565,15.3880,43400,21.1000,0
2018-03-26,15.4609,16.1902,15.4609,16.1902,34900,22.2000,0
2018-03-27,16.0443,17.1383,16.0443,17.1383,37100,23.5000,0
2018-03-28,16.9924,17.9405,16.9924,17.8676,36400,24.5000,0
2018-03-29,17.8676,18.2322,17.5030,18.1593,37600,24.9000,0
2018-03-30,18.1593,18.1593,17.5029,17.8676,37900,24.5000,0
2018-04-02,17.8676,18.1593,17.7947,18.0134,38700,24.7000,0
2018-04-03,18.0863,18.2322,17.5029,17.7946,31600,24.4000,0
2018-04-04,17.7946,17.7946,16.9924,16.9924,34800,23.3000,0
2018-04-05,17.2841,17.6488,16.7736,16.7736,36400,23.0000,0
2018-04-06,16.7736,16.7736,16.2631,16.2631,37900,22.3000,0
2018-04-09,16.0443,17.5029,15.4609,16.8466,40800,23.1000,0
2018-04-10,16.4090,16.7737,16.4090,16.7736,38700,23.0000,0
2018-04-11,16.8465,17.3570,16.8465,17.3571,36200,23.8000,0
2018-04-12,17.0654,17.4300,16.8466,17.3571,42000,23.8000,0
2018-04-13,17.2842,17.9405,17.2842,17.9405,37500,24.6000,0
2018-04-16,17.9405,18.2322,17.5029,17.5758,41300,24.1000,0
2018-04-17,17.8675,17.8675,17.1382,17.2841,37600,23.7000,0
2018-04-18,17.4300,17.6487,16.8465,17.1383,40600,23.5000,0
2018-04-19,17.0654,17.0654,16.4090,16.4090,37900,22.5000,0
2018-04-20,16.4819,16.9924,16.1173,16.9195,40600,23.2000,0
2018-04-23,16.6278,16.8466,16.6278,16.7736,40000,23.0000,0
2018-04-24,16.8465,17.2112,16.0443,17.2112,40600,23.6000,0
2018-04-26,16.9924,18.1593,16.9924,18.0134,38200,24.7000,0
2018-04-27,18.0134,18.3051,18.0134,18.2322,33500,25.0000,0
2018-05-02,18.3051,18.3051,17.7217,17.7217,39200,24.3000,0
2018-05-03,17.9405,17.9405,17.2841,17.3571,34900,23.8000,0
2018-05-04,17.2842,17.6488,17.1383,17.6488,31500,24.2000,0
2018-05-07,17.5759,17.7217,17.1383,17.1383,32600,23.5000,0
2018-05-08,17.4300,17.5759,16.8466,16.8466,35800,23.1000,0
2018-05-09,16.7737,17.2842,16.5549,16.5548,35000,22.7000,0
2018-05-10,16.9194,17.0653,16.4089,16.7736,31200,23.0000,0
2018-05-11,16.7007,16.8465,16.0443,16.2631,37700,22.3000,0
2018-05-14,16.4090,17.1382,16.0443,16.9195,37600,23.2000,0
2018-05-15,16.8466,17.2841,16.6278,16.9195,38400,23.2000,0
2018-05-16,16.8466,17.1383,16.5549,16.8466,39500,23.1000,0
2018-05-17,16.7007,16.7007,16.4090,16.4090,43100,22.5000,0
2018-05-18,16.4819,16.8466,16.1902,16.6278,42200,22.8000,0
2018-05-21,16.4090,16.8466,16.2632,16.4819,37100,22.6000,0
2018-05-22,16.5548,16.7736,16.4819,16.6278,38600,22.8000,0
2018-05-23,16.6278,16.8466,16.3361,16.8466,46300,23.1000,0
2018-05-24,16.7737,17.4300,16.7737,16.9924,40200,23.3000,0
2018-05-25,17.0653,17.2112,16.5548,16.9195,34900,23.2000,0
2018-05-28,16.9195,16.9195,16.4090,16.4090,41300,22.5000,0
2018-05-29,16.6278,16.8466,16.0444,16.8466,42800,23.1000,0
2018-05-30,16.7007,16.9195,16.3361,16.6278,37300,22.8000,0
2018-05-31,16.5549,17.0654,16.3361,17.0653,40300,23.4000,0
2018-06-01,16.7736,17.1382,16.5548,16.9195,37300,23.2000,0
2018-06-04,16.9924,17.3571,16.9924,17.2841,37400,23.7000,0
2018-06-05,17.2112,17.6487,17.2112,17.5758,38200,24.1000,0
2018-06-06,17.5758,17.8675,17.1382,17.6488,39800,24.2000,0
2018-06-07,17.5029,17.7217,17.3571,17.6488,35800,24.2000,0
2018-06-08,17.6488,17.7217,17.1383,17.4300,41000,23.9000,0
2018-06-11,17.1383,17.5029,16.7736,17.4300,41300,23.9000,0
2018-06-12,17.2112,17.2112,16.4090,16.7736,40200,23.0000,0
2018-06-13,16.7736,17.0653,16.6277,16.9924,43400,23.3000,0
2018-06-14,16.9195,16.9195,16.4090,16.5548,42500,22.7000,0
