date,open,high,low,close,volume,unadjusted,putthrough
2010-01-20,3.5025,3.5025,3.5025,3.5025,20,42.0000,0
2010-01-21,3.6776,3.6776,3.6776,3.6776,20,44.1000,50000
2010-01-22,3.8611,3.8611,3.8611,3.8611,10,46.3000,30000
2010-01-25,4.0529,4.0529,4.0529,4.0529,20,48.6000,0
2010-01-26,4.2530,4.2530,4.2530,4.2530,20,51.0000,0
2010-01-27,4.4615,4.4615,4.4615,4.4615,20,53.5000,100000
2010-01-28,4.6700,4.6700,4.6700,4.6700,8000,56.0000,0
2010-01-29,4.8785,4.8785,4.8785,4.8785,1020,58.5000,0
2010-02-01,5.0453,5.0870,5.0036,5.0869,205650,61.0000,0
2010-02-02,5.2954,5.2954,4.9618,4.9618,87660,59.5000,0
2010-02-03,5.0035,5.0035,4.9201,4.9618,15730,59.5000,0
2010-02-04,4.9618,5.0869,4.7950,4.9618,32360,59.5000,0
2010-02-05,4.9201,4.9618,4.7533,4.7534,99420,57.0000,0
2010-02-08,4.6700,4.7117,4.5449,4.5449,86260,54.5000,80000
2010-02-09,4.4615,4.6700,4.4615,4.6700,21980,56.0000,0
2010-02-10,4.8368,4.8368,4.6700,4.7117,46980,56.5000,0
2010-02-11,4.7534,4.7534,4.5866,4.7534,29860,57.0000,0
2010-02-12,4.8368,4.8368,4.7117,4.7117,16200,56.5000,0
2010-02-22,4.7534,4.7534,4.5866,4.6700,24430,56.0000,0
2010-02-23,4.5449,4.5866,4.4615,4.4615,52540,53.5000,0
2010-02-24,4.4615,4.6700,4.4198,4.6700,45540,56.0000,0
2010-02-25,4.7951,4.8368,4.6700,4.7534,49370,57.0000,0
2010-02-26,4.7117,4.7534,4.6283,4.6700,26660,56.0000,0
2010-03-01,4.6700,4.8785,4.6700,4.7534,82290,57.0000,0
2010-03-02,4.7951,4.7951,4.6700,4.6700,59240,56.0000,0
2010-03-03,4.7951,4.7951,4.6700,4.6700,11990,56.0000,0
2010-03-04,4.7534,4.7951,4.6700,4.7117,67340,56.5000,0
2010-03-05,4.7117,4.9202,4.7117,4.9202,118420,59.0000,0
2010-03-08,4.9619,5.0870,4.8368,4.8368,68000,58.0000,0
2010-03-09,4.9619,5.0453,4.9202,5.0452,121310,60.5000,0
2010-03-10,5.2537,5.2954,5.1286,5.2954,100670,63.5000,0
2010-03-11,5.5039,5.5456,5.5039,5.5456,110820,66.5000,0
2010-03-12,5.7958,5.7958,5.5873,5.7541,204770,69.0000,0
2010-03-15,5.8375,5.8375,5.5039,5.5873,69650,67.0000,0
2010-03-16,5.4205,5.6290,5.3788,5.4205,136220,65.0000,0
2010-03-17,5.4622,5.5873,5.3371,5.5039,87110,66.0000,0
2010-03-18,5.6759,5.6759,5.4609,5.6756,54740,66.0000,0
2010-03-19,5.5466,5.5896,5.5036,5.5036,25480,64.0000,0
2010-03-22,5.5036,5.5036,5.3316,5.4176,25430,63.0000,0
2010-03-23,5.3316,5.3746,5.2026,5.2027,36220,60.5000,0
2010-03-24,5.3747,5.4607,5.3747,5.4606,43340,63.5000,0
2010-03-25,5.3316,5.6326,5.2026,5.4606,64560,63.5000,0
2010-03-26,5.4606,5.5036,5.3746,5.4606,23370,63.5000,0
2010-03-29,5.4176,5.7186,5.4176,5.7186,113090,66.5000,0
2010-03-30,5.8046,5.8046,5.5896,5.5896,44400,65.0000,0
2010-03-31,5.5036,5.7186,5.5036,5.6756,44990,66.0000,0
2010-04-01,5.6756,5.6756,5.5466,5.6756,25860,66.0000,0
2010-04-02,5.5896,5.5896,5.4176,5.5036,55130,64.0000,0
2010-04-05,5.5036,5.6326,5.5036,5.5036,59890,64.0000,0
2010-04-06,5.7186,5.7616,5.7186,5.7186,160090,66.5000,0
2010-04-07,5.8476,5.9336,5.7186,5.8476,69570,68.0000,0
2010-04-08,5.6756,5.8906,5.6756,5.8046,26360,67.5000,0
2010-04-09,5.8046,5.8046,5.5896,5.6326,72800,65.5000,0
2010-04-12,5.6326,5.6326,5.5036,5.5896,66430,65.0000,0
2010-04-13,5.5466,5.5896,5.5466,5.5466,14800,64.5000,0
2010-04-14,5.5036,5.6326,5.5036,5.5466,24040,64.5000,0
2010-04-15,5.5466,5.6326,5.5466,5.6326,53110,65.5000,0
2010-04-16,5.6326,5.7186,5.5466,5.5896,38810,65.0000,0
2010-04-19,5.5466,5.5896,5.5036,5.5036,58130,64.0000,0
2010-04-20,5.5466,5.6756,5.5036,5.5036,31410,64.0000,0
2010-04-21,5.5036,5.5466,5.4176,5.5036,61700,64.0000,0
2010-04-22,5.5896,5.7616,5.5896,5.6756,79610,66.0000,0
2010-04-26,5.8476,5.8476,5.5036,5.5896,14120,65.0000,0
2010-04-27,5.5896,5.6326,5.5466,5.5896,25870,65.0000,0
2010-04-28,5.8476,5.8476,5.7616,5.8476,68620,68.0000,20000
2010-04-29,6.1056,6.1056,6.0196,6.1056,219200,71.0000,0
2010-05-04,6.4066,6.4066,6.3206,6.4066,167530,74.5000,0
2010-05-05,6.1486,6.4066,6.1056,6.1056,119020,71.0000,0
2010-05-06,6.1056,6.1916,5.9336,6.0196,33050,70.0000,20000
2010-05-07,5.9766,5.9766,5.7186,5.9336,60120,69.0000,0
2010-05-10,5.9336,5.9336,5.6756,5.6756,66120,66.0000,0
2010-05-11,5.7616,5.7616,5.5896,5.6756,86010,66.0000,0
2010-05-12,5.5896,5.6326,5.4176,5.4606,87360,63.5000,0
2010-05-13,5.6756,5.6756,5.4606,5.5466,40700,64.5000,0
2010-05-14,5.7186,5.7616,5.5466,5.5466,2600,64.5000,0
