date,open,high,low,close,volume,unadjusted,putthrough
2011-09-13,1.1356,1.3566,1.1155,1.2260,144200,12.2000,0
2011-09-14,1.2059,1.2059,1.1155,1.1155,20200,11.1000,0
2011-09-15,1.1055,1.1055,1.0753,1.0753,16600,10.7000,0
2011-09-16,1.0552,1.0552,1.0351,1.0351,4500,10.3000,0
2011-09-19,1.0150,1.1054,1.0050,1.0552,4000,10.5000,0
2011-09-20,1.0050,1.0050,1.0050,1.0050,200,10.0000,0
2011-09-21,1.0050,1.0050,1.0050,1.0050,100,10.0000,0
2011-09-22,1.0050,1.0050,1.0050,1.0050,100,10.0000,0
2011-09-26,1.0754,1.0754,1.0754,1.0753,200,10.7000,0
2011-09-27,1.0050,1.0050,1.0050,1.0050,100,10.0000,0
2011-09-28,1.0050,1.0050,0.9748,0.9748,1900,9.7000,0
2011-09-29,1.0351,1.0351,1.0351,1.0351,100,10.3000,0
2011-09-30,1.0050,1.0050,0.9648,0.9648,800,9.6000,0
2011-10-03,0.9748,1.0050,0.9748,1.0050,200,10.0000,0
2011-10-04,0.9950,1.0050,0.9950,1.0050,200,10.0000,0
2011-10-05,1.0251,1.0251,1.0251,1.0251,100,10.2000,0
2011-10-06,1.0854,1.0854,0.9648,1.0351,4000,10.3000,0
2011-10-11,1.0854,1.0854,1.0854,1.0853,1500,10.8000,0
2011-10-12,1.1255,1.1255,1.1255,1.1255,1000,11.2000,0
2011-10-13,1.1355,1.1355,1.1355,1.1356,1100,11.3000,0
2011-10-14,1.1256,1.1256,1.1256,1.1255,600,11.2000,0
2011-10-24,1.1255,1.1255,1.1255,1.1255,100,11.2000,0
2011-11-02,1.1255,1.1255,1.1255,1.1255,2800,11.2000,5000
2011-11-17,1.0552,1.0552,1.0552,1.0552,700,10.5000,0
2011-11-18,0.9849,0.9849,0.9849,0.9849,600,9.8000,0
2011-11-21,0.9246,0.9246,0.9246,0.9246,7800,9.2000,0
2011-11-24,0.8643,0.8643,0.8643,0.8643,800,8.6000,0
2011-11-28,0.8040,0.8040,0.8040,0.8040,100,8.0000,0
2011-11-29,0.8542,0.8542,0.8542,0.8542,200,8.5000,0
2011-12-01,0.8442,0.8542,0.8241,0.8241,6900,8.2000,0
2011-12-07,0.8442,0.9044,0.8040,0.8241,13800,8.2000,0
2011-12-12,0.8743,0.8743,0.8140,0.8140,500,8.1000,0
2011-12-14,0.8844,0.8844,0.8040,0.8040,2100,8.0000,0
2011-12-15,0.8241,0.8542,0.8241,0.8542,9500,8.5000,0
2012-01-10,0.8040,0.8542,0.8040,0.8542,1000,8.5000,0
2012-01-11,0.8040,0.8040,0.8040,0.8040,1100,8.0000,0
2012-01-17,0.7940,0.7940,0.7940,0.7939,2000,7.9000,0
2012-02-03,0.7437,0.7437,0.7437,0.7437,3500,7.4000,0
2012-02-07,0.7035,0.7035,0.7035,0.7035,1000,7.0000,0
2012-02-08,0.6734,0.6734,0.6734,0.6733,1900,6.7000,0
