date,open,high,low,close,volume,unadjusted,putthrough
2006-12-20,7.6863,7.6863,7.6863,7.6863,14410,39.9000,0
2006-12-21,7.6863,7.6863,7.3203,7.3203,5560,38.0000,0
2006-12-22,6.9543,6.9543,6.9543,6.9543,10,36.1000,0
2006-12-25,6.6075,6.6075,6.6075,6.6075,2860,34.3000,0
2006-12-26,6.2800,6.2800,6.2800,6.2800,10060,32.6000,0
2006-12-27,5.9718,5.9718,5.9718,5.9718,12900,31.0000,0
2006-12-28,5.6828,5.6828,5.6828,5.6829,1500,29.5000,0
2006-12-29,5.4132,5.4132,5.4132,5.4132,550,28.1000,0
2007-01-02,5.1435,5.1435,5.1435,5.1435,10,26.7000,0
2007-01-03,4.8931,4.8931,4.8931,4.8930,510,25.4000,0
2007-01-04,4.6618,4.6618,4.6618,4.6619,10,24.2000,0
2007-01-05,4.6619,4.6619,4.4500,4.4500,71290,23.1000,0
2007-01-08,4.6619,4.6619,4.6619,4.6619,39040,24.2000,0
2007-01-09,4.8931,4.8931,4.8931,4.8930,79720,25.4000,0
2007-01-10,4.8930,4.8930,4.8159,4.8160,50820,25.0000,0
2007-01-11,4.8160,4.8160,4.8160,4.8160,3740,25.0000,0
2007-01-12,4.5848,4.6041,4.5848,4.5848,5300,23.8000,0
2007-01-15,0.0000,4.5270,4.3922,4.3922,3310,22.8000,0
2007-01-16,4.1803,4.1803,4.1803,4.1803,18700,21.7000,0
2007-01-17,4.2574,4.2574,3.9877,4.2573,5400,22.1000,0
2007-01-18,4.2573,4.2573,4.2188,4.2381,6600,22.0000,0
2007-01-19,4.0455,4.2381,4.0455,4.2381,14600,22.0000,0
2007-01-22,0.0000,4.0840,4.0262,4.0262,4100,20.9000,0
2007-01-23,3.8336,3.8336,3.8336,3.8335,10210,19.9000,0
2007-01-24,3.8528,3.8528,3.8335,3.8335,18100,19.9000,0
2007-01-25,4.0069,4.0069,4.0069,4.0069,4900,20.8000,0
2007-01-26,0.0000,4.1995,4.1417,4.1995,20450,21.8000,0
2007-01-29,4.0454,4.1995,4.0454,4.0454,12710,21.0000,0
2007-01-30,4.0454,4.0454,4.0454,4.0454,3310,21.0000,0
2007-01-31,4.1849,4.1849,4.0853,4.0853,1540,20.5000,0
2007-02-01,0.0000,4.1451,4.0853,4.0853,1340,20.5000,0
2007-02-02,4.0853,4.0853,4.0853,4.0853,940,20.5000,0
2007-02-05,4.2846,4.2846,3.9259,4.2846,10030,21.5000,0
2007-02-06,4.4839,4.4839,4.3842,4.4839,29430,22.5000,0
2007-02-07,4.6832,4.6832,4.5835,4.6832,22850,23.5000,0
2007-02-08,4.9024,4.9024,4.9024,4.9024,29810,24.6000,0
2007-02-09,5.1415,5.1415,5.1415,5.1416,29840,25.8000,0
2007-02-12,5.3807,5.3807,5.3807,5.3807,33190,27.0000,0
2007-02-13,5.2811,5.3807,5.2811,5.2811,17260,26.5000,0
2007-02-14,5.1615,5.2811,5.0220,5.1615,10400,25.9000,0
2007-02-15,5.1615,5.3807,5.1615,5.1615,7020,25.9000,0
2007-02-26,5.4006,5.4006,5.3807,5.4006,5570,27.1000,0
2007-02-27,5.3807,5.6597,5.3807,5.3807,21880,27.0000,0
2007-02-28,5.1814,5.1814,5.1216,5.1814,13930,26.0000,0
2007-03-01,5.1216,5.1814,5.0818,5.1216,8320,25.7000,0
2007-03-02,5.1216,5.1216,5.0817,5.0818,15650,25.5000,0
2007-03-05,5.3209,5.3209,5.1814,5.3209,21660,26.7000,0
2007-03-06,5.5800,5.5800,5.5800,5.5800,79240,28.0000,0
2007-03-07,5.8590,5.8590,5.8590,5.8590,10610,29.4000,0
2007-03-08,5.9786,6.1380,5.9786,6.1380,6220,30.8000,0
2007-03-09,6.4369,6.4369,6.4369,6.4369,7620,32.3000,0
2007-03-12,6.7558,6.7558,6.7558,6.7558,13540,33.9000,0
2007-03-13,7.0747,7.0747,6.7757,7.0746,51260,35.5000,0
2007-03-14,7.4134,7.4134,7.4134,7.4134,101730,37.2000,0
2007-03-15,7.0547,7.0547,7.0547,7.0547,24050,35.4000,0
2007-03-16,6.7159,6.7757,6.7159,6.7757,50120,34.0000,0
2007-03-19,6.9750,7.1145,6.9750,7.1145,15590,35.7000,0
2007-03-20,7.4533,7.4533,7.4533,7.4533,49420,37.4000,0
2007-03-21,7.8120,7.8120,7.5729,7.5728,66230,38.0000,0
2007-03-22,7.3735,7.3735,7.1942,7.1942,17760,36.1000,0
2007-03-23,6.8753,6.8753,6.8355,6.8355,14090,34.3000,0
2007-03-26,6.8355,6.8355,6.4967,6.4967,18110,32.6000,0
2007-03-27,6.3771,6.3771,6.1778,6.1778,1060,31.0000,0
2007-03-28,5.8789,5.8789,5.8789,5.8789,3400,29.5000,0
2007-03-29,5.8789,6.1579,5.8789,6.1579,3730,30.9000,0
2007-03-30,6.3771,6.4568,6.3771,6.4568,31480,32.4000,0
2007-04-02,6.4568,6.4568,6.1379,6.1579,10210,30.9000,0
2007-04-03,5.9785,5.9785,5.9785,5.9786,8650,30.0000,0
2007-04-04,5.7594,6.2775,5.7594,6.2775,7590,31.5000,0
2007-04-05,5.9786,5.9786,5.9786,5.9786,9350,30.0000,0
2007-04-06,5.7793,5.9786,5.7793,5.9786,5600,30.0000,0
2007-04-09,5.6797,5.6797,5.6797,5.6796,7760,28.5000,0
2007-04-10,5.4803,5.4803,5.4006,5.4006,6650,27.1000,0
2007-04-11,5.5800,5.5800,5.4006,5.5800,8260,28.0000,0
2007-04-12,5.5800,5.5800,5.5800,5.5800,1260,28.0000,0
2007-04-13,5.5800,5.5800,5.5800,5.5800,890,28.0000,0
2007-04-16,5.5800,5.5800,5.3010,5.3010,4620,26.6000,0
2007-04-17,5.1814,5.1814,5.0419,5.0419,9570,25.3000,0
2007-04-18,5.0419,5.2810,5.0419,5.2213,3850,26.2000,0
2007-04-19,0.0000,5.4804,5.4405,5.4405,9520,27.3000,0
2007-04-20,5.4804,5.4804,5.4804,5.4803,6090,27.5000,0
2007-04-23,5.4803,5.4803,5.4803,5.4803,4510,27.5000,0
2007-04-24,5.2212,5.2212,5.2212,5.2213,5860,26.2000,0
2007-04-25,5.2213,5.4804,5.2213,5.4803,11620,27.5000,0
2007-05-02,5.4803,5.4803,5.4803,5.4803,1750,27.5000,0
2007-05-03,5.4803,5.4803,5.3807,5.3807,2820,27.0000,0
2007-05-04,5.4803,5.4803,5.4006,5.4604,2090,27.4000,0
2007-05-07,5.4604,5.4604,5.3807,5.3807,3800,27.0000,0
2007-05-08,5.3807,5.5800,5.3807,5.5800,6480,28.0000,0
2007-05-09,5.5800,5.6796,5.5800,5.6796,6200,28.5000,0
2007-05-10,5.4006,5.6796,5.4006,5.4006,9080,27.1000,0
2007-05-11,5.4006,5.6597,5.4006,5.6597,9920,28.4000,0
2007-05-14,5.9387,5.9387,5.9387,5.9387,6670,29.8000,0
2007-05-15,6.1778,6.2177,6.1778,6.2177,21590,31.2000,0
2007-05-16,5.9188,5.9188,5.9188,5.9188,5300,29.7000,0
2007-05-17,5.6797,5.7793,5.6797,5.6996,7220,28.6000,0
2007-05-18,5.9786,5.9786,5.9786,5.9786,14020,30.0000,0
2007-05-21,6.1779,6.2775,6.1779,6.2775,3650,31.5000,0
2007-05-22,6.5764,6.5764,6.5764,6.5764,6600,33.0000,0
2007-05-23,6.8554,6.8953,6.8554,6.8953,1040,34.6000,0
2007-05-24,7.2341,7.2341,7.2341,7.2341,10370,36.3000,0
2007-05-25,7.5928,7.5928,7.5928,7.5928,54000,38.1000,0
2007-05-28,7.9714,7.9714,7.9714,7.9714,5080,40.0000,0
2007-05-29,8.3700,8.3700,8.3700,8.3700,3080,42.0000,0
2007-05-30,8.7885,8.7885,8.7885,8.7885,2970,44.1000,0
2007-05-31,9.2269,9.2269,9.2269,9.2269,2610,46.3000,0
2007-06-01,9.6853,9.6853,9.6853,9.6853,5020,48.6000,0
