date,open,high,low,close,volume,unadjusted,putthrough
2008-11-18,7.9987,7.9987,7.9987,7.9987,20,48.0000,0
2008-11-19,7.5988,7.5988,7.5988,7.5987,10,45.6000,0
2008-11-20,7.2321,7.2321,7.2321,7.2321,10,43.4000,0
2008-11-21,6.8822,6.8822,6.8822,6.8822,10,41.3000,0
2008-11-24,6.5489,6.5489,6.5489,6.5489,3410,39.3000,0
2008-11-25,6.2323,6.2323,6.2323,6.2323,3110,37.4000,0
2008-11-26,5.9323,5.9323,5.9323,5.9324,8110,35.6000,0
2008-11-27,5.6491,5.6491,5.6491,5.6491,2010,33.9000,0
2008-11-28,5.3825,5.3825,5.3825,5.3824,2110,32.3000,0
2008-12-01,5.1158,5.1158,5.1158,5.1158,2500,30.7000,0
2008-12-02,4.8658,4.8658,4.8658,4.8659,24010,29.2000,20000
2008-12-03,4.6326,4.6826,4.6326,4.6326,205250,27.8000,0
2008-12-04,4.4079,4.4943,4.4079,4.4078,393620,25.5000,35000
2008-12-05,4.2177,4.3041,4.2004,4.2177,340450,24.4000,0
2008-12-08,4.4251,4.4251,4.4251,4.4251,41980,25.6000,0
2008-12-09,4.6325,4.6325,4.6325,4.6325,17600,26.8000,0
2008-12-10,4.5115,4.6325,4.4596,4.6325,138430,26.8000,0
2008-12-11,4.7708,4.8572,4.7708,4.8572,141980,28.1000,0
2008-12-12,5.0992,5.0992,5.0992,5.0992,26950,29.5000,0
2008-12-15,5.3412,5.3412,5.3412,5.3412,4110,30.9000,0
2008-12-16,5.6005,5.6005,5.3585,5.6005,367980,32.4000,0
2008-12-17,5.3585,5.8252,5.3585,5.5141,54180,31.9000,0
2008-12-18,5.5141,5.6178,5.3585,5.5141,28280,31.9000,0
2008-12-19,5.7734,5.7734,5.7734,5.7734,23970,33.4000,220000
2008-12-22,6.0500,6.0500,6.0500,6.0499,28460,35.0000,170000
2008-12-23,6.3438,6.3438,5.8770,6.3438,120790,36.7000,0
2008-12-24,6.0672,6.4821,6.0672,6.2228,84960,36.0000,0
2008-12-25,6.3957,6.3957,6.0499,6.3611,26100,36.8000,0
2008-12-26,6.5685,6.6722,6.4302,6.5685,136580,38.0000,0
2008-12-29,6.7068,6.7068,6.4475,6.7068,49470,38.8000,0
2008-12-30,6.5685,6.9142,6.4821,6.9142,89600,40.0000,0
2008-12-31,6.8278,7.2599,6.7413,7.2599,214730,42.0000,0
2009-01-02,7.6229,7.6229,7.5710,7.6229,92860,44.1000,0
2009-01-05,7.9340,7.9340,7.2426,7.2945,129310,42.2000,0
2009-01-06,7.3118,7.4328,7.0352,7.1735,83890,41.5000,0
2009-01-07,7.4328,7.4501,6.9315,6.9315,62310,40.1000,0
