date,open,high,low,close,volume,unadjusted,putthrough
2009-12-10,7.4965,8.1428,7.4965,7.9489,44150,61.5000,0
2009-12-11,8.1428,8.1428,7.6258,7.7551,49210,60.0000,0
2009-12-14,8.1429,8.1429,7.4966,8.0136,16910,62.0000,0
2009-12-15,8.0136,8.0136,7.6258,8.0136,13870,62.0000,0
2009-12-16,7.6258,7.7551,7.6258,7.6258,4010,59.0000,0
2009-12-17,7.3027,7.3027,7.3027,7.3027,4000,56.5000,0
2009-12-18,6.9796,7.3027,6.9796,7.3027,67190,56.5000,0
2009-12-21,7.3027,7.5612,6.9796,7.4966,24900,58.0000,0
2009-12-22,7.3673,7.4966,7.2381,7.4319,29960,57.5000,0
2009-12-23,7.4319,7.4965,7.2380,7.4966,10550,58.0000,0
2009-12-24,7.4966,7.4966,7.2381,7.2381,35710,56.0000,0
2009-12-25,7.3674,7.4966,7.1088,7.4966,28710,58.0000,0
2009-12-28,7.6905,7.6905,7.4966,7.4966,30120,58.0000,0
2009-12-29,7.6259,7.6259,7.3673,7.3673,11600,57.0000,0
2009-12-30,7.4966,7.6904,7.4966,7.6904,48250,59.5000,0
2009-12-31,8.0135,8.0135,7.9489,8.0136,109870,62.0000,0
2010-01-04,8.4014,8.4014,8.4014,8.4013,24610,65.0000,0
2010-01-05,8.7891,8.7891,8.7891,8.7891,29130,68.0000,0
2010-01-06,9.0476,9.1769,9.0476,9.1768,130030,71.0000,0
2010-01-07,9.4353,9.4353,8.7890,9.1768,19130,71.0000,0
2010-01-08,9.0475,9.1122,8.8537,8.8537,37030,68.5000,0
2010-01-11,8.7244,8.7891,8.5306,8.5306,41770,66.0000,0
2010-01-12,8.5306,8.7245,8.2721,8.2721,31700,64.0000,0
2010-01-13,8.5306,8.5306,8.0136,8.1428,66030,63.0000,0
2010-01-14,8.5306,8.5306,8.4013,8.5306,31770,66.0000,0
2010-01-15,8.6599,8.6599,8.4660,8.5952,9850,66.5000,0
2010-01-18,8.4013,8.4013,8.2074,8.2074,19470,63.5000,0
2010-01-19,8.2074,8.3367,8.1428,8.2721,13860,64.0000,0
2010-01-20,8.4014,8.4014,8.1428,8.1428,33840,63.0000,0
2010-01-21,7.7550,8.1428,7.7550,7.7551,30880,60.0000,0
2010-01-22,7.5612,7.8197,7.4966,7.8197,8120,60.5000,0
2010-01-25,7.9490,7.9490,7.7551,7.8197,3820,60.5000,0
2010-01-26,8.2075,8.2075,8.2075,8.2074,18080,63.5000,0
2010-01-27,8.3367,8.3367,8.2074,8.2721,21250,64.0000,0
2010-01-28,8.4014,8.4014,7.9490,8.0782,1400,62.5000,0
2010-01-29,8.0782,8.2075,7.8197,8.1428,11720,63.0000,0
2010-02-01,8.4013,8.4013,8.1428,8.1428,2050,63.0000,0
2010-02-02,8.1428,8.1428,8.0782,8.0782,8960,62.5000,0
2010-02-03,8.0782,8.1428,8.0136,8.1428,5950,63.0000,0
2010-02-04,7.9489,8.2074,7.9489,8.1428,13760,63.0000,0
2010-02-05,8.1428,8.1428,8.1428,8.1428,660,63.0000,0
2010-02-08,8.1428,8.1428,7.9489,7.9489,2870,61.5000,0
2010-02-09,7.8843,8.0135,7.8196,7.8197,8440,60.5000,0
2010-02-10,8.0136,8.0782,7.8843,8.0782,2830,62.5000,0
