date,open,high,low,close,volume,unadjusted,putthrough
2017-10-05,10.2773,10.9718,9.3746,9.8607,7293500,14.2000,0
2017-10-06,9.8607,9.8607,9.4441,9.5829,1196846,13.8000,1457311
2017-10-09,9.5829,9.7218,9.5135,9.6524,1018740,13.9000,371030
2017-10-10,9.6524,9.7218,9.4441,9.5135,1369264,13.7000,0
2017-10-11,9.5829,9.5829,8.9580,9.0968,1929895,13.1000,6602
2017-10-12,9.0968,9.0968,8.6802,8.8191,1503890,12.7000,0
2017-10-13,8.6802,8.8885,8.4024,8.4719,1998290,12.2000,0
2017-10-16,8.4025,9.1663,8.3330,8.7496,2078341,12.6000,480000
2017-10-17,8.8190,9.3051,8.8190,9.3052,2352646,13.4000,0
2017-10-18,9.2358,9.5135,9.2358,9.2357,1921054,13.3000,0
2017-10-19,9.2357,9.2357,8.9579,9.0274,1665342,13.0000,0
2017-10-20,9.0968,9.0968,8.8885,9.0274,716310,13.0000,0
2017-10-23,9.0274,9.0274,8.7496,8.7496,989690,12.6000,0
2017-10-24,8.7496,9.1662,8.6802,9.0274,2296792,13.0000,0
2017-10-25,9.0274,9.5135,9.0274,9.4440,4451160,13.6000,55
2017-10-26,9.3746,9.5134,9.3051,9.4440,4783279,13.6000,136479
2017-10-27,9.3746,9.4440,9.3051,9.3746,917448,13.5000,50000
2017-10-30,9.3746,9.3746,9.1663,9.2357,1155892,13.3000,30000
2017-10-31,9.1663,9.1663,9.0274,9.0274,998097,13.0000,38000
2017-11-01,9.0968,9.0968,8.9580,9.0968,1832620,13.1000,100000
2017-11-02,9.0968,9.0968,8.9579,9.0274,1436565,13.0000,46887
2017-11-03,9.0274,9.0274,8.8191,8.8885,1311510,12.8000,262500
2017-11-06,8.7496,8.9579,8.6802,8.8191,1721340,12.7000,1500000
2017-11-07,8.8885,8.8885,8.6108,8.6802,3472406,12.5000,0
2017-11-08,8.7496,9.0274,8.6802,8.9580,3419190,12.9000,10450
2017-11-09,8.9580,9.3052,8.9580,9.1663,2027331,13.2000,34857
2017-11-10,9.0969,9.2357,9.0274,9.0274,2162571,13.0000,0
2017-11-13,9.0968,9.0968,8.8885,9.0274,1658710,13.0000,102000
2017-11-14,9.3974,9.5454,9.1014,9.3542,1417790,12.6000,0
2017-11-15,9.1315,9.5027,9.1315,9.5027,1199023,12.8000,0
2017-11-16,9.4285,10.0224,9.4285,9.8739,3654576,13.3000,51500
