date,open,high,low,close,volume,unadjusted,putthrough
2017-07-24,47.4759,47.4759,36.9257,38.5742,350000,58.5000,0
2017-07-25,39.1017,39.1017,35.6070,35.6070,120850,54.0000,3411350
2017-07-26,36.2664,38.9039,35.0795,38.9039,272470,59.0000,20000
2017-07-27,38.2445,42.5305,38.2445,42.2009,547410,64.0000,25000
2017-07-28,41.1459,41.1459,40.0909,40.7502,87856,61.8000,0
2017-07-31,40.2886,40.2886,39.2995,40.2227,50598,61.0000,0
2017-08-01,38.5742,39.4974,38.1786,38.1786,66846,57.9000,15000
2017-08-02,37.9148,37.9148,36.2664,37.1236,65694,56.3000,0
2017-08-03,37.0577,37.5852,36.8598,36.9258,27640,56.0000,0
2017-08-04,37.1236,37.9149,36.9258,37.5852,34601,57.0000,0
2017-08-07,37.5852,37.5852,36.7939,36.7939,32628,55.8000,12000
2017-08-08,36.5961,36.9917,36.2664,36.3323,36081,55.1000,21500
2017-08-09,36.2664,36.9257,34.9476,35.2773,56650,53.5000,0
2017-08-10,36.2004,36.2664,35.2773,35.2773,34220,53.5000,0
2017-08-11,35.0795,35.0795,34.5520,34.6179,37510,52.5000,0
2017-08-14,34.6838,34.6838,33.2332,34.0904,32134,51.7000,10000
2017-08-15,33.9585,35.2773,33.9585,34.2223,17745,51.9000,0
2017-08-16,34.2882,34.7498,34.2882,34.3542,12675,52.1000,0
2017-08-17,34.2883,34.6180,34.0904,34.1563,10757,51.8000,0
2017-08-18,34.2882,34.2882,34.1563,34.1563,20680,51.8000,0
2017-08-21,34.2882,34.2882,33.6288,33.6288,12739,51.0000,2000
2017-08-22,34.2222,34.2222,33.5629,33.5629,15660,50.9000,0
2017-08-23,33.8267,33.8267,31.9804,32.3100,66600,49.0000,0
2017-08-24,32.5078,32.9694,32.3100,32.9694,30230,50.0000,0
2017-08-25,32.7716,33.8925,32.7716,33.8926,55130,51.4000,0
2017-08-28,33.3651,34.2882,33.3651,34.2882,34720,52.0000,1000
2017-08-29,34.2882,34.4201,33.8926,33.9585,15820,51.5000,1000
2017-08-30,34.1563,34.1563,33.2991,33.2991,50527,50.5000,1150
2017-08-31,33.9787,33.9787,33.2991,33.2987,62278,49.0000,0
2017-09-01,32.6191,33.2307,32.6191,33.2308,11880,48.9000,0
2017-09-05,33.2988,33.2988,32.7551,32.8230,15114,48.3000,1000
2017-09-06,32.7550,33.6385,32.7550,33.6385,46845,49.5000,0
2017-09-07,33.9783,33.9783,33.3667,33.4346,18054,49.2000,0
2017-09-08,33.5026,33.9103,33.3666,33.3667,15300,49.1000,0
2017-09-11,33.5706,33.5706,32.6192,33.1628,7550,48.8000,0
2017-09-12,32.8910,33.2987,32.7551,33.0949,25920,48.7000,0
2017-09-13,33.2988,33.9783,33.2988,33.9783,61511,50.0000,0
2017-09-14,33.5706,36.1529,33.5026,35.8131,216376,52.7000,0
2017-09-15,35.4733,37.0363,35.4733,36.0170,97890,53.0000,0
2017-09-18,36.0170,36.0170,35.3374,35.3374,64281,52.0000,0
2017-09-19,35.2015,35.2015,34.1142,34.4540,80238,50.7000,0
2017-09-20,34.3181,35.4054,33.9783,35.3374,82243,52.0000,0
2017-09-21,34.9297,35.6772,34.9297,35.3374,55780,52.0000,0
2017-09-22,35.3374,35.3374,34.8617,35.1336,17898,51.7000,0
2017-09-25,34.6579,34.8618,34.6579,34.7258,12650,51.1000,0
2017-09-26,34.7258,34.9976,34.3860,34.9976,30310,51.5000,0
2017-09-27,34.4539,34.4539,34.3180,34.3181,27710,50.5000,0
2017-09-28,34.5220,34.6579,34.0463,34.1142,8890,50.2000,0
2017-09-29,34.2501,34.5219,34.1822,34.5220,24260,50.8000,0
2017-10-02,34.2502,34.2502,33.7065,33.9103,53248,49.9000,0
2017-10-03,34.1142,34.1142,33.5026,34.0463,57570,50.1000,70
2017-10-04,33.7745,34.3181,33.7745,33.8424,13810,49.8000,0
2017-10-05,33.8424,33.9104,33.5706,33.8424,29963,49.8000,0
2017-10-06,33.6385,33.6385,33.2987,33.6385,26660,49.5000,0
2017-10-09,33.5026,33.5026,33.1628,33.2987,27360,49.0000,0
2017-10-10,33.0269,33.2987,33.0269,33.2987,21634,49.0000,0
2017-10-11,33.2987,33.3667,33.1628,33.2987,18924,49.0000,0
2017-10-12,33.2987,33.2987,32.6191,33.0949,14300,48.7000,0
2017-10-13,33.0269,33.2308,32.6872,32.9589,11170,48.5000,0
2017-10-16,32.8909,33.2987,32.1434,32.1435,34280,47.3000,0
2017-10-17,32.1435,32.6872,32.1435,32.1435,14680,47.3000,0
2017-10-18,32.1435,32.6192,32.1435,32.3473,33200,47.6000,0
2017-10-19,32.4832,32.6871,32.4832,32.4833,12810,47.8000,0
2017-10-20,32.3474,32.4153,32.2794,32.3473,14750,47.6000,0
2017-10-23,32.2114,32.2793,31.9396,31.9396,30900,47.0000,0
2017-10-24,31.9396,31.9396,31.2600,31.4639,27920,46.3000,0
2017-10-25,31.8716,31.8716,31.2600,31.4639,6320,46.3000,0
2017-10-26,31.2600,31.2600,31.0562,31.1241,13360,45.8000,0
2017-10-27,31.0561,31.0561,30.5125,30.5805,24967,45.0000,0
2017-10-30,30.5125,31.2601,27.1827,31.2600,49690,46.0000,0
2017-10-31,29.2893,31.2600,29.2213,31.2600,72230,46.0000,0
2017-11-01,31.2600,31.8716,30.7843,31.3959,36453,46.2000,0
2017-11-02,31.2600,32.4152,31.1241,31.3280,46888,46.1000,0
2017-11-03,31.6678,32.0076,30.6484,32.0076,43640,47.1000,0
2017-11-06,31.5999,31.9396,31.5999,31.8037,15600,46.8000,20620
2017-11-07,31.8717,32.7551,31.8717,31.8716,54830,46.9000,0
2017-11-08,32.2793,32.6191,31.9396,31.9396,26340,47.0000,0
2017-11-09,32.2794,32.6192,31.9396,31.9396,21750,47.0000,0
2017-11-10,32.1435,32.5512,31.3959,31.7357,37350,46.7000,0
2017-11-13,31.7357,32.4832,30.9882,31.8037,36750,46.8000,0
2017-11-14,31.3280,32.2794,31.3280,31.4639,35300,46.3000,0
2017-11-15,31.9396,32.6192,31.3959,31.5998,26351,46.5000,0
2017-11-16,31.9396,32.2114,31.3280,31.5998,37220,46.5000,0
2017-11-17,31.7357,31.7357,30.5805,31.0562,15600,45.7000,0
2017-11-20,31.2601,31.2601,30.5805,30.5805,16540,45.0000,0
2017-11-21,31.2601,31.2601,30.6485,30.7164,8960,45.2000,0
2017-11-22,30.7164,30.7844,30.5125,30.5805,25879,45.0000,0
2017-11-23,30.6485,31.5998,30.6485,31.3280,32970,46.1000,0
2017-11-24,31.5319,31.5998,31.1241,31.2600,27730,46.0000,0
2017-11-27,31.2600,31.2600,30.4445,30.9882,43797,45.6000,0
2017-11-28,30.7164,31.1921,30.2407,30.7843,10520,45.3000,3000
2017-11-29,30.9202,31.0561,30.5804,30.5805,33200,45.0000,0
2017-11-30,30.7164,30.7164,30.1728,30.3086,80032,44.6000,20000
2017-12-01,30.5125,30.5125,30.1727,30.2407,60879,44.5000,3000
2017-12-04,30.5923,30.5923,29.6078,29.6785,31596,42.2000,0
2017-12-05,29.5378,29.6082,29.3972,29.3972,15718,41.8000,20000
2017-12-06,28.9752,29.4675,28.4829,28.8346,18300,41.0000,0
2017-12-07,28.7643,28.9753,28.2720,28.8346,13730,41.0000,0
2017-12-08,28.8346,29.1862,28.8346,29.1862,23700,41.5000,20000
2017-12-11,28.9049,28.9049,28.6236,28.6236,26800,40.7000,22810
2017-12-12,28.5533,28.7643,28.4829,28.5533,38210,40.6000,0
2017-12-13,28.5533,28.5533,28.4830,28.4830,21000,40.5000,20000
2017-12-14,28.4127,28.4830,28.3423,28.4126,24875,40.4000,0
2017-12-15,28.2719,28.2719,27.3577,27.9907,19235,39.8000,2000
2017-12-18,27.9907,27.9907,27.6391,27.8500,56385,39.6000,1000
2017-12-19,27.8500,28.9049,27.8500,28.8346,85150,41.0000,0
2017-12-20,28.8346,30.2412,28.1313,30.2412,30244,43.0000,2000
2017-12-21,29.5379,29.6786,28.1313,29.6785,45900,42.2000,1000
2017-12-22,29.1862,30.8741,29.1862,30.5928,29720,43.5000,0
2017-12-25,30.2412,30.5225,29.5379,29.5379,16430,42.0000,2000
2017-12-26,30.2412,30.6632,30.2412,30.6631,27480,43.6000,0
2017-12-27,30.2411,30.9444,29.8895,30.6631,33620,43.6000,0
2017-12-28,30.5928,31.9993,30.5928,31.9994,43020,45.5000,0
2017-12-29,31.6478,31.8587,31.0148,31.8587,31129,45.3000,0
2018-01-02,31.5774,31.6477,31.0148,31.0148,24474,44.1000,0
2018-01-03,31.0148,31.0851,30.3818,30.4521,13436,43.3000,0
2018-01-04,30.5224,30.5224,29.6785,29.8895,20240,42.5000,0
2018-01-05,29.5379,30.1005,29.5379,29.8895,12830,42.5000,0
2018-01-08,29.5379,29.8895,29.5379,29.6785,21510,42.2000,300
2018-01-09,29.7488,30.2411,29.2565,30.2412,30840,43.0000,0
2018-01-10,30.2412,30.9445,30.2412,30.6631,34832,43.6000,0
2018-01-11,30.5928,30.8038,30.5224,30.8038,11746,43.8000,0
2018-01-12,30.6631,30.6631,30.0302,30.5225,36900,43.4000,0
2018-01-15,30.3818,30.3818,29.9599,29.9598,7540,42.6000,0
2018-01-16,30.1708,30.1708,29.6785,29.6785,12820,42.2000,0
2018-01-17,29.6082,29.8895,29.2565,29.8895,32440,42.5000,0
2018-01-18,29.1862,30.9444,29.1862,30.9444,82320,44.0000,0
2018-01-19,30.9444,31.2960,30.2411,31.2258,84970,44.4000,0
2018-01-22,30.9445,30.9445,30.6632,30.8038,22060,43.8000,0
2018-01-23,30.6631,30.6631,29.8895,30.2412,24420,43.0000,0
2018-01-24,30.1005,30.3115,29.9599,30.1005,34312,42.8000,0
2018-01-25,30.0302,30.3115,29.5379,29.8895,65110,42.5000,0
2018-01-26,29.8895,29.8895,29.5379,29.6082,41401,42.1000,0
2018-01-29,29.8192,29.8192,28.9752,29.1159,70486,41.4000,0
2018-01-30,29.1862,29.1862,28.5533,28.6236,46409,40.7000,0
2018-01-31,28.8346,29.5379,28.8346,28.9753,48650,41.2000,0
2018-02-01,29.6083,29.8896,28.9753,29.3972,54631,41.8000,7950
2018-02-02,29.2565,29.6082,29.2565,29.3972,36250,41.8000,0
2018-02-05,29.4675,29.4675,28.2016,28.2720,18247,40.2000,0
2018-02-06,27.4281,27.4281,26.0215,26.4434,45878,37.6000,5000
2018-02-07,28.0609,28.1313,27.6390,27.6390,10956,39.3000,5000
2018-02-08,27.7797,27.7797,27.1467,27.3577,19520,38.9000,5000
2018-02-09,27.0764,27.4280,26.1621,27.4280,29805,39.0000,5000
2018-02-12,27.2170,27.7093,26.7247,27.7093,9400,39.4000,5000
2018-02-13,27.9906,27.9906,27.2873,27.6390,7919,39.3000,5000
2018-02-21,27.4280,27.9906,27.2874,27.9907,20400,39.8000,0
2018-02-22,27.4281,27.5687,27.2874,27.2874,57900,38.8000,0
2018-02-23,27.2874,28.5533,27.2874,28.4126,48650,40.4000,0
2018-02-26,28.1313,28.8346,27.4280,27.4280,30310,39.0000,0
2018-02-27,28.3423,28.3423,27.7796,28.0610,29555,39.9000,0
2018-02-28,27.8500,28.1313,27.7797,28.0610,29700,39.9000,0
