date,open,high,low,close,volume,unadjusted,putthrough
2018-01-10,16.1495,16.1495,16.1495,16.1495,100,31.9000,0
2018-01-11,18.5289,18.5289,18.5289,18.5289,170,36.6000,0
2018-01-12,21.2627,21.2627,21.2627,21.2627,8600,42.0000,0
2018-01-15,24.4521,24.4521,19.2883,21.7690,7100,43.0000,0
2018-01-16,21.2627,21.2627,18.3771,20.2502,5000,40.0000,0
2018-01-17,17.5164,18.2252,17.4658,17.7189,4811,35.0000,0
2018-01-18,20.1489,20.1995,20.1489,20.1996,609,39.9000,0
2018-01-19,20.1996,20.1996,20.1996,20.1996,200,39.9000,0
2018-01-22,20.1996,20.1996,19.2377,19.2377,400,38.0000,0
2018-01-23,17.7189,19.7440,17.7189,18.7314,3988,37.0000,0
2018-01-24,18.9845,18.9845,18.9845,18.9846,100,37.5000,0
2018-01-25,18.2252,18.2252,18.2252,18.2252,200,36.0000,0
2018-01-26,18.2252,18.2758,18.2252,18.2758,300,36.1000,0
2018-01-29,18.2252,18.2252,17.4658,17.4658,968,34.5000,0
2018-01-30,17.7189,17.7189,17.7189,17.7189,200,35.0000,0
2018-01-31,17.7189,17.7189,15.1876,17.7189,1900,35.0000,0
2018-02-05,16.3521,16.3521,16.3521,16.3520,900,32.3000,0
2018-02-06,13.9220,13.9220,13.9220,13.9220,1600,27.5000,0
2018-02-07,13.1626,13.1626,13.1626,13.1626,100,26.0000,0
2018-02-08,15.1370,15.1370,15.1370,15.1370,1000,29.9000,0
2018-02-09,17.3645,17.3645,17.3645,17.3646,100,34.3000,0
2018-02-13,17.3646,17.3646,17.3646,17.3646,600,34.3000,0
2018-02-21,19.3896,19.3896,19.3896,19.3896,100,38.3000,0
2018-02-23,17.2633,17.3140,17.2633,17.3139,720,34.2000,0
2018-03-01,17.7189,18.2252,17.7189,18.2252,300,36.0000,0
2018-03-02,16.7064,18.7315,16.7064,18.7314,200,37.0000,0
2018-03-05,20.1995,20.1995,20.1995,20.1996,100,39.9000,0
2018-03-06,18.2252,18.2252,17.7189,17.7189,600,35.0000,0
2018-03-07,17.8202,17.8202,17.8202,17.8202,200,35.2000,0
2018-03-12,17.7189,17.7189,17.7189,17.7189,100,35.0000,0
2018-03-20,17.7189,19.2377,17.7189,19.2377,500,38.0000,0
2018-03-23,18.6302,18.6302,16.2002,16.2002,400,32.0000,0
2018-03-26,18.5290,18.5290,17.0102,17.0102,2700,33.6000,0
2018-03-27,17.4658,19.1365,17.4658,19.1364,2500,37.8000,0
2018-03-28,18.7314,18.7314,18.7314,18.7314,3800,37.0000,0
2018-03-29,18.7314,18.7314,18.7314,18.7314,800,37.0000,0
2018-04-04,18.2251,19.2377,18.2251,18.7314,3500,37.0000,0
2018-04-05,18.2251,18.2251,18.2251,18.2252,2400,36.0000,0
2018-04-06,18.3265,18.3265,18.2252,18.2252,5400,36.0000,0
2018-04-09,17.7189,18.2252,17.7189,18.2252,600,36.0000,0
2018-04-12,17.7189,17.7189,17.7189,17.7189,400,35.0000,0
2018-04-20,19.0858,19.0858,19.0858,19.0858,100,37.7000,0
2018-04-23,21.5158,21.5158,21.5158,21.5158,110,42.5000,0
2018-05-07,21.5158,21.5158,21.5158,21.5158,10,42.5000,0
2018-05-11,19.2377,19.2377,19.2377,19.2377,100,38.0000,0
2018-05-18,18.0682,18.0682,18.0682,18.0681,1000,34.0000,0
2018-05-25,17.0053,17.0053,17.0053,17.0053,100,32.0000,0
2018-05-28,15.9425,15.9425,15.4111,15.4111,500,29.0000,0
2018-05-29,17.5368,17.5368,17.5368,17.5367,100,33.0000,0
2018-05-30,20.1406,20.1406,20.1406,20.1407,100,37.9000,0
2018-05-31,18.5996,20.1938,18.5996,20.1938,2200,38.0000,0
2018-06-05,21.4692,21.4692,21.4692,21.4692,100,40.4000,0
2018-06-13,18.3338,19.6624,18.3338,19.6624,1000,37.0000,0
2018-06-18,19.6624,19.6624,19.6624,19.6624,100,37.0000,0
2018-07-20,18.5464,18.5464,18.5464,18.5464,100,34.9000,0
2018-08-09,18.0681,18.0681,18.0681,18.0681,100,34.0000,0
2018-08-14,16.0487,16.0487,16.0487,16.0488,1600,30.2000,0
2018-08-15,16.0488,16.0488,16.0488,16.0488,100,30.2000,0
2018-08-16,15.9425,15.9425,15.5174,15.5174,300,29.2000,0
2018-08-17,18.0151,18.0151,18.0151,18.0150,100,33.9000,0
2018-08-20,18.5996,20.6721,18.0150,20.6721,19908,38.9000,0
2018-08-21,20.6721,23.5417,20.6721,22.3726,14238,42.1000,0
2018-08-22,22.5852,25.9331,22.5852,23.6480,6000,44.5000,0
2018-08-23,24.1794,24.1794,21.4161,21.4161,3950,40.3000,0
2018-08-24,22.9458,22.9458,22.7759,22.7871,2330,26.8000,0
2018-08-27,22.7871,22.9572,22.7871,22.8722,1400,26.9000,0
2018-08-28,19.7262,19.7262,19.7262,19.7262,238,23.2000,0
2018-08-29,20.5765,20.8315,20.5765,20.6615,500,24.3000,0
2018-08-31,20.8316,21.0016,20.8316,21.0016,538,24.7000,0
2018-09-05,21.2567,21.2567,21.2567,21.2566,100,25.0000,0
2018-09-07,21.2566,21.2566,21.2566,21.2566,200,25.0000,0
2018-09-13,21.2566,21.2566,21.2566,21.2566,18,25.0000,0
2018-09-18,19.9812,19.9812,19.9812,19.9812,1600,23.5000,0
2018-09-19,19.9812,21.2566,19.9812,21.1716,6403,24.9000,0
2018-09-20,21.2566,21.2566,21.2566,21.2566,900,25.0000,0
2018-09-21,21.6817,21.6817,21.6817,21.6818,800,25.5000,0
2018-09-25,20.4064,20.4064,20.4064,20.4064,2000,24.0000,0
2018-09-26,20.2363,20.2363,20.2363,20.2363,700,23.8000,0
2018-09-28,20.8315,20.8315,20.8315,20.8315,347,24.5000,0
2018-10-01,19.1310,19.1310,19.1310,19.1310,250,22.5000,0
2018-10-02,19.5561,19.5561,19.5561,19.5561,1000,23.0000,0
2018-10-03,19.5561,19.5561,19.5561,19.5561,50,23.0000,0
2018-10-09,18.7058,18.7058,18.7058,18.7058,100,22.0000,0
2018-10-10,19.5561,19.5561,19.5561,19.5561,200,23.0000,0
2018-10-12,17.0053,18.7058,17.0053,18.7058,5500,22.0000,0
2018-10-15,19.5561,19.5561,19.5561,19.5561,100,23.0000,0
2018-10-18,18.8759,19.5561,18.8759,19.5561,1001,23.0000,0
2018-10-19,19.1310,19.1310,19.1310,19.1310,99,22.5000,0
2018-10-24,19.0460,19.9813,19.0460,19.9812,910,23.5000,0
2018-10-26,16.7502,17.0053,16.7502,16.7502,1189,19.7000,0
2018-10-29,16.7502,16.7502,16.7502,16.7502,500,19.7000,0
2018-10-30,16.7502,16.7502,16.7502,16.7502,50,19.7000,0
2018-10-31,16.5801,16.5801,16.1550,16.5802,400,19.5000,0
2018-11-01,15.7299,15.7299,15.7299,15.7299,360,18.5000,0
2018-11-02,17.0053,17.0053,17.0053,17.0053,260,20.0000,0
2018-11-05,17.0053,17.0053,17.0053,17.0053,79,20.0000,0
2018-11-06,16.9203,17.0053,16.8352,16.9203,760,19.9000,0
2018-11-08,16.8353,16.8353,16.1551,16.8353,560,19.8000,0
2018-11-09,14.7096,14.7096,14.7096,14.7096,300,17.3000,0
2018-11-12,14.7096,14.7096,14.7096,14.7096,60,17.3000,0
2018-11-13,16.1551,16.1551,16.1551,16.1551,200,19.0000,0
2018-11-14,16.1551,16.1551,16.0701,16.0700,1600,18.9000,0
2018-11-15,16.1550,16.1550,16.1550,16.1551,300,19.0000,0
2018-11-16,14.8797,15.3048,14.8797,15.3048,200,18.0000,0
2018-11-20,15.1347,15.1347,15.1347,15.1347,20,17.8000,0
2018-11-21,14.8796,14.8796,14.8796,14.8797,100,17.5000,0
2018-11-22,16.1551,16.1551,15.3048,15.3048,760,18.0000,0
2018-11-23,14.8797,14.8797,14.8797,14.8797,100,17.5000,0
2018-11-27,15.7300,15.7300,15.7300,15.7299,100,18.5000,0
2018-12-03,16.1550,16.1550,16.1550,16.1551,800,19.0000,0
2018-12-04,16.1551,17.0054,16.1551,16.8353,1912,19.8000,0
2018-12-05,16.5802,16.5802,16.5802,16.5802,50,19.5000,0
2018-12-10,16.5802,16.5802,16.5802,16.5802,10,19.5000,0
2018-12-13,16.5802,16.5802,16.5802,16.5802,2,19.5000,0
2018-12-20,14.8797,14.8797,14.7946,14.8797,2541,17.5000,0
2018-12-21,16.1551,17.0904,16.1551,17.0903,1300,20.1000,0
2018-12-25,14.9647,15.1348,14.9647,15.1347,600,17.8000,0
2018-12-26,15.3048,15.3048,15.3048,15.3048,160,18.0000,0
2018-12-28,14.9647,14.9647,14.4545,14.4545,5000,17.0000,0
2019-01-07,16.7502,16.7502,16.7502,16.7502,100,19.7000,0
2019-01-08,18.5358,18.5358,18.5358,18.5358,100,21.8000,0
2019-01-09,15.8149,15.8149,15.8149,15.8149,2678,18.6000,0
2019-01-10,15.8149,15.8149,15.8149,15.8149,1200,18.6000,0
2019-01-11,14.6245,14.6245,14.6245,14.6246,110,17.2000,0
2019-01-14,16.7503,16.7503,16.7503,16.7502,415,19.7000,0
2019-01-17,19.0459,19.0459,19.0459,19.0460,100,22.4000,0
2019-01-21,19.0460,19.0460,19.0460,19.0460,10,22.4000,0
2019-01-25,19.0460,19.0460,19.0460,19.0460,60,22.4000,0
2019-01-28,19.0460,19.0460,19.0460,19.0460,10,22.4000,0
2019-01-31,16.2401,16.2401,16.2401,16.2401,100,19.1000,0
2019-02-11,16.2401,16.2401,16.2401,16.2401,16,19.1000,0
2019-02-13,16.2401,16.2401,16.1551,16.1551,1110,19.0000,0
2019-02-18,17.0054,17.0054,15.3048,15.3048,1918,18.0000,0
2019-02-19,17.0053,17.0053,17.0053,17.0053,116,20.0000,0
2019-02-20,17.0053,17.0053,17.0053,17.0053,1281,20.0000,0
2019-02-21,17.0053,17.0053,17.0053,17.0053,300,20.0000,0
2019-02-22,17.0053,17.0053,17.0053,17.0053,1300,20.0000,0
2019-02-25,17.0053,17.0053,17.0053,17.0053,1,20.0000,0
2019-02-26,16.2401,16.2401,16.2401,16.2401,3000,19.1000,0
2019-03-01,15.7299,17.1754,15.7299,17.1754,2420,20.2000,0
2019-03-04,16.6652,16.8353,16.5802,16.8353,1640,19.8000,0
2019-03-05,16.8353,17.0054,16.8353,17.0053,2000,20.0000,0
2019-03-06,16.1550,17.0053,16.1550,17.0053,1900,20.0000,0
2019-03-07,17.8556,17.8556,17.8556,17.8556,730,21.0000,0
2019-03-12,17.8556,17.8556,17.8556,17.8556,20,21.0000,0
2019-03-13,17.8556,18.2807,17.0053,18.2807,1500,21.5000,0
2019-03-15,17.3454,17.3454,17.3454,17.3454,60,20.4000,0
2019-03-19,17.3454,17.3454,17.3454,17.3454,2,20.4000,0
2019-03-20,17.3454,17.3454,17.3454,17.3454,24,20.4000,0
2019-03-21,17.3454,17.3454,17.3454,17.3454,120,20.4000,0
2019-03-25,17.3454,17.3454,17.3454,17.3454,1,20.4000,0
2019-03-27,17.3454,17.3454,17.3454,17.3454,100,20.4000,0
2019-03-28,17.3454,17.3454,17.3454,17.3454,500,20.4000,0
2019-03-29,17.3454,17.3454,17.3454,17.3454,30,20.4000,0
2019-04-01,16.1550,16.1550,16.1550,16.1551,130,19.0000,0
2019-04-02,17.4305,17.4305,17.4305,17.4305,1000,20.5000,0
2019-04-03,17.4305,17.4305,17.4305,17.4305,60,20.5000,0
2019-04-04,17.0904,17.0904,17.0904,17.0903,100,20.1000,0
2019-04-09,17.0903,17.2604,17.0903,17.2604,800,20.3000,0
2019-04-11,16.3251,16.9203,16.3251,16.9203,2000,19.9000,0
2019-04-16,16.6652,16.6652,16.6652,16.6652,40,19.6000,0
2019-04-17,16.2401,16.8353,14.8796,16.8353,3100,19.8000,0
2019-04-19,16.1551,16.1551,16.1551,16.1551,400,19.0000,0
2019-04-22,16.1551,16.1551,16.1551,16.1551,1000,19.0000,0
2019-04-26,16.4952,16.4952,16.4952,16.4952,800,19.4000,0
2019-05-07,16.4952,16.4952,16.4952,16.4952,4,19.4000,0
2019-05-09,16.6653,16.6653,16.1551,16.1551,900,19.0000,0
2019-05-14,16.3251,16.3251,16.3251,16.3251,2100,19.2000,0
2019-05-15,15.7299,16.1550,14.8796,14.8797,1080,17.5000,0
2019-05-16,16.1551,16.1551,15.8150,16.1551,600,19.0000,0
2019-05-17,16.0701,16.0701,15.3048,15.3048,600,18.0000,0
2019-05-20,16.1551,16.1551,16.1551,16.1551,500,19.0000,0
2019-05-21,15.3899,16.1551,15.3899,16.1551,200,19.0000,0
2019-05-22,16.5802,16.5802,16.5802,16.5802,600,19.5000,0
2019-05-23,16.6652,16.6652,16.6652,16.6652,180,19.6000,0
2019-05-24,16.5802,16.5802,16.5802,16.5802,200,19.5000,0
2019-06-05,16.3088,16.3088,16.3088,16.3088,900,18.0000,0
2019-06-11,16.3088,16.3088,16.3088,16.3088,1400,18.0000,0
2019-06-13,16.3088,16.3088,16.3088,16.3088,90,18.0000,0
2019-06-19,15.4028,15.4028,15.4028,15.4027,300,17.0000,0
2019-06-25,15.4027,15.4027,15.4027,15.4027,20,17.0000,0
2019-06-26,15.4027,15.4027,15.4027,15.4027,100,17.0000,0
2019-06-27,15.4027,15.4027,15.4027,15.4027,4,17.0000,0
2019-07-01,15.7651,16.3087,15.7651,15.9464,3180,17.6000,0
2019-07-03,16.2182,16.2182,16.2182,16.2182,400,17.9000,0
2019-07-04,16.2182,16.2182,16.2182,16.2182,610,17.9000,0
2019-07-05,16.4900,16.7618,16.4900,16.7618,300,18.5000,0
2019-07-11,16.5806,16.5806,16.5806,16.5806,60,18.3000,0
2019-07-16,16.5806,16.5806,16.5806,16.5806,30,18.3000,0
2019-07-17,17.0336,17.0336,15.4027,15.4027,200,17.0000,0
2019-07-18,16.5806,16.5806,16.5806,16.5806,1027,18.3000,0
2019-07-19,16.5806,16.5806,16.5806,16.5806,25,18.3000,0
2019-07-22,15.4027,15.4027,15.4027,15.4027,320,17.0000,0
2019-07-29,15.4027,15.4027,15.4027,15.4027,5,17.0000,0
2019-07-31,15.4027,15.4027,15.4027,15.4027,20,17.0000,0
2019-08-12,15.4933,15.4933,15.4933,15.4933,370,17.1000,0
2019-08-13,16.9430,16.9430,16.9430,16.9430,300,18.7000,0
2019-08-19,14.9497,14.9497,14.9497,14.9497,20625,16.5000,0
2019-08-20,14.5873,14.5873,14.4967,14.4967,700,16.0000,0
2019-08-23,16.2182,16.3088,16.2182,16.3088,600,18.0000,0
2019-08-27,15.4028,15.4028,15.4028,15.4027,600,17.0000,0
2019-09-03,15.4027,15.4027,15.4027,15.4027,100,17.0000,0
2019-09-19,15.4027,15.4027,15.4027,15.4027,4,17.0000,0
2019-09-27,15.4027,15.4027,15.4027,15.4027,25,17.0000,0
2019-09-30,16.3087,16.3087,16.3087,16.3088,17100,18.0000,5000
2019-10-01,16.3088,16.3088,16.3088,16.3088,40,18.0000,0
2019-10-11,16.3088,16.3088,16.3088,16.3088,800,18.0000,0
2019-10-15,16.3088,16.3088,16.3088,16.3088,4400,18.0000,0
2019-10-16,16.3088,16.3088,16.3088,16.3088,135,18.0000,0
2019-10-17,16.3088,16.3088,16.3088,16.3088,10000,18.0000,0
2019-10-18,16.3088,16.3088,16.3088,16.3088,10400,18.0000,0
2019-10-28,16.3088,16.3088,16.3088,16.3088,600,18.0000,0
2019-10-29,16.3088,16.3088,16.3088,16.3088,24,18.0000,0
2019-10-31,16.3088,16.3088,16.3088,16.3088,3500,18.0000,0
2019-11-01,16.3088,16.3088,16.3088,16.3088,100,18.0000,0
2019-11-04,16.3088,16.3088,16.3088,16.3088,5000,18.0000,0
2019-11-07,16.3088,16.3088,16.3088,16.3088,12000,18.0000,0
2019-11-08,15.8558,15.8558,15.8558,15.8558,3500,17.5000,0
2019-11-11,15.8558,15.8558,15.8558,15.8558,3042,17.5000,0
2019-11-12,16.3088,16.4900,16.3088,16.3088,20110,18.0000,0
2019-11-13,16.3088,16.3088,16.3088,16.3088,10100,18.0000,0
2019-11-20,16.3088,16.3088,16.3088,16.3088,98,18.0000,0
2019-11-25,15.8558,15.8558,15.8558,15.8558,100,17.5000,0
2019-11-29,16.6712,16.6712,16.6712,16.6712,2300,18.4000,0
2019-12-11,16.3088,16.3088,16.3088,16.3088,29800,18.0000,0
2019-12-13,16.3088,16.3088,16.3088,16.3088,800,18.0000,0
2019-12-16,16.3088,16.3088,16.3088,16.3088,2320,18.0000,0
2019-12-17,16.3088,16.3088,16.3088,16.3088,17008,18.0000,0
2019-12-18,15.8558,15.8558,15.8558,15.8558,1000,17.5000,0
2019-12-23,16.3088,16.3088,16.3088,16.3088,500,18.0000,0
2019-12-25,16.3088,16.3088,16.3088,16.3088,31,18.0000,0
2019-12-26,16.3088,16.3088,16.3088,16.3088,4600,18.0000,0
2019-12-27,14.9497,14.9497,14.9497,14.9497,400,16.5000,0
2019-12-30,16.3088,16.3088,16.3088,16.3088,3000,18.0000,0
2020-01-15,16.6712,16.6712,16.6712,16.6712,100,18.4000,0
2020-02-03,16.6712,16.6712,16.6712,16.6712,300,18.4000,0
2020-02-04,18.1209,18.1209,18.1209,18.1209,100,20.0000,0
2020-02-07,16.3088,16.3088,16.3088,16.3088,3240,18.0000,0
2020-02-11,18.1209,18.1209,18.1209,18.1209,110,20.0000,0
2020-02-14,17.2149,17.2149,17.2149,17.2148,100,19.0000,0
2020-02-18,18.1208,18.1208,18.1208,18.1209,200,20.0000,0
2020-02-25,19.8424,19.8424,19.8424,19.8423,200,21.9000,0
2020-03-02,16.9430,16.9430,16.9430,16.9430,200,18.7000,0
2020-03-03,18.0303,18.0303,18.0303,18.0303,100,19.9000,0
2020-03-05,18.3021,18.4833,18.1209,18.4833,7600,20.4000,0
2020-03-06,17.3054,18.4833,17.2148,18.4833,5100,20.4000,0
2020-03-09,16.8524,16.8524,16.8524,16.8524,2000,18.6000,0
2020-03-11,18.5739,18.5739,16.8524,16.8524,200,18.6000,0
2020-03-13,16.8524,16.8524,16.7618,16.7618,4100,18.5000,0
2020-03-16,14.3155,17.6678,14.3155,17.6678,200,19.5000,0
2020-03-17,16.3087,16.3087,16.3087,16.3088,7300,18.0000,0
2020-03-19,17.2148,17.2148,17.2148,17.2148,2400,19.0000,0
2020-03-20,16.3088,16.3088,15.4027,15.4027,4700,17.0000,0
2020-03-24,16.3088,16.3088,16.3088,16.3088,400,18.0000,0
2020-03-26,16.7618,16.7618,16.7618,16.7618,600,18.5000,0
2020-04-03,17.5772,17.5772,17.5772,17.5772,100,19.4000,0
2020-04-06,17.2148,17.2148,16.3087,16.3088,26000,18.0000,0
2020-04-08,17.2148,19.0269,17.2148,18.2115,50760,20.1000,0
2020-04-09,17.6679,20.4766,17.6679,20.4766,110540,22.6000,0
2020-04-10,22.5605,22.5605,22.5605,22.5605,256298,24.9000,0
2020-04-13,25.8223,25.9129,22.5605,24.9162,166400,27.5000,0
2020-04-14,24.9162,25.3692,21.5638,23.1947,93100,25.6000,0
2020-04-15,23.1041,23.1041,20.8390,21.4732,92380,23.7000,0
2020-04-16,21.9262,24.7350,21.9262,23.0135,94940,25.4000,0
2020-04-17,23.1947,23.1947,21.2920,21.3826,73400,23.6000,0
2020-04-20,21.7450,23.0135,20.2047,21.1108,104900,23.3000,0
2020-04-21,20.8390,20.8390,18.1209,18.3927,71620,20.3000,0
2020-04-22,17.3961,19.9330,16.7618,19.9330,52180,22.0000,0
2020-04-23,20.1142,20.1142,18.2115,18.3021,34000,20.2000,0
2020-04-24,18.5739,18.5739,18.1209,18.3021,46500,20.2000,0
2020-04-27,18.4833,18.9363,17.6679,17.7584,31150,19.6000,0
2020-04-28,17.7584,18.2114,17.6678,18.1209,28379,20.0000,0
2020-04-29,18.2115,19.4800,18.2115,19.0269,42235,21.0000,0
2020-05-04,19.9329,20.3860,18.6645,19.0269,36400,21.0000,0
2020-05-05,19.1175,19.1175,18.1209,18.4833,29100,20.4000,0
2020-05-06,18.2115,18.3927,18.0303,18.2115,22800,20.1000,0
2020-05-07,18.1209,18.5739,18.1209,18.3021,23100,20.2000,0
2020-05-08,18.5739,18.5739,18.1209,18.2115,63020,20.1000,0
2020-05-11,18.0303,18.2115,17.9397,18.1209,28000,20.0000,0
2020-05-12,18.0303,19.4800,18.0303,19.3893,64615,21.4000,0
2020-05-13,19.4799,19.4799,19.0269,19.0269,18175,21.0000,0
2020-05-14,18.8457,18.8457,18.4833,18.6645,15648,20.6000,0
2020-05-15,18.5739,18.5739,18.0303,18.3021,45560,20.2000,0
2020-05-18,18.2115,18.3021,18.1209,18.2115,17830,20.1000,0
2020-05-19,18.1209,18.3021,17.9397,18.1209,27148,20.0000,0
2020-05-20,18.5739,18.5739,18.0303,18.1209,18650,20.0000,0
2020-05-21,18.2115,18.4833,18.2115,18.2115,24800,20.1000,0
2020-05-22,18.3021,18.3021,18.0303,18.1209,10585,20.0000,0
2020-05-25,18.1209,18.1209,18.0303,18.1209,12510,20.0000,0
2020-05-26,18.1209,18.1209,17.8491,18.1209,17850,20.0000,0
2020-05-27,17.9397,18.2115,17.8491,18.0303,32940,19.9000,0
2020-05-28,17.8491,18.0303,17.7585,18.0303,12568,19.9000,0
2020-05-29,17.7585,17.9397,17.3961,17.9397,8800,19.8000,0
2020-06-01,17.9397,17.9397,17.3961,17.3960,10422,19.2000,0
2020-06-02,17.3960,17.3960,16.8524,17.2148,15745,19.0000,0
2020-06-03,17.2148,17.2148,17.0336,17.1242,2810,18.9000,0
2020-06-04,17.1242,17.1242,17.0336,17.1242,6140,18.9000,0
2020-06-05,17.1242,17.1242,16.3088,16.3088,34100,18.0000,0
2020-06-08,16.6712,17.3961,16.6712,17.2148,27180,19.0000,0
2020-06-09,17.2148,17.9396,17.2148,17.4866,16562,19.3000,0
2020-06-10,17.4866,17.4866,17.0336,17.1242,11020,18.9000,0
