date,open,high,low,close,volume,unadjusted,putthrough
2011-11-01,4.9244,4.9244,4.6867,4.6867,2719290,13.8000,0
2011-11-02,4.6188,4.6867,4.4829,4.4829,1255220,13.2000,4213252
2011-11-03,4.4150,4.4829,4.2791,4.4490,1193910,13.1000,1520846
2011-11-04,4.4830,4.4830,4.3811,4.3810,483860,12.9000,0
2011-11-07,4.3810,4.3810,4.1772,4.1773,1158750,12.3000,62413
2011-11-08,4.1094,4.1433,4.0075,4.0754,1105490,12.0000,0
2011-11-09,4.0414,4.0754,3.9396,3.9395,740500,11.6000,0
2011-11-10,3.8716,4.1093,3.8716,4.0075,1258020,11.8000,0
2011-11-11,4.0754,4.1433,4.0415,4.0754,1024320,12.0000,0
2011-11-14,4.0414,4.0754,4.0075,4.0414,681580,11.9000,0
2011-11-15,4.0414,4.0754,4.0074,4.0075,333650,11.8000,98870
2011-11-16,4.0075,4.0754,3.9735,4.0414,963200,11.9000,192156
2011-11-17,4.0414,4.0414,3.9735,4.0414,833240,11.9000,150000
2011-11-18,4.0074,4.0754,3.9395,4.0754,1468870,12.0000,0
2011-11-21,4.0075,4.2112,4.0075,4.2112,1247370,12.4000,0
2011-11-22,4.2112,4.4150,4.2112,4.3471,1100380,12.8000,0
2011-11-23,4.3811,4.4150,4.2792,4.3131,580420,12.7000,850000
2011-11-24,4.3131,4.3131,4.2112,4.2112,545770,12.4000,0
2011-11-25,4.1772,4.2112,4.1093,4.1773,587810,12.3000,0
2011-11-28,4.2113,4.3471,4.1773,4.2792,1119140,12.6000,0
2011-11-29,4.2792,4.3811,4.2792,4.3471,1368920,12.8000,5500000
2011-11-30,4.3811,4.3811,4.2452,4.2452,1192350,12.5000,0
2011-12-01,4.2792,4.3471,4.2792,4.3131,903960,12.7000,0
2011-12-02,4.3131,4.3471,4.2791,4.3131,505490,12.7000,0
2011-12-05,4.3131,4.4489,4.3131,4.4150,915680,13.0000,0
2011-12-06,4.4150,4.4150,4.3471,4.3471,709500,12.8000,0
2011-12-07,4.4220,4.4595,4.3096,4.3844,1243680,11.7000,0
2011-12-08,4.4219,4.4219,4.3469,4.3469,381970,11.6000,0
2011-12-09,4.3469,4.3469,4.2345,4.2719,861100,11.4000,0
2011-12-12,4.2344,4.3468,4.2344,4.3094,640030,11.5000,53000
2011-12-13,4.2719,4.3469,4.2719,4.2719,648920,11.4000,0
2011-12-14,4.2719,4.2719,4.1595,4.2345,1185060,11.3000,0
2011-12-15,4.2720,4.2720,4.1221,4.2345,582760,11.3000,0
