date,open,high,low,close,volume,unadjusted,putthrough
2017-03-09,9.0191,9.0191,9.0191,9.0191,100,16.2000,0
2017-03-13,10.3553,10.3553,10.3553,10.3553,100,18.6000,0
2017-03-14,11.8585,11.8585,11.8585,11.8584,100,21.3000,0
2017-03-15,13.5843,13.5843,13.5843,13.5843,100,24.4000,0
2017-03-16,15.5885,15.5885,15.5885,15.5886,500,28.0000,0
2017-03-17,17.9269,17.9269,13.9184,16.1453,3300,29.0000,0
2017-03-20,14.4751,16.3123,14.4751,16.3123,3000,29.3000,0
2017-03-21,16.1453,16.1453,16.1453,16.1453,600,29.0000,0
2017-03-22,13.7513,13.9184,13.7513,13.9184,600,25.0000,0
2017-03-23,15.0319,15.0319,15.0319,15.0318,100,27.0000,0
2017-03-27,13.3616,13.3616,12.8605,12.8606,700,23.1000,0
2017-03-29,13.9184,13.9184,13.9184,13.9184,100,25.0000,0
2017-03-30,12.9163,12.9163,12.2482,12.2482,1200,22.0000,0
2017-03-31,12.8049,12.8049,12.8049,12.8049,1090,23.0000,0
2017-04-04,10.9120,14.4751,10.9120,14.4751,200,26.0000,0
2017-04-05,11.1347,11.1347,11.1347,11.1347,600,20.0000,80
2017-04-11,11.6914,11.6914,11.6914,11.6914,100,21.0000,0
2017-04-17,12.7492,12.7492,12.7492,12.7492,100,22.9000,0
2017-04-19,11.6914,11.6914,11.6357,11.6914,600,21.0000,0
2017-04-28,11.1347,11.2460,11.1347,11.2460,700,20.2000,0
2017-05-05,11.1347,11.1904,11.1347,11.1904,600,20.1000,0
2017-05-08,11.1347,11.1347,11.1347,11.1347,500,20.0000,0
2017-05-16,11.0790,11.0790,11.0790,11.0790,2100,19.9000,0
2017-05-17,11.1347,11.1347,11.1347,11.1347,1000,20.0000,0
2017-05-18,11.4131,11.6914,11.4131,11.6914,2000,21.0000,0
2017-05-25,11.1347,11.1347,11.1347,11.1347,1000,20.0000,0
2017-05-26,12.2482,12.2482,12.2482,12.2482,1000,22.0000,0
2017-05-31,10.5067,10.5067,10.5067,10.5067,2900,17.5000,0
2017-06-01,12.0677,12.0677,12.0677,12.0677,3100,20.1000,0
2017-06-05,13.1484,13.1484,12.6080,12.6080,4400,21.0000,0
2017-06-19,12.9083,12.9083,12.9083,12.9082,2000,21.5000,0
2017-06-20,12.9082,12.9082,12.9082,12.9082,115,21.5000,0
2017-06-21,12.6080,12.6080,12.6080,12.6080,100,21.0000,0
2017-06-22,12.5480,12.5480,12.5480,12.5480,1600,20.9000,0
2017-06-26,12.5480,12.6080,10.8069,11.1671,8990,18.6000,0
2017-06-29,10.5668,10.5668,10.5668,10.5667,100,17.6000,0
2017-07-04,12.1277,12.1277,12.1277,12.1277,100,20.2000,0
2017-07-10,13.4485,13.4485,13.4485,13.4486,100,22.4000,0
2017-07-11,15.4299,15.4299,11.4673,11.4673,200,19.1000,0
2017-07-12,11.4673,11.4673,11.4673,11.4673,100,19.1000,0
2017-07-13,9.9063,9.9063,9.9063,9.9063,800,16.5000,0
2017-07-14,11.3472,11.3472,11.3472,11.3472,1400,18.9000,0
2017-07-21,12.5480,13.0283,12.5480,13.0283,700,21.7000,0
2017-08-01,14.4693,14.4693,12.6081,12.6080,7100,21.0000,0
2017-08-02,12.1877,12.1877,12.1877,12.1878,100,20.3000,0
2017-08-03,10.3866,10.3866,10.3866,10.3866,700,17.3000,0
2017-08-04,11.8876,11.8876,11.8876,11.8876,100,19.8000,0
2017-08-16,10.3266,10.5668,10.3266,10.5667,2500,17.6000,0
2017-08-17,10.5067,10.8069,10.5067,10.8069,3000,18.0000,0
2017-08-21,9.1258,9.1258,9.1258,9.1258,1400,15.2000,0
2017-08-24,10.4466,10.4466,10.4466,10.4467,100,17.4000,0
2017-08-28,10.0264,10.0264,10.0264,10.0264,100,16.7000,0
2017-09-05,8.5254,8.5254,8.5254,8.5254,900,14.2000,0
2017-09-06,8.5254,8.5254,8.5254,8.5254,5,14.2000,0
2017-09-08,9.7862,9.7862,9.7862,9.7862,12500,16.3000,0
2017-09-11,11.2271,11.2271,9.0057,9.0057,3800,15.0000,0
2017-09-13,10.4466,10.4466,10.4466,10.4467,100,17.4000,0
2017-09-14,10.8069,12.0077,10.8069,12.0077,4000,20.0000,0
2017-09-15,12.3079,13.5687,12.3079,13.5686,14965,22.6000,0
2017-09-18,13.0883,13.0883,13.0883,13.0883,100,21.8000,0
2017-09-19,12.0076,12.0076,12.0076,12.0077,7800,20.0000,0
2017-09-20,12.4880,12.4880,12.4880,12.4880,100,20.8000,0
2017-09-21,10.8069,10.8069,10.8069,10.8069,1000,18.0000,0
2017-09-22,12.4279,12.4279,12.4279,12.4279,900,20.7000,0
2017-09-26,12.1277,12.4279,12.1277,12.3078,12600,20.5000,0
2017-09-27,13.2084,13.2084,13.2084,13.2084,400,22.0000,0
2017-09-29,12.5480,12.5480,12.3078,12.3078,10700,20.5000,0
2017-10-02,11.2271,11.4673,11.2271,11.4673,300,19.1000,0
2017-10-05,12.3079,12.4280,12.3079,12.4279,4100,20.7000,0
2017-10-06,12.4279,12.4279,12.4279,12.4279,50,20.7000,0
2017-10-10,12.4279,12.4279,12.4279,12.4279,500,20.7000,0
2017-10-13,14.2290,14.2290,14.2290,14.2291,100,23.7000,0
2017-10-17,16.1503,16.1503,12.9083,13.2084,1650,22.0000,0
2017-11-06,13.9889,14.5893,13.3885,13.3885,3100,22.3000,0
2017-11-09,13.3886,13.3886,13.3886,13.3885,100,22.3000,0
2017-11-10,13.3885,13.3885,13.3885,13.3885,100,22.3000,0
2017-11-15,12.0076,12.6080,12.0076,12.0077,3300,20.0000,0
2017-11-16,12.0677,12.6081,12.0677,12.6080,5900,21.0000,0
2017-11-17,12.3078,12.3078,12.0677,12.0677,815,20.1000,0
2017-11-21,12.1277,12.1277,12.1277,12.1277,400,20.2000,0
2017-11-22,13.8688,13.8688,13.2084,13.2084,3200,22.0000,0
2017-11-23,13.6887,13.6887,13.6887,13.6887,15,22.8000,0
2017-11-24,12.6080,12.6080,12.6080,12.6080,6800,21.0000,0
2017-11-29,12.4879,12.4879,12.4279,12.4279,2000,20.7000,0
2017-12-01,12.4279,12.4279,12.4279,12.4279,1000,20.7000,0
2017-12-04,12.4879,12.4879,12.4879,12.4880,2000,20.8000,0
2017-12-08,12.3679,12.3679,12.3679,12.3679,100,20.6000,0
2017-12-11,12.3679,12.3679,12.3679,12.3679,400,20.6000,0
2017-12-13,12.1878,12.1878,12.1878,12.1878,600,20.3000,0
2017-12-14,11.8276,12.6081,11.8276,12.6080,10700,21.0000,0
2017-12-22,12.6081,12.6081,12.6081,12.6080,8000,21.0000,0
2017-12-25,12.6080,12.6080,12.6080,12.6080,1900,21.0000,0
2017-12-26,12.6080,12.6080,12.6080,12.6080,6700,21.0000,0
2017-12-27,12.6080,12.6080,12.6080,12.6080,1000,21.0000,0
2017-12-28,12.0076,12.1277,12.0076,12.1277,1120,20.2000,0
2018-01-02,13.8089,13.8089,13.5087,13.5086,200,22.5000,0
2018-01-08,12.6080,12.6080,12.1877,12.1878,2200,20.3000,0
2018-01-12,12.4279,12.4279,12.4279,12.4279,700,20.7000,0
2018-01-15,12.6080,12.6080,12.6080,12.6080,18100,21.0000,0
2018-01-16,12.6080,12.6080,12.6080,12.6080,6000,21.0000,0
2018-01-17,12.6080,12.9082,12.6080,12.6080,1545,21.0000,0
2018-01-19,12.8482,13.0283,12.8482,13.0283,2280,21.7000,0
2018-01-23,13.2084,13.3285,12.9082,12.9082,2400,21.5000,0
2018-01-24,13.1484,13.1484,13.1484,13.1484,200,21.9000,0
2018-01-25,13.2084,13.2084,13.2084,13.2084,1000,22.0000,0
2018-01-26,13.2684,13.5086,13.2684,13.5086,1660,22.5000,0
2018-01-30,13.8088,13.8088,13.8088,13.8088,2500,23.0000,0
2018-01-31,13.8088,13.8088,13.8088,13.8088,700,23.0000,0
2018-02-01,13.3285,13.5686,13.3285,13.5686,2400,22.6000,0
2018-02-02,13.0283,13.0283,13.0283,13.0283,100,21.7000,0
2018-02-05,13.2084,13.2084,13.2084,13.2084,500,22.0000,0
2018-02-06,13.2084,13.2084,13.2084,13.2084,500,22.0000,0
2018-02-07,13.5086,13.5086,13.5086,13.5086,100,22.5000,0
2018-02-08,13.5086,13.8088,13.5086,13.8088,600,23.0000,0
2018-02-09,12.7281,12.7281,12.7281,12.7281,100,21.2000,0
2018-02-12,11.8275,13.8088,11.8275,13.8088,300,23.0000,0
2018-02-13,12.6681,14.3491,12.6681,14.3491,2000,23.9000,0
2018-02-21,14.1089,14.1089,14.1089,14.1090,10,23.5000,0
2018-02-22,14.3492,15.0696,14.3492,15.0096,5200,25.0000,0
2018-02-23,15.2498,16.2104,14.8895,14.8895,2520,24.8000,0
2018-02-26,15.4298,15.4298,15.4298,15.4298,1000,25.7000,0
