date,open,high,low,close,volume,unadjusted,putthrough
2016-12-28,23.7899,23.7899,23.7899,23.7899,3000,26.0000,0
2016-12-29,26.1689,26.1689,26.1689,26.1689,2200,28.6000,0
2016-12-30,28.7309,28.7309,28.7309,28.7309,8300,31.4000,0
2017-01-03,31.1099,31.5674,28.7309,28.7309,12800,31.4000,0
2017-01-04,26.9924,28.7309,26.5349,27.9074,8200,30.5000,0
2017-01-05,26.9924,26.9924,25.2539,25.2539,12900,27.6000,0
2017-01-06,24.2474,25.1624,23.3324,25.1624,8200,27.5000,0
2017-01-09,24.3389,24.3389,23.7899,23.7899,9800,26.0000,0
2017-01-10,23.7899,24.2474,22.4174,22.4174,16600,24.5000,0
2017-01-11,22.4174,23.7899,22.0514,22.5089,21200,24.6000,0
2017-01-12,23.3324,24.7049,23.3324,24.7049,60200,27.0000,0
2017-01-13,26.7179,26.7179,25.0709,25.6199,12200,28.0000,0
2017-01-16,26.5349,26.5349,23.3324,24.7049,9100,27.0000,0
2017-01-17,23.3324,23.3324,22.8749,23.1494,7700,25.3000,0
2017-01-18,23.0579,23.7899,23.0579,23.3324,8500,25.5000,0
2017-01-19,23.0579,23.2409,22.4174,23.2409,8300,25.4000,0
2017-01-20,22.3259,22.8749,22.3259,22.3259,4000,24.4000,0
2017-01-23,22.6004,22.6004,22.2344,22.3259,800,24.4000,0
2017-01-24,21.9599,22.2344,21.2279,22.2344,30300,24.3000,0
2017-01-25,21.3194,22.3259,21.0449,22.3259,1600,24.4000,0
2017-02-02,21.0449,21.8684,21.0449,21.8684,900,23.9000,0
2017-02-03,21.1364,21.7769,21.0449,21.7769,2800,23.8000,0
2017-02-06,21.5024,21.9599,21.5024,21.9599,4300,24.0000,0
2017-02-07,21.9599,23.3324,21.9599,23.3324,5300,25.5000,0
2017-02-08,22.5089,22.7834,22.4174,22.4174,3300,24.5000,0
2017-02-09,22.7834,23.6069,22.4174,22.7834,6600,24.9000,0
2017-02-10,22.5089,23.2409,22.4174,23.2409,2400,25.4000,0
2017-02-13,22.8749,23.0579,22.8749,22.9664,4400,25.1000,0
2017-02-14,23.2409,23.2409,22.7834,22.7834,2400,24.9000,0
2017-02-15,22.7834,22.8749,22.7834,22.8749,500,25.0000,0
2017-02-16,22.6004,22.8749,22.5089,22.8749,1700,25.0000,0
2017-02-17,22.9664,23.1494,22.9664,22.9664,2700,25.1000,0
2017-02-20,22.8749,22.9664,22.1429,22.1429,8700,24.2000,0
2017-02-21,22.4174,22.4174,22.2344,22.2344,8800,24.3000,0
2017-02-22,22.4174,22.4174,22.4174,22.4174,700,24.5000,0
2017-02-24,22.4174,22.4174,22.4174,22.4174,2100,24.5000,0
2017-02-27,22.3259,22.7834,22.3259,22.7834,200,24.9000,0
2017-02-28,22.9664,22.9664,22.9664,22.9664,400,25.1000,0
2017-03-03,22.8749,22.8749,22.7834,22.7834,500,24.9000,0
2017-03-06,22.7834,22.8749,22.4174,22.8749,3000,25.0000,0
2017-03-07,22.8749,23.1494,22.8749,23.1494,6000,25.3000,0
2017-03-08,22.8749,23.5154,22.8749,23.5154,1500,25.7000,0
2017-03-09,22.9664,23.0579,22.8749,23.0579,13300,25.2000,0
2017-03-10,22.8749,22.8749,22.8749,22.8749,300,25.0000,0
2017-03-13,23.3324,23.4239,22.8749,23.3324,1700,25.5000,0
2017-03-14,22.8749,22.8749,22.8749,22.8749,500,25.0000,0
2017-03-15,22.7834,22.7834,22.6919,22.6919,1100,24.8000,0
2017-03-16,22.6919,22.8749,22.4174,22.8749,4800,25.0000,0
2017-03-17,21.9599,21.9599,21.9599,21.9599,400,24.0000,0
2017-03-20,22.8749,23.0579,22.5089,23.0579,8100,25.2000,0
2017-03-21,23.1494,23.1494,23.1494,23.1494,1200,25.3000,0
2017-03-22,23.0579,23.0579,23.0579,23.0579,1700,25.2000,0
2017-03-23,22.5089,22.5089,22.5089,22.5089,100,24.6000,0
2017-03-27,22.8749,23.0579,22.8749,23.0579,1500,25.2000,0
2017-04-03,23.4239,23.9729,22.9664,23.9729,2000,26.2000,0
2017-04-05,22.8749,22.8749,22.8749,22.8749,2000,25.0000,0
2017-04-07,22.8749,25.1624,22.8749,25.1624,46800,27.5000,0
