date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,23.9084,25.2366,21.7832,21.7832,37500,82.0000,10000
2006-12-28,24.1740,24.1740,22.5801,23.2974,35500,87.7000,0
2006-12-29,21.7832,22.8458,20.9863,20.9863,22300,79.0000,0
2007-01-02,21.2519,21.2519,19.3127,19.3127,10700,72.7000,0
2007-01-03,19.9237,19.9237,18.5954,19.4190,12900,73.1000,5000
2007-01-04,19.4190,20.9863,19.4190,20.8535,61500,78.5000,10000
2007-01-05,21.5176,21.5176,20.7207,20.9597,24100,78.9000,5000
2007-01-08,22.8458,22.8458,19.9237,20.5081,27000,77.2000,0
2007-01-09,20.4550,20.7206,18.8611,19.3924,127200,73.0000,0
2007-01-10,19.6580,19.6580,18.8611,19.3924,80200,73.0000,5000
2007-01-11,19.3924,19.3924,17.7985,18.1970,279200,68.5000,15000
2007-01-12,17.5329,18.3298,17.1344,17.5329,238600,66.0000,45500
2007-01-15,18.0642,18.0642,16.7359,17.5329,339000,66.0000,5000
2007-01-16,17.2673,17.5329,16.7359,17.4000,296500,65.5000,12000
2007-01-17,17.6656,17.7985,16.7624,17.2672,307200,65.0000,0
2007-01-18,17.5328,18.1970,17.0016,18.1970,167400,68.5000,176400
2007-01-19,18.5955,18.9939,18.1970,18.9939,282700,71.5000,0
2007-01-22,19.2595,20.6409,18.0110,18.3298,280700,69.0000,10000
2007-01-23,18.8611,18.8611,17.9313,18.3032,158000,68.9000,110000
2007-01-24,18.3298,18.5954,17.7985,17.9313,157600,67.5000,0
2007-01-25,17.7985,17.7985,16.3374,16.6828,174700,62.8000,6000
2007-01-26,15.9390,16.4703,15.4342,15.9390,188400,60.0000,6000
2007-01-29,15.9390,16.4703,15.1420,15.9655,408000,60.1000,12000
2007-01-30,16.4702,17.2672,16.2046,17.2672,344600,65.0000,0
2007-01-31,18.1970,18.6486,17.9313,18.6486,554800,70.2000,400000
2007-02-01,20.4019,20.4019,19.3127,19.3924,455300,73.0000,210000
2007-02-02,19.8440,20.3487,19.1268,19.3924,387200,73.0000,5000
2007-02-05,21.5176,21.6239,18.6220,19.6581,502800,74.0000,0
2007-02-06,19.6581,19.6581,18.5955,19.1268,241400,72.0000,37000
2007-02-07,19.9237,19.9237,18.3299,18.5955,222900,70.0000,0
2007-02-08,19.1268,19.3925,17.6657,17.7985,140800,67.0000,0
2007-02-09,18.0641,18.3298,16.4703,17.6657,177100,66.5000,0
2007-02-12,17.2672,17.7985,16.7359,17.5329,312200,66.0000,10000
2007-02-13,17.7985,18.5689,17.5329,17.9048,180000,67.4000,0
2007-02-14,18.3298,19.1268,17.7985,18.5955,184100,70.0000,0
2007-02-15,19.1268,19.6581,18.6221,18.8611,184900,71.0000,0
2007-02-26,19.6580,20.1893,19.3924,20.1362,277500,75.8000,37300
2007-02-27,21.2519,21.2519,19.9237,19.9237,414400,75.0000,0
2007-02-28,21.2519,21.2519,18.6220,19.2596,358500,72.5000,5000
2007-03-01,18.5955,19.3924,18.1970,19.1268,301200,72.0000,0
2007-03-02,19.3925,19.3925,17.2673,18.8611,211200,71.0000,0
2007-03-05,19.1533,19.1533,18.5955,18.8611,194800,71.0000,0
2007-03-06,18.8611,19.1267,17.2672,17.9313,245500,67.5000,0
