date,open,high,low,close,volume,unadjusted,putthrough
2018-06-22,20.5994,20.5994,20.5994,20.5994,100,42.0000,0
2018-06-25,20.5994,20.5994,20.5994,20.5994,200,42.0000,0
2018-06-26,20.5994,20.5994,19.3732,19.3732,2133,39.5000,0
2018-06-27,19.3732,19.3732,19.3732,19.3732,235,39.5000,0
2018-06-28,16.6266,17.0190,16.6266,17.0190,600,34.7000,0
2018-06-29,15.2533,15.2533,15.2533,15.2533,200,31.1000,0
2018-07-03,17.1661,17.4113,15.9890,16.3814,1900,33.4000,0
2018-07-04,16.7247,16.7247,16.7247,16.7247,400,34.1000,0
2018-07-05,17.7056,17.7056,17.7056,17.7056,200,36.1000,0
2018-07-06,17.3132,20.1089,17.3132,20.1089,1200,41.0000,0
2018-07-09,17.2642,17.2642,17.2642,17.2642,500,35.2000,0
2018-07-10,17.6566,19.6184,15.0571,19.6184,4400,40.0000,0
2018-07-11,19.1279,20.4522,18.0489,20.0598,2200,40.9000,0
2018-07-12,18.0980,18.0980,17.7056,17.7056,1400,36.1000,0
2018-07-13,17.4604,17.4604,17.4604,17.4604,400,35.6000,0
2018-07-16,17.2152,17.9018,17.2152,17.9018,9700,36.5000,0
2018-07-17,17.7056,18.7356,17.7056,17.9509,5900,36.6000,0
2018-07-18,18.7847,18.8337,17.9019,18.8337,400,38.4000,0
2018-07-19,16.6757,17.9018,15.5967,17.1661,5450,35.0000,0
2018-07-20,19.0789,19.0789,16.1852,16.6757,3600,34.0000,0
2018-07-23,17.9019,17.9019,16.4305,16.7738,10300,34.2000,0
2018-07-24,16.4795,17.1662,16.4795,17.0190,6000,34.7000,0
2018-07-25,17.3623,17.3623,16.2343,16.7738,10800,34.2000,1500
2018-07-26,15.6948,16.1852,15.5476,15.6947,5600,32.0000,0
2018-07-27,13.8310,15.8909,13.8310,14.7629,5000,30.1000,0
2018-07-30,14.0272,16.1362,14.0272,15.2043,9600,31.0000,0
2018-07-31,14.2724,15.2043,14.2724,15.2043,5500,31.0000,0
2018-08-01,12.5558,16.3324,12.5558,14.8119,500,30.2000,0
2018-08-02,14.7629,15.2043,14.0272,14.4195,12100,29.4000,0
2018-08-03,14.2724,14.9590,14.2724,14.4686,2600,29.5000,0
2018-08-06,13.7820,15.1552,13.7820,14.9591,1400,30.5000,0
2018-08-07,14.2234,15.2043,14.2234,15.2043,9420,31.0000,0
2018-08-08,15.6948,16.0871,15.4005,15.4005,6900,31.4000,0
2018-08-09,14.9591,14.9591,14.9591,14.9591,1000,30.5000,0
2018-08-10,15.5477,15.5477,14.8610,14.8610,3700,30.3000,0
2018-08-13,13.5368,15.4005,13.5368,14.9591,4210,30.5000,0
2018-08-14,14.7139,14.7139,14.7139,14.7138,1200,30.0000,0
2018-08-15,15.6947,15.6947,14.7628,14.8119,3900,30.2000,0
2018-08-16,14.7629,15.6457,14.2724,15.0571,6000,30.7000,0
2018-08-17,14.5176,15.0081,14.5176,15.0081,2400,30.6000,0
2018-08-20,14.9591,15.2043,14.9591,15.2043,2800,31.0000,0
2018-08-21,15.6457,15.7929,15.6457,15.6947,4400,32.0000,0
2018-08-22,15.6947,15.6947,15.6947,15.6947,1100,32.0000,0
2018-08-23,15.6947,16.4304,15.3023,15.3024,2700,31.2000,0
2018-08-24,15.0081,16.1362,15.0081,15.5476,3100,31.7000,0
2018-08-27,15.2043,17.7056,15.2043,17.7056,24420,36.1000,0
2018-08-28,19.6184,19.7165,18.6375,18.6375,2000,38.0000,0
2018-08-29,16.4795,18.1470,16.1852,18.1471,4910,37.0000,0
