date,open,high,low,close,volume,unadjusted,putthrough
2009-11-05,27.1525,27.1525,27.1525,27.1525,46500,43.2000,0
2009-11-06,28.4724,28.4724,27.6553,28.4724,1420500,45.3000,0
2009-11-09,27.6553,28.4095,27.0896,27.0896,379190,43.1000,0
2009-11-10,25.7697,25.8325,25.7697,25.7697,241150,41.0000,0
2009-11-11,24.9526,25.7697,24.5126,25.1412,416210,40.0000,0
2009-11-12,24.1356,24.9526,23.8841,23.8841,282170,38.0000,0
2009-11-13,22.6899,24.5126,22.6899,24.5126,664120,39.0000,0
2009-11-16,24.5126,25.5811,24.1983,25.5811,231890,40.7000,0
2009-11-17,26.2725,26.2725,24.9526,25.7697,249410,41.0000,0
2009-11-18,25.7697,25.7697,24.5126,25.2669,432410,40.2000,0
2009-11-19,25.1412,25.2669,24.0098,25.1412,520320,40.0000,0
2009-11-20,25.1412,25.1412,24.0098,24.3241,279530,38.7000,0
2009-11-23,24.3241,24.5127,23.4442,24.1984,327300,38.5000,0
2009-11-24,24.1984,24.1984,23.1928,23.6956,215780,37.7000,0
2009-11-25,23.6956,23.6956,22.5642,22.5642,337700,35.9000,0
2009-11-26,21.5586,21.5586,21.4957,21.4957,63290,34.2000,65000
2009-11-27,20.4272,22.5642,20.4272,21.4957,196960,34.2000,0
2009-11-30,21.4957,21.9985,20.4272,21.9357,237250,34.9000,0
2009-12-01,21.9357,22.5642,21.3700,22.2499,118540,35.4000,0
2009-12-02,21.3700,22.5013,21.3071,21.3700,147850,34.0000,0
2009-12-03,20.6158,21.3700,20.4901,20.4901,47530,32.6000,400000
2009-12-04,21.4957,21.4957,21.3700,21.4957,264960,34.2000,0
2009-12-07,22.4385,22.4385,21.0557,22.4385,113690,35.7000,0
2009-12-08,21.9985,23.1927,21.4957,21.9985,60640,35.0000,0
2009-12-09,21.2443,21.9985,20.9300,21.9357,142880,34.9000,0
2009-12-10,21.9357,21.9357,20.8672,21.8728,145670,34.8000,0
2009-12-11,20.9929,21.3700,20.8043,20.8043,164380,33.1000,0
2009-12-14,20.8043,21.8099,20.8043,21.8100,121610,34.7000,27500
2009-12-15,21.9986,22.8156,21.6843,22.8156,256900,36.3000,200000
2009-12-16,22.8156,22.8156,21.6842,22.8156,411340,36.3000,0
2009-12-17,22.9413,22.9413,21.8728,22.4385,276570,35.7000,0
2009-12-18,22.8785,22.9413,22.1242,22.9413,176870,36.5000,0
2009-12-21,23.1299,23.5698,22.1242,22.6271,58460,36.0000,0
2009-12-22,22.9414,22.9414,22.0614,22.0614,50840,35.1000,0
2009-12-23,21.7471,22.0614,21.5586,21.5586,16400,34.3000,800000
2009-12-24,21.1186,21.9986,21.1186,21.3700,25490,34.0000,0
2009-12-25,21.9357,22.1242,21.3700,22.1242,46850,35.2000,800000
2009-12-28,21.0557,22.5013,21.0557,22.3128,125740,35.5000,0
2009-12-29,22.6271,22.6271,21.9357,21.9357,19840,34.9000,7150474
2009-12-30,21.9357,22.2500,21.8728,21.9357,30580,34.9000,0
2009-12-31,21.9986,22.3128,21.4329,21.4957,37010,34.2000,0
2010-01-04,21.9985,22.5642,21.9985,22.5642,182850,35.9000,0
2010-01-05,23.6327,23.6327,23.5070,23.6327,310230,37.6000,0
2010-01-06,22.9413,24.5126,22.9413,24.5126,181180,39.0000,0
2010-01-07,24.5126,24.5126,23.8841,23.8841,52800,38.0000,0
2010-01-08,23.5698,24.1355,23.0042,23.0042,104480,36.6000,0
2010-01-11,22.3128,22.9413,21.9986,22.1871,65870,35.3000,0
2010-01-12,22.1871,22.1871,21.1186,21.1186,50580,33.6000,81420
2010-01-13,20.9300,21.9985,20.9300,21.3700,77110,34.0000,0
2010-01-14,21.3700,22.3128,21.3700,21.9357,96900,34.9000,0
2010-01-15,22.2500,22.2500,21.9357,21.9985,70080,35.0000,50000
2010-01-18,21.9985,22.0614,21.3700,21.9357,137520,34.9000,0
2010-01-19,21.9357,21.9986,21.9357,21.9985,44690,35.0000,0
2010-01-20,21.9356,22.1871,21.8728,21.9985,167340,35.0000,0
2010-01-21,21.9356,22.0614,21.8728,21.9985,180850,35.0000,0
2010-01-22,21.9985,22.0614,21.9356,22.0614,76030,35.1000,0
2010-01-25,21.9985,22.0614,21.9357,21.9985,33860,35.0000,200000
2010-01-26,21.8099,22.3128,21.8099,22.0614,13200,35.1000,0
2010-01-27,21.9985,22.0614,21.9357,21.9985,37310,35.0000,100000
2010-01-28,22.8784,23.0670,22.5642,23.0670,155980,36.7000,0
2010-01-29,23.8212,23.8212,22.6270,23.1299,48200,36.8000,0
2010-02-01,23.1299,23.2556,22.9413,23.1927,58010,36.9000,25000
2010-02-02,22.3128,23.3184,22.3128,23.1299,11500,36.8000,58000
2010-02-03,23.2556,23.2556,22.9413,23.1927,32010,36.9000,0
2010-02-04,22.6270,23.3813,22.6270,23.1927,33270,36.9000,0
2010-02-05,22.0613,23.2556,22.0613,23.0670,57580,36.7000,0
2010-02-08,23.0670,23.1299,22.3128,23.0670,49710,36.7000,0
2010-02-09,22.5013,23.1299,22.5013,23.0670,27680,36.7000,0
2010-02-10,22.4385,23.2556,22.4385,22.5642,61160,35.9000,0
2010-02-11,23.1927,23.2556,22.6271,22.6271,33250,36.0000,0
2010-02-12,23.5070,23.5070,23.3813,23.4441,10750,37.3000,0
2010-02-22,24.4497,24.4497,23.8841,24.0727,60330,38.3000,0
2010-02-23,24.3241,24.3870,23.5699,24.3869,142490,38.8000,0
2010-02-24,24.3869,24.3869,23.8841,24.3869,191360,38.8000,0
2010-02-25,23.8841,24.3869,23.8841,24.3869,188170,38.8000,0
2010-02-26,24.3869,25.5811,24.0098,25.5811,213710,40.7000,50000
2010-03-01,26.6496,26.8382,25.5811,26.8382,346170,42.7000,50000
2010-03-02,28.0953,28.0953,27.3410,27.7810,197760,44.2000,0
2010-03-03,27.7810,27.9067,27.1525,27.5296,21370,43.8000,0
2010-03-04,26.3982,27.5296,26.3982,27.0268,91150,43.0000,0
2010-03-05,27.0268,27.0268,25.8954,25.8954,64510,41.2000,0
2010-03-08,24.9526,26.0840,24.9526,25.7697,47160,41.0000,0
2010-03-09,25.0155,26.5868,25.0155,25.5183,21150,40.6000,0
2010-03-10,25.1412,25.7697,24.5755,25.4554,76300,40.5000,0
2010-03-11,26.2096,26.2725,25.4554,25.6440,35790,40.8000,0
2010-03-12,26.2097,26.2725,26.0211,26.1468,106040,41.6000,0
2010-03-15,26.3982,26.3982,25.8954,25.8954,8960,41.2000,0
2010-03-16,25.0783,26.0840,24.6383,24.6383,58660,39.2000,0
2010-03-17,25.1411,25.1411,23.8841,23.8841,14360,38.0000,0
2010-03-18,24.5126,24.9526,23.8841,24.9526,8590,39.7000,0
2010-03-19,24.5126,25.4554,24.5126,25.1412,7480,40.0000,0
2010-03-22,25.3926,25.3926,23.8841,23.8841,203640,38.0000,0
2010-03-23,24.5126,24.6383,23.8841,23.9470,43490,38.1000,0
2010-03-24,23.9470,24.7641,23.9470,24.4498,6980,38.9000,0
2010-03-25,23.6327,24.6384,23.5699,23.5698,19530,37.5000,0
2010-03-26,23.5698,23.5698,23.3812,23.5070,13020,37.4000,0
2010-03-29,22.5014,24.0727,22.5014,23.7584,25990,37.8000,0
2010-03-30,23.7584,24.1355,23.2556,23.3813,15870,37.2000,0
2010-03-31,23.0670,23.7584,23.0670,23.0670,15030,36.7000,0
2010-04-01,22.8784,23.5698,22.8784,23.2556,10760,37.0000,3015790
2010-04-02,23.2556,24.0727,23.2556,24.0727,31910,38.3000,0
2010-04-05,24.0727,24.5127,24.0098,24.0727,26930,38.3000,0
2010-04-06,23.8213,24.3241,23.8213,24.1355,8010,38.4000,0
2010-04-07,23.9469,24.1355,23.7584,23.8841,21320,38.0000,0
2010-04-08,24.1984,24.1984,23.7584,23.7584,7010,37.8000,0
2010-04-09,23.6327,24.1355,23.5698,23.7584,29780,37.8000,0
2010-04-12,24.8898,24.8898,24.8898,24.8898,44900,39.6000,0
2010-04-13,26.0840,26.0840,25.7697,26.0840,325740,41.5000,0
2010-04-14,25.4555,25.7697,24.8269,25.1412,16540,40.0000,0
2010-04-15,25.4555,25.4555,24.5127,25.1412,8510,40.0000,0
2010-04-16,24.8269,25.1412,24.5127,25.1412,21040,40.0000,0
2010-04-19,24.3870,25.0783,24.0098,24.0098,21940,38.2000,0
2010-04-20,24.0098,24.7640,24.0098,24.1984,30550,38.5000,0
2010-04-21,24.5127,25.3926,24.1984,25.3926,90920,40.4000,0
2010-04-22,24.8269,25.7069,24.5127,24.5126,33050,39.0000,0
2010-04-26,24.5755,25.1411,24.5126,24.5755,28640,39.1000,0
2010-04-27,24.5755,24.8269,24.5126,24.7641,52640,39.4000,0
2010-04-28,24.7641,24.8270,24.7641,24.7641,15880,39.4000,0
2010-04-29,24.8270,25.9583,24.8270,25.9583,298170,41.3000,0
2010-05-04,27.2154,27.2154,27.0268,27.2153,205660,43.3000,0
2010-05-05,28.5352,28.5352,27.2782,28.5352,425580,45.4000,0
2010-05-06,28.5981,29.5408,28.5981,29.5409,179890,47.0000,0
2010-05-07,29.5409,29.5409,28.1581,28.9752,192210,46.1000,100000
2010-05-10,29.4780,29.4780,27.9696,28.5352,123900,45.4000,50000
2010-05-11,27.6553,28.1581,27.1524,27.3410,237130,43.5000,0
2010-05-12,27.3410,27.3410,26.0211,26.0211,204140,41.4000,0
2010-05-13,26.0211,27.0267,25.1412,25.1412,161370,40.0000,0
