date,open,high,low,close,volume,unadjusted,putthrough
2014-07-14,13.3006,13.3827,13.3006,13.3827,10660,81.5000,0
2014-07-15,14.2858,14.2858,14.2858,14.2858,13480,87.0000,100000
2014-07-16,15.2710,15.2710,15.2710,15.2711,17290,93.0000,500000
2014-07-17,16.3384,16.3384,16.3384,16.3384,95120,99.5000,0
2014-07-18,17.4057,17.4057,17.4057,17.4057,134460,106.0000,0
2014-07-21,18.5551,18.5551,16.5847,17.4057,311030,106.0000,0
2014-07-22,17.0773,17.8983,17.0773,17.8983,568890,109.0000,0
2014-07-23,18.0625,18.0625,17.7341,17.8983,23330,109.0000,0
2014-07-24,17.7341,17.8983,17.7341,17.7341,33590,108.0000,0
2014-07-25,17.7341,17.8983,17.7341,17.7341,79630,108.0000,0
2014-07-28,17.7341,17.8983,17.7341,17.7341,93810,108.0000,0
2014-07-29,17.7341,17.7341,17.2415,17.4057,25300,106.0000,0
2014-07-30,17.5699,17.5699,17.2415,17.4057,16160,106.0000,0
2014-07-31,17.2415,17.2415,16.5847,16.9131,37400,103.0000,0
2014-08-01,17.2415,17.2415,16.7489,16.9131,28290,103.0000,0
2014-08-04,16.9131,16.9131,16.9131,16.9131,13350,103.0000,0
2014-08-05,17.0773,17.2415,17.0773,17.0773,21340,104.0000,0
2014-08-06,17.0773,17.5699,17.0773,17.5699,20800,107.0000,0
2014-08-07,17.5699,17.5699,17.4057,17.5699,17250,107.0000,0
2014-08-08,17.4057,17.5699,17.4057,17.5699,9190,107.0000,0
2014-08-11,18.7193,18.7193,18.2267,18.7194,179250,114.0000,0
2014-08-12,18.8836,19.3762,18.8836,19.3762,64140,118.0000,20000
2014-08-13,19.5404,20.5256,19.2120,20.3614,147010,124.0000,0
2014-08-14,20.3614,21.6750,20.3614,21.6750,149800,132.0000,0
2014-08-15,22.9886,23.1528,22.3318,23.1529,100130,141.0000,0
2014-08-18,23.9739,24.4665,23.6455,24.4665,29910,149.0000,0
2014-08-19,23.8097,24.3023,22.8245,22.8245,39150,139.0000,0
2014-08-20,21.5109,22.9887,21.5109,22.8245,46550,139.0000,0
2014-08-21,22.4961,22.8245,22.1677,22.1677,58570,135.0000,0
2014-08-22,22.1677,23.1529,22.1677,23.1529,45860,141.0000,0
2014-08-25,23.8097,23.9739,23.1529,23.6455,61190,144.0000,0
2014-08-26,23.6455,23.6455,22.0035,22.0035,29880,134.0000,0
2014-08-27,22.6603,22.9887,22.1677,22.4961,11450,137.0000,20000
2014-08-28,22.4961,22.4961,22.1677,22.4961,5070,137.0000,0
2014-08-29,22.4961,22.4961,21.3467,22.1677,15750,135.0000,0
2014-09-03,22.3319,22.3319,21.8393,22.1677,25120,135.0000,0
2014-09-04,22.0035,22.0035,21.3467,21.6750,37750,132.0000,0
2014-09-05,21.8392,22.3318,21.8392,22.3319,44760,136.0000,0
2014-09-08,22.6603,23.8097,22.3319,23.8097,171700,145.0000,0
2014-09-09,25.4517,25.4517,24.1381,24.4665,88810,149.0000,0
2014-09-10,25.1233,25.1233,23.9739,24.9591,23640,152.0000,0
2014-09-11,24.7949,25.2875,24.6307,24.9591,25860,152.0000,0
2014-09-12,24.9591,25.1233,24.4665,24.7949,44670,151.0000,0
2014-09-15,24.7949,25.1233,24.7949,24.9591,14500,152.0000,0
2014-09-16,24.7949,24.9591,24.6307,24.9591,65900,152.0000,0
2014-09-17,25.2875,25.2875,24.6307,24.9591,6430,152.0000,0
2014-09-18,24.6307,25.2875,24.6307,25.2876,13030,154.0000,30000
2014-09-19,25.7802,26.9297,25.7802,26.9296,20120,164.0000,0
2014-09-22,28.7359,28.7359,27.5864,28.7359,28590,175.0000,0
2014-09-23,29.5569,30.0495,28.5717,28.5716,13620,174.0000,0
2014-09-24,29.2284,29.2284,28.4074,28.4074,5790,173.0000,0
2014-09-25,27.9148,27.9148,26.4369,26.4370,30100,161.0000,0
2014-09-26,27.9148,27.9148,26.7654,27.4222,26080,167.0000,150000
2014-09-29,27.9148,27.9148,27.5864,27.5864,11420,168.0000,0
2014-09-30,27.0938,27.7506,27.0938,27.7506,12510,169.0000,0
2014-10-01,27.7506,28.2432,27.7506,27.9148,24590,170.0000,0
2014-10-02,27.7506,28.4074,27.7506,28.2432,51070,172.0000,20000
2014-10-03,28.7358,29.0642,28.5716,28.7359,22400,175.0000,130000
2014-10-06,28.9001,28.9001,28.5717,28.7359,19250,175.0000,57790
2014-10-07,28.5717,28.9001,28.5717,28.7359,37960,175.0000,0
2014-10-08,30.7186,30.7186,30.1601,30.7063,138900,110.0000,20000
2014-10-09,32.3812,32.6603,32.3812,32.6604,271340,117.0000,0
2014-10-10,32.3813,32.9395,32.1021,32.6604,63600,117.0000,0
2014-10-13,32.1021,32.1021,30.9855,31.2646,17150,112.0000,0
2014-10-14,31.5437,31.5437,30.9855,31.2646,34880,112.0000,0
2014-10-15,31.2646,31.5437,30.9855,31.5438,94190,113.0000,0
2014-10-16,31.2647,31.5438,29.5898,29.8689,37680,107.0000,20000
2014-10-17,30.7063,30.7063,29.5898,30.4272,59410,109.0000,0
2014-10-20,30.9855,30.9855,30.1481,30.1480,7760,108.0000,60000
2014-10-21,30.1480,30.4271,29.5897,30.1480,14260,108.0000,0
2014-10-22,30.4271,30.4271,29.8689,29.8689,15150,107.0000,0
2014-10-23,29.8689,29.8689,29.0315,29.3106,21100,105.0000,0
2014-10-24,29.3106,30.1480,29.3106,30.1480,17040,108.0000,0
2014-10-27,30.7063,31.5437,30.4271,30.4272,26890,109.0000,0
2014-10-28,30.1481,30.4272,29.5898,29.5897,28140,106.0000,0
2014-10-29,29.8688,29.8688,29.3106,29.3106,21320,105.0000,0
2014-10-30,29.3106,29.8689,29.3106,29.8689,65350,107.0000,0
2014-10-31,29.8689,29.8689,29.3106,29.5897,26930,106.0000,0
2014-11-03,29.3106,29.3106,28.1940,28.7523,51330,103.0000,0
2014-11-04,27.9149,29.0314,27.9149,28.7523,84960,103.0000,0
2014-11-05,28.7523,28.7523,27.9149,27.9148,33320,100.0000,0
2014-11-06,27.6357,28.7522,26.7982,27.0774,176730,97.0000,0
2014-11-07,27.0774,28.7523,27.0774,28.7523,161420,103.0000,40000
2014-11-10,28.7523,28.7523,28.1940,28.4731,67980,102.0000,3198714
2014-11-11,28.1940,28.4731,27.9148,28.4731,78920,102.0000,156400
2014-11-12,28.1940,28.4731,28.1940,28.1940,64490,101.0000,0
2014-11-13,28.1940,28.4731,28.1940,28.1940,48060,101.0000,0
2014-11-14,28.1940,28.7523,28.1940,28.4731,95160,102.0000,0
2014-11-17,28.1940,28.1940,27.7752,28.1940,18180,101.0000,20000
2014-11-18,27.9149,27.9149,27.6357,27.6357,21310,99.0000,0
2014-11-19,27.6357,27.6357,27.2170,27.3565,15200,98.0000,0
2014-11-20,27.6356,27.6356,26.9378,27.3565,25260,98.0000,0
2014-11-21,27.6356,27.6356,26.9378,27.3565,14000,98.0000,0
2014-11-24,26.9378,27.0774,26.5191,26.5191,57490,95.0000,0
2014-11-25,26.5191,26.7982,25.9608,25.9608,48550,93.0000,0
2014-11-26,26.2399,26.2399,25.5421,25.6816,39470,92.0000,0
2014-11-27,25.6816,25.6816,25.1233,25.4025,22250,91.0000,0
2014-11-28,25.6816,25.6816,24.8442,24.8442,38090,89.0000,0
