date,open,high,low,close,volume,unadjusted,putthrough
2011-04-21,3.9690,4.4100,2.4255,2.5137,492500,11.4000,0
2011-04-22,2.6019,2.6239,2.4034,2.4035,65800,10.9000,0
2011-04-25,2.4256,2.5358,2.3373,2.3594,53000,10.7000,0
2011-04-26,2.5138,2.5799,2.2932,2.2932,69000,10.4000,0
2011-04-27,2.3814,2.4255,2.2271,2.2712,215900,10.3000,0
2011-04-28,2.3153,2.4035,2.2712,2.3814,214800,10.8000,0
2011-04-29,2.4255,2.4696,2.4255,2.4476,79100,11.1000,25000
2011-05-04,2.4917,2.4917,2.3153,2.3594,14200,10.7000,0
2011-05-05,2.3594,2.4035,2.2271,2.3153,55300,10.5000,0
2011-05-06,2.4256,2.4256,2.2050,2.2491,47400,10.2000,0
2011-05-09,2.3152,2.3373,2.2271,2.3153,47100,10.5000,0
2011-05-10,2.3815,2.3815,2.3153,2.3153,37700,10.5000,35000
2011-05-11,2.2932,2.2932,2.2050,2.2932,76500,10.4000,0
2011-05-12,2.3152,2.4034,2.3152,2.4035,215300,10.9000,0
2011-05-13,2.4917,2.5358,2.4917,2.5358,291400,11.5000,0
2011-05-16,2.5799,2.6902,2.5579,2.5799,147000,11.7000,0
2011-05-17,2.6020,2.6020,2.4255,2.4696,141600,11.2000,0
2011-05-18,2.3594,2.5798,2.3373,2.5137,201900,11.4000,0
2011-05-19,2.5798,2.6239,2.5137,2.5358,256100,11.5000,0
2011-05-20,2.6020,2.6020,2.4476,2.5578,132800,11.6000,0
2011-05-23,2.5578,2.5798,2.3594,2.4035,147800,10.9000,0
2011-05-24,2.4697,2.4917,2.3153,2.3153,69300,10.5000,0
2011-05-25,2.3815,2.4035,2.2050,2.2491,57000,10.2000,0
2011-05-26,2.2491,2.2712,2.0947,2.2271,209400,10.1000,0
2011-05-27,2.2492,2.2712,2.1168,2.2050,110000,10.0000,0
2011-05-30,2.3152,2.3152,2.0727,2.0727,26700,9.4000,0
2011-05-31,2.1389,2.1609,2.0286,2.0727,92300,9.4000,0
2011-06-01,2.1168,2.1829,2.0286,2.1389,84000,9.7000,0
2011-06-02,2.1830,2.2492,2.1389,2.2491,92200,10.2000,0
2011-06-03,2.2271,2.3814,2.1168,2.2050,34800,10.0000,0
2011-06-06,2.2932,2.3152,2.1389,2.1609,44000,9.8000,0
2011-06-07,2.2271,2.2491,2.1609,2.1830,80600,9.9000,0
2011-06-08,2.2271,2.2492,2.1168,2.1830,44400,9.9000,0
2011-06-09,2.2492,2.2933,2.2051,2.2050,51800,10.0000,0
2011-06-10,2.2932,2.3373,2.2271,2.2932,48500,10.4000,0
2011-06-13,2.3594,2.3814,2.2271,2.2932,46600,10.4000,0
2011-06-14,2.3594,2.3594,2.1609,2.1830,74000,9.9000,0
2011-06-15,2.2712,2.2712,2.0727,2.0727,63200,9.4000,0
2011-06-16,2.1168,2.1609,2.0947,2.0948,8100,9.5000,0
2011-06-17,2.0948,2.1169,1.9845,1.9845,88200,9.0000,0
2011-06-20,2.0286,2.0286,1.9624,2.0286,50300,9.2000,0
2011-06-21,2.0727,2.0727,1.9845,2.0507,20300,9.3000,0
2011-06-22,1.9845,1.9845,1.9184,1.9184,68100,8.7000,0
2011-06-23,1.8963,1.8963,1.8081,1.8081,87200,8.2000,0
2011-06-24,1.8522,1.9404,1.8302,1.9404,50100,8.8000,0
2011-06-27,1.9184,1.9845,1.8742,1.9845,45200,9.0000,0
2011-06-28,2.0065,2.0065,1.8963,1.9184,18000,8.7000,0
2011-06-29,1.8743,1.8743,1.8302,1.8743,43100,8.5000,0
2011-06-30,1.9184,1.9184,1.8302,1.8522,46900,8.4000,0
2011-07-01,1.8302,1.8302,1.8081,1.8302,28200,8.3000,0
2011-07-04,1.8302,1.8743,1.8302,1.8522,6900,8.4000,0
2011-07-05,1.8963,1.9404,1.8742,1.9404,56700,8.8000,0
2011-07-06,2.0286,2.0286,1.8522,1.8963,29700,8.6000,0
2011-07-07,1.9404,1.9404,1.8963,1.9184,25900,8.7000,0
2011-07-08,1.9405,1.9405,1.8743,1.9404,27000,8.8000,0
2011-07-11,1.8963,1.9184,1.8742,1.8743,52800,8.5000,0
2011-07-12,1.8964,1.9184,1.8743,1.9184,45500,8.7000,0
2011-07-13,1.9922,1.9922,1.9676,1.9757,22000,8.0000,0
2011-07-14,2.1239,2.1239,1.9016,1.9016,7800,7.7000,0
2011-07-15,1.9263,2.0992,1.9263,2.0992,23500,8.5000,0
2011-07-18,2.1239,2.1486,1.9757,1.9757,16500,8.0000,0
2011-07-19,2.0498,2.0498,2.0004,2.0004,5000,8.1000,0
2011-07-20,2.0004,2.0251,2.0004,2.0004,12800,8.1000,0
2011-07-21,2.0004,2.0745,2.0004,2.0745,38300,8.4000,0
2011-07-22,2.0498,2.0745,2.0498,2.0498,29600,8.3000,0
2011-07-25,1.9757,2.1733,1.9757,2.1733,33100,8.8000,0
2011-07-26,2.1980,2.2227,2.1733,2.1733,14000,8.8000,0
2011-07-27,2.2474,2.2474,2.0498,2.1486,17000,8.7000,0
2011-07-28,2.2474,2.2474,2.0745,2.0745,16000,8.4000,0
2011-07-29,2.2721,2.2968,2.0745,2.0745,25900,8.4000,0
2011-08-01,2.0992,2.1239,2.0992,2.0992,19700,8.5000,0
2011-08-02,2.1733,2.2227,2.0498,2.0745,15000,8.4000,0
2011-08-03,2.2227,2.2227,2.2227,2.2227,9000,9.0000,0
2011-08-04,2.0745,2.1239,2.0745,2.0745,3000,8.4000,0
2011-08-05,2.0992,2.1486,2.0498,2.0992,16500,8.5000,0
2011-08-08,2.1486,2.1733,2.1486,2.1733,6000,8.8000,0
2011-08-09,2.1980,2.1980,2.0251,2.0251,43200,8.2000,0
2011-08-10,2.1486,2.1733,2.1486,2.1733,7000,8.8000,0
2011-08-11,2.1733,2.1733,2.0498,2.0498,10000,8.3000,0
2011-08-12,2.1239,2.1239,1.9510,1.9510,6000,7.9000,0
2011-08-15,2.1239,2.1486,2.1239,2.1486,5000,8.7000,0
2011-08-16,2.1733,2.1733,2.1733,2.1733,2000,8.8000,0
2011-08-17,2.2227,2.2227,2.2227,2.2227,2000,9.0000,0
2011-08-18,2.2721,2.2721,2.0992,2.0992,17600,8.5000,0
2011-08-19,2.0745,2.0745,2.0004,2.0745,13200,8.4000,0
2011-08-22,2.0745,2.0745,2.0251,2.0745,14000,8.4000,0
2011-08-23,2.0992,2.0992,2.0251,2.0251,14300,8.2000,0
2011-08-24,2.0745,2.0745,2.0498,2.0498,9100,8.3000,0
2011-08-25,2.0251,2.0498,2.0251,2.0251,20200,8.2000,0
2011-08-26,2.0498,2.0498,2.0498,2.0498,3000,8.3000,0
2011-08-29,2.0745,2.0992,2.0745,2.0992,12000,8.5000,0
2011-08-30,2.1239,2.1239,2.0992,2.0992,23400,8.5000,0
2011-08-31,2.1486,2.1486,2.0745,2.0992,11100,8.5000,0
2011-09-01,2.1733,2.2227,2.0992,2.1980,33300,8.9000,0
2011-09-05,2.2227,2.2227,2.0992,2.1980,47800,8.9000,0
2011-09-06,2.1980,2.1980,2.0992,2.1486,14600,8.7000,0
2011-09-07,2.1980,2.2968,2.1486,2.2720,48400,9.2000,0
2011-09-08,2.2967,2.3708,2.2226,2.3214,41900,9.4000,0
2011-09-09,2.4202,2.4202,2.2226,2.2967,36800,9.3000,0
2011-09-12,2.3461,2.3461,2.1979,2.3461,29100,9.5000,0
2011-09-13,2.3955,2.4202,2.3461,2.3955,40100,9.7000,0
2011-09-14,2.3955,2.4202,2.2967,2.2967,28300,9.3000,0
2011-09-15,2.3955,2.4449,2.2473,2.2967,16500,9.3000,0
2011-09-16,2.4696,2.4696,2.3214,2.3214,41400,9.4000,0
2011-09-19,2.3708,2.3708,2.3708,2.3708,9000,9.6000,0
2011-09-20,2.3708,2.5190,2.3708,2.5190,271600,10.2000,0
2011-09-21,2.5437,2.6672,2.5437,2.6178,75400,10.6000,0
2011-09-22,2.6425,2.6425,2.5190,2.6425,87000,10.7000,0
2011-09-23,2.6425,2.7660,2.6178,2.6919,241600,10.9000,0
2011-09-26,2.7907,2.9142,2.7907,2.9141,306900,11.8000,5040
2011-09-27,3.0870,3.0870,2.9141,3.0376,236300,12.3000,0
2011-09-28,3.1364,3.1364,2.9141,2.9635,125200,12.0000,0
2011-09-29,3.0870,3.0870,2.8153,2.8154,251400,11.4000,0
2011-09-30,2.9389,2.9389,2.7660,2.8154,118900,11.4000,0
2011-10-03,2.9389,2.9389,2.7907,2.8401,138600,11.5000,0
2011-10-04,2.9389,2.9389,2.7413,2.8401,116000,11.5000,0
2011-10-05,2.8895,2.8895,2.7907,2.7907,118600,11.3000,0
2011-10-06,2.9142,2.9142,2.8154,2.8895,115500,11.7000,0
2011-10-07,2.8895,2.8895,2.7907,2.7907,59800,11.3000,0
2011-10-10,2.6425,2.7660,2.6425,2.6672,181900,10.8000,16800
2011-10-11,2.7413,2.7413,2.6672,2.6919,58500,10.9000,0
2011-10-12,2.7660,2.7660,2.5437,2.5437,118300,10.3000,0
2011-10-13,2.5931,2.6919,2.3955,2.5931,56400,10.5000,0
2011-10-14,2.5931,2.6178,2.5190,2.5437,98000,10.3000,10000
2011-10-17,2.5437,2.5684,2.4943,2.4943,66600,10.1000,0
2011-10-18,2.5437,2.5684,2.3708,2.3955,72000,9.7000,0
2011-10-19,2.4943,2.5437,2.4202,2.5437,79900,10.3000,0
2011-10-20,2.5190,2.5684,2.4202,2.4449,85000,9.9000,16800
2011-10-21,2.5190,2.5437,2.3955,2.4943,110500,10.1000,10000
2011-10-24,2.5190,2.6425,2.4943,2.4943,194800,10.1000,0
2011-10-25,2.5931,2.6425,2.5190,2.5190,108800,10.2000,0
2011-10-26,2.6672,2.6672,2.5190,2.5190,63600,10.2000,0
2011-10-27,2.6672,2.6672,2.5437,2.5437,89000,10.3000,0
2011-10-28,2.6425,2.6919,2.5437,2.6672,180900,10.8000,0
2011-10-31,2.7660,2.7907,2.6425,2.6672,130300,10.8000,0
2011-11-01,2.7413,2.7660,2.5931,2.5931,39200,10.5000,0
2011-11-02,2.6425,2.6672,2.5684,2.6178,115900,10.6000,0
2011-11-03,2.6425,2.6425,2.5437,2.6178,79100,10.6000,0
2011-11-04,2.6425,2.6425,2.4943,2.4943,88500,10.1000,0
2011-11-07,2.5931,2.6178,2.4449,2.4449,44200,9.9000,0
2011-11-08,2.5437,2.5437,2.3955,2.5190,104300,10.2000,0
2011-11-09,2.4943,2.4943,2.4202,2.4202,94900,9.8000,0
2011-11-10,2.4696,2.4696,2.3708,2.3955,63700,9.7000,0
2011-11-11,2.4449,2.4449,2.3461,2.3461,78000,9.5000,0
2011-11-14,2.3955,2.3955,2.3214,2.3214,96800,9.4000,0
2011-11-15,2.3461,2.3461,2.2720,2.2967,108000,9.3000,0
2011-11-16,2.4696,2.4696,2.3461,2.3461,112100,9.5000,0
2011-11-17,2.4449,2.4449,2.2967,2.3708,116700,9.6000,0
2011-11-18,2.3708,2.3708,2.2720,2.2720,114200,9.2000,0
