date,open,high,low,close,volume,unadjusted,putthrough
2017-09-08,19.8011,20.2411,18.4810,19.8011,31300,90.0000,0
2017-09-11,18.7010,18.7010,17.6010,17.6010,6000,80.0000,0
2017-09-12,17.6010,17.6010,15.4009,16.5009,8700,75.0000,0
2017-09-13,15.6209,16.0829,15.6209,16.0609,60000,73.0000,0
2017-09-14,15.6209,16.0609,15.6209,16.0609,28600,73.0000,25600
2017-09-15,15.8409,16.7209,15.7969,16.7209,19200,76.0000,4100
2017-09-18,16.5009,16.9409,16.5009,16.9409,17000,77.0000,3400
2017-09-19,16.5449,17.6009,16.5449,17.3810,31600,79.0000,0
2017-09-20,17.0950,17.7110,14.9609,17.6010,55300,80.0000,0
2017-09-21,17.7110,17.9310,17.6890,17.7330,10200,80.6000,0
2017-09-22,17.6670,17.8430,17.6670,17.6890,12600,80.4000,0
2017-09-25,17.6230,18.0190,17.6230,18.0190,15200,81.9000,0
2017-09-26,17.8870,18.1070,17.8870,18.1070,21100,82.3000,0
2017-09-27,18.2610,18.5910,18.2610,18.4810,8100,84.0000,0
2017-09-28,18.5910,19.1410,18.5910,19.1410,9300,87.0000,0
2017-09-29,19.2510,19.3610,19.0310,19.1190,8800,86.9000,0
2017-10-02,18.7010,19.1410,18.2830,18.2830,8300,83.1000,0
2017-10-03,18.8110,18.8110,17.9530,18.4810,1500,84.0000,0
2017-10-04,18.0410,18.0630,18.0410,18.0630,16200,82.1000,0
2017-10-05,18.1510,18.8110,18.1510,18.8110,43500,85.5000,0
2017-10-06,18.3490,18.4810,18.3050,18.4810,1500,84.0000,0
2017-10-09,18.3490,18.3710,18.3490,18.3710,1100,83.5000,0
2017-10-10,18.0410,18.7010,18.0410,18.6790,69900,84.9000,0
2017-10-11,18.7010,18.7010,18.3050,18.3050,1400,83.2000,0
2017-10-12,18.6790,18.6790,18.3930,18.3930,2300,83.6000,0
2017-10-13,18.6790,18.6790,18.4810,18.4810,33600,84.0000,0
2017-10-16,18.3710,18.3710,18.3710,18.3710,1100,83.5000,0
2017-10-17,18.2610,18.2610,18.2610,18.2610,100,83.0000,0
2017-10-18,18.2830,18.2830,18.2610,18.2610,6500,83.0000,0
2017-10-19,18.2610,18.2610,18.2610,18.2610,1300,83.0000,0
2017-10-20,18.2610,18.2610,18.2610,18.2610,1300,83.0000,0
2017-10-23,18.2610,18.2610,18.1510,18.1510,2400,82.5000,0
2017-10-24,18.0410,18.2610,18.0410,18.2610,4000,83.0000,0
2017-10-30,17.8650,18.2610,17.8210,18.2610,1500,83.0000,0
2017-10-31,17.6010,17.6010,17.1829,17.1829,4100,78.1000,0
2017-11-01,17.2709,17.2709,17.2709,17.2709,1200,78.5000,0
2017-11-02,17.2709,17.2709,17.1609,17.1609,2200,78.0000,0
2017-11-07,17.6009,17.6009,17.6009,17.6010,2000,80.0000,0
2017-11-09,17.6010,17.6010,17.6010,17.6010,23400,80.0000,0
2017-11-13,18.0410,18.4810,18.0410,18.4810,12100,84.0000,0
2017-11-14,18.0630,18.0630,18.0410,18.0410,1000,82.0000,0
2017-11-15,16.9409,18.0850,16.9409,18.0630,2200,82.1000,0
2017-11-16,18.1510,18.1510,18.1510,18.1510,400,82.5000,0
2017-11-17,18.3710,18.3710,18.3710,18.3710,200,83.5000,0
2017-11-20,18.3710,18.3930,18.3710,18.3930,700,83.6000,0
2017-11-21,18.3710,18.3930,18.3710,18.3930,3200,83.6000,0
2017-11-22,18.3930,18.3930,18.3930,18.3930,3900,83.6000,0
2017-11-23,18.3930,18.3930,18.3930,18.3930,9600,83.6000,0
2017-11-24,18.3930,18.3930,18.3930,18.3930,1000,83.6000,0
2017-11-27,18.3930,18.3930,18.3930,18.3930,800,83.6000,0
2017-11-28,17.3809,17.3809,17.3809,17.3810,10000,79.0000,0
2017-11-29,18.7011,19.3611,18.7011,19.3611,500,88.0000,0
2017-11-30,18.7891,18.7891,18.7891,18.7890,3500,85.4000,0
2017-12-01,18.0410,18.0410,18.0410,18.0410,400,82.0000,0
2017-12-04,19.3611,20.7472,19.1411,19.1410,20500,87.0000,0
2017-12-05,19.8010,20.0210,19.8010,19.8011,9500,90.0000,0
2017-12-06,20.0211,20.0211,19.8011,19.9111,9400,90.5000,0
2017-12-07,18.9210,20.3511,18.9210,20.3511,69500,92.5000,0
2017-12-08,19.3610,20.8791,18.7010,19.8451,13900,90.2000,0
2017-12-11,22.9473,22.9473,19.1631,19.1631,15800,87.1000,0
2017-12-12,18.7231,18.9211,17.8210,18.9210,14600,86.0000,0
2017-12-13,18.8330,19.2290,18.2610,19.1410,5575100,87.0000,0
2017-12-14,19.8010,20.0210,18.9650,19.0970,24300,86.8000,0
2017-12-15,18.7450,19.3830,18.7010,18.8110,9500,85.5000,0
2017-12-18,18.7010,18.7010,17.8209,18.2610,78600,83.0000,0
2017-12-19,18.0410,18.0630,17.8430,18.0410,20500,82.0000,0
2017-12-20,17.9310,18.6790,17.9310,18.2610,28400,83.0000,0
2017-12-21,18.4590,18.9210,18.4590,18.8990,10500,85.9000,1940000
2017-12-22,18.7450,18.7450,18.0410,18.5470,7100,84.3000,0
2017-12-25,18.2830,18.2830,18.2610,18.2610,500,83.0000,0
2017-12-26,18.2610,18.9210,18.2610,18.8990,24300,85.9000,0
2017-12-27,18.9210,18.9210,18.4810,18.7010,7900,85.0000,320000
2017-12-28,18.7010,18.7010,18.4810,18.4810,4600,84.0000,0
2017-12-29,18.7010,18.7670,18.6790,18.7670,21000,85.3000,0
2018-01-02,19.0750,19.0750,18.2830,18.7010,148400,85.0000,0
2018-01-03,18.3710,18.3710,18.3710,18.3710,100,83.5000,0
2018-01-04,18.2610,18.2610,17.8210,17.8210,8500,81.0000,0
2018-01-05,17.8210,17.8210,17.1610,17.3810,21900,79.0000,0
2018-01-08,17.4030,18.8111,17.3810,18.8110,4000,85.5000,0
2018-01-09,17.4909,17.4909,17.4909,17.4910,100,79.5000,315000
2018-01-10,18.7231,19.8011,18.6791,18.6790,7000,84.9000,0
2018-01-12,18.5910,18.5910,18.5690,18.5690,300,84.4000,0
2018-01-15,17.8650,18.4810,17.6009,18.4810,37200,84.0000,100000
2018-01-16,18.2610,18.2610,18.2610,18.2610,7400,83.0000,100000
2018-01-17,19.4711,19.4711,19.4711,19.4711,1100,88.5000,0
2018-01-18,17.5130,17.5130,17.5130,17.5130,100,79.6000,0
2018-01-19,18.4811,18.4811,18.4591,18.4810,12400,84.0000,0
2018-01-24,17.6010,17.6010,17.6010,17.6010,1000,80.0000,0
2018-01-26,17.6010,17.6010,16.8970,16.8969,300,76.8000,8000
2018-01-29,18.3490,18.3490,18.3490,18.3490,2000,83.4000,0
2018-01-30,18.3270,18.3270,18.0410,18.0410,7000,82.0000,0
2018-01-31,18.2610,18.2610,18.1510,18.1510,19200,82.5000,0
2018-02-02,18.3490,18.3490,18.3490,18.3490,600,83.4000,0
2018-02-05,16.9409,18.0410,16.9409,18.0410,3500,82.0000,0
2018-02-07,17.6010,17.6010,17.6010,17.6010,200,80.0000,0
2018-02-09,17.1610,18.2170,17.1610,18.2170,13400,82.8000,310000
2018-02-12,18.0410,18.0410,18.0410,18.0410,60000,82.0000,0
2018-02-21,18.3710,18.3710,18.3710,18.3710,1000,83.5000,0
2018-02-22,15.6209,18.0410,15.6209,18.0410,3900,82.0000,0
2018-02-23,17.8210,17.8210,17.8210,17.8210,9700,81.0000,0
2018-02-26,17.8210,17.9310,17.6010,17.6010,34400,80.0000,0
2018-02-27,16.0829,17.8210,16.0829,17.8210,24800,81.0000,0
2018-03-05,17.1610,17.1610,17.0510,17.0509,1500,77.5000,0
2018-03-06,16.9849,16.9849,16.9849,16.9849,200,77.2000,0
2018-03-07,17.0509,18.2610,16.9409,18.2610,5500,83.0000,0
2018-03-08,17.2269,17.2269,17.2269,17.2269,1100,78.3000,0
2018-03-09,16.8309,18.2610,16.7209,18.2610,131400,83.0000,0
2018-03-12,17.3810,17.3810,17.3810,17.3810,100,79.0000,0
2018-03-14,16.9630,17.3810,16.9630,17.1609,1400,78.0000,0
2018-03-15,17.6009,17.7109,17.6009,17.6010,10900,80.0000,0
2018-03-16,17.6010,17.8210,17.6010,17.8210,10000,81.0000,300000
2018-03-19,17.7110,17.7110,17.6010,17.6010,3200,80.0000,0
2018-03-20,17.2710,17.2710,17.2710,17.2709,100,78.5000,0
2018-03-21,18.0409,18.2610,17.7109,17.7110,27200,80.5000,0
2018-03-22,17.8210,17.8210,17.1610,17.1609,900,78.0000,0
2018-03-23,17.6009,18.2610,17.6009,18.0410,182200,82.0000,0
2018-03-26,18.2610,18.2610,17.6010,17.7110,60600,80.5000,0
2018-03-27,17.6010,17.6010,17.6010,17.6010,100,80.0000,0
2018-03-28,17.8210,17.8210,17.7110,17.7110,20200,80.5000,0
2018-03-30,17.7110,18.2390,17.7110,18.2390,400,82.9000,0
2018-04-03,17.6010,17.7110,17.6010,17.6010,900,80.0000,0
2018-04-04,17.6010,17.6010,17.6010,17.6010,1000,80.0000,0
2018-04-06,17.6010,17.6010,17.6010,17.6010,500,80.0000,0
2018-04-12,19.1411,19.1411,19.1411,19.1410,1000,87.0000,0
2018-04-17,16.3029,16.3029,16.3029,16.3029,400,74.1000,0
2018-04-18,17.6010,17.8210,17.6010,17.8210,38700,81.0000,0
2018-04-19,17.8210,18.2610,17.8210,17.8210,35400,81.0000,0
2018-04-20,18.1950,18.2610,18.1950,18.2610,15100,83.0000,0
2018-05-07,15.5989,15.5989,15.5989,15.5989,1000,70.9000,0
2018-05-10,15.5989,15.5989,15.5989,15.5989,600,70.9000,0
2018-05-11,13.2888,17.7990,13.2888,17.7990,200,80.9000,0
2018-05-14,13.4428,17.2930,13.4208,17.2929,300,78.6000,0
2018-05-15,16.8089,16.8089,16.8089,16.8089,200,76.4000,0
2018-05-16,16.2149,16.2369,16.2149,16.2369,800,73.8000,0
2018-05-17,17.3590,17.6010,17.3590,17.6010,2000,80.0000,0
2018-05-30,17.3554,17.3554,17.3554,17.3554,1500,76.9000,0
2018-06-01,17.3328,17.3554,17.3328,17.3554,2000,76.9000,0
2018-06-04,16.4752,16.4752,16.4752,16.4753,100,73.0000,0
2018-06-07,16.4302,18.7322,16.4302,18.7321,3400,83.0000,0
2018-06-08,18.5064,18.5064,18.5064,18.5064,100,82.0000,0
2018-06-12,19.1835,19.1835,19.1835,19.1835,1000,85.0000,0
2018-06-14,16.9266,18.2807,16.3850,18.2808,1500,81.0000,0
2018-06-19,16.4753,16.4753,16.4753,16.4753,400,73.0000,0
2018-06-20,17.9423,17.9423,17.9423,17.9422,500,79.5000,0
