date,open,high,low,close,volume,unadjusted,putthrough
2017-12-08,8.0616,8.0616,8.0616,8.0617,45000,28.0000,0
2017-12-11,9.2710,9.2710,9.2710,9.2709,40000,32.2000,0
2017-12-12,10.6529,10.6529,10.6529,10.6529,40000,37.0000,0
2017-12-13,11.5166,11.5166,10.6529,11.5167,13000,40.0000,0
2017-12-14,11.5167,11.5167,9.5013,10.0483,15900,34.9000,0
2017-12-15,9.7892,9.7892,9.5013,9.7604,8300,33.9000,0
2017-12-18,9.5876,9.5876,9.5013,9.5588,5900,33.2000,0
2017-12-19,9.5012,9.5012,9.5012,9.5013,1000,33.0000,0
2017-12-20,9.3573,9.3573,8.1193,8.3496,9100,29.0000,0
2017-12-21,8.2632,9.5589,8.0041,9.5588,36430,33.2000,10000
2017-12-22,8.1768,9.3285,8.1768,8.2344,2700,28.6000,0
2017-12-25,8.2344,8.2344,7.0539,7.1979,57950,25.0000,0
2017-12-26,8.1768,8.1768,7.1115,7.1115,10190,24.7000,0
2017-12-27,7.4858,7.4858,6.0750,7.1115,139511,24.7000,0
2017-12-28,7.1979,7.3130,7.1979,7.3131,6575,25.4000,4458564
2017-12-29,8.0617,8.2920,7.4859,7.9177,2505,27.5000,0
2018-01-02,8.0904,8.8966,8.0904,8.8966,300,30.9000,0
2018-01-03,8.2056,8.3496,8.0904,8.0905,1834,28.1000,0
2018-01-04,8.0905,8.1769,8.0617,8.1768,2400,28.4000,0
2018-01-05,8.0904,8.0904,8.0904,8.0905,200,28.1000,0
2018-01-08,8.2057,8.7815,8.1193,8.7815,3670,30.5000,0
2018-01-09,8.6375,8.7815,8.6375,8.7527,5000,30.4000,59800
2018-01-10,8.6375,8.7815,8.6375,8.7815,2700,30.5000,0
2018-01-11,8.6663,8.6663,8.6663,8.6663,2010,30.1000,0
2018-01-12,7.3707,8.6663,7.3707,8.6375,400,30.0000,0
2018-01-15,8.0905,8.0905,8.0905,8.0905,500,28.1000,0
2018-01-16,8.6088,8.6088,8.6088,8.6087,100,29.9000,0
2018-01-17,7.4858,7.8313,7.4858,7.8313,1700,27.2000,0
2018-01-18,7.8313,8.0616,7.8313,8.0617,5900,28.0000,0
2018-01-19,9.1270,9.1270,9.0982,9.0982,21600,31.6000,0
2018-01-22,9.2134,9.2134,8.6375,9.0694,9300,31.5000,0
2018-01-23,8.9542,9.2134,8.6375,9.2133,7093,32.0000,0
2018-01-24,8.9254,8.9254,8.7526,8.8103,2667,30.6000,5
