date,open,high,low,close,volume,unadjusted,putthrough
2011-01-14,8.3580,8.3580,6.9650,8.3301,954580,29.9000,0
2011-01-17,7.9679,8.7201,7.9679,8.7201,1282900,31.3000,20000
2011-01-18,8.7201,9.1380,8.3579,9.1380,1244920,32.8000,0
2011-01-19,8.7758,9.5838,8.7758,9.5838,1070570,34.4000,20000
2011-01-20,9.1380,10.0574,9.1380,9.9738,1150840,35.8000,0
2011-01-21,9.5559,9.9738,9.5002,9.5002,907920,34.1000,170000
2011-01-24,9.0544,9.1102,9.0266,9.0266,155800,32.4000,419180
2011-01-25,8.5808,8.6366,8.5808,8.5808,633610,30.8000,290000
2011-01-26,8.5808,8.5808,8.1908,8.2465,403060,29.6000,0
2011-01-27,8.2465,8.3579,7.9679,8.3579,525180,30.0000,576000
2011-01-28,8.1072,8.3858,8.0793,8.1629,313890,29.3000,100000
2011-02-08,8.1629,8.3579,8.1629,8.1908,130100,29.4000,95000
2011-02-09,8.0794,8.2187,7.9679,7.9679,250030,28.6000,0
2011-02-10,7.9679,7.9958,7.8565,7.9958,235720,28.7000,0
2011-02-11,7.9679,7.9958,7.6615,7.6614,309650,27.5000,0
2011-02-14,7.6335,7.7450,7.6335,7.6336,151730,27.4000,295000
2011-02-15,7.5222,7.6615,7.4386,7.5500,146650,27.1000,20000
2011-02-16,7.4664,7.5500,7.4664,7.5221,74800,27.0000,0
2011-02-17,7.4385,7.4385,7.1878,7.3550,46720,26.4000,0
2011-02-18,7.4107,7.4107,7.2436,7.2435,207480,26.0000,25000
2011-02-21,6.9928,6.9928,6.8813,6.8814,345160,24.7000,0
2011-02-22,6.6028,7.2157,6.6028,6.8814,166260,24.7000,0
2011-02-23,7.1600,7.2157,6.9650,6.9649,75210,25.0000,0
2011-02-24,6.8256,7.1042,6.7420,7.1042,82130,25.5000,0
2011-02-25,6.9092,7.1878,6.9092,7.1878,73270,25.8000,0
2011-02-28,7.3271,7.3271,6.9092,6.9649,142270,25.0000,25000
2011-03-01,6.8813,6.9649,6.8256,6.9649,31410,25.0000,0
2011-03-02,6.9649,6.9649,6.6306,6.6585,151410,23.9000,0
2011-03-03,6.3799,6.6585,6.3799,6.5192,186200,23.4000,0
2011-03-04,6.5471,6.5471,6.3799,6.3799,52020,22.9000,30000
2011-03-07,6.1570,6.6864,6.1570,6.6863,34800,24.0000,0
2011-03-08,6.6863,6.8256,6.5191,6.5192,39460,23.4000,0
2011-03-09,6.5192,6.5192,6.3520,6.3520,59020,22.8000,0
2011-03-10,6.4077,6.5470,6.4077,6.4077,142370,23.0000,0
2011-03-11,6.6863,6.7142,6.6863,6.7142,315760,24.1000,279930
2011-03-14,6.8814,6.8814,6.6863,6.7421,399140,24.2000,0
2011-03-15,6.7421,6.8257,6.7142,6.7142,233050,24.1000,0
