date,open,high,low,close,volume,unadjusted,putthrough
2013-04-08,10.5510,10.5510,10.5510,10.5510,370500,21.6000,0
2013-04-09,9.8183,9.8183,9.8183,9.8183,13300,20.1000,0
2013-04-10,9.1344,9.1344,9.1344,9.1344,17070,18.7000,0
2013-04-11,8.4994,8.4994,8.4994,8.4994,22910,17.4000,0
2013-04-12,7.9132,8.0598,7.9132,7.9133,762940,16.2000,50000
2013-04-15,8.0598,8.4506,8.0110,8.1575,263240,16.7000,0
2013-04-16,8.4017,8.4017,8.1575,8.3040,22850,17.0000,0
2013-04-17,8.0598,8.2552,8.0598,8.2552,284820,16.9000,0
2013-04-18,8.2552,8.2552,8.1087,8.2063,195130,16.8000,0
2013-04-22,7.9621,8.2551,7.9621,8.2063,128400,16.8000,0
2013-04-23,8.2551,8.3528,8.2063,8.3529,100870,17.1000,0
2013-04-24,8.1087,8.3529,8.1087,8.3529,88650,17.1000,0
2013-04-25,8.3041,8.5483,8.2552,8.4994,150870,17.4000,0
2013-04-26,8.3529,8.5482,8.2552,8.4994,67520,17.4000,0
2013-05-02,8.4994,8.4994,8.4017,8.4994,30870,17.4000,0
2013-05-03,8.4994,8.4994,7.9132,7.9133,34690,16.2000,0
2013-05-06,8.0598,8.2064,7.8156,8.2063,81340,16.8000,0
2013-05-07,8.1086,8.1575,7.9621,7.9621,58700,16.3000,0
2013-05-08,8.2552,8.3040,8.2063,8.2063,9530,16.8000,0
2013-05-09,8.2063,8.2063,8.0598,8.1087,16680,16.6000,0
2013-05-10,8.1087,8.1575,8.0599,8.1087,29210,16.6000,0
2013-05-13,8.3041,8.5972,8.3041,8.5971,96580,17.6000,0
2013-05-14,8.5483,8.6948,8.4506,8.5483,136890,17.5000,0
2013-05-15,8.5483,9.1345,8.5483,9.1344,219010,18.7000,0
2013-05-16,9.2321,9.5252,9.2321,9.4764,84720,19.4000,20000
2013-05-17,9.4764,9.4764,9.1345,9.4764,129090,19.4000,200000
2013-05-20,9.4764,10.0137,9.4764,9.7695,152770,20.0000,0
2013-05-21,9.6230,9.9649,9.6230,9.8183,81760,20.1000,0
2013-05-22,9.9648,10.3556,9.9160,10.3556,83330,21.2000,0
2013-05-23,10.3556,10.7464,9.7694,9.7695,108870,20.0000,0
2013-05-24,9.8183,10.4534,9.8183,10.4533,106080,21.4000,0
2013-05-27,10.7464,10.7952,10.5998,10.7953,108000,22.1000,0
2013-05-28,10.9907,10.9907,10.5022,10.9906,61730,22.5000,0
2013-05-29,10.9906,11.7233,10.9906,11.7234,85700,24.0000,0
2013-05-30,12.3584,12.5050,12.3096,12.5049,123560,25.6000,0
2013-05-31,13.3353,13.3353,12.7003,12.9934,143720,26.6000,0
2013-06-03,12.2607,12.9934,12.1141,12.1630,14160,24.9000,0
