date,open,high,low,close,volume,unadjusted,putthrough
2010-06-23,7.0760,7.0760,6.4126,6.5232,39030,59.0000,0
2010-06-24,6.5232,6.5232,6.2468,6.2468,20190,56.5000,0
2010-06-25,5.9704,6.4679,5.9704,6.0809,112760,55.0000,0
2010-06-28,6.0809,6.0809,5.9703,6.0809,13000,55.0000,0
2010-06-29,6.2467,6.2467,5.8598,5.9151,34570,53.5000,0
2010-06-30,5.9151,5.9151,5.7493,5.9151,19820,53.5000,0
2010-07-01,5.8045,5.8045,5.6387,5.6387,31670,51.0000,0
2010-07-02,5.5834,5.9151,5.5834,5.9151,17240,53.5000,0
2010-07-05,6.0809,6.0809,6.0257,6.0256,11100,54.5000,0
2010-07-06,5.9150,5.9150,5.8598,5.9151,17710,53.5000,0
2010-07-07,5.8598,5.9151,5.8598,5.9151,4910,53.5000,0
2010-07-08,5.9151,5.9151,5.7493,5.7492,23900,52.0000,0
2010-07-09,5.8598,5.8598,5.8045,5.8045,23010,52.5000,0
2010-07-12,5.9151,5.9151,5.7492,5.7492,4740,52.0000,329000
2010-07-13,6.0256,6.0256,5.7492,5.9704,17130,54.0000,0
2010-07-14,5.9704,5.9704,5.8046,5.8045,21750,52.5000,0
2010-07-15,5.8598,5.9151,5.8598,5.8598,36960,53.0000,0
2010-07-16,5.8598,5.9151,5.8598,5.8598,26500,53.0000,0
2010-07-19,5.8598,5.9151,5.8045,5.8045,35930,52.5000,0
2010-07-20,5.8045,5.9151,5.8045,5.9151,32680,53.5000,0
2010-07-21,5.8598,5.9151,5.8598,5.9151,35680,53.5000,0
2010-07-22,5.8598,5.9151,5.8598,5.9151,21290,53.5000,0
2010-07-23,5.9704,6.1915,5.9704,6.1915,78670,56.0000,0
2010-07-26,6.4126,6.4126,6.0809,6.0809,88060,55.0000,0
2010-07-27,5.9703,6.0256,5.9703,5.9704,22370,54.0000,0
2010-07-28,6.1915,6.1915,5.8598,5.9704,32060,54.0000,0
2010-07-29,5.8598,5.8598,5.8046,5.8598,6000,53.0000,0
2010-07-30,5.8045,6.0256,5.8045,5.8598,93000,53.0000,0
2010-08-02,5.8598,5.9151,5.8598,5.8598,20440,53.0000,0
2010-08-03,5.9151,5.9704,5.9151,5.9151,37760,53.5000,0
2010-08-04,5.9151,5.9151,5.8045,5.8598,27100,53.0000,0
2010-08-05,5.8598,5.8598,5.8045,5.8598,19890,53.0000,0
2010-08-06,5.8598,5.8598,5.7492,5.8598,21460,53.0000,0
2010-08-09,5.8598,5.8598,5.5834,5.6387,10390,51.0000,0
2010-08-10,5.5281,5.5834,5.3733,5.3733,72200,48.6000,113000
2010-08-11,5.6386,5.6386,5.5170,5.5834,14180,50.5000,0
2010-08-12,5.5834,5.5834,5.3070,5.4728,20110,49.5000,0
2010-08-13,5.4617,5.5281,5.4617,5.4618,18120,49.4000,0
2010-08-16,5.6940,5.6940,5.6940,5.6940,6790,51.5000,0
2010-08-17,5.6940,5.7493,5.6387,5.7492,10040,52.0000,20200
2010-08-18,5.7492,5.7492,5.4617,5.4618,32930,49.4000,0
2010-08-19,5.5281,5.5281,5.5281,5.5281,390,50.0000,0
2010-08-20,5.5281,5.5281,5.4839,5.5281,8940,50.0000,0
2010-08-23,5.6939,5.6939,5.4949,5.5281,9860,50.0000,0
2010-08-24,5.4175,5.5281,5.3070,5.5281,20730,50.0000,0
2010-08-25,5.5170,5.5170,5.2517,5.2517,79940,47.5000,0
2010-08-26,5.1080,5.1080,5.0527,5.0748,15200,45.9000,0
2010-08-27,4.8316,4.9753,4.8316,4.9311,5550,44.6000,0
2010-08-30,4.8648,5.0859,4.8648,4.9311,19460,44.6000,0
2010-08-31,4.9532,4.9532,4.8205,4.9200,29970,44.5000,0
2010-09-01,4.9642,4.9642,4.8647,4.9200,23600,44.5000,85896
2010-09-06,5.0858,5.1632,4.9200,4.9532,19060,44.8000,0
2010-09-07,4.8537,5.0748,4.8537,5.0748,15090,45.9000,0
2010-09-08,4.9753,4.9753,4.9532,4.9532,8430,44.8000,0
2010-09-09,4.9532,5.0306,4.9421,4.9532,16500,44.8000,0
2010-09-10,5.0195,5.0306,4.8205,4.8647,29930,44.0000,0
2010-09-13,4.8426,4.8426,4.7984,4.8205,23070,43.6000,0
2010-09-14,4.8205,4.8205,4.7763,4.8205,19900,43.6000,0
2010-09-15,4.7210,4.8205,4.6989,4.7321,6220,42.8000,0
2010-09-16,4.6547,4.7542,4.6547,4.7542,3810,43.0000,50500
2010-09-17,4.7874,4.8095,4.7542,4.8095,7900,43.5000,85890
2010-09-20,4.8095,4.8648,4.8095,4.8426,15170,43.8000,0
2010-09-21,4.8426,4.8758,4.8094,4.8647,14510,44.0000,0
2010-09-22,4.8536,4.8758,4.8094,4.8647,15060,44.0000,0
2010-09-23,4.8426,4.8647,4.8426,4.8426,13200,43.8000,0
2010-09-24,4.8426,4.8647,4.8426,4.8426,12010,43.8000,34630
