date,open,high,low,close,volume,unadjusted,putthrough
2018-04-05,13.9152,13.9152,13.9152,13.9152,1800,27.3000,0
2018-04-06,15.2914,15.2914,15.2914,15.2915,19800,30.0000,79500
2018-04-09,16.8207,16.8207,16.8207,16.8206,29800,33.0000,155000
2018-04-10,18.5027,18.5027,18.5027,18.5027,57300,36.3000,35000
2018-04-11,20.0828,20.3377,20.0828,20.3377,45100,39.9000,70000
2018-04-12,22.2237,22.3256,22.1727,22.3256,59900,43.8000,70000
2018-04-13,22.9373,22.9373,20.1338,22.3256,53800,43.8000,0
2018-04-16,20.8984,22.3766,20.4396,22.3256,33700,43.8000,0
2018-04-17,21.9178,21.9178,20.3887,21.6629,34400,42.5000,20000
2018-04-18,20.5415,21.4080,20.4906,21.1532,33000,41.5000,0
2018-04-19,21.1022,21.2042,20.4396,21.2042,36900,41.6000,0
2018-04-20,20.6435,21.4081,20.5925,21.3571,41500,41.9000,0
2018-04-23,21.6629,21.6629,20.6945,20.6945,32127,40.6000,0
2018-04-24,20.6945,20.7455,20.4396,20.7454,28400,40.7000,0
2018-04-26,20.5415,20.8473,18.7065,20.8474,48902,40.9000,0
2018-04-27,20.3887,22.8863,20.3887,22.8862,41950,44.9000,5000
2018-05-02,21.1532,23.9566,21.1532,23.9567,44108,47.0000,10000
2018-05-03,21.9178,24.9252,21.9178,24.9251,47308,48.9000,0
2018-05-04,24.9251,26.4542,24.9251,25.9955,64715,51.0000,0
2018-05-07,25.9955,26.1484,25.2309,26.1484,13119,51.3000,0
2018-05-08,25.9955,26.6071,24.9761,25.9955,21000,51.0000,0
2018-05-09,25.9955,25.9955,24.9761,25.9955,16100,51.0000,0
2018-05-10,26.5052,26.5052,26.0465,26.3523,22900,51.7000,0
2018-05-11,25.6387,26.1484,25.4348,26.1484,4710,51.3000,0
2018-05-14,25.5877,26.1994,25.5367,25.5368,27000,50.1000,0
2018-05-15,25.0781,25.0781,23.0392,24.4664,36602,48.0000,0
2018-05-16,23.9567,24.0077,23.7528,23.9567,8300,47.0000,0
2018-05-17,23.4980,24.1096,23.4980,23.9057,15400,46.9000,0
2018-05-18,23.9567,23.9567,23.9567,23.9567,9500,47.0000,705000
2018-05-21,24.0586,24.2625,24.0077,24.0586,12900,47.2000,0
2018-05-22,23.9567,24.0586,22.8863,22.8862,20900,44.9000,0
2018-05-23,22.9372,23.4469,22.9372,23.4469,24200,46.0000,0
2018-05-24,24.9760,25.2309,24.7212,24.8741,16035,48.8000,0
2018-05-25,25.4348,25.4348,24.0076,24.8741,18100,48.8000,0
2018-05-28,25.2309,25.2309,24.2115,24.2115,17550,47.5000,0
2018-05-29,24.4664,25.4858,24.2115,25.4348,29511,49.9000,0
2018-05-30,24.2115,25.4348,24.2115,25.4348,13100,49.9000,0
2018-05-31,25.4348,25.8426,25.3838,25.8426,16500,50.7000,0
2018-06-01,24.7212,25.8426,24.7212,25.7916,21200,50.6000,0
2018-06-04,25.7916,25.7916,25.2309,25.4348,8000,49.9000,0
2018-06-05,25.4348,25.4348,24.6193,24.9251,17001,48.9000,0
2018-06-06,24.9251,24.9761,23.9566,24.9251,13301,48.9000,0
2018-06-07,24.4664,24.8232,24.2115,24.8232,3700,48.7000,0
2018-06-08,24.6193,24.8742,24.6193,24.8232,16611,48.7000,0
2018-06-11,24.5174,24.9761,24.4664,24.7212,17800,48.5000,0
2018-06-12,24.0586,24.8231,22.2746,24.2115,194800,47.5000,0
2018-06-13,24.2115,24.6193,23.9566,24.3644,25100,47.8000,0
2018-06-14,24.4663,24.4663,23.9566,24.2625,10900,47.6000,0
2018-06-15,24.1606,24.1606,23.9057,24.0586,10200,47.2000,0
2018-06-18,24.3644,24.3644,23.7018,23.7528,9100,46.6000,0
2018-06-19,23.9567,23.9567,23.2941,23.3960,6400,45.9000,0
2018-06-20,23.6509,23.6509,21.8668,23.1921,42500,45.5000,15200
2018-06-21,23.0392,23.0392,22.9372,23.0392,1700,45.2000,0
2018-06-22,22.9373,22.9373,22.8863,22.9372,2400,45.0000,0
2018-06-25,23.1411,23.1411,23.0391,23.0392,4200,45.2000,0
2018-06-26,22.9373,23.1411,22.9373,23.0901,5900,45.3000,0
2018-06-27,23.1411,23.1411,20.9493,22.1217,3000,43.4000,0
2018-06-28,21.8668,21.8668,21.8668,21.8668,11000,42.9000,0
2018-06-29,21.6119,22.1726,19.7260,22.1726,24300,43.5000,0
2018-07-02,22.8862,22.8862,22.8862,22.8862,6800,44.9000,0
2018-07-03,23.3959,23.3959,22.8862,22.8862,9400,44.9000,0
2018-07-04,22.4275,22.5804,20.6435,20.6435,14600,40.5000,0
2018-07-05,20.5925,20.5925,18.6046,18.6046,8600,36.5000,0
2018-07-06,16.7696,18.8595,16.7696,16.8206,14100,33.0000,0
2018-07-09,18.4517,18.5027,15.2915,17.7381,13900,34.8000,0
2018-07-10,17.5852,19.4711,16.2090,17.3303,12800,34.0000,0
2018-07-11,17.5852,17.5852,16.5657,16.8206,10300,33.0000,0
2018-07-12,17.3303,17.3303,16.5148,16.5658,10000,32.5000,0
2018-07-13,17.0245,17.0245,15.2915,16.3109,9600,32.0000,0
2018-07-16,17.7381,17.7381,16.1580,16.8206,9500,33.0000,0
2018-07-17,16.8206,17.8400,15.9541,17.8401,8500,35.0000,0
2018-07-18,17.5343,18.8595,16.5658,18.8595,7700,37.0000,0
2018-07-19,17.8401,19.1144,17.2284,19.1143,13933,37.5000,0
2018-07-20,17.8400,18.3497,17.5852,18.3498,6700,36.0000,0
2018-07-23,18.8595,18.8595,17.7381,18.6046,7800,36.5000,0
2018-07-24,18.3497,18.3497,17.5852,17.8401,4600,35.0000,0
2018-07-25,17.7382,18.1459,17.7382,17.8401,4205,35.0000,0
2018-07-26,17.3304,17.8401,16.3109,17.8401,4500,35.0000,0
2018-07-27,17.5852,18.0950,16.7697,18.0949,5400,35.5000,0
2018-07-30,18.3498,18.3498,17.3813,17.9420,4400,35.2000,0
2018-07-31,17.6871,18.0439,17.0755,17.9420,16400,35.2000,0
2018-08-01,17.9930,17.9930,17.6362,17.8401,4200,35.0000,0
2018-08-02,17.7891,17.8401,17.4323,17.7891,4300,34.9000,0
2018-08-03,17.7891,17.8401,17.3813,17.8401,4500,35.0000,0
2018-08-06,18.3498,18.3498,17.3814,17.8401,3121,35.0000,0
2018-08-07,17.6872,17.6872,17.3304,17.3303,2000,34.0000,0
2018-08-08,17.5342,17.5342,16.9735,17.3813,5400,34.1000,21000
2018-08-09,17.7381,17.7381,17.3303,17.5342,6000,34.4000,0
2018-08-10,17.5342,17.8400,17.4832,17.5342,2721,34.4000,80400
2018-08-13,17.4323,17.5342,17.3303,17.5342,3300,34.4000,0
2018-08-14,17.5852,17.8400,17.5342,17.8401,11800,35.0000,0
2018-08-15,17.7891,17.8401,17.4323,17.4833,19100,34.3000,0
2018-08-16,17.5852,17.5852,17.2284,17.5852,8000,34.5000,0
2018-08-17,18.0439,18.0439,17.5342,17.5852,5400,34.5000,0
2018-08-20,17.7381,17.7381,17.5342,17.5342,8800,34.4000,0
2018-08-21,17.3813,17.8400,17.3303,17.5852,11400,34.5000,60000
2018-08-22,17.7381,17.7381,17.4833,17.6871,6400,34.7000,30000
2018-08-23,17.6361,17.6361,17.5342,17.6362,2500,34.6000,0
2018-08-24,17.7381,19.3692,17.6362,19.2673,36700,37.8000,5000
2018-08-27,19.2673,19.8790,19.1144,19.8789,27600,39.0000,0
2018-08-28,19.8789,20.0318,19.5731,19.8789,22300,39.0000,0
2018-08-29,19.8789,20.1338,18.8595,20.1338,22000,39.5000,0
2018-08-30,20.1338,20.1338,19.6241,19.8789,23600,39.0000,0
2018-08-31,19.8789,19.9808,19.3692,19.9299,21000,39.1000,0
2018-09-04,19.9299,19.9299,19.5731,19.5731,15300,38.4000,0
2018-09-05,19.5731,19.5731,18.8595,18.8595,14400,37.0000,35300
2018-09-06,18.8595,18.9105,18.8085,18.8595,14700,37.0000,0
2018-09-07,18.8595,19.6241,18.6046,19.6241,21000,38.5000,0
2018-09-10,19.6241,19.6241,19.1144,19.3692,18800,38.0000,0
2018-09-11,19.3692,19.3692,19.1143,19.3692,15600,38.0000,0
2018-09-12,19.3692,19.5221,18.8595,19.3692,18600,38.0000,0
2018-09-13,19.3692,19.7260,18.6046,19.3692,36100,38.0000,0
2018-09-14,19.3692,19.8789,19.3692,19.8789,20500,39.0000,0
2018-09-17,19.8789,20.0828,19.4711,19.9299,22300,39.1000,0
2018-09-18,19.8789,20.1338,19.6750,20.1338,43100,39.5000,0
2018-09-19,20.1338,20.3887,19.8789,20.1338,38600,39.5000,0
2018-09-20,20.1338,21.4081,20.1338,21.4081,47100,42.0000,0
2018-09-21,20.8984,21.6630,20.6435,20.8984,39034,41.0000,0
2018-09-24,20.8984,21.4081,20.6435,21.1532,32900,41.5000,0
2018-09-25,21.1532,21.4590,21.1532,21.4081,40800,42.0000,0
2018-09-26,21.5610,21.8668,20.8984,21.8668,51900,42.9000,0
2018-09-27,21.6629,21.8668,21.3571,21.8668,27510,42.9000,0
2018-09-28,22.0197,22.2236,21.8668,22.2236,45800,43.6000,0
2018-10-01,22.2236,22.2236,21.0513,21.9178,45200,43.0000,0
2018-10-02,21.6629,21.6629,20.7455,21.4081,49500,42.0000,0
2018-10-03,21.4081,21.4081,20.8984,21.4081,31000,42.0000,0
2018-10-04,21.4081,22.4275,21.1023,22.4275,73600,44.0000,0
2018-10-05,22.6314,22.9372,21.9178,22.1726,45700,43.5000,0
2018-10-08,22.1726,22.1726,21.5100,22.1726,29700,43.5000,0
2018-10-09,22.1726,22.1726,21.6629,21.9178,32800,43.0000,0
2018-10-10,21.9178,21.9178,21.4591,21.9178,30000,43.0000,0
2018-10-11,21.9178,21.9178,20.8984,21.4081,43300,42.0000,0
2018-10-12,21.1532,22.4275,21.1532,22.4275,77200,44.0000,0
2018-10-15,22.4275,22.4275,21.9178,22.1726,44400,43.5000,30000
