date,open,high,low,close,volume,unadjusted,putthrough
2006-12-21,10.8473,10.8473,10.8473,10.8473,2000,55.0000,0
2006-12-22,10.3542,10.3542,10.3542,10.3542,9350,52.5000,0
2006-12-25,9.8414,9.8414,9.8414,9.8414,9900,49.9000,0
2006-12-26,9.3681,9.3681,9.3681,9.3681,47410,47.5000,0
2006-12-27,0.0000,9.8217,9.6639,9.8217,1500,49.8000,0
2006-12-28,10.2556,10.2556,10.2556,10.2556,24650,52.0000,0
2006-12-29,10.2556,10.2556,10.2556,10.2556,26560,52.0000,0
2007-01-02,9.8612,10.2556,9.8612,9.8612,11100,50.0000,0
2007-01-03,9.4668,9.4668,9.3879,9.4667,25400,48.0000,0
2007-01-04,9.8611,9.8611,9.7823,9.8612,9540,50.0000,0
2007-01-05,9.8612,9.8612,9.8612,9.8612,26820,50.0000,0
2007-01-08,9.8612,9.8612,9.6640,9.7626,30350,49.5000,0
2007-01-09,9.7626,9.7626,9.5851,9.6442,5670,48.9000,0
2007-01-10,9.4667,9.6442,9.2695,9.6442,12600,48.9000,0
2007-01-11,9.6639,9.6639,9.4470,9.4470,5520,47.9000,0
2007-01-12,9.4470,9.4470,9.2695,9.2695,18800,47.0000,0
2007-01-15,9.2695,9.2695,9.2695,9.2695,27800,47.0000,0
2007-01-16,9.2695,9.2695,9.0920,9.0920,6590,46.1000,0
2007-01-17,9.0920,9.1709,9.0920,9.1709,9750,46.5000,0
2007-01-18,8.7765,9.4667,8.7765,9.4667,3010,48.0000,0
2007-01-19,9.4667,9.8611,9.4667,9.4667,15660,48.0000,0
2007-01-22,9.4667,9.4667,9.3681,9.3681,9130,47.5000,0
2007-01-23,9.3681,9.3681,9.2695,9.2695,12950,47.0000,0
2007-01-24,9.4667,9.4667,9.2695,9.3681,8140,47.5000,0
2007-01-25,9.3681,9.3681,9.3681,9.3681,14390,47.5000,0
2007-01-26,9.8217,9.8217,9.6639,9.6639,17250,49.0000,0
2007-01-29,9.6639,9.6639,9.6639,9.6639,12960,49.0000,0
2007-01-30,9.6639,9.6639,9.6639,9.6639,9530,49.0000,0
2007-01-31,9.5653,9.6442,9.5653,9.6442,17720,48.9000,0
2007-02-01,9.5653,9.5653,9.5653,9.5653,10350,48.5000,0
2007-02-02,9.6660,9.6660,9.6660,9.6759,1300,48.0000,0
2007-02-05,9.4743,9.4743,9.2929,9.4744,23280,47.0000,0
2007-02-06,9.3736,9.3736,9.2728,9.3736,27100,46.5000,0
2007-02-07,9.7768,9.7768,9.4744,9.7767,37950,48.5000,0
2007-02-08,9.7767,10.0791,9.7767,9.7767,61120,48.5000,0
2007-02-09,9.6759,9.8775,9.6759,9.6759,31900,48.0000,0
2007-02-12,9.5751,9.6759,9.5751,9.6759,19530,48.0000,0
2007-02-13,9.7767,9.7767,9.7767,9.7767,41270,48.5000,0
2007-02-14,10.1799,10.1799,9.8775,10.1799,70240,50.5000,0
2007-02-15,10.6839,10.6839,10.4823,10.6838,27230,53.0000,0
2007-02-26,11.1878,11.1878,11.1878,11.1878,35900,55.5000,0
2007-02-27,11.6918,11.6918,11.6918,11.6918,16960,58.0000,0
2007-02-28,12.1958,12.1958,12.1958,12.1957,19400,60.5000,0
2007-03-01,12.8004,12.8004,12.8004,12.8005,58180,63.5000,0
2007-03-02,13.4052,13.4052,13.4052,13.4052,27600,66.5000,0
2007-03-05,14.0099,14.0099,14.0099,14.0100,16200,69.5000,0
2007-03-06,14.6147,14.6147,14.6147,14.6147,13750,72.5000,0
2007-03-07,15.3202,15.3202,15.3202,15.3202,20250,76.0000,0
2007-03-08,15.3202,15.3202,14.7155,14.9171,163130,74.0000,0
2007-03-09,15.5218,15.6226,15.5218,15.6226,62580,77.5000,0
2007-03-12,16.3281,16.3281,16.3281,16.3281,92860,81.0000,0
2007-03-13,16.3281,16.5297,16.3281,16.3281,79490,81.0000,0
2007-03-14,15.5218,16.3281,15.5218,15.5218,17650,77.0000,0
2007-03-15,14.8163,14.8163,14.8163,14.8163,10050,73.5000,0
2007-03-16,14.1108,14.8163,14.1108,14.8163,98740,73.5000,0
2007-03-19,15.5218,15.5218,15.5218,15.5218,17800,77.0000,0
2007-03-20,16.2273,16.2273,16.2273,16.2274,55950,80.5000,0
2007-03-21,17.0337,17.0337,16.8321,16.8321,177100,83.5000,0
2007-03-22,16.0258,16.0258,16.0258,16.0258,45280,79.5000,0
2007-03-23,15.4211,15.9250,15.4211,15.9250,42990,79.0000,0
2007-03-26,15.2195,15.2195,15.2195,15.2194,28410,75.5000,0
