date,open,high,low,close,volume,unadjusted,putthrough
2010-02-02,5.7860,5.7860,5.7860,5.7860,10,13.0000,0
2010-02-08,5.2519,5.2519,5.2519,5.2519,500,11.8000,0
2010-02-22,5.6970,5.6970,5.6970,5.6970,10,12.8000,0
2010-02-23,5.5635,5.5635,5.3409,5.3409,1800,12.0000,0
2010-02-24,5.2519,5.2519,4.9848,4.9848,300,11.2000,0
2010-02-25,4.6287,4.6287,4.5842,4.5843,1000,10.3000,0
2010-02-26,4.1837,4.1837,4.1837,4.1837,860,9.4000,0
2010-03-04,3.7831,3.7831,3.7831,3.7831,400,8.5000,0
2010-03-05,4.0056,4.1392,4.0056,4.1392,1150,9.3000,0
2010-03-10,3.6051,3.6496,3.6051,3.6496,1020,8.2000,0
2010-03-11,3.3826,3.3826,3.2935,3.2936,1200,7.4000,0
2010-03-12,3.3381,3.3381,3.3381,3.3381,500,7.5000,0
2010-03-15,3.6497,3.6497,3.3381,3.3381,1200,7.5000,0
2010-03-16,3.6942,3.6942,3.6942,3.6941,200,8.3000,0
2010-03-18,4.0502,4.0502,3.7831,3.7831,5320,8.5000,0
2010-03-19,4.1392,4.1392,3.5606,3.5606,1600,8.0000,0
2010-03-22,3.7831,3.9612,3.7831,3.9612,3000,8.9000,0
2010-03-23,4.2728,4.2728,4.2728,4.2727,120,9.6000,0
2010-03-25,3.9611,3.9611,3.8721,3.8721,9500,8.7000,0
2010-03-29,4.2728,4.2728,4.2728,4.2727,4000,9.6000,0
2010-03-31,3.8721,3.8721,3.8721,3.8721,10,8.7000,0
2010-04-01,4.2282,4.2282,4.2282,4.2282,2010,9.5000,0
2010-04-02,3.8276,3.8276,3.8276,3.8276,10,8.6000,0
2010-04-05,4.0056,4.0056,4.0056,4.0057,20,9.0000,0
2010-04-06,4.2282,4.4063,4.2282,4.4062,2050,9.9000,0
2010-04-07,4.0056,4.0056,4.0056,4.0057,10,9.0000,0
2010-04-08,3.6051,3.6051,3.6051,3.6051,20,8.1000,0
2010-04-13,3.9612,3.9612,3.2935,3.2936,20,7.4000,0
2010-04-14,3.3826,3.3826,3.3826,3.3826,10,7.6000,0
2010-04-16,3.6942,3.6942,3.6942,3.6941,10,8.3000,0
2010-04-20,4.0502,4.0502,4.0502,4.0502,280,9.1000,0
2010-04-21,4.2282,4.4508,4.0502,4.4507,8300,10.0000,0
2010-04-22,4.4062,4.4062,4.4062,4.4062,500,9.9000,0
2010-04-27,3.6051,3.6051,3.6051,3.6051,10,8.1000,0
2010-04-28,3.9612,3.9612,3.7831,3.7831,210,8.5000,0
2010-04-29,4.3172,4.3172,4.3172,4.3172,4550,9.7000,0
2010-05-04,4.4507,4.6733,4.4507,4.6733,10000,10.5000,0
2010-05-05,5.0294,5.0294,4.6733,4.6733,1010,10.5000,0
2010-05-06,4.7623,5.1184,4.7623,5.1184,10030,11.5000,0
2010-05-07,4.8959,5.4300,4.8959,5.4299,7350,12.2000,0
2010-05-10,5.7860,5.7860,5.5634,5.6970,13770,12.8000,0
2010-05-11,5.7860,5.8750,5.6970,5.7415,33020,12.9000,0
2010-05-12,5.2074,5.3409,5.2074,5.2074,3520,11.7000,0
2010-05-13,4.7623,5.2074,4.7623,5.2074,2000,11.7000,0
2010-05-14,5.4744,5.4744,4.8958,4.8958,2260,11.0000,0
2010-05-17,4.9403,4.9403,4.8958,4.8958,7000,11.0000,0
2010-05-18,4.9403,4.9403,4.9403,4.9403,3020,11.1000,0
2010-05-19,4.9848,4.9848,4.8958,4.9403,10710,11.1000,0
2010-05-20,4.9403,4.9848,4.9403,4.9848,7850,11.2000,0
2010-05-21,4.9403,4.9403,4.6733,4.6733,4050,10.5000,0
2010-05-24,4.8068,4.8958,4.8068,4.8958,3300,11.0000,0
2010-06-02,4.8513,4.8513,4.8513,4.8513,900,10.9000,0
2010-06-03,4.8958,4.8958,4.8958,4.8958,2200,11.0000,0
2010-06-04,5.2519,5.2519,5.2519,5.2519,200,11.8000,0
2010-06-07,4.9849,5.1184,4.9849,5.1184,10400,11.5000,0
2010-06-08,4.6733,4.6733,4.6733,4.6733,1000,10.5000,0
2010-06-09,4.6733,4.8958,4.6733,4.6733,1200,10.5000,0
2010-06-10,4.6733,4.6733,4.6733,4.6733,2000,10.5000,0
2010-06-11,4.6733,4.7178,4.6733,4.7178,2100,10.6000,0
2010-06-16,4.6733,4.6733,4.6733,4.6733,2000,10.5000,0
2010-06-22,4.8068,4.8068,4.8068,4.8068,600,10.8000,0
2010-06-23,4.8958,4.8958,4.8958,4.8958,2000,11.0000,0
2010-06-24,4.8068,4.8068,4.8068,4.8068,2350,10.8000,0
2010-06-28,4.8958,4.8958,4.8513,4.8513,3000,10.9000,0
2010-06-30,4.8958,4.8958,4.8958,4.8958,200,11.0000,0
2010-07-01,4.8958,4.8958,4.8958,4.8958,2000,11.0000,0
2010-07-02,4.8958,5.3854,4.8958,5.3854,35370,12.1000,0
2010-07-05,5.2519,5.6970,5.2519,5.6970,40110,12.8000,0
2010-07-06,6.1866,6.1866,6.1866,6.1865,71300,13.9000,0
2010-07-07,6.5871,6.5871,6.2310,6.2310,11400,14.0000,0
2010-07-08,6.2310,6.2310,5.6969,5.7860,392400,13.0000,0
2010-07-09,6.3646,6.3646,6.0085,6.0085,1010,13.5000,0
2010-07-12,5.6969,6.5871,5.6524,5.6524,6190,12.7000,0
2010-07-13,5.5634,6.7206,5.5634,6.2310,158300,14.0000,0
2010-07-14,6.8986,7.2102,6.1420,6.5426,1063100,14.7000,0
2010-07-15,7.1212,7.6998,6.3646,6.8987,44300,15.5000,0
2010-07-16,6.6317,6.6762,6.6317,6.6316,34610,14.9000,0
2010-07-19,6.8096,6.8096,6.0530,6.0975,15100,13.7000,0
2010-07-20,5.7859,5.7859,5.7414,5.7415,30700,12.9000,0
2010-07-21,5.7415,5.7415,5.4299,5.5189,6100,12.4000,0
2010-07-22,5.3409,5.3854,5.1183,5.3854,22500,12.1000,0
2010-07-23,5.7415,5.7860,5.4299,5.5189,17200,12.4000,0
2010-07-26,5.7414,5.9640,5.5634,5.7415,75000,12.9000,0
2010-07-27,5.3409,5.3409,5.3409,5.3409,7500,12.0000,0
2010-07-28,5.1629,5.3409,5.1629,5.2519,3200,11.8000,0
2010-07-29,5.6970,5.6970,4.9849,5.2519,10000,11.8000,0
2010-07-30,5.3409,5.5635,5.3409,5.3409,4000,12.0000,0
2010-08-02,5.7860,5.8305,5.1184,5.1184,12200,11.5000,0
2010-08-03,5.3409,5.3409,5.3409,5.3409,9000,12.0000,0
2010-08-04,5.7415,5.7415,4.8958,5.1184,3300,11.5000,0
2010-08-05,4.9849,5.3409,4.9849,5.3409,92500,12.0000,0
2010-08-06,4.7178,5.1629,4.7178,5.1629,2500,11.6000,0
2010-08-09,4.8959,4.8959,4.6733,4.7623,8300,10.7000,0
2010-08-10,4.8958,4.8958,4.6733,4.6733,9300,10.5000,0
2010-08-11,4.7178,4.7623,4.6733,4.7623,11400,10.7000,0
2010-08-13,4.8513,4.8513,4.8513,4.8513,1500,10.9000,0
2010-08-16,5.1183,5.2074,5.1183,5.2074,4200,11.7000,0
2010-08-17,4.8958,4.8958,4.6733,4.6733,6900,10.5000,0
2010-08-18,4.8068,4.8068,4.6733,4.8068,2500,10.8000,0
2010-08-19,4.3617,4.6733,4.3617,4.6733,8400,10.5000,0
2010-08-20,4.8068,4.8068,4.8068,4.8068,3000,10.8000,0
2010-08-23,4.4952,4.4952,4.4952,4.4953,2000,10.1000,0
2010-08-24,4.2283,4.2728,4.2283,4.2282,48900,9.5000,0
2010-08-25,3.8721,4.4952,3.8276,4.4953,800,10.1000,0
2010-08-26,4.2283,4.5843,4.2283,4.5843,6000,10.3000,0
2010-08-27,4.7178,4.7178,4.3173,4.3172,1100,9.7000,0
