date,open,high,low,close,volume,unadjusted,putthrough
2016-12-19,8.6782,8.6782,8.6782,8.6782,100,20.0000,0
2016-12-23,9.9799,9.9799,9.9799,9.9800,100,23.0000,0
2016-12-26,11.4553,11.4553,11.4553,11.4553,100,26.4000,0
2016-12-27,13.1476,13.1476,13.1476,13.1475,600,30.3000,0
2016-12-28,15.1001,15.1001,13.1475,13.1475,2500,30.3000,0
2016-12-29,16.4452,16.4452,16.2717,16.2717,3700,37.5000,0
2016-12-30,16.2717,18.6582,16.2717,16.2717,1300,37.5000,0
2017-01-03,16.2717,16.2717,15.3171,15.3171,1700,35.3000,0
2017-01-04,13.8852,13.8852,13.4513,13.4513,8900,31.0000,0
2017-01-05,15.5341,15.5341,15.5341,15.5341,100,35.8000,0
2017-01-06,13.4513,13.8852,13.2344,13.8852,5200,32.0000,0
2017-01-09,13.3645,13.3645,13.3645,13.3645,6000,30.8000,0
2017-01-10,13.0174,13.8852,13.0174,13.7984,10100,31.8000,0
2017-01-11,13.7550,13.7550,13.2343,13.2343,3600,30.5000,0
2017-01-12,13.2343,13.4513,13.2343,13.4513,8531,31.0000,0
2017-01-13,13.4513,13.6683,13.4513,13.6682,3200,31.5000,0
2017-01-16,13.6682,13.8852,13.4512,13.4513,7100,31.0000,0
2017-01-17,13.4947,14.3191,13.3645,14.3191,20000,33.0000,0
2017-01-18,14.3191,14.3191,14.3191,14.3191,2600,33.0000,0
2017-01-19,14.3191,15.1869,14.3191,15.1869,10600,35.0000,0
2017-01-20,15.6208,17.3998,15.6208,17.3999,18700,40.1000,0
2017-01-23,18.2243,18.2243,16.9226,16.9226,3500,39.0000,0
2017-01-24,16.4887,16.6189,16.4887,16.6188,2000,38.3000,0
2017-01-25,16.6622,17.7904,16.6622,17.7904,12400,41.0000,0
2017-02-02,18.2243,19.6128,18.2243,18.6582,36200,43.0000,0
2017-02-03,18.8752,18.9619,18.4846,18.9620,10700,43.7000,0
2017-02-06,18.9186,18.9186,18.9186,18.9186,5100,43.6000,0
2017-02-07,18.9620,19.0922,18.9620,19.0921,82119,44.0000,0
2017-02-08,19.3091,20.6108,19.3091,20.6108,55700,47.5000,0
2017-02-09,21.4786,22.9539,21.4786,21.9126,39000,50.5000,0
2017-02-10,21.8258,21.8258,20.8278,21.3485,41400,49.2000,0
2017-02-13,21.6956,22.9974,21.2617,22.1295,128600,51.0000,0
2017-02-14,22.1295,22.3898,21.8258,22.1295,87019,51.0000,0
2017-02-15,21.9559,22.1295,21.4786,21.5220,39700,49.6000,0
2017-02-16,21.3050,21.3050,20.3938,20.5674,109800,47.4000,0
2017-02-17,20.3938,20.3938,19.5260,20.2637,98600,46.7000,0
2017-02-20,20.0034,21.5654,20.0034,21.5220,88300,49.6000,0
2017-02-21,21.4352,21.8257,21.0881,21.7824,51900,50.2000,0
2017-02-22,21.8692,22.3465,21.6956,21.9993,83100,50.7000,0
2017-02-23,21.9993,22.0427,21.6956,22.0427,36900,50.8000,0
2017-02-24,22.0861,22.0861,21.6088,21.6956,45100,50.0000,0
2017-02-27,21.6956,21.6956,21.1315,21.4353,39900,49.4000,0
2017-02-28,21.2617,21.3485,21.0448,21.0447,69919,48.5000,0
2017-03-01,21.1749,21.1749,20.6976,21.0881,50000,48.6000,0
2017-03-02,21.0447,21.7824,21.0447,21.6088,115600,49.8000,0
2017-03-03,21.5220,21.5220,21.1315,21.2617,59000,49.0000,0
2017-03-06,21.2617,21.5654,21.0881,21.2617,77200,49.0000,0
2017-03-07,21.3051,21.3919,21.1749,21.1749,60300,48.8000,0
2017-03-08,21.2617,21.3485,21.0447,21.0881,54900,48.6000,0
2017-03-09,21.0881,22.7804,20.9579,22.4333,337300,51.7000,0
2017-03-10,22.5635,24.2123,22.4333,23.8652,195831,55.0000,0
2017-03-13,23.5181,24.6462,23.5181,23.8218,186400,54.9000,0
2017-03-14,23.8218,24.0821,23.3011,23.9519,148800,55.2000,0
2017-03-15,23.6048,24.9499,23.6048,24.7330,216100,57.0000,0
2017-03-16,24.7330,24.9500,24.3425,24.6028,90600,56.7000,10000
2017-03-17,24.6028,24.6028,24.1689,24.2557,136600,55.9000,0
2017-03-20,24.2557,24.9066,23.9954,24.7330,163900,57.0000,0
2017-03-21,24.8632,24.8632,24.0821,24.2991,171900,56.0000,0
2017-03-22,24.0821,24.1255,22.4333,22.5634,182300,52.0000,4000
2017-03-23,22.9539,22.9973,21.6088,21.9126,157100,50.5000,0
2017-03-24,21.9126,22.5201,21.9126,22.3899,88770,51.6000,40
2017-03-27,22.3031,22.3031,21.9126,21.9126,111850,50.5000,0
2017-03-28,21.9126,22.2163,21.2617,22.1295,211100,51.0000,0
2017-03-29,21.7390,21.7390,21.3485,21.3919,80850,49.3000,0
2017-03-30,22.1296,22.1296,20.9146,21.6956,71232,50.0000,0
2017-03-31,21.9126,22.2163,21.8692,22.0861,83220,50.9000,0
2017-04-03,22.0861,22.1295,21.3918,21.3919,52300,49.3000,0
2017-04-04,21.3919,21.6522,21.1749,21.4786,68900,49.5000,58800
2017-04-05,21.0881,21.3484,21.0447,21.0447,39207,48.5000,0
2017-04-07,21.0447,21.1749,20.6108,20.6542,62600,47.6000,0
2017-04-10,21.0447,21.2617,20.7410,20.7844,29030,47.9000,19
2017-04-11,20.8278,21.0447,20.8278,20.8278,84900,48.0000,0
2017-04-12,20.8712,20.9580,20.8278,20.8712,28900,48.1000,17
2017-04-13,20.8278,21.2617,20.8278,21.0447,17100,48.5000,0
2017-04-14,21.0447,21.2183,20.9579,21.2183,14025,48.9000,0
2017-04-17,21.0447,22.3031,21.0447,21.2617,35600,49.0000,0
2017-04-18,21.2617,21.2617,20.7844,20.8712,58205,48.1000,0
2017-04-19,20.8712,21.4353,20.8278,21.2617,12500,49.0000,0
2017-04-20,21.0447,21.3919,20.9146,21.2617,22700,49.0000,0
2017-04-21,21.6956,22.1295,21.6522,21.9126,127230,50.5000,0
2017-04-24,21.9994,22.5635,21.9560,22.3031,46320,51.4000,0
2017-04-25,22.2163,22.2597,21.7390,22.1295,21400,51.0000,0
2017-04-26,21.7390,22.0861,21.4786,22.0427,39700,50.8000,0
2017-04-27,21.6956,22.1295,21.6956,22.1295,89100,51.0000,0
2017-04-28,21.6956,22.1729,21.6956,22.1295,16700,51.0000,0
2017-05-03,21.9125,22.0861,21.8258,22.0861,36800,50.9000,0
2017-05-04,21.9125,22.0861,21.8691,22.0427,36503,50.8000,0
2017-05-05,22.0427,22.5634,21.9125,21.9126,83200,50.5000,0
2017-05-08,22.0862,22.1296,21.4787,21.7390,42600,50.1000,0
2017-05-09,21.5220,22.0861,21.3919,21.9126,41101,50.5000,0
2017-05-10,21.6956,21.7390,21.4353,21.4353,41200,49.4000,0
2017-05-11,21.5221,22.0862,21.5221,21.6956,49920,50.0000,0
2017-05-12,21.9559,21.9559,21.6956,21.8258,32200,50.3000,0
2017-05-15,21.7824,21.8258,21.4787,21.7824,25420,50.2000,0
2017-05-16,21.6522,21.6956,21.5221,21.5654,21710,49.7000,0
2017-05-17,21.6088,21.6088,21.2617,21.6088,29210,49.8000,0
2017-05-18,21.4786,21.4786,21.2183,21.2183,23100,48.9000,0
2017-05-19,21.1749,21.4786,21.1749,21.4786,7200,49.5000,0
2017-05-22,21.2616,21.4352,21.2616,21.4353,11800,49.4000,0
2017-05-23,21.3485,21.3485,21.1750,21.1749,23500,48.8000,0
2017-05-24,21.0362,21.0362,20.1115,20.1115,48610,43.5000,0
2017-05-25,20.3427,20.3427,19.6492,19.6492,110100,42.5000,0
2017-05-26,19.8804,20.0191,19.7879,19.9266,76310,43.1000,0
2017-05-29,20.2502,21.0362,19.8804,21.0362,20520,45.5000,0
2017-05-30,20.8050,21.4523,20.6201,21.2673,45210,46.0000,0
2017-05-31,21.4060,21.4060,20.8050,21.2211,29100,45.9000,0
2017-06-01,20.5738,21.2673,20.4351,21.0362,14600,45.5000,0
2017-06-02,20.7126,21.0362,20.7126,20.8512,13800,45.1000,0
2017-06-05,20.8512,21.1748,20.8512,21.1749,13600,45.8000,0
2017-06-06,20.9900,22.6544,20.9900,22.3307,60730,48.3000,0
2017-06-07,22.2382,22.8393,22.1920,22.6543,66001,49.0000,0
2017-06-08,21.9146,22.8392,21.9146,22.1920,18700,48.0000,0
2017-06-09,22.3769,22.4232,22.1920,22.1920,8400,48.0000,0
2017-06-12,22.1920,22.3307,21.9608,21.9608,11100,47.5000,0
2017-06-13,21.4060,21.4060,21.2673,21.3598,16300,46.2000,0
2017-06-14,20.9437,21.7297,20.9437,21.2673,21500,46.0000,0
2017-06-15,21.2673,21.3598,21.2673,21.3136,12100,46.1000,0
2017-06-16,21.3598,21.4523,21.3598,21.4523,3900,46.4000,0
2017-06-19,21.4523,21.4523,21.2674,21.3136,21031,46.1000,0
2017-06-20,20.9900,21.1287,20.9900,21.0362,10200,45.5000,0
2017-06-21,21.0362,21.1749,20.9437,21.0362,10000,45.5000,0
2017-06-22,21.0362,21.0362,20.6201,20.8050,33300,45.0000,0
2017-06-23,20.8050,20.9899,20.7125,20.8050,28410,45.0000,0
2017-06-26,20.8050,20.8050,20.8050,20.8050,23000,45.0000,0
2017-06-27,20.8050,20.8050,20.7588,20.8050,13300,45.0000,0
2017-06-28,20.7588,20.8050,20.7125,20.7588,10600,44.9000,0
2017-06-29,20.7588,21.2674,20.6663,21.2673,5600,46.0000,0
2017-06-30,20.8050,20.8512,20.7587,20.7588,19300,44.9000,0
2017-07-03,20.8050,20.9900,20.6663,20.8050,18700,45.0000,0
