date,open,high,low,close,volume,unadjusted,putthrough
2019-06-19,21.4025,21.4025,21.4025,21.4025,100,23.4000,0
2019-06-20,23.5062,23.5062,23.5062,23.5062,100,25.7000,0
2019-06-21,25.7928,25.7928,25.7928,25.7928,100,28.2000,0
2019-06-24,28.3538,28.3538,28.3538,28.3538,1100,31.0000,0
2019-06-25,31.1892,31.1892,31.1892,31.1891,1100,34.1000,0
2019-06-26,34.2989,34.2989,34.2989,34.2989,400,37.5000,0
2019-06-27,37.6831,37.6831,35.6709,35.6708,4600,39.0000,0
2019-06-28,39.2379,39.2379,33.7501,33.7501,700,36.9000,0
2019-07-01,32.9269,32.9269,32.1038,32.1038,2500,35.1000,0
2019-07-02,30.1831,31.5550,30.1831,31.5550,2200,34.5000,0
2019-07-03,30.1830,30.1830,30.0916,30.0916,500,32.9000,0
2019-07-04,30.1831,31.0062,30.1831,31.0062,5727,33.9000,0
2019-07-05,31.0977,31.0977,30.1830,31.0977,2500,34.0000,0
2019-07-08,30.1831,30.3660,30.1831,30.3660,1200,33.2000,0
2019-07-09,29.3599,29.3599,29.2684,29.2684,1100,32.0000,0
2019-07-10,29.2684,29.2684,28.8111,29.2684,1400,32.0000,0
2019-07-11,29.2684,29.2684,28.3538,28.3538,5300,31.0000,0
2019-07-12,27.8965,27.8965,27.4392,27.4391,4500,30.0000,0
2019-07-15,27.0732,27.0732,26.0671,26.0672,14000,28.5000,0
2019-07-16,26.9818,26.9818,26.2501,26.2501,2000,28.7000,0
2019-07-17,26.1586,26.9818,26.1586,26.9818,2700,29.5000,0
2019-07-18,26.9818,26.9818,26.9818,26.9818,1000,29.5000,0
2019-07-19,26.9818,27.8964,26.9818,27.8964,2500,30.5000,0
2019-07-22,28.8110,28.8110,27.5305,27.5306,2700,30.1000,0
2019-07-23,28.0794,28.3538,27.9879,27.9879,6500,30.6000,0
2019-07-24,27.4391,27.4391,27.1647,27.1647,20000,29.7000,0
2019-07-25,27.4391,27.4391,27.4391,27.4391,1000,30.0000,0
2019-07-26,27.4391,28.3537,27.4391,28.3538,1500,31.0000,0
2019-07-29,28.4453,28.4453,28.4453,28.4452,500,31.1000,0
2019-07-30,27.4391,28.1708,27.4391,28.1708,10800,30.8000,0
2019-07-31,27.4391,27.8964,27.4391,27.8964,4300,30.5000,0
2019-08-01,27.4391,27.8964,27.4391,27.8964,2200,30.5000,0
2019-08-02,27.8964,27.8964,27.4391,27.4391,9700,30.0000,0
2019-08-05,27.4391,27.4391,27.4391,27.4391,4300,30.0000,0
2019-08-07,27.8964,27.8964,27.4391,27.4391,8000,30.0000,0
2019-08-08,26.9818,26.9818,26.9818,26.9818,200,29.5000,0
2019-08-09,27.8964,27.8964,27.4391,27.4391,3000,30.0000,0
2019-08-12,27.4391,27.4391,27.0732,27.4391,6000,30.0000,0
2019-08-13,27.4391,27.4391,26.9818,26.9818,6000,29.5000,0
2019-08-14,26.9818,27.4391,26.9818,27.1647,9900,29.7000,0
2019-08-16,27.4391,27.8964,27.4391,27.8964,19100,30.5000,0
2019-08-19,27.4391,27.5305,27.4391,27.5306,3500,30.1000,0
2019-08-20,27.4391,27.7135,27.4391,27.7135,36500,30.3000,0
2019-08-21,27.5306,27.6220,27.4391,27.6220,10300,30.2000,0
2019-08-22,27.6220,27.6220,27.5305,27.6220,15000,30.2000,0
2019-08-23,27.6220,27.6220,27.0732,27.0733,3100,29.6000,0
2019-08-26,27.1648,27.6221,27.1648,27.2562,6100,29.8000,0
2019-08-27,27.4391,27.8964,27.4391,27.5306,12500,30.1000,0
2019-08-28,27.5306,27.6221,27.4391,27.4391,12100,30.0000,0
2019-08-29,27.4391,27.5306,27.3476,27.3477,26900,29.9000,0
2019-08-30,27.4392,27.5306,27.3477,27.3477,7000,29.9000,0
2019-09-03,27.5306,27.5306,27.4392,27.4391,33400,30.0000,0
