date,open,high,low,close,volume,unadjusted,putthrough
2007-12-21,13.9243,14.2408,13.0277,14.2408,253280,270.0000,0
2007-12-24,14.9265,14.9265,14.8737,14.9264,46600,283.0000,0
2007-12-25,15.6648,15.6648,15.2956,15.6648,108430,297.0000,0
2007-12-26,15.2429,15.7175,15.1901,15.6121,118370,296.0000,0
2007-12-27,15.7703,15.7703,15.0847,15.6121,109040,296.0000,0
2007-12-28,15.5594,15.5594,15.4011,15.5066,50930,294.0000,0
2008-01-02,15.4011,15.4011,15.1901,15.1901,27400,288.0000,0
2008-01-03,14.9264,14.9264,14.6627,14.6627,92650,278.0000,0
2008-01-04,14.6627,14.8737,14.6627,14.6627,42980,278.0000,0
2008-01-07,14.6627,14.6627,14.1353,14.2408,58040,270.0000,0
2008-01-08,14.6100,14.6627,14.3463,14.3462,47960,272.0000,0
2008-01-09,14.3462,14.3462,14.0297,14.0825,44220,267.0000,0
2008-01-10,13.8188,13.8715,13.6606,13.6606,109530,259.0000,0
2008-01-11,13.8188,13.9243,13.7133,13.7133,49130,260.0000,0
2008-01-14,13.7133,13.7133,13.3441,13.3441,38030,253.0000,0
2008-01-15,13.3441,13.3441,12.8694,12.8694,120580,244.0000,0
2008-01-16,13.5023,13.5023,13.3441,13.5023,51700,256.0000,0
2008-01-17,13.7660,13.7660,13.4496,13.6078,81270,258.0000,0
2008-01-18,13.7133,14.2407,13.7133,14.2408,77540,270.0000,0
2008-01-21,14.0298,14.5573,14.0298,14.3990,114500,273.0000,0
2008-01-22,14.1353,14.2408,14.0825,14.0825,67410,267.0000,0
2008-01-23,14.0825,14.0825,13.6606,13.6606,90840,259.0000,0
2008-01-24,13.7133,14.1353,13.7133,13.8188,79670,262.0000,0
2008-01-25,13.9770,14.3990,13.9770,14.3990,94690,273.0000,0
2008-01-28,14.6100,15.0319,14.3990,15.0319,107440,285.0000,0
2008-01-29,15.0319,15.7703,14.8737,15.7703,177500,299.0000,0
2008-01-30,16.5087,16.5087,16.4032,16.5087,140470,313.0000,0
2008-01-31,15.8230,16.2977,15.7175,16.2450,174260,308.0000,0
2008-02-01,16.4560,16.4560,15.8231,15.8231,91890,300.0000,0
2008-02-12,15.8231,15.8231,15.1374,15.1374,47250,287.0000,0
2008-02-13,15.1374,15.1374,14.5572,14.7154,40240,279.0000,0
