date,open,high,low,close,volume,unadjusted,putthrough
2006-12-11,8.2784,8.8697,8.2784,8.5918,40100,145.3000,0
2006-12-12,8.8697,8.9880,8.8697,8.8697,60300,150.0000,0
2006-12-13,8.7514,8.9288,8.7514,8.8815,90000,150.2000,28400
2006-12-14,8.8697,8.9879,8.8697,8.9465,93700,151.3000,0
2006-12-15,8.9879,9.0470,8.8696,9.0471,77100,153.0000,0
2006-12-18,8.9880,9.1062,8.9880,9.0116,54100,152.4000,0
2006-12-19,8.9288,9.1062,8.9288,9.1062,55200,154.0000,0
2006-12-20,9.0471,9.1949,8.9879,9.1062,94900,154.0000,0
2006-12-21,8.9879,9.0471,8.8697,8.9288,71100,151.0000,0
2006-12-22,8.8697,8.8697,8.1010,8.2192,88300,139.0000,0
2006-12-25,8.5740,8.6922,8.5149,8.5740,60100,145.0000,0
2006-12-26,8.6331,8.7514,8.2783,8.5208,29100,144.1000,0
2006-12-27,8.8697,8.8697,8.5740,8.5740,14500,145.0000,0
2006-12-28,8.6331,8.6923,8.5149,8.6095,48500,145.6000,29000
2006-12-29,8.6923,8.7514,8.6450,8.6923,36800,147.0000,0
2007-01-02,8.6332,8.6805,8.5149,8.6332,35300,146.0000,0
2007-01-03,8.6036,8.6923,8.5800,8.6272,23500,145.9000,0
2007-01-04,8.6331,8.8696,8.6272,8.8697,32100,150.0000,0
2007-01-05,9.5793,9.5793,9.0471,9.5260,92600,161.1000,0
2007-01-08,9.5792,10.0523,9.4314,9.5024,30600,160.7000,0
2007-01-09,9.5734,10.4071,9.5734,10.4071,97100,176.0000,0
2007-01-10,11.1876,11.1876,10.5254,11.1876,57300,189.2000,0
2007-01-11,11.8558,11.8558,11.2349,11.5897,95500,196.0000,30000
2007-01-12,11.6666,12.6245,11.5601,11.9445,129300,202.0000,0
2007-01-15,13.0089,13.4405,13.0089,13.3045,103900,225.0000,50300
2007-01-16,14.6941,14.6941,12.9497,13.3636,63400,226.0000,0
2007-01-17,12.2874,12.4175,12.2874,12.2875,26800,207.8000,0
2007-01-18,11.0635,12.1219,11.0635,12.1219,114300,205.0000,0
2007-01-19,12.0036,12.7250,11.8262,12.7250,70800,215.2000,0
2007-01-22,11.8262,12.8906,11.7079,12.4116,47700,209.9000,5000
2007-01-23,12.2993,13.0088,12.1219,12.2402,18900,207.0000,0
2007-01-24,12.1338,12.2993,12.0628,12.0628,21500,204.0000,0
2007-01-25,12.1219,12.4767,11.7671,12.4767,84500,211.0000,0
2007-01-26,11.9445,12.2402,11.9150,12.2402,23500,207.0000,0
