date,open,high,low,close,volume,unadjusted,putthrough
2016-12-28,45.2853,45.2853,45.2853,45.2853,7232660,60.0000,0
2016-12-29,45.6627,46.4929,43.7003,45.3608,3217540,60.1000,2950000
2016-12-30,45.2853,45.3608,44.0777,45.3608,2391160,60.1000,0
2017-01-03,45.2853,45.2853,44.5306,44.5305,520260,59.0000,20000
2017-01-04,44.5305,44.9079,44.5305,44.8324,1056370,59.4000,0
2017-01-05,44.7569,44.8324,44.5305,44.6060,637040,59.1000,0
2017-01-06,44.5305,44.6815,44.3796,44.6815,787010,59.2000,105667
2017-01-09,44.6060,44.7570,44.3041,44.7569,1110630,59.3000,1300000
2017-01-10,44.6814,44.6814,44.4550,44.5305,802560,59.0000,1300000
2017-01-11,44.4550,44.6060,44.3041,44.6060,1077670,59.1000,1400000
2017-01-12,44.5305,44.6060,44.3041,44.3796,904360,58.8000,0
2017-01-13,44.3796,44.5306,44.1532,44.5305,967870,59.0000,0
2017-01-16,44.4550,44.6815,44.3041,44.6815,1332640,59.2000,0
2017-01-17,44.6060,44.6815,44.3796,44.3796,1127570,58.8000,0
2017-01-18,44.3041,44.5306,44.3041,44.4550,1179580,58.9000,0
2017-01-19,44.3795,44.5305,43.7757,43.8512,1368300,58.1000,520000
2017-01-20,43.8512,44.1531,43.7002,43.9267,975810,58.2000,0
2017-01-23,43.9267,44.0777,43.6248,43.6248,1087390,57.8000,0
2017-01-24,43.6248,43.9267,43.4738,43.7003,1201640,57.9000,0
2017-01-25,43.7758,45.7381,43.7758,45.7381,1636490,60.6000,0
2017-02-02,45.8136,45.9645,45.5871,45.9646,1363250,60.9000,0
2017-02-03,45.8891,45.9646,45.5117,45.9646,1185700,60.9000,0
2017-02-06,45.8891,45.8891,45.2098,45.2098,1119780,59.9000,0
2017-02-07,45.0588,45.1343,44.6815,44.9079,1226190,59.5000,0
2017-02-08,44.9079,45.2853,44.6060,44.6060,1262530,59.1000,0
2017-02-09,44.6060,45.0589,44.3796,44.3796,1679120,58.8000,0
2017-02-10,44.5306,44.9834,44.3796,44.3796,1606250,58.8000,0
2017-02-13,44.4551,44.9079,44.4551,44.6815,1257830,59.2000,0
2017-02-14,44.6815,44.9834,44.6815,44.6815,1291960,59.2000,0
2017-02-15,44.6815,45.2853,44.6815,44.9079,1404110,59.5000,0
2017-02-16,45.1343,45.7381,44.9834,45.5117,1493510,60.3000,0
2017-02-17,45.5117,46.3419,45.5117,45.8891,1384350,60.8000,0
2017-02-20,46.0401,47.9269,46.0401,47.6250,1026640,63.1000,0
2017-02-21,47.9269,50.5685,47.6250,49.8138,876160,66.0000,0
2017-02-22,49.8893,51.3233,49.8138,49.9648,866880,66.2000,0
2017-02-23,49.8893,50.2667,48.9836,49.7383,1538930,65.9000,0
2017-02-24,49.7383,49.7383,48.6816,49.2855,1235090,65.3000,0
2017-02-27,49.1345,50.4931,49.1345,50.1912,1041880,66.5000,0
2017-02-28,50.1912,52.4555,50.1912,50.5686,1508740,67.0000,0
2017-03-01,50.5686,51.9272,50.5686,51.9271,1218430,68.8000,0
2017-03-02,51.9271,52.4554,51.8516,51.9271,1299640,68.8000,0
2017-03-03,51.9271,52.0781,51.1723,52.0026,1150650,68.9000,450000
2017-03-06,51.9271,52.0781,51.5497,52.0026,929730,68.9000,500000
2017-03-07,51.9271,52.8328,51.5497,51.7762,910580,68.6000,92800
2017-03-08,51.7762,51.7762,50.1912,51.3233,1049060,68.0000,0
2017-03-09,51.3233,51.3988,50.9459,51.3233,1011710,68.0000,500000
2017-03-10,51.3233,51.8516,51.2478,51.3233,1068090,68.0000,0
2017-03-13,54.8706,54.8706,52.8328,54.8707,3354340,72.7000,1413800
2017-03-14,54.8707,56.9840,54.7952,56.9840,845370,75.5000,1560000
2017-03-15,57.2104,58.1161,55.1726,55.3235,938030,73.3000,0
2017-03-16,55.0971,55.3235,54.7952,54.7952,1000630,72.6000,3245830
2017-03-17,54.1159,54.3423,51.0214,51.0214,2375730,67.6000,1829420
2017-03-20,51.1724,52.8328,51.1724,51.9271,1155350,68.8000,1505420
2017-03-21,51.9271,52.1535,51.7007,51.8516,690130,68.7000,1614390
2017-03-22,51.7761,51.7761,51.0214,51.0214,637610,67.6000,2086610
2017-03-23,51.0214,51.1724,50.1157,50.4176,563610,66.8000,1000000
2017-03-24,50.4176,52.3045,50.4176,52.0781,1446360,69.0000,730520
2017-03-27,52.0781,52.3045,51.8517,52.1535,532530,69.1000,779780
