date,open,high,low,close,volume,unadjusted,putthrough
2008-10-30,12.5977,12.5977,12.5977,12.5977,600,62.5000,0
2008-10-31,11.9930,11.9930,11.9930,11.9930,250,59.5000,0
2008-11-03,11.4891,11.4891,11.4891,11.4891,360,57.0000,0
2008-11-04,10.9852,10.9852,10.9852,10.9852,900,54.5000,0
2008-11-05,10.4813,10.4813,10.4813,10.4813,2000,52.0000,0
2008-11-06,9.9572,9.9572,9.9572,9.9572,110,49.4000,0
2008-11-07,9.4734,9.4734,9.4734,9.4735,160,47.0000,0
2008-11-10,9.0099,9.0099,9.0099,9.0099,210,44.7000,0
2008-11-11,8.5665,8.5665,8.5665,8.5664,1360,42.5000,0
2008-11-12,8.1431,8.1431,8.1431,8.1431,40,40.4000,0
2008-11-13,7.7400,7.7400,7.7400,7.7400,60,38.4000,0
2008-11-14,7.3570,7.8609,7.3570,7.3570,81310,36.5000,0
2008-11-17,6.9942,7.0143,6.9942,6.9942,25150,34.7000,0
2008-11-18,6.6515,6.6515,6.6515,6.6516,2230,33.0000,0
2008-11-19,6.3291,6.3291,6.3291,6.3291,17200,31.4000,0
2008-11-20,6.0268,6.0268,6.0268,6.0267,5550,29.9000,0
2008-11-21,5.7647,5.7647,5.7445,5.7445,2430,28.5000,0
2008-11-24,5.4623,5.4623,5.4623,5.4624,2300,27.1000,0
2008-11-25,5.2004,5.2004,5.2004,5.2003,1910,25.8000,0
2008-11-26,4.9584,5.4422,4.9584,5.2205,142180,25.9000,0
2008-11-27,5.4019,5.4019,4.9988,5.2003,28420,25.8000,0
2008-11-28,5.4019,5.4019,5.2406,5.2406,35720,26.0000,0
2008-12-01,5.2406,5.2406,4.9786,5.0391,46090,25.0000,0
2008-12-02,4.8174,4.8375,4.7972,4.7972,41810,23.8000,0
2008-12-03,4.7972,4.7972,4.5755,4.5755,65560,22.7000,0
2008-12-04,4.3685,4.6376,4.3685,4.4717,32360,21.6000,0
2008-12-05,4.3475,4.3475,4.2647,4.2854,67760,20.7000,0
2008-12-08,4.1405,4.2854,4.0784,4.1405,13590,20.0000,0
2008-12-09,4.3061,4.3475,4.3061,4.3475,4810,21.0000,0
2008-12-10,4.5545,4.5545,4.5545,4.5546,3810,22.0000,0
2008-12-11,4.7823,4.7823,4.6581,4.7823,154440,23.1000,0
2008-12-12,5.0100,5.0100,5.0100,5.0100,2390,24.2000,0
2008-12-15,5.2584,5.2584,5.2584,5.2584,19000,25.4000,0
2008-12-16,5.5068,5.5068,5.3412,5.5069,233980,26.6000,0
2008-12-17,5.2999,5.6932,5.2999,5.5069,85360,26.6000,0
2008-12-18,5.5069,5.5690,5.3827,5.4034,14520,26.1000,0
2008-12-19,5.3620,5.4862,5.3413,5.4862,35930,26.5000,0
