date,open,high,low,close,volume,unadjusted,putthrough
2006-12-12,3.9011,3.9011,3.9011,3.9011,70840,40.0000,0
2006-12-13,4.0962,4.0962,4.0962,4.0962,83780,42.0000,0
2006-12-14,4.0962,4.3010,4.0962,4.3010,14140,44.1000,0
2006-12-15,4.5156,4.5156,4.5156,4.5155,8000,46.3000,0
2006-12-18,4.7398,4.7398,4.7398,4.7398,34250,48.6000,0
2006-12-19,4.9739,4.9739,4.9739,4.9739,41800,51.0000,0
2006-12-20,5.2177,5.2177,5.2177,5.2177,108950,53.5000,0
2006-12-21,5.2177,5.4615,5.0714,5.0714,116940,52.0000,0
2006-12-22,5.0714,5.0714,4.8178,4.8179,12270,49.4000,0
2006-12-25,4.8179,4.8179,4.5838,4.5838,5680,47.0000,0
2006-12-26,4.8081,4.8081,4.3595,4.8081,83400,49.3000,0
2006-12-27,0.0000,4.9251,4.8764,4.9251,46270,50.5000,0
2006-12-28,4.9251,4.9251,4.8763,4.8764,36400,50.0000,0
2006-12-29,4.8764,4.8764,4.6813,4.8764,36120,50.0000,0
2007-01-02,4.6813,4.7789,4.6521,4.6813,36830,48.0000,0
2007-01-03,4.6813,4.6813,4.6325,4.6813,20330,48.0000,0
2007-01-04,4.8764,4.8764,4.6813,4.8764,125140,50.0000,0
2007-01-05,4.8764,4.8764,4.8764,4.8764,137190,50.0000,0
2007-01-08,4.9252,4.9252,4.8276,4.8276,68960,49.5000,0
2007-01-09,4.8276,4.8569,4.7788,4.8569,56880,49.8000,0
2007-01-10,4.8764,4.8764,4.8764,4.8764,89200,50.0000,0
2007-01-11,4.6813,4.6813,4.6326,4.6326,55530,47.5000,0
2007-01-12,4.6326,4.7301,4.6326,4.7301,64900,48.5000,0
2007-01-15,4.7789,4.7789,4.7789,4.7789,51970,49.0000,0
2007-01-16,4.7789,4.7789,4.6814,4.6813,23540,48.0000,0
2007-01-17,4.5935,4.5935,4.5838,4.5838,32960,47.0000,0
2007-01-18,4.3887,4.3887,4.3692,4.3887,62010,45.0000,0
2007-01-19,4.5838,4.5838,4.4862,4.5838,67070,47.0000,0
2007-01-22,4.5643,4.5838,4.4863,4.4863,35150,46.0000,0
2007-01-23,4.5838,4.6521,4.5838,4.6521,46780,47.7000,0
2007-01-24,4.6326,4.6521,4.6326,4.6326,36360,47.5000,0
2007-01-25,4.6326,4.6326,4.5838,4.5838,13750,47.0000,0
2007-01-26,0.0000,4.5838,4.4863,4.4863,22400,46.0000,0
2007-01-29,4.5838,4.5838,4.4863,4.5838,34240,47.0000,0
2007-01-30,4.7789,4.7789,4.7789,4.7789,22970,49.0000,0
2007-01-31,4.9252,5.0227,4.8277,5.0227,40540,51.5000,0
2007-02-01,5.0715,5.0715,5.0227,5.0227,25240,51.5000,0
2007-02-02,5.0227,5.0227,5.0227,5.0227,29910,51.5000,0
2007-02-05,5.2665,5.2665,5.2665,5.2665,95960,54.0000,0
2007-02-06,5.5103,5.5103,5.5103,5.5103,50930,56.5000,0
2007-02-07,5.7541,5.7541,5.7541,5.7541,123380,59.0000,0
2007-02-08,5.5103,5.7541,5.5103,5.5103,57580,56.5000,0
2007-02-09,5.2665,5.5103,5.2665,5.2665,6050,54.0000,0
2007-02-12,5.0227,5.2177,5.0227,5.1202,61130,52.5000,0
2007-02-13,5.2591,5.2591,5.2095,5.2589,7860,53.0000,0
2007-02-14,5.2589,5.2589,5.2589,5.2589,19990,53.0000,0
2007-02-15,5.2589,5.2589,5.2589,5.2589,13900,53.0000,0
2007-02-26,5.2589,5.2589,5.2589,5.2589,16990,53.0000,0
