date,open,high,low,close,volume,unadjusted,putthrough
2006-12-22,5.6016,5.6016,4.3089,5.1276,19500,59.5000,10000
2006-12-25,4.6191,5.1707,4.6191,5.1707,30000,60.0000,0
2006-12-26,5.1966,5.1966,5.1966,5.1965,2000,60.3000,0
2006-12-27,5.7136,5.7136,5.7136,5.7136,34500,66.3000,10000
2006-12-28,6.2824,6.2824,6.2565,6.2824,108000,72.9000,0
2006-12-29,6.8943,6.8943,6.2048,6.2910,14400,73.0000,0
2007-01-02,6.4634,6.5495,6.3169,6.3772,15600,74.0000,0
2007-01-03,6.3772,6.4634,6.3083,6.3858,7800,74.1000,0
2007-01-04,6.8943,6.9373,6.8081,6.9373,30400,80.5000,0
2007-01-05,7.5664,7.5664,7.5664,7.5664,36000,87.8000,0
2007-01-08,8.1869,8.1869,6.9028,7.5837,20900,88.0000,0
2007-01-09,8.1008,8.1869,7.7561,8.1869,33800,95.0000,0
2007-01-10,8.6178,8.6178,8.4454,8.6178,19900,100.0000,0
2007-01-11,9.3675,9.3675,8.6178,9.0487,16300,105.0000,0
2007-01-12,9.7640,9.7640,9.7640,9.7640,57900,113.3000,0
2007-01-15,10.7378,10.7378,10.0829,10.3414,58500,120.0000,11500
2007-01-16,11.4617,11.5479,9.5658,9.9967,27200,116.0000,0
2007-01-17,10.5999,10.5999,9.5227,9.5227,13800,110.5000,5000
2007-01-18,8.6092,10.3414,8.6092,10.3414,35600,120.0000,0
2007-01-19,10.3414,10.4448,10.1690,10.1690,56000,118.0000,0
2007-01-22,10.7722,10.7722,9.3072,9.3072,23600,108.0000,0
2007-01-23,9.3072,10.2552,9.0487,9.0487,44000,105.0000,8000
2007-01-24,9.9105,9.9105,9.6519,9.6519,1400,112.0000,0
2007-01-25,9.6260,9.6260,9.0487,9.1349,18300,106.0000,0
2007-01-26,9.9105,9.9967,9.1177,9.1349,40400,106.0000,0
2007-01-29,9.9105,10.0829,9.3073,9.3072,46500,108.0000,0
2007-01-30,10.4275,10.4275,9.9966,10.3414,56600,120.0000,0
2007-01-31,10.5999,10.5999,10.3414,10.3586,33600,120.2000,0
2007-02-01,10.3414,10.6861,9.9967,9.9967,5500,116.0000,0
2007-02-02,10.2552,10.2552,9.4796,10.2293,35100,118.7000,0
2007-02-05,9.8846,9.9104,9.8156,9.8157,4900,113.9000,0
2007-02-06,9.8157,9.8243,9.1349,9.3934,14900,109.0000,0
2007-02-07,9.4796,9.9105,9.0487,9.9105,23100,115.0000,0
2007-02-08,9.7381,9.7381,9.2211,9.4796,42300,110.0000,0
2007-02-09,9.4796,9.4796,9.0918,9.0918,17800,105.5000,0
2007-02-12,9.2900,9.4796,9.2900,9.4020,4600,109.1000,0
2007-02-13,9.3934,9.9104,9.3934,9.8674,3900,114.5000,0
2007-02-14,10.2552,10.3414,9.9105,10.2552,7600,119.0000,0
2007-02-15,10.3414,10.8584,10.3414,10.8584,21300,126.0000,0
2007-02-26,10.5137,11.2462,10.5137,11.2462,15400,130.5000,0
2007-02-27,12.0649,12.3062,11.2031,11.2031,35100,130.0000,0
2007-02-28,11.6340,11.6340,11.0307,11.2031,34100,130.0000,0
2007-03-01,11.2031,11.4616,10.8584,11.1945,20700,129.9000,0
2007-03-02,11.1945,11.2031,10.7722,10.7723,10200,125.0000,0
2007-03-05,11.0308,11.2032,11.0308,11.1170,16800,129.0000,0
2007-03-06,11.2894,11.2894,11.1170,11.1945,24600,129.9000,0
2007-03-07,11.2117,11.2117,10.6861,10.6861,6600,124.0000,0
2007-03-08,11.1170,11.1601,10.7723,11.0308,21300,128.0000,0
2007-03-09,11.2032,11.2032,10.8584,10.9446,24100,127.0000,0
2007-03-12,12.1339,12.1339,11.7202,11.9787,28100,139.0000,0
2007-03-13,13.0559,13.0559,12.0649,12.4872,45600,144.9000,0
2007-03-14,11.2031,13.5558,11.2031,12.4872,32200,144.9000,0
2007-03-15,12.4096,12.4096,11.2893,11.2893,28200,131.0000,0
2007-03-16,11.6340,12.3234,11.6340,12.3235,32300,143.0000,0
2007-03-19,12.3838,12.9354,12.3838,12.7544,48400,148.0000,0
2007-03-20,13.9178,13.9178,12.4959,12.8405,28500,149.0000,0
2007-03-21,12.5820,12.8405,12.2373,12.2373,6300,142.0000,0
2007-03-22,11.8926,12.4958,11.8926,12.0563,14400,139.9000,0
2007-03-23,11.6340,11.8926,11.3755,11.5479,24800,134.0000,0
2007-03-26,12.1511,12.1511,10.7723,11.0308,12300,128.0000,0
2007-03-27,10.7723,11.2032,10.1690,10.1690,2300,118.0000,0
2007-03-28,9.3848,11.4531,9.3848,11.4531,12700,132.9000,0
2007-03-29,11.6341,11.6341,11.4617,11.4617,12600,133.0000,0
2007-03-30,12.2373,12.2373,10.6861,10.7723,26300,125.0000,0
2007-04-02,11.0308,11.1170,10.8585,11.1170,4900,129.0000,0
2007-04-03,11.1170,11.1170,10.9446,10.9446,2200,127.0000,0
2007-04-04,10.8584,11.2031,10.3414,10.3931,8700,120.6000,0
2007-04-05,11.2032,11.2032,10.3586,10.4275,11500,121.0000,0
2007-04-06,10.6860,10.8153,10.2551,10.5137,15500,122.0000,0
2007-04-09,10.7636,10.7636,10.5137,10.5999,9600,123.0000,0
2007-04-10,10.7723,11.2893,10.7723,10.8584,20400,126.0000,0
2007-04-11,10.7722,10.7722,10.5999,10.5999,2800,123.0000,0
2007-04-12,10.5999,10.6861,9.9967,9.9967,8000,116.0000,0
2007-04-13,10.1691,10.3414,10.1260,10.2552,10500,119.0000,0
2007-04-16,10.1690,10.1690,9.2211,9.4796,10400,110.0000,0
2007-04-17,9.0487,9.4796,9.0487,9.0918,11300,105.5000,0
2007-04-18,9.9105,10.1949,9.9105,10.1949,8100,118.3000,0
2007-04-19,10.1690,10.1690,9.2211,9.4796,3300,110.0000,0
2007-04-20,9.6520,9.6520,9.2383,9.4796,2500,110.0000,0
2007-04-23,9.3934,9.3934,9.0487,9.1349,7100,106.0000,0
2007-04-24,9.0487,9.0487,8.7040,8.8763,2700,103.0000,0
2007-04-25,8.6178,9.2210,8.6178,9.1349,2700,106.0000,0
2007-05-02,9.9881,9.9881,9.6520,9.7381,16100,113.0000,0
2007-05-03,10.7722,10.7722,9.8243,9.8243,7800,114.0000,0
2007-05-04,9.7381,9.8243,9.4796,9.7381,2400,113.0000,0
2007-05-07,10.3413,10.3413,10.1690,10.3414,15700,120.0000,0
2007-05-08,10.7723,10.8585,10.5138,10.6861,14900,124.0000,0
2007-05-09,10.7723,10.8154,10.3414,10.3414,12500,120.0000,0
2007-05-10,10.4707,10.4707,9.9105,10.3155,18700,119.7000,0
2007-05-11,10.3414,11.3324,10.3414,11.3324,53900,131.5000,0
2007-05-14,11.2893,11.9787,11.2893,11.8926,46200,138.0000,0
2007-05-15,12.2373,12.4958,11.6944,11.8064,44500,137.0000,0
2007-05-16,11.8064,11.8064,11.2032,11.4789,35200,133.2000,0
2007-05-17,11.1170,11.8495,11.1170,11.8495,30200,137.5000,0
2007-05-18,12.0649,12.0649,11.8926,11.9787,26200,139.0000,0
2007-05-21,12.4096,12.4958,12.0649,12.4096,33400,144.0000,0
2007-05-22,12.4958,13.5299,12.4785,13.3576,47300,155.0000,0
2007-05-23,14.2194,14.5124,13.6161,13.7023,63700,159.0000,0
2007-05-24,13.7885,13.7885,12.9267,13.1852,33300,153.0000,0
2007-05-25,12.4958,14.0384,12.4958,13.6161,41100,158.0000,0
2007-05-28,14.4779,14.4779,13.8919,14.1332,64300,164.0000,0
2007-05-29,14.2194,14.4779,13.6161,13.7885,37400,160.0000,0
2007-05-30,13.6161,13.7885,13.3662,13.5730,28300,157.5000,0
2007-05-31,13.6075,13.6592,13.3748,13.3748,35600,155.2000,0
2007-06-01,13.4954,13.4954,12.8405,12.9267,45200,150.0000,0
2007-06-04,11.6857,12.9267,11.6857,12.4958,29600,145.0000,0
2007-06-05,12.7230,12.7230,11.8294,11.8295,6000,78.1000,0
2007-06-06,11.9658,12.1021,11.3600,11.4357,47100,75.5000,0
2007-06-07,11.6629,12.4202,11.6629,11.8901,22200,78.5000,0
2007-06-08,12.0416,12.1022,11.7386,11.7387,44600,77.5000,0
2007-06-11,11.6630,11.6630,11.3600,11.4357,19600,75.5000,0
2007-06-12,10.9056,11.2085,10.9056,11.1934,5600,73.9000,0
2007-06-13,11.1328,11.1328,10.4512,10.6632,37400,70.4000,0
2007-06-14,10.7692,10.7692,10.6026,10.6027,25100,70.0000,0
2007-06-15,10.9056,10.9814,10.6784,10.8299,20900,71.5000,0
2007-06-18,10.9814,11.0571,10.7542,10.7541,14300,71.0000,0
2007-06-19,10.9056,10.9056,10.6784,10.7541,13900,71.0000,0
2007-06-20,10.7541,10.8298,10.7541,10.7693,700,71.1000,0
2007-06-21,10.7542,10.7542,10.2998,10.2997,11600,68.0000,0
2007-06-22,10.5269,10.6026,10.4512,10.4512,4600,69.0000,0
2007-06-25,10.4512,10.4512,10.1483,10.1483,21600,67.0000,0
2007-06-26,10.1483,10.1937,10.0726,10.1937,6400,67.3000,0
2007-06-27,10.1331,10.1331,9.6787,9.6939,11500,64.0000,0
2007-06-28,9.8454,9.8454,9.4061,9.5424,23300,63.0000,0
2007-06-29,9.6181,9.6939,9.5424,9.6181,44900,63.5000,0
2007-07-02,9.7696,9.7696,9.3909,9.3909,14900,62.0000,0
2007-07-03,9.2394,9.2394,8.6639,8.7851,18300,58.0000,0
2007-07-04,9.5424,9.8757,9.3910,9.8756,22700,65.2000,0
2007-07-05,9.8453,9.9968,9.6181,9.6181,12100,63.5000,0
2007-07-06,9.8453,9.8453,9.6181,9.8453,12100,65.0000,0
2007-07-09,9.9968,9.9968,9.7544,9.9211,5700,65.5000,0
2007-07-10,9.9665,10.1483,9.8454,9.9968,22300,66.0000,0
2007-07-11,9.9968,10.2997,9.9968,10.2997,38900,68.0000,0
2007-07-12,10.2997,10.2997,9.8453,10.0119,10400,66.1000,0
2007-07-13,9.9210,10.0725,9.8453,9.9362,18000,65.6000,0
2007-07-16,10.0725,10.0725,9.6484,9.7696,3800,64.5000,0
2007-07-17,9.8453,10.2240,9.8453,10.1331,6000,66.9000,0
2007-07-18,9.8605,10.0119,9.6938,9.9665,17700,65.8000,0
2007-07-19,9.9968,9.9968,9.8453,9.9362,2600,65.6000,0
2007-07-20,9.8605,9.8756,9.7696,9.7696,12200,64.5000,0
2007-07-23,9.7999,9.8453,9.6333,9.6939,9000,64.0000,0
2007-07-24,9.6636,9.6636,9.5424,9.5727,2900,63.2000,0
2007-07-25,9.5424,9.5727,9.4061,9.5424,5800,63.0000,0
2007-07-26,9.3909,9.5575,9.3909,9.5424,5100,63.0000,0
2007-07-27,9.2395,9.6181,9.2395,9.6181,4600,63.5000,0
2007-07-30,9.3152,9.5575,9.3152,9.5575,6400,63.1000,0
2007-07-31,9.4666,9.5726,9.4666,9.4667,7500,62.5000,0
2007-08-01,9.6939,10.1483,9.5424,10.1028,12900,66.7000,0
2007-08-02,9.7090,9.8453,9.6181,9.8453,25300,65.0000,0
2007-08-03,9.7241,9.8453,9.6181,9.8150,8500,64.8000,0
2007-08-06,9.5424,9.6938,9.4060,9.6939,20100,64.0000,0
2007-08-07,9.5424,9.6939,9.5424,9.6939,26900,64.0000,0
2007-08-08,9.7999,9.7999,9.6636,9.6939,15200,64.0000,0
2007-08-09,9.9968,10.1483,9.6182,9.6939,21900,64.0000,0
2007-08-10,9.9968,9.9968,9.6182,9.6333,7800,63.6000,0
2007-08-13,9.1638,9.5424,9.0880,9.4667,17400,62.5000,0
2007-08-14,9.5424,9.6939,9.4667,9.5424,23000,63.0000,0
2007-08-15,9.5424,9.6484,9.5424,9.5727,14200,63.2000,0
2007-08-16,9.5424,9.5424,9.4818,9.4970,3900,62.7000,0
2007-08-17,9.4061,9.4667,9.3304,9.4667,8800,62.5000,0
2007-08-20,9.4667,9.4667,9.2395,9.3909,4800,62.0000,0
2007-08-21,9.4666,9.4666,9.2394,9.3606,2400,61.8000,0
2007-08-22,9.3606,9.3606,9.2394,9.2395,4500,61.0000,0
2007-08-23,9.2395,9.2395,9.1335,9.1637,6200,60.5000,0
2007-08-24,9.2091,9.3152,9.2091,9.2698,10600,61.2000,0
2007-08-27,9.3455,9.5424,9.3455,9.5272,5000,62.9000,0
2007-08-28,9.3909,9.3909,9.3909,9.3909,1500,62.0000,0
2007-08-29,9.3909,9.3909,9.2394,9.2395,2700,61.0000,0
2007-08-30,9.3152,9.3152,9.2092,9.2092,3000,60.8000,0
2007-08-31,9.0880,9.3910,9.0880,9.3455,5300,61.7000,0
2007-09-04,9.3909,9.6939,9.3909,9.6939,17100,64.0000,0
2007-09-05,9.5424,9.8454,9.5424,9.6181,17800,63.5000,0
2007-09-06,9.5424,9.6938,9.5424,9.6181,7500,63.5000,0
2007-09-07,9.6938,9.9968,9.6938,9.8908,42200,65.3000,0
2007-09-10,9.9059,10.2846,9.8454,10.0877,34800,66.6000,0
2007-09-11,10.1331,10.1483,9.8454,9.9665,10600,65.8000,0
2007-09-12,9.9362,9.9968,9.8453,9.8453,12300,65.0000,0
2007-09-13,9.9210,9.9210,9.7696,9.8453,13500,65.0000,0
2007-09-14,9.7696,9.9059,9.6938,9.7090,7800,64.1000,0
