date,open,high,low,close,volume,unadjusted,putthrough
2016-11-16,20.0669,20.0669,19.2772,19.9740,862130,43.0000,0
2016-11-17,20.4385,21.3675,20.3456,21.3675,873160,46.0000,0
2016-11-18,22.8539,22.8539,22.7146,22.7843,1068000,49.0500,0
2016-11-21,22.7611,22.7611,21.2050,21.2049,607680,45.6500,0
2016-11-22,20.4385,21.4139,20.0204,20.2062,465470,43.5000,0
2016-11-23,19.9739,20.2062,18.8127,18.8127,2309890,40.5000,0
2016-11-24,17.7443,18.1159,17.5121,17.5121,913610,37.7000,0
2016-11-25,16.6295,17.1869,16.3044,17.1869,1011670,37.0000,540027
2016-11-28,17.1869,17.6514,16.0721,16.7224,238470,36.0000,0
2016-11-29,16.7224,17.2798,16.7224,16.7689,179150,36.1000,0
2016-11-30,16.7224,17.0244,16.7224,16.9547,325960,36.5000,70000
2016-12-01,16.9315,17.5586,16.9315,17.2798,255910,37.2000,20000
2016-12-02,17.2798,17.4656,17.1404,17.1869,279530,37.0000,20000
2016-12-05,17.1869,17.2334,16.9082,17.0011,386860,36.6000,20000
2016-12-06,16.9082,17.0940,16.7688,17.0940,275940,36.8000,20000
2016-12-07,16.8153,17.2798,16.8153,17.1869,204120,37.0000,40000
2016-12-08,17.2334,17.3959,17.0011,17.0011,83490,36.6000,20000
2016-12-09,17.0011,17.1869,16.9082,17.0011,149510,36.6000,20000
2016-12-12,16.8617,16.9546,16.8153,16.8618,328030,36.3000,40000
2016-12-13,16.8153,17.0012,16.8153,16.8850,227040,36.3500,40000
2016-12-14,16.9082,17.7443,16.8850,17.4889,289320,37.6500,89000
2016-12-15,17.6050,17.6050,17.1870,17.4192,121460,37.5000,20000
2016-12-16,17.4192,17.4192,17.0940,17.1869,273060,37.0000,0
2016-12-19,17.3495,17.3495,17.0708,17.2101,366210,37.0500,50000
2016-12-20,17.3959,17.3959,17.1636,17.1869,178430,37.0000,20000
2016-12-21,17.1869,17.2798,17.1404,17.1637,127890,36.9500,30000
2016-12-22,17.1405,17.2102,17.1172,17.1637,214740,36.9500,30000
2016-12-23,17.1172,17.1869,16.9547,17.1637,185720,36.9500,30000
2016-12-26,17.1637,17.1637,16.9779,17.1405,166100,36.9000,1299100
2016-12-27,17.0011,17.1405,17.0011,17.1405,132930,36.9000,30000
2016-12-28,17.1405,17.1405,16.9082,17.1172,280890,36.8500,30000
2016-12-29,16.9546,17.0940,16.8153,16.9082,117820,36.4000,160000
2016-12-30,16.9547,17.0476,16.7224,16.7224,92090,36.0000,0
2017-01-03,16.8618,16.8618,16.2579,16.7224,136180,36.0000,0
2017-01-04,16.7224,17.0940,16.4901,17.0476,98230,36.7000,50000
2017-01-05,16.8618,17.0476,16.7689,16.9547,24630,36.5000,0
2017-01-06,16.7689,16.9547,16.7224,16.9082,44520,36.4000,0
2017-01-09,16.9082,16.9082,16.6759,16.6760,49080,35.9000,0
2017-01-10,16.6295,16.8154,16.4902,16.6295,150940,35.8000,0
2017-01-11,16.6295,16.9082,16.6295,16.7689,274730,36.1000,0
2017-01-12,16.8154,16.8850,16.7224,16.8850,111900,36.3500,0
2017-01-13,16.7224,16.8850,16.6760,16.8153,160790,36.2000,0
2017-01-16,16.8153,16.8153,16.2579,16.2579,91380,35.0000,0
2017-01-17,16.3044,16.5831,16.2579,16.4902,59720,35.5000,0
2017-01-18,16.7225,16.7225,16.2579,16.3043,62300,35.1000,0
2017-01-19,16.5366,16.5830,16.2346,16.5366,130150,35.6000,0
2017-01-20,16.4901,16.7224,16.3508,16.7224,160040,36.0000,0
2017-01-23,16.6295,16.7689,16.4901,16.7224,60460,36.0000,0
2017-01-24,16.4901,16.7224,16.3508,16.3508,23470,35.2000,0
2017-01-25,16.3508,16.6295,16.3043,16.5831,10780,35.7000,0
2017-02-02,16.5366,16.7689,16.5366,16.7224,59260,36.0000,0
2017-02-03,16.7224,16.8153,16.6759,16.8153,136920,36.2000,0
2017-02-06,16.8153,16.8153,16.5830,16.7224,43430,36.0000,0
2017-02-07,16.7224,16.7224,16.6295,16.7224,107220,36.0000,0
2017-02-08,16.7224,16.7224,16.4901,16.6992,74850,35.9500,0
