date,open,high,low,close,volume,unadjusted,putthrough
2006-11-24,8.6089,8.6089,8.6089,8.6089,101830,68.0000,0
2006-11-27,8.2291,8.2291,8.2291,8.2291,202800,65.0000,0
2006-11-28,7.8493,7.8493,7.8493,7.8493,17980,62.0000,0
2006-11-29,7.4695,7.4695,7.4695,7.4695,9060,59.0000,0
2006-11-30,7.1530,7.1530,7.1530,7.1530,22990,56.5000,0
2006-12-01,6.8365,6.8365,6.8365,6.8365,34370,54.0000,0
2006-12-04,6.5200,6.5200,6.5200,6.5200,55880,51.5000,0
2006-12-05,6.2035,6.2035,6.2035,6.2035,90520,49.0000,0
2006-12-06,6.4567,6.4567,6.4567,6.4567,410980,51.0000,0
2006-12-07,6.7732,6.7732,6.7732,6.7732,56360,53.5000,0
2006-12-08,7.0897,7.0897,7.0897,7.0897,92260,56.0000,0
2006-12-11,7.4062,7.4062,7.4062,7.4062,188000,58.5000,0
2006-12-12,7.0897,7.0897,7.0897,7.0897,455880,56.0000,0
2006-12-13,7.4062,7.4062,7.4062,7.4062,226890,58.5000,0
2006-12-14,7.7227,7.7227,7.5961,7.5961,306060,60.0000,0
2006-12-15,7.7860,7.7860,7.5961,7.5961,216350,60.0000,0
2006-12-18,7.5961,7.5961,7.2163,7.3429,196460,58.0000,0
2006-12-19,7.3429,7.3429,7.3429,7.3429,70710,58.0000,0
2006-12-20,7.3429,7.5961,7.2163,7.2163,109560,57.0000,0
2006-12-21,7.2163,7.5328,6.8998,6.9631,105590,55.0000,0
2006-12-22,6.7732,6.7732,6.7732,6.7732,67120,53.5000,0
2006-12-25,6.6466,6.9631,6.6466,6.9631,31790,55.0000,0
2006-12-26,7.2163,7.2163,6.9631,7.2163,41060,57.0000,0
2006-12-27,0.0000,7.4695,7.3429,7.4695,74000,59.0000,0
2006-12-28,7.5961,7.5961,7.5961,7.5961,259820,60.0000,0
2006-12-29,7.4695,7.4695,7.3429,7.3429,23210,58.0000,0
2007-01-02,7.5328,7.5328,7.3429,7.5328,45720,59.5000,0
2007-01-03,7.5328,7.5328,7.4062,7.4062,17260,58.5000,0
2007-01-04,7.4695,7.4695,7.4062,7.4695,244040,59.0000,0
2007-01-05,7.5961,7.5961,7.4695,7.5328,220680,59.5000,0
2007-01-08,7.5961,7.5961,7.5328,7.5328,201050,59.5000,0
2007-01-09,7.5328,7.5961,7.5328,7.5961,218980,60.0000,0
2007-01-10,7.6594,7.8493,7.6594,7.8493,173960,62.0000,0
2007-01-11,7.8493,7.8493,7.8493,7.8493,138530,62.0000,0
2007-01-12,7.5961,8.2291,7.8493,8.2291,181360,65.0000,0
2007-01-15,8.4190,8.4190,8.3557,8.3557,131730,66.0000,0
2007-01-16,8.3557,8.4823,8.2291,8.2291,106900,65.0000,0
2007-01-17,7.8493,8.2291,7.8493,7.8493,105510,62.0000,0
2007-01-18,8.2291,8.2291,8.2291,8.2291,99910,65.0000,0
2007-01-19,8.6089,8.6089,8.6089,8.6089,155590,68.0000,0
2007-01-22,8.9887,8.9887,8.6089,8.6089,149280,68.0000,0
2007-01-23,8.6089,8.7355,8.4823,8.4823,89510,67.0000,0
2007-01-24,8.6089,8.6089,8.3557,8.4823,47290,67.0000,0
2007-01-25,8.6089,8.6089,8.3557,8.4190,55150,66.5000,0
2007-01-26,8.4190,8.1658,8.0392,8.1025,39760,64.0000,0
2007-01-29,8.4823,8.4823,8.1025,8.4823,39420,67.0000,0
2007-01-30,8.8621,8.8621,8.8621,8.8621,81760,70.0000,0
2007-01-31,9.3052,9.3052,9.3052,9.3052,110720,73.5000,0
2007-02-01,9.7483,9.7483,9.7483,9.7483,177580,77.0000,0
2007-02-02,9.7483,9.7483,9.7483,9.7483,54360,77.0000,0
2007-02-05,9.3685,9.7483,9.3685,9.3685,79940,74.0000,0
2007-02-06,9.1153,9.1153,8.9887,9.1153,60710,72.0000,0
2007-02-07,9.5584,9.5584,9.4951,9.5584,114370,75.5000,0
2007-02-08,9.1153,9.3685,9.1153,9.1153,138190,72.0000,0
2007-02-09,8.7153,8.7153,8.7153,8.7127,66180,61.0000,0
2007-02-12,9.0698,9.1412,9.0698,9.1412,119420,64.0000,0
2007-02-13,9.5697,9.5697,9.4269,9.5697,102250,67.0000,0
2007-02-14,9.8554,9.9982,9.7839,9.8554,120430,69.0000,0
2007-02-15,10.1411,10.1411,9.9982,10.1411,75430,71.0000,0
2007-02-26,10.6410,10.6410,10.6410,10.6410,156010,74.5000,0
2007-02-27,11.1409,11.1409,11.1409,11.1409,139570,78.0000,0
2007-02-28,11.4266,11.6408,11.4266,11.4265,222610,80.0000,0
2007-03-01,10.9980,11.2837,10.9980,10.9981,109310,77.0000,0
2007-03-02,11.4980,11.4980,11.4980,11.4980,209570,80.5000,0
2007-03-05,12.0693,12.0693,12.0693,12.0693,187650,84.5000,0
2007-03-06,12.6406,12.6406,12.6406,12.6406,114240,88.5000,0
