date,open,high,low,close,volume,unadjusted,putthrough
2011-07-29,4.6521,4.6521,4.6521,4.6521,3630,10.3000,0
2011-08-01,4.4263,4.4263,4.4263,4.4263,25980,9.8000,0
2011-08-02,4.2456,4.2456,4.2456,4.2457,10,9.4000,0
2011-08-03,4.0650,4.0650,4.0650,4.0650,10,9.0000,0
2011-08-04,3.8843,3.8843,3.8843,3.8843,10100,8.6000,0
2011-08-05,3.7036,3.7036,3.7036,3.7037,2010,8.2000,0
2011-08-08,3.5230,3.5230,3.5230,3.5230,1010,7.8000,0
2011-08-09,3.3875,3.3875,3.3875,3.3875,3020,7.5000,0
2011-08-10,3.2520,3.3423,3.2520,3.2520,53900,7.2000,0
2011-08-11,3.1165,3.1165,3.1165,3.1165,21450,6.9000,0
2011-08-12,2.9810,3.2520,2.9810,3.1617,61350,7.0000,0
2011-08-15,3.1617,3.1617,3.0262,3.0713,54560,6.8000,0
2011-08-16,3.0713,3.0713,2.9358,3.0262,37120,6.7000,0
2011-08-17,2.9810,3.1617,2.9810,3.1165,58370,6.9000,0
2011-08-18,3.2068,3.2520,3.2068,3.2520,83530,7.2000,0
2011-08-19,3.2068,3.2972,3.1617,3.2520,17230,7.2000,0
2011-08-22,3.2520,3.3875,3.2520,3.3875,180830,7.5000,0
2011-08-23,3.4327,3.4327,3.2520,3.2520,95500,7.2000,0
2011-08-24,3.3423,3.3423,3.2068,3.2068,61500,7.1000,0
2011-08-25,3.2971,3.2971,3.2068,3.2972,69830,7.3000,0
2011-08-26,3.2520,3.4327,3.2520,3.4327,93540,7.6000,0
2011-08-29,3.5682,3.5682,3.5682,3.5682,88220,7.9000,0
2011-08-30,3.7037,3.7037,3.7037,3.7037,16840,8.2000,0
2011-08-31,3.8844,3.8844,3.8392,3.8843,119870,8.6000,0
2011-09-01,4.0650,4.0650,3.9746,4.0650,97290,9.0000,0
2011-09-05,3.9295,4.0198,3.8843,3.8843,57550,8.6000,0
2011-09-06,3.7488,3.9295,3.7488,3.7940,42890,8.4000,0
2011-09-07,3.9295,3.9747,3.9295,3.9747,91660,8.8000,0
2011-09-08,3.8844,4.1102,3.8844,3.9747,25680,8.8000,0
2011-09-09,3.8392,4.0650,3.8392,4.0650,36320,9.0000,0
2011-09-12,4.1553,4.2457,4.1102,4.2457,50840,9.4000,0
2011-09-13,4.0650,4.2909,4.0650,4.2457,46500,9.4000,0
2011-09-14,4.2005,4.2909,4.0650,4.0650,54130,9.0000,0
2011-09-15,4.1553,4.1553,3.9295,4.1553,80180,9.2000,0
2011-09-16,4.1553,4.2005,4.0198,4.1553,63020,9.2000,0
2011-09-19,4.0650,4.1553,4.0198,4.0650,106450,9.0000,0
2011-09-20,3.9747,4.0650,3.9747,3.9747,15520,8.8000,0
2011-09-21,4.0199,4.1554,3.9747,4.1102,136540,9.1000,0
2011-09-22,4.1102,4.2457,4.0650,4.1553,174240,9.2000,0
2011-09-23,4.1553,4.1553,3.9746,3.9747,139100,8.8000,0
2011-09-26,3.8844,3.8844,3.8844,3.8843,9030,8.6000,0
2011-09-27,4.0198,4.0198,3.9295,4.0198,38750,8.9000,0
2011-09-28,4.0650,4.0650,4.0198,4.0650,27300,9.0000,0
2011-09-29,4.0650,4.1553,4.0198,4.0650,137620,9.0000,0
2011-09-30,4.0650,4.0650,3.9747,3.9747,53690,8.8000,0
2011-10-03,3.9747,4.0650,3.9295,4.0650,42270,9.0000,0
2011-10-04,4.0650,4.1102,3.9295,3.9295,44100,8.7000,0
2011-10-05,4.0650,4.1102,4.0198,4.0650,38270,9.0000,0
2011-10-06,4.0650,4.1102,4.0650,4.1102,75740,9.1000,0
2011-10-07,4.0650,4.0650,4.0199,4.0650,26170,9.0000,0
2011-10-10,4.0198,4.0650,4.0198,4.0650,53300,9.0000,0
2011-10-11,4.0198,4.1553,3.9747,3.9747,126930,8.8000,0
2011-10-12,4.0199,4.0199,3.9747,4.0198,40750,8.9000,0
2011-10-13,4.0198,4.0650,4.0198,4.0650,20360,9.0000,0
2011-10-14,4.0650,4.2005,4.0650,4.1102,119410,9.1000,0
2011-10-17,4.0650,4.1102,4.0199,4.1102,16600,9.1000,0
2011-10-18,4.0650,4.1554,4.0650,4.1102,91400,9.1000,0
2011-10-19,4.0199,4.1554,4.0199,4.0650,92170,9.0000,0
2011-10-20,4.0650,4.0650,4.0198,4.0198,4300,8.9000,0
2011-10-21,4.0198,4.1101,4.0198,4.0198,29500,8.9000,0
2011-10-24,4.1101,4.1101,4.0198,4.0198,6190,8.9000,0
2011-10-25,3.9746,4.0650,3.9746,4.0650,14260,9.0000,0
2011-10-26,4.0650,4.0650,3.9747,4.0650,23280,9.0000,0
2011-10-27,4.0650,4.0650,4.0650,4.0650,12870,9.0000,0
2011-10-28,4.0650,4.1102,4.0650,4.1102,35830,9.1000,0
2011-10-31,4.0199,4.0650,4.0199,4.0198,15310,8.9000,0
2011-11-01,4.0650,4.0650,4.0650,4.0650,10,9.0000,0
2011-11-02,4.0198,4.0198,3.9295,3.9295,1230,8.7000,0
2011-11-03,3.8843,3.9747,3.8843,3.9295,2690,8.7000,0
2011-11-04,3.8843,4.0650,3.8392,4.0198,6240,8.9000,0
2011-11-07,3.8843,3.9295,3.8391,3.9295,9210,8.7000,0
2011-11-08,4.0198,4.0198,3.9295,3.9295,3930,8.7000,0
2011-11-09,3.9295,3.9295,3.7488,3.7488,2260,8.3000,0
2011-11-10,3.8391,3.8391,3.7488,3.7488,14280,8.3000,0
2011-11-11,3.7488,3.7488,3.6585,3.7037,8130,8.2000,0
2011-11-14,3.6585,3.7489,3.5682,3.6133,21460,8.0000,0
2011-11-15,3.6133,3.6133,3.4326,3.5682,16030,7.9000,0
2011-11-16,3.5230,3.5682,3.5230,3.5230,10950,7.8000,0
2011-11-17,3.4327,3.4327,3.4327,3.4327,10,7.6000,0
2011-11-18,3.3875,3.3875,3.3875,3.3875,3000,7.5000,0
2011-11-21,3.3875,3.3875,3.2972,3.2972,6240,7.3000,0
2011-11-22,3.3424,3.3424,3.2972,3.2972,6000,7.3000,0
2011-11-23,3.2972,3.3424,3.2972,3.3423,1260,7.4000,0
2011-11-24,3.3875,3.3875,3.3423,3.3875,6410,7.5000,0
2011-11-25,3.3423,3.3875,3.3423,3.3875,4020,7.5000,0
2011-11-28,3.5230,3.5230,3.5230,3.5230,1010,7.8000,0
2011-11-29,3.5230,3.5230,3.5230,3.5230,1400,7.8000,0
2011-11-30,3.4327,3.4327,3.4327,3.4327,210,7.6000,0
2011-12-01,3.3424,3.5230,3.3424,3.3423,120,7.4000,0
2011-12-02,3.4778,3.4778,3.2971,3.2972,30,7.3000,0
2011-12-05,3.4327,3.4327,3.4327,3.4327,10,7.6000,0
2011-12-06,3.3424,3.3424,3.2972,3.2972,10920,7.3000,0
2011-12-07,3.2069,3.2972,3.2069,3.2972,4460,7.3000,0
2011-12-08,3.1617,3.4327,3.1617,3.1617,31020,7.0000,0
2011-12-09,3.2069,3.2972,3.2069,3.2972,8910,7.3000,0
2011-12-12,3.2520,3.2520,3.2520,3.2520,130,7.2000,0
2011-12-13,3.2520,3.3875,3.2520,3.3875,2020,7.5000,0
2011-12-14,3.3875,3.3875,3.2520,3.3423,12550,7.4000,0
2011-12-15,3.2068,3.2520,3.2068,3.2068,3700,7.1000,0
2011-12-16,3.2520,3.3423,3.1165,3.3423,2140,7.4000,0
2011-12-19,3.2068,3.3875,3.2068,3.3875,16580,7.5000,0
2011-12-20,3.2520,3.2520,3.2520,3.2520,2090,7.2000,0
2011-12-21,3.2068,3.2520,3.2068,3.2520,7820,7.2000,0
2011-12-22,3.2068,3.2068,3.1617,3.1617,7010,7.0000,0
2011-12-23,3.1617,3.1617,3.1165,3.1165,1110,6.9000,0
2011-12-27,3.0713,3.1617,2.9810,3.0262,4530,6.7000,0
2011-12-28,3.0262,3.0262,3.0262,3.0262,60,6.7000,0
2011-12-29,3.1617,3.1617,2.8907,2.8907,3240,6.4000,0
2011-12-30,3.0262,3.0262,2.9359,2.9358,20,6.5000,0
2012-01-03,2.9358,3.0713,2.9358,2.9810,2040,6.6000,0
2012-01-04,2.9358,2.9358,2.9358,2.9358,890,6.5000,0
2012-01-06,3.0261,3.0261,3.0261,3.0262,1030,6.7000,0
2012-01-09,3.1617,3.1617,3.1617,3.1617,2240,7.0000,0
2012-01-10,3.1617,3.1617,3.1617,3.1617,500,7.0000,0
2012-01-11,3.1617,3.1617,3.1165,3.1165,14760,6.9000,0
2012-01-12,3.1165,3.1165,3.0713,3.0713,10210,6.8000,0
2012-01-13,3.1165,3.2068,3.1165,3.1165,9010,6.9000,0
2012-01-16,3.2520,3.2520,3.2520,3.2520,40,7.2000,0
2012-01-17,3.1165,3.3875,3.1165,3.3875,3010,7.5000,0
2012-01-18,3.2972,3.2972,3.2972,3.2972,10,7.3000,0
2012-01-19,3.4327,3.4327,3.4327,3.4327,10,7.6000,0
2012-01-20,3.5682,3.5682,3.5230,3.5230,9990,7.8000,0
2012-01-30,3.6133,3.6133,3.5682,3.6133,3100,8.0000,0
2012-01-31,3.7036,3.7036,3.6133,3.6133,2910,8.0000,0
2012-02-01,3.7036,3.7036,3.7036,3.7037,60,8.2000,0
2012-02-02,3.7489,3.7940,3.7489,3.7940,310,8.4000,0
2012-02-03,3.8392,3.8392,3.7940,3.7940,1220,8.4000,0
2012-02-06,3.6133,3.6133,3.6133,3.6133,10,8.0000,0
2012-02-07,3.7940,3.7940,3.7036,3.7037,520,8.2000,0
2012-02-08,3.7037,3.7037,3.6134,3.6133,1580,8.0000,0
2012-02-09,3.6133,3.6133,3.5681,3.5682,4520,7.9000,0
2012-02-10,3.6134,3.6134,3.5230,3.5230,17010,7.8000,0
2012-02-13,3.4778,3.4778,3.4778,3.4778,20,7.7000,0
2012-02-14,3.5230,3.6133,3.5230,3.6133,1100,8.0000,0
2012-02-15,3.4778,3.5230,3.4778,3.4778,9510,7.7000,0
2012-02-16,3.4326,3.4326,3.4326,3.4327,2520,7.6000,0
2012-02-17,3.4779,3.5230,3.4779,3.5230,3170,7.8000,0
2012-02-20,3.6133,3.6133,3.4778,3.4778,5150,7.7000,0
2012-02-21,3.5230,3.5681,3.4778,3.5682,5210,7.9000,0
2012-02-22,3.5682,3.6134,3.5682,3.6133,5900,8.0000,0
2012-02-23,3.6585,3.7036,3.6585,3.7037,5060,8.2000,0
2012-02-24,3.6585,3.6585,3.6134,3.6133,14840,8.0000,0
2012-02-27,3.6133,3.6133,3.5230,3.5230,1800,7.8000,0
2012-02-28,3.6133,3.6133,3.5230,3.5230,10290,7.8000,0
2012-02-29,3.4778,3.4778,3.4778,3.4778,3300,7.7000,0
2012-03-01,3.6133,3.6133,3.5230,3.5682,3210,7.9000,0
2012-03-02,3.4779,3.6134,3.4779,3.5230,15610,7.8000,0
2012-03-05,3.5230,3.6585,3.5230,3.6585,78670,8.1000,0
2012-03-06,3.6585,3.8392,3.6585,3.6585,56290,8.1000,0
2012-03-07,3.6585,3.7037,3.6133,3.6585,58310,8.1000,0
2012-03-08,3.6585,3.6585,3.6133,3.6133,36490,8.0000,0
2012-03-09,3.7036,3.7036,3.6133,3.6133,37720,8.0000,0
2012-03-12,3.6133,3.7488,3.5681,3.6133,33660,8.0000,0
2012-03-13,3.6133,3.6585,3.5681,3.6585,14700,8.1000,0
2012-03-14,3.6133,3.6585,3.6133,3.6585,24780,8.1000,0
2012-03-15,3.6585,3.7488,3.6585,3.7488,36970,8.3000,0
2012-03-16,3.7488,3.7940,3.5681,3.7940,1550,8.4000,0
2012-03-19,3.7940,3.7940,3.6133,3.6133,7870,8.0000,0
2012-03-20,3.6585,3.6585,3.6133,3.6133,9360,8.0000,0
2012-03-21,3.6585,3.7940,3.6585,3.7940,34690,8.4000,0
2012-03-22,3.9747,3.9747,3.7940,3.8392,9390,8.5000,0
2012-03-23,4.0199,4.0199,4.0199,4.0198,35000,8.9000,0
2012-03-26,4.2005,4.2005,4.2005,4.2005,3910,9.3000,0
2012-03-27,4.3812,4.3812,4.2005,4.2005,71580,9.3000,0
2012-03-28,4.2005,4.2908,4.1553,4.1553,23660,9.2000,0
2012-03-29,4.2005,4.2908,4.1101,4.1102,28950,9.1000,0
2012-03-30,4.2005,4.2005,4.1102,4.1553,27050,9.2000,0
2012-04-03,4.2079,4.2605,4.1027,4.2607,16900,8.1000,0
2012-04-04,4.0503,4.3133,4.0503,4.0503,1470,7.7000,0
2012-04-05,3.9977,4.2081,3.9451,4.1029,10750,7.8000,0
2012-04-06,4.2081,4.2081,4.0503,4.1555,2120,7.9000,0
2012-04-09,4.0503,4.2081,3.9977,3.9977,19180,7.6000,0
2012-04-10,3.8925,4.1029,3.8925,4.1029,5230,7.8000,0
2012-04-11,3.9977,4.2081,3.9977,4.2081,29780,8.0000,0
