date,open,high,low,close,volume,unadjusted,putthrough
2019-07-04,9.2563,9.2563,9.0229,9.2563,68300,11.9000,0
2019-07-05,9.1785,9.7230,9.1785,9.4119,70700,12.1000,0
2019-07-08,9.4897,9.7230,9.2563,9.7230,91300,12.5000,0
2019-07-09,9.4119,9.4119,9.1785,9.4119,60900,12.1000,0
2019-07-10,9.4119,9.4119,8.8674,8.9452,42300,11.5000,0
2019-07-11,8.6341,8.6341,8.0896,8.4785,61500,10.9000,0
2019-07-12,8.0118,8.5563,8.0118,8.5562,33000,11.0000,0
2019-07-15,8.5562,8.5562,8.2451,8.3229,19000,10.7000,0
2019-07-16,8.2451,8.3229,7.6228,7.6228,23100,9.8000,0
2019-07-17,7.7784,7.7784,7.6228,7.7784,19300,10.0000,0
2019-07-18,7.7784,7.8562,7.7006,7.8562,13000,10.1000,0
2019-07-19,7.7784,7.9340,7.4673,7.9340,17100,10.2000,0
2019-07-22,7.7784,7.7784,7.2339,7.6228,12800,9.8000,0
2019-07-23,7.6228,7.7006,7.3117,7.3117,17800,9.4000,0
2019-07-24,7.3117,7.3895,7.0783,7.0784,22000,9.1000,0
2019-07-25,7.7007,7.7007,7.0006,7.2339,15030,9.3000,0
2019-07-26,7.4673,7.4673,7.2339,7.2339,19270,9.3000,0
2019-07-29,7.0783,7.3117,7.0783,7.1561,15600,9.2000,0
2019-07-30,6.9227,7.3117,6.9227,7.2339,14400,9.3000,0
2019-07-31,7.1561,7.4673,7.1561,7.3895,14400,9.5000,0
2019-08-01,7.3117,7.6229,7.3117,7.4673,13900,9.6000,0
2019-08-02,7.3895,7.4673,7.3117,7.4673,13700,9.6000,0
2019-08-05,7.3895,7.4673,7.3117,7.4673,15100,9.6000,0
2019-08-06,7.3895,7.4673,7.1562,7.2339,14300,9.3000,0
2019-08-07,7.3117,7.3895,7.2339,7.3117,12500,9.4000,0
2019-08-08,8.0118,8.0118,7.2339,7.3117,14500,9.4000,0
2019-08-09,7.3117,7.3895,7.2339,7.3895,9700,9.5000,0
2019-08-12,7.6229,7.6229,7.3895,7.5451,19100,9.7000,0
2019-08-13,7.6229,8.1674,7.5451,8.1673,15600,10.5000,0
2019-08-14,7.7006,8.0895,7.7006,8.0895,17900,10.4000,0
2019-08-15,7.7784,7.9339,7.7784,7.9340,15500,10.2000,0
2019-08-16,7.7784,8.0118,7.6229,8.0118,15900,10.3000,0
2019-08-19,7.7784,8.4785,7.7784,8.4007,16400,10.8000,0
