date,open,high,low,close,volume,unadjusted,putthrough
2009-11-05,6.5321,6.9858,5.2620,6.3507,152500,35.0000,0
2009-11-06,6.8950,6.8950,6.4414,6.6229,44700,36.5000,17000
2009-11-09,7.2217,7.2217,6.3689,6.5321,43200,36.0000,0
2009-11-10,6.9857,6.9857,6.1692,6.6773,43700,36.8000,0
2009-11-11,6.5866,6.5866,6.1330,6.1329,30100,33.8000,0
2009-11-12,5.7882,6.2055,5.7882,5.7882,11200,31.9000,0
2009-11-13,5.4072,5.8063,5.4072,5.7882,57900,31.9000,0
2009-11-16,5.7882,5.8608,5.7882,5.8608,20100,32.3000,0
2009-11-17,5.9878,6.2600,5.9878,6.1692,21500,34.0000,0
2009-11-18,6.2055,6.2055,5.7337,5.7338,12000,31.6000,0
2009-11-19,5.4616,5.6431,5.4253,5.4253,27400,29.9000,0
2009-11-20,5.6249,5.6249,5.1350,5.1531,11600,28.4000,0
2009-11-23,5.6793,5.6793,5.1894,5.1894,2800,28.6000,0
2009-11-24,5.1713,5.4434,5.1713,5.4434,12000,30.0000,0
2009-11-25,5.4434,5.6248,4.9716,4.9717,24800,27.4000,0
2009-11-26,4.8991,4.8991,4.7903,4.7902,18400,26.4000,0
2009-11-27,4.4817,4.8991,4.4817,4.4999,19100,24.8000,0
2009-11-30,4.8991,4.9535,4.6632,4.9535,10700,27.3000,0
2009-12-01,4.9898,5.2438,4.9898,5.2438,26400,28.9000,0
2009-12-02,5.2619,5.4434,5.0805,5.0805,6200,28.0000,420000
2009-12-03,4.9353,4.9353,4.9353,4.9354,9500,27.2000,0
2009-12-04,5.1713,5.1713,4.8991,4.8991,2100,27.0000,0
2009-12-07,5.0805,5.0805,5.0443,5.0443,3200,27.8000,0
2009-12-08,5.1713,5.1713,4.7358,4.9898,6400,27.5000,0
2009-12-09,4.6269,4.6269,4.5180,4.5181,24600,24.9000,0
2009-12-10,4.5000,4.5000,4.2641,4.3548,11400,24.0000,0
2009-12-11,4.1734,4.2096,4.0463,4.0463,25400,22.3000,0
2009-12-14,4.3185,4.3185,4.1733,4.1733,20900,23.0000,0
2009-12-15,4.2459,4.2640,4.2277,4.2640,6500,23.5000,0
2009-12-16,4.2640,4.3729,4.2640,4.3729,22000,24.1000,0
2009-12-17,4.1733,4.2640,4.1007,4.2640,7000,23.5000,0
2009-12-18,4.4454,4.4636,4.4454,4.4455,10800,24.5000,0
2009-12-21,4.4455,4.7540,4.4455,4.7539,6000,26.2000,0
2009-12-22,4.7539,4.7539,4.7176,4.7358,20200,26.1000,0
2009-12-23,4.5181,4.8810,4.5181,4.7176,4200,26.0000,0
2009-12-24,4.7357,4.8265,4.7357,4.8265,16900,26.6000,0
